# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = entenda as acusacoes contra o expresidente lula e o que diz a defesa petista vai prestar o primeiro depoimento na condicao de reu da lava jato e na presenca do juiz sergio moro nesta quartafeira 10 o expresidente luiz inacio lula da silva pt vai prestar depoimento nesta quartafeira 10 ao juiz sergio moro em um dos processos que responde na lava jato e a primeira vez que o petista e interrogado na presenca de moro e na condicao de reu na operacao a audiencia e do processo sobre um triplex em guaruja sp que o ministerio publico federal mpf afirma que lula receberia como vantagem indevida da empreiteira oas a empresa teria feito reformas neste mesmo imovel para receber a familia de lula em troca o expresidente atuaria em favor da oas a defesa do expresidente nega as acusacoes
1	entenda	entender	VERB	VERB	_	0	root	_	TokenRange=0:7
31	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	32	det	_	_
32	presenca	presenca	NOUN	NOUN	_	22	conj	_	TokenRange=148:156
33-34	do	_	_	_	_	_	_	_	TokenRange=157:159
33	de	de	ADP	ADP	_	35	case	_	_
34	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	35	det	_	_
35	juiz	juiz	NOUN	NOUN	_	32	nmod	_	TokenRange=160:164
36	sergio	sergio	NOUN	NOUN	_	35	amod	_	TokenRange=165:171
37	moro	moro	NOUN	NOUN	_	35	flat	_	TokenRange=172:176
38	nesta	_	ADP	ADP	_	39	case	_	TokenRange=177:182
39	quartafeira	_	NOUN	NOUN	_	51	nmod	_	TokenRange=183:194
40	10	_	NUM	NUM	NumType=Card	39	appos	_	TokenRange=195:197
41	o	o	DET	DET	_	42	det	_	TokenRange=198:199
42	expresidente	expresidente	NOUN	NOUN	_	51	nsubj	_	TokenRange=200:212
43	luiz	luiz	NOUN	NOUN	_	42	appos	_	TokenRange=213:217
44	inacio	_	NOUN	NOUN	_	43	flat	_	TokenRange=218:224
45	lula	_	NOUN	NOUN	_	43	flat	_	TokenRange=225:229
46-47	da	_	_	_	_	_	_	_	TokenRange=230:232
46	de	de	ADP	ADP	_	48	case	_	_
47	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	48	det	_	_
48	silva	silva	NOUN	NOUN	_	43	nmod	_	TokenRange=233:238
49	pt	_	PROPN	PNOUN	_	48	appos	_	TokenRange=239:241
50	vai	ir	AUX	AUX	_	51	aux	_	TokenRange=242:245
51	prestar	prestar	VERB	VERB	_	1	conj	_	TokenRange=246:253
52	depoimento	depoimento	NOUN	NOUN	_	51	obj	_	TokenRange=254:264
53	nesta	_	ADP	ADP	_	54	case	_	TokenRange=265:270
54	quartafeira	quartafeira	NOUN	NOUN	_	51	nmod	_	TokenRange=271:282
55	10	_	NUM	NUM	NumType=Card	54	appos	_	TokenRange=283:285
56-57	ao	_	_	_	_	_	_	_	TokenRange=286:288
56	a	a	ADP	ADP	_	58	case	_	_
57	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	58	det	_	_
58	juiz	juiz	NOUN	NOUN	_	51	iobj	_	TokenRange=289:293
59	sergio	sergio	ADJ	ADJ	_	58	amod	_	TokenRange=294:300
60	moro	moro	NOUN	NOUN	_	58	flat	_	TokenRange=301:305
61	em	em	ADP	ADP	_	62	case	_	TokenRange=306:308
62	um	_	PRON	PRON	_	51	nmod	_	TokenRange=309:311
63-64	dos	_	_	_	_	_	_	_	TokenRange=312:315
63	de	de	ADP	ADP	_	65	case	_	_
64	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	65	det	_	_
65	processos	processo	NOUN	NOUN	_	62	nmod	_	TokenRange=316:325
66	que	_	PRON	PRON	_	67	nsubj	_	TokenRange=326:329
67	responde	responder	VERB	VERB	_	65	acl:relcl	_	TokenRange=330:338
68-69	na	_	_	_	_	_	_	_	TokenRange=339:341
68	em	em	ADP	ADP	_	70	case	_	_
69	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	70	det	_	_
70	lava	lava	NOUN	NOUN	_	67	nmod	_	TokenRange=342:346
71	jato	jato	NOUN	NOUN	_	70	flat	_	TokenRange=347:351
72	e	e	CCONJ	CONJ	_	75	cc	_	TokenRange=352:353
73	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	75	det	_	TokenRange=354:355
74	primeira	primeiro	ADJ	ADJ	_	75	amod	_	TokenRange=356:364
75	vez	vez	NOUN	NOUN	_	51	conj	_	TokenRange=365:368
76	que	_	PRON	PRON	_	80	dep	_	TokenRange=369:372
77	o	o	DET	DET	_	78	det	_	TokenRange=373:374
78	petista	petista	NOUN	NOUN	_	80	nsubj:pass	_	TokenRange=375:382
79	e	_	AUX	AUX	_	80	aux:pass	_	TokenRange=383:384
80	interrogado	interrogar	VERB	VERB	_	75	acl:relcl	_	TokenRange=385:396
81-82	na	_	_	_	_	_	_	_	TokenRange=397:399
81	em	em	ADP	ADP	_	83	case	_	_
82	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	83	det	_	_
83	presenca	presenca	NOUN	NOUN	_	80	nmod	_	TokenRange=400:408
84	de	de	ADP	ADP	_	85	case	_	TokenRange=409:411
85	moro	moro	NOUN	NOUN	_	83	nmod	_	TokenRange=412:416
86	e	e	CCONJ	CONJ	_	89	cc	_	TokenRange=417:418
87-88	na	_	_	_	_	_	_	_	TokenRange=419:421
87	em	em	ADP	ADP	_	89	case	_	_
88	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	89	det	_	_
89	condicao	condicao	NOUN	NOUN	_	83	conj	_	TokenRange=422:430
90	de	de	ADP	ADP	_	91	case	_	TokenRange=431:433
91	reu	reu	NOUN	NOUN	_	89	nmod	_	TokenRange=434:437
92-93	na	_	_	_	_	_	_	_	TokenRange=438:440
92	em	em	ADP	ADP	_	94	case	_	_
93	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	94	det	_	_
94	operacao	operacao	NOUN	NOUN	_	89	nmod	_	TokenRange=441:449
95	a	o	DET	DET	_	96	det	_	TokenRange=450:451
96	audiencia	audiencia	NOUN	NOUN	_	94	appos	_	TokenRange=452:461
97	e	e	CCONJ	CONJ	_	100	cc	_	TokenRange=462:463
98-99	do	_	_	_	_	_	_	_	TokenRange=464:466
98	de	de	ADP	ADP	_	100	case	_	_
99	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	100	det	_	_
100	processo	processo	NOUN	NOUN	_	62	conj	_	TokenRange=467:475
101	sobre	_	ADP	ADP	_	103	case	_	TokenRange=476:481
102	um	um	DET	DET	_	103	det	_	TokenRange=482:484
103	triplex	_	NOUN	NOUN	_	100	nmod	_	TokenRange=485:492
104	em	em	ADP	ADP	_	105	case	_	TokenRange=493:495
105	guaruja	guaruja	NOUN	NOUN	_	100	nmod	_	TokenRange=496:503
106	sp	_	ADJ	ADJ	_	105	amod	_	TokenRange=504:506
107	que	_	PRON	PRON	_	113	dep	_	TokenRange=507:510
108	o	o	DET	DET	_	109	det	_	TokenRange=511:512
109	ministerio	ministerio	NOUN	NOUN	_	113	nsubj	_	TokenRange=513:523
110	publico	publico	ADJ	ADJ	_	109	amod	_	TokenRange=524:531
111	federal	federal	ADJ	ADJ	_	109	amod	_	TokenRange=532:539
112	mpf	_	NOUN	NOUN	_	109	appos	_	TokenRange=540:543
113	afirma	afirmar	VERB	VERB	_	75	acl:relcl	_	TokenRange=544:550
114	que	que	CCONJ	CONJ	_	116	mark	_	TokenRange=551:554
115	lula	_	NOUN	NOUN	_	116	nsubj	_	TokenRange=555:559
116	receberia	receber	VERB	VERB	_	113	ccomp	_	TokenRange=560:569
117	como	como	ADP	ADP	_	118	case	_	TokenRange=570:574
118	vantagem	vantagem	NOUN	NOUN	_	116	nmod	_	TokenRange=575:583
119	indevida	indevido	ADJ	ADJ	_	118	amod	_	TokenRange=584:592
120-121	da	_	_	_	_	_	_	_	TokenRange=593:595
120	de	de	ADP	ADP	_	122	case	_	_
121	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	122	det	_	_
122	empreiteira	empreiteiro	NOUN	NOUN	_	118	nmod	_	TokenRange=596:607
123	oas	_	CCONJ	CONJ	_	127	cc	_	TokenRange=608:611
124	a	o	DET	DET	_	125	det	_	TokenRange=612:613
125	empresa	empresa	NOUN	NOUN	_	127	nsubj	_	TokenRange=614:621
126	teria	ter	AUX	AUX	_	127	aux	_	TokenRange=622:627
127	feito	_	VERB	VERB	_	113	ccomp	_	TokenRange=628:633
128	reformas	reforma	NOUN	NOUN	_	127	obj	_	TokenRange=634:642
129	neste	_	ADP	ADP	_	131	case	_	TokenRange=643:648
130	mesmo	mesmo	ADJ	ADJ	_	131	amod	_	TokenRange=649:654
131	imovel	imovel	NOUN	NOUN	_	127	nmod	_	TokenRange=655:661
132	para	_	ADP	ADP	_	133	mark	_	TokenRange=662:666
133	receber	receber	VERB	VERB	_	127	advcl	_	TokenRange=667:674
134	a	o	DET	DET	_	135	det	_	TokenRange=675:676
135	familia	familia	NOUN	NOUN	_	133	obj	_	TokenRange=677:684
136	de	de	ADP	ADP	_	137	case	_	TokenRange=685:687
137	lula	lula	NOUN	NOUN	_	135	nmod	_	TokenRange=688:692
138	em	em	ADP	ADP	_	139	case	_	TokenRange=693:695
139	troca	_	NOUN	NOUN	_	142	nmod	_	TokenRange=696:701
140	o	o	DET	DET	_	141	det	_	TokenRange=702:703
141	expresidente	expresidente	NOUN	NOUN	_	142	nsubj	_	TokenRange=704:716
142	atuaria	atuar	VERB	VERB	_	127	advcl	_	TokenRange=717:724
143	em	em	ADP	ADP	_	144	case	_	TokenRange=725:727
144	favor	favor	NOUN	NOUN	_	142	nmod	_	TokenRange=728:733
145-146	da	_	_	_	_	_	_	_	TokenRange=734:736
145	de	de	ADP	ADP	_	147	case	_	_
146	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	147	det	_	_
147	oas	_	NOUN	NOUN	_	144	nmod	_	TokenRange=737:740
148	a	o	DET	DET	_	149	det	_	TokenRange=741:742
149	defesa	_	NOUN	NOUN	_	142	nsubj	_	TokenRange=743:749
150-151	do	_	_	_	_	_	_	_	TokenRange=750:752
150	de	de	ADP	ADP	_	152	case	_	_
151	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	152	det	_	_
152	expresidente	expresidente	NOUN	NOUN	_	149	nmod	_	TokenRange=753:765
153	nega	negar	VERB	VERB	_	113	ccomp	_	TokenRange=766:770
154	as	o	DET	DET	_	155	det	_	TokenRange=771:773
155	acusacoes	acusacoe	NOUN	NOUN	_	153	obj	_	SpacesAfter=\s\s|TokenRange=774:783

