# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ao abrir a terceira acao penal contra o expresidente lula desta vez no caso do sitio de atibaia interior de sao paulo o juiz federal sergio moro afirmou que nao ha qualquer registro de que o petista tenha pago qualquer valor por reformas na propriedade as obras no sitio santa barbara custaram r 102050000 e foram bancadas segundo o ministerio publico federal pelas empreiteiras oas e odebrecht e pelo pecuarista jose carlos bumlai os elementos probatorios juntados pelo ministerio publico federal e tambem colacionados pela policia federal permitem em cognicao sumaria conclusao de que o expresidente luiz inacio lula da silva comportavase como proprietario
1-2	ao	_	_	_	_	_	_	_	TokenRange=0:2
55	santa	santo	ADJ	ADJ	_	54	amod	_	TokenRange=271:276
56	barbara	barbar	NOUN	NOUN	_	54	appos	_	TokenRange=277:284
57	custaram	custar	VERB	VERB	_	31	parataxis	_	TokenRange=285:293
58	r	r	NOUN	NOUN	_	57	obj	_	TokenRange=294:295
59	102050000	_	NUM	NUM	NumType=Card	58	appos	_	TokenRange=296:305
60	e	e	CCONJ	CONJ	_	62	cc	_	TokenRange=306:307
61	foram	_	AUX	AUX	_	62	aux:pass	_	TokenRange=308:313
62	bancadas	bancar	VERB	VERB	_	57	conj	_	TokenRange=314:322
63	segundo	_	ADP	ADP	_	65	case	_	TokenRange=323:330
64	o	o	DET	DET	_	65	det	_	TokenRange=331:332
65	ministerio	ministerio	NOUN	NOUN	_	62	nmod	_	TokenRange=333:343
66	publico	_	ADJ	ADJ	_	65	amod	_	TokenRange=344:351
67	federal	federal	ADJ	ADJ	_	65	amod	_	TokenRange=352:359
68-69	pelas	_	_	_	_	_	_	_	TokenRange=360:365
68	por	por	ADP	ADP	_	70	case	_	_
69	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	70	det	_	_
70	empreiteiras	empreiteiro	NOUN	NOUN	_	62	nmod	_	TokenRange=366:378
71	oas	_	PROPN	NOUN	_	70	appos	_	TokenRange=379:382
72	e	e	CCONJ	CONJ	_	73	cc	_	TokenRange=383:384
73	odebrecht	_	NOUN	NOUN	_	71	conj	_	TokenRange=385:394
74	e	e	CCONJ	CONJ	_	77	cc	_	TokenRange=395:396
75-76	pelo	_	_	_	_	_	_	_	TokenRange=397:401
75	por	por	ADP	ADP	_	77	case	_	_
76	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	77	det	_	_
77	pecuarista	pecuarista	NOUN	NOUN	_	70	conj	_	TokenRange=402:412
78	jose	jose	NOUN	NOUN	_	77	appos	_	TokenRange=413:417
79	carlos	_	NOUN	NOUN	_	78	flat	_	TokenRange=418:424
80	bumlai	_	NOUN	NOUN	_	78	flat	_	TokenRange=425:431
81	os	o	DET	DET	_	82	det	_	TokenRange=432:434
82	elementos	elemento	NOUN	NOUN	_	97	nsubj	_	TokenRange=435:444
83	probatorios	probatorio	ADJ	ADJ	_	82	amod	_	TokenRange=445:456
84	juntados	juntar	VERB	VERB	_	82	acl	_	TokenRange=457:465
85-86	pelo	_	_	_	_	_	_	_	TokenRange=466:470
85	por	por	ADP	ADP	_	87	case	_	_
86	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	87	det	_	_
87	ministerio	ministerio	NOUN	NOUN	_	84	nmod	_	TokenRange=471:481
88	publico	_	ADJ	ADJ	_	87	amod	_	TokenRange=482:489
89	federal	federal	ADJ	ADJ	_	87	amod	_	TokenRange=490:497
90	e	e	CCONJ	CONJ	_	92	cc	_	TokenRange=498:499
91	tambem	tambem	ADV	ADV	_	92	advmod	_	TokenRange=500:506
92	colacionados	colacionar	VERB	VERB	_	84	conj	_	TokenRange=507:519
93-94	pela	_	_	_	_	_	_	_	TokenRange=520:524
93	por	por	ADP	ADP	_	95	case	_	_
94	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	95	det	_	_
95	policia	policia	NOUN	NOUN	_	92	nmod	_	TokenRange=525:532
96	federal	federal	ADJ	ADJ	_	95	amod	_	TokenRange=533:540
97	permitem	permitir	VERB	VERB	_	31	conj	_	TokenRange=541:549
98	em	em	ADP	ADP	_	99	case	_	TokenRange=550:552
99	cognicao	cognicao	NOUN	NOUN	_	97	nmod	_	TokenRange=553:561
100	sumaria	sumario	ADJ	ADJ	_	101	amod	_	TokenRange=562:569
101	conclusao	conclusao	NOUN	NOUN	_	97	obj	_	TokenRange=570:579
102	de	_	ADP	ADP	_	112	mark	_	TokenRange=580:582
103	que	que	CCONJ	CONJ	_	112	mark	_	TokenRange=583:586
104	o	o	DET	DET	_	105	det	_	TokenRange=587:588
105	expresidente	expresidente	NOUN	NOUN	_	112	nsubj	_	TokenRange=589:601
106	luiz	luiz	ADJ	ADJ	_	105	appos	_	TokenRange=602:606
107	inacio	_	ADJ	ADJ	_	105	appos	_	TokenRange=607:613
108	lula	_	PROPN	NOUN	_	106	flat	_	TokenRange=614:618
109-110	da	_	_	_	_	_	_	_	TokenRange=619:621
109	de	de	ADP	ADP	_	111	case	_	_
110	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	111	det	_	_
111	silva	silva	NOUN	NOUN	_	106	nmod	_	TokenRange=622:627
112	comportavase	_	VERB	VERB	_	101	nmod	_	TokenRange=628:640
113	como	como	ADP	ADP	_	114	case	_	TokenRange=641:645
114	proprietario	proprietario	NOUN	NOUN	_	112	nmod	_	SpacesAfter=\s\s|TokenRange=646:658

