# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = genebra documentos em poder de promotores do brasil e da venezuela aos quais o estado teve acesso com exclusividade mostram que o presidente da venezuela nicolas maduro liberou mais de us 4 bilhoes para obras da odebrecht em projetos financiados em parte com dinheiro do bndes o pagamento foi ordenado dias apos a eleicao de maduro em 2013 cuja campanha a construtora admitiu ter financiado com caixa 2 nos documentos o presidente frisava em letra cursiva que realizar os pagamentos que se estenderam ate 2015 era muy urgente os recursos nao estavam no orcamento aprovado pelo legislativo e parte vinha de linhas de credito do bndes segundo a investigacao a liberacao de recursos fazia parte de um acerto entre maduro e a construtora em troca de us 35 milhoes para a campanha de 2013 o presidente daria prioridade para que recursos extraorcamentarios bancassem obras da odebrecht odebrecht derruba primeiro presidente na america latina parte das informacoes esta na delacao de euzenando azevedo exdiretor da odebrecht que prestou depoimento em 15 de dezembro de 2016 no ministerio publico federal no brasil na declaracao ele explica como o venezuelano americo mata apresentouse como coordenador de campanha de maduro pedindo as contribuicoes o executivo condicionou a ajuda a garantias de que o governo liberaria recursos de forma regular para manter o ritmo das obras para reforcar a relacao entre os us 35 milhoes para a campanha e a liberacao dos recursos ele apresentou ao mp sete documentos do governo venezuelano aos quais o estado teve acesso todos estao assinados e comentados por maduro outra parcela da relacao da maquina publica brasileira com o chavismo veio da delacao dos publicitarios monica moura e joao santana em 2 de agosto de 2017 eles foram
1	genebra	genebrar	VERB	VERB	_	0	root	_	TokenRange=0:7
104-105	pelo	_	_	_	_	_	_	_	TokenRange=572:576
104	por	por	ADP	ADP	_	106	case	_	_
105	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	106	det	_	_
106	legislativo	legislativo	NOUN	NOUN	_	103	nmod	_	TokenRange=577:588
107	e	e	CCONJ	CONJ	_	109	cc	_	TokenRange=589:590
108	parte	parte	NOUN	NOUN	_	208	nsubj	_	TokenRange=591:596
109	vinha	vir	VERB	VERB	_	69	conj	_	TokenRange=597:602
110	de	de	ADP	ADP	_	111	case	_	TokenRange=603:605
111	linhas	_	NOUN	NOUN	_	109	nmod	_	TokenRange=606:612
112	de	de	ADP	ADP	_	113	case	_	TokenRange=613:615
113	credito	credito	NOUN	NOUN	_	111	nmod	_	TokenRange=616:623
114-115	do	_	_	_	_	_	_	_	TokenRange=624:626
114	de	de	ADP	ADP	_	116	case	_	_
115	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	116	det	_	_
116	bndes	bndes	NOUN	NOUN	_	111	nmod	_	TokenRange=627:632
117	segundo	_	ADP	ADP	_	119	case	_	TokenRange=633:640
118	a	o	DET	DET	_	119	det	_	TokenRange=641:642
119	investigacao	investigacao	NOUN	NOUN	_	109	nmod	_	TokenRange=643:655
120	a	o	DET	DET	_	121	det	_	TokenRange=656:657
121	liberacao	liberacao	NOUN	NOUN	_	260	nsubj	_	TokenRange=658:667
122	de	de	ADP	ADP	_	123	case	_	TokenRange=668:670
123	recursos	recurso	NOUN	NOUN	_	121	nmod	_	TokenRange=671:679
124	fazia	fazer	VERB	VERB	_	202	ccomp	_	TokenRange=680:685
125	parte	parte	NOUN	NOUN	_	260	obj	_	TokenRange=686:691
126	de	de	ADP	ADP	_	128	case	_	TokenRange=692:694
127	um	um	DET	DET	_	128	det	_	TokenRange=695:697
128	acerto	acerto	NOUN	NOUN	_	125	nmod	_	TokenRange=698:704
129	entre	_	ADP	ADP	_	130	case	_	TokenRange=705:710
130	maduro	maduro	NOUN	NOUN	_	128	nmod	_	TokenRange=711:717
131	e	e	CCONJ	CONJ	_	133	cc	_	TokenRange=718:719
132	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	133	det	_	TokenRange=720:721
133	construtora	construtor	NOUN	NOUN	_	130	conj	_	TokenRange=722:733
134	em	em	ADP	ADP	_	135	case	_	TokenRange=734:736
135	troca	_	NOUN	NOUN	_	229	nmod	_	TokenRange=737:742
136	de	de	ADP	ADP	_	137	case	_	TokenRange=743:745
137	us	_	NOUN	NOUN	_	135	nmod	_	TokenRange=746:748
138	35	_	NUM	NUM	NumType=Card	139	nummod	_	TokenRange=749:751
139	milhoes	_	NUM	NUM	NumType=Card	137	nummod	_	TokenRange=752:759
140	para	para	ADP	ADP	_	142	case	_	TokenRange=760:764
141	a	o	DET	DET	_	142	det	_	TokenRange=765:766
142	campanha	campanha	NOUN	NOUN	_	244	nmod	_	TokenRange=767:775
143	de	de	ADP	ADP	_	144	case	_	TokenRange=776:778
144	2013	_	NUM	NUM	NumType=Card	142	nmod	_	TokenRange=779:783
145	o	o	DET	DET	_	146	det	_	TokenRange=784:785
146	presidente	presidente	NOUN	NOUN	_	260	nsubj	_	TokenRange=786:796
147	daria	dar	VERB	VERB	_	56	conj	_	TokenRange=797:802
148	prioridade	prioridade	NOUN	NOUN	_	260	obj	_	TokenRange=803:813
149	para	_	ADP	ADP	_	153	mark	_	TokenRange=814:818
150	que	que	CCONJ	CONJ	_	153	mark	_	TokenRange=819:822
151	recursos	recurso	NOUN	NOUN	_	153	nsubj	_	TokenRange=823:831
152	extraorcamentarios	extraorcamentario	ADJ	ADJ	_	151	amod	_	TokenRange=832:850
153	bancassem	bancar	VERB	VERB	_	148	nmod	_	TokenRange=851:860
154	obras	obra	NOUN	NOUN	_	153	obj	_	TokenRange=861:866
155-156	da	_	_	_	_	_	_	_	TokenRange=867:869
155	de	de	ADP	ADP	_	157	case	_	_
156	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	157	det	_	_
157	odebrecht	odebrecht	NOUN	NOUN	_	154	nmod	_	TokenRange=870:879
158	odebrecht	_	PROPN	NOUN	_	291	appos	_	TokenRange=880:889
159	derruba	derrubar	VERB	VERB	_	154	acl:relcl	_	TokenRange=890:897
160	primeiro	primeiro	ADJ	ADJ	_	161	amod	_	TokenRange=898:906
161	presidente	presidente	NOUN	NOUN	_	159	obj	_	TokenRange=907:917
162-163	na	_	_	_	_	_	_	_	TokenRange=918:920
162	em	em	ADP	ADP	_	164	case	_	_
163	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	164	det	_	_
164	america	america	NOUN	NOUN	_	279	nmod	_	TokenRange=921:928
165	latina	latino	ADJ	ADJ	_	164	amod	_	TokenRange=929:935
166	parte	parte	NOUN	NOUN	_	297	nsubj	_	TokenRange=936:941
167-168	das	_	_	_	_	_	_	_	TokenRange=942:945
167	de	de	ADP	ADP	_	169	case	_	_
168	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	169	det	_	_
169	informacoes	informacoe	NOUN	NOUN	_	166	nmod	_	TokenRange=946:957
170	esta	_	VERB	PRON	_	202	ccomp	_	TokenRange=958:962
171-172	na	_	_	_	_	_	_	_	TokenRange=963:965
171	em	em	ADP	ADP	_	173	case	_	_
172	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	173	det	_	_
173	delacao	delacao	NOUN	NOUN	_	170	nmod	_	TokenRange=966:973
174	de	de	ADP	ADP	_	175	case	_	TokenRange=974:976
175	euzenando	euzenando	NOUN	NOUN	_	173	nmod	_	TokenRange=977:986
176	azevedo	_	ADJ	ADJ	_	175	amod	_	TokenRange=987:994
177	exdiretor	exdiretor	NOUN	NOUN	_	175	appos	_	TokenRange=995:1004
178-179	da	_	_	_	_	_	_	_	TokenRange=1005:1007
178	de	de	ADP	ADP	_	180	case	_	_
179	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	180	det	_	_
180	odebrecht	_	NOUN	NOUN	_	177	nmod	_	TokenRange=1008:1017
181	que	_	PRON	PRON	_	182	nsubj	_	TokenRange=1018:1021
182	prestou	prestar	VERB	VERB	_	175	acl:relcl	_	TokenRange=1022:1029
183	depoimento	depoimento	NOUN	NOUN	_	182	obj	_	TokenRange=1030:1040
184	em	em	ADP	ADP	_	185	case	_	TokenRange=1041:1043
185	15	_	NUM	NUM	NumType=Card	182	nmod	_	TokenRange=1044:1046
186	de	de	ADP	ADP	_	187	case	_	TokenRange=1047:1049
187	dezembro	_	PROPN	PNOUN	_	185	nmod	_	TokenRange=1050:1058
188	de	de	ADP	ADP	_	189	case	_	TokenRange=1059:1061
189	2016	_	NUM	NUM	NumType=Card	187	nmod	_	TokenRange=1062:1066
190-191	no	_	_	_	_	_	_	_	TokenRange=1067:1069
190	em	em	ADP	ADP	_	192	case	_	_
191	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	192	det	_	_
192	ministerio	ministerio	NOUN	NOUN	_	45	nmod	_	TokenRange=1070:1080
193	publico	_	ADJ	ADJ	_	192	amod	_	TokenRange=1081:1088
194	federal	federal	ADJ	ADJ	_	192	amod	_	TokenRange=1089:1096
195-196	no	_	_	_	_	_	_	_	TokenRange=1097:1099
195	em	em	ADP	ADP	_	197	case	_	_
196	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	197	det	_	_
197	brasil	brasil	NOUN	NOUN	_	192	nmod	_	TokenRange=1100:1106
198-199	na	_	_	_	_	_	_	_	TokenRange=1107:1109
198	em	em	ADP	ADP	_	200	case	_	_
199	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	200	det	_	_
200	declaracao	declaracao	NOUN	NOUN	_	215	nmod	_	TokenRange=1110:1120
201	ele	_	PRON	PRON	_	202	nsubj	_	TokenRange=1121:1124
202	explica	explicar	VERB	VERB	_	56	parataxis	_	TokenRange=1125:1132
203	como	como	CCONJ	CONJ	_	208	mark	_	TokenRange=1133:1137
204	o	o	DET	DET	_	205	det	_	TokenRange=1138:1139
205	venezuelano	_	NOUN	NOUN	_	208	nsubj	_	TokenRange=1140:1151
206	americo	americo	ADJ	ADJ	_	205	amod	_	TokenRange=1152:1159
207	mata	mata	NOUN	NOUN	_	205	flat	_	TokenRange=1160:1164
208	apresentouse	apresentousar	VERB	VERB	_	202	ccomp	_	TokenRange=1165:1177
209	como	como	ADP	ADP	_	210	case	_	TokenRange=1178:1182
210	coordenador	coordenador	NOUN	NOUN	_	208	nmod	_	TokenRange=1183:1194
211	de	de	ADP	ADP	_	212	case	_	TokenRange=1195:1197
212	campanha	campanha	NOUN	NOUN	_	210	nmod	_	TokenRange=1198:1206
213	de	de	ADP	ADP	_	214	case	_	TokenRange=1207:1209
214	maduro	maduro	NOUN	NOUN	_	210	nmod	_	TokenRange=1210:1216
215	pedindo	pedir	VERB	VERB	_	208	acl	_	TokenRange=1217:1224
216	as	o	DET	DET	_	217	det	_	TokenRange=1225:1227
217	contribuicoes	contribuicoe	NOUN	NOUN	_	215	obj	_	TokenRange=1228:1241
218	o	o	DET	DET	_	219	det	_	TokenRange=1242:1243
219	executivo	executivo	NOUN	NOUN	_	220	nsubj	_	TokenRange=1244:1253
220	condicionou	condicionar	VERB	VERB	_	202	ccomp	_	TokenRange=1254:1265
221	a	o	DET	DET	_	222	det	_	TokenRange=1266:1267
222	ajuda	ajuda	NOUN	NOUN	_	220	obj	_	TokenRange=1268:1273
223	a	_	ADP	ADP	_	224	case	_	TokenRange=1274:1275
224	garantias	garantia	NOUN	NOUN	_	220	iobj	_	TokenRange=1276:1285
225	de	_	ADP	ADP	_	229	mark	_	TokenRange=1286:1288
226	que	que	CCONJ	CONJ	_	229	mark	_	TokenRange=1289:1292
227	o	o	DET	DET	_	228	det	_	TokenRange=1293:1294
228	governo	governo	NOUN	NOUN	_	229	nsubj	_	TokenRange=1295:1302
229	liberaria	liberar	VERB	VERB	_	224	nmod	_	TokenRange=1303:1312
230	recursos	recurso	NOUN	NOUN	_	229	obj	_	TokenRange=1313:1321
231	de	de	ADP	ADP	_	232	case	_	TokenRange=1322:1324
232	forma	forma	NOUN	NOUN	_	229	nmod	_	TokenRange=1325:1330
233	regular	regular	ADJ	ADJ	_	232	amod	_	TokenRange=1331:1338
234	para	_	ADP	ADP	_	235	mark	_	TokenRange=1339:1343
235	manter	manter	VERB	VERB	_	229	advcl	_	TokenRange=1344:1350
236	o	o	DET	DET	_	237	det	_	TokenRange=1351:1352
237	ritmo	ritmo	NOUN	NOUN	_	235	obj	_	TokenRange=1353:1358
238-239	das	_	_	_	_	_	_	_	TokenRange=1359:1362
238	de	de	ADP	ADP	_	240	case	_	_
239	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	240	det	_	_
240	obras	obra	NOUN	NOUN	_	237	nmod	_	TokenRange=1363:1368
241	para	_	ADP	ADP	_	242	mark	_	TokenRange=1369:1373
242	reforcar	reforcar	VERB	VERB	_	229	advcl	_	TokenRange=1374:1382
243	a	o	DET	DET	_	244	det	_	TokenRange=1383:1384
244	relacao	relacao	NOUN	NOUN	_	242	obj	_	TokenRange=1385:1392
245	entre	_	ADP	ADP	_	247	case	_	TokenRange=1393:1398
246	os	o	DET	DET	_	247	det	_	TokenRange=1399:1401
247	us	_	NOUN	NOUN	_	244	nmod	_	TokenRange=1402:1404
248	35	_	NUM	NUM	NumType=Card	249	nummod	_	TokenRange=1405:1407
249	milhoes	_	NUM	NUM	NumType=Card	247	nummod	_	TokenRange=1408:1415
250	para	para	ADP	ADP	_	252	case	_	TokenRange=1416:1420
251	a	o	DET	DET	_	252	det	_	TokenRange=1421:1422
252	campanha	campanha	NOUN	NOUN	_	244	nmod	_	TokenRange=1423:1431
253	e	e	CCONJ	CONJ	_	255	cc	_	TokenRange=1432:1433
254	a	o	DET	DET	_	255	det	_	TokenRange=1434:1435
255	liberacao	liberacao	NOUN	NOUN	_	252	conj	_	TokenRange=1436:1445
256-257	dos	_	_	_	_	_	_	_	TokenRange=1446:1449
256	de	de	ADP	ADP	_	258	case	_	_
257	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	258	det	_	_
258	recursos	recurso	NOUN	NOUN	_	255	nmod	_	TokenRange=1450:1458
259	ele	_	PRON	PRON	_	260	nsubj	_	TokenRange=1459:1462
260	apresentou	apresentar	VERB	VERB	_	220	advcl	_	TokenRange=1463:1473
261-262	ao	_	_	_	_	_	_	_	TokenRange=1474:1476
261	a	a	ADP	ADP	_	263	case	_	_
262	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	263	det	_	_
263	mp	_	NOUN	NOUN	_	260	iobj	_	TokenRange=1477:1479
264	sete	_	NUM	NUM	NumType=Card	265	nummod	_	TokenRange=1480:1484
265	documentos	documento	NOUN	NOUN	_	260	obj	_	TokenRange=1485:1495
266-267	do	_	_	_	_	_	_	_	TokenRange=1496:1498
266	de	de	ADP	ADP	_	268	case	_	_
267	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	268	det	_	_
268	governo	governo	NOUN	NOUN	_	265	nmod	_	TokenRange=1499:1506
269	venezuelano	venezuelano	ADJ	ADJ	_	268	amod	_	TokenRange=1507:1518
270-271	aos	_	_	_	_	_	_	_	TokenRange=1519:1522
270	a	a	ADP	ADP	_	272	case	_	_
271	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	272	det	_	_
272	quais	_	PRON	PRON	_	275	nmod	_	TokenRange=1523:1528
273	o	o	DET	DET	_	274	det	_	TokenRange=1529:1530
274	estado	estado	NOUN	NOUN	_	275	nsubj	_	TokenRange=1531:1537
275	teve	ter	VERB	VERB	_	265	acl:relcl	_	TokenRange=1538:1542
276	acesso	acesso	NOUN	NOUN	_	275	obj	_	TokenRange=1543:1549
277	todos	_	PRON	PRON	_	278	nsubj	_	TokenRange=1550:1555
278	estao	_	VERB	VERB	_	265	acl:relcl	_	TokenRange=1556:1561
279	assinados	assinado	ADJ	ADJ	_	278	xcomp	_	TokenRange=1562:1571
280	e	e	CCONJ	CONJ	_	281	cc	_	TokenRange=1572:1573
281	comentados	comentar	VERB	VERB	_	279	conj	_	TokenRange=1574:1584
282	por	por	ADP	ADP	_	283	case	_	TokenRange=1585:1588
283	maduro	maduro	NOUN	NOUN	_	281	nmod	_	TokenRange=1589:1595
284	outra	_	DET	DET	_	285	det	_	TokenRange=1596:1601
285	parcela	parcela	NOUN	NOUN	_	297	nsubj	_	TokenRange=1602:1609
286-287	da	_	_	_	_	_	_	_	TokenRange=1610:1612
286	de	de	ADP	ADP	_	288	case	_	_
287	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	288	det	_	_
288	relacao	relacao	NOUN	NOUN	_	285	nmod	_	TokenRange=1613:1620
289-290	da	_	_	_	_	_	_	_	TokenRange=1621:1623
289	de	de	ADP	ADP	_	291	case	_	_
290	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	291	det	_	_
291	maquina	maquina	NOUN	NOUN	_	288	nmod	_	TokenRange=1624:1631
292	publica	publico	ADJ	ADJ	_	291	amod	_	TokenRange=1632:1639
293	brasileira	brasileiro	ADJ	ADJ	_	291	amod	_	TokenRange=1640:1650
294	com	com	ADP	ADP	_	296	case	_	TokenRange=1651:1654
295	o	o	DET	DET	_	296	det	_	TokenRange=1655:1656
296	chavismo	chavismo	NOUN	NOUN	_	288	nmod	_	TokenRange=1657:1665
297	veio	_	VERB	VERB	_	80	ccomp	_	TokenRange=1666:1670
298-299	da	_	_	_	_	_	_	_	TokenRange=1671:1673
298	de	de	ADP	ADP	_	300	case	_	_
299	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	300	det	_	_
300	delacao	delacao	NOUN	NOUN	_	297	nmod	_	TokenRange=1674:1681
301-302	dos	_	_	_	_	_	_	_	TokenRange=1682:1685
301	de	de	ADP	ADP	_	303	case	_	_
302	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	303	det	_	_
303	publicitarios	publicitario	NOUN	NOUN	_	300	nmod	_	TokenRange=1686:1699
304	monica	_	NOUN	NOUN	_	303	appos	_	TokenRange=1700:1706
305	moura	mouro	NOUN	NOUN	_	304	flat	_	TokenRange=1707:1712
306	e	e	CCONJ	CONJ	_	307	cc	_	TokenRange=1713:1714
