# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = pela bola sete lula recorre ao povo cujo patrimonio foi roubado em seu governo para se livrar da justica e da imprensa condenado a n9 anos e 6 meses de prisao lula convocou uma entrevista coletiva na sede do pt e nao respondeu a perguntas tratando a imprensa como inimiga e os jornalistas foram porque servem ao publico ele nao respondeu porque se acha acima do bem e do mal e sabe que nao tem defesa a apresentar argumentos a discutir este e o jogo populista dele mas voto nao e detergente e democracia nao e so voto mas tambem o funcionamento autonomo dos poderes apud montesquieu e dos pesos e contrapesos da revolucao americana mas nao adianta chorar a bola sete esta na cacapa comentario no jornal eldorado da radio eldorado fm 1073 na sextafeira 14 de julho de 2017 as 7h30m
1-2	pela	_	_	_	_	_	_	_	TokenRange=0:4
21	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	22	det	_	_
22	justica	_	NOUN	NOUN	_	19	nmod	_	TokenRange=97:104
23	e	e	CCONJ	CONJ	_	26	cc	_	TokenRange=105:106
24-25	da	_	_	_	_	_	_	_	TokenRange=107:109
24	de	de	ADP	ADP	_	26	case	_	_
25	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	26	det	_	_
26	imprensa	imprensa	NOUN	NOUN	_	22	conj	_	TokenRange=110:118
27	condenado	condenar	VERB	VERB	_	19	acl	_	TokenRange=119:128
28	a	_	ADP	ADP	_	30	case	_	TokenRange=129:130
29	n9	_	NUM	NUM	NumType=Card	30	nummod	_	TokenRange=131:133
30	anos	ano	NOUN	NOUN	_	27	nmod	_	TokenRange=134:138
31	e	e	CCONJ	CONJ	_	33	cc	_	TokenRange=139:140
32	6	_	NUM	NUM	NumType=Card	33	nummod	_	TokenRange=141:142
33	meses	mês	NOUN	NOUN	_	30	conj	_	TokenRange=143:148
34	de	de	ADP	ADP	_	35	case	_	TokenRange=149:151
35	prisao	prisao	NOUN	NOUN	_	33	nmod	_	TokenRange=152:158
36	lula	lula	NOUN	NOUN	_	37	nsubj	_	TokenRange=159:163
37	convocou	convocar	VERB	VERB	_	6	parataxis	_	TokenRange=164:172
38	uma	um	DET	DET	_	39	det	_	TokenRange=173:176
39	entrevista	entrevista	NOUN	NOUN	_	37	obj	_	TokenRange=177:187
40	coletiva	coletivo	ADJ	ADJ	_	39	amod	_	TokenRange=188:196
41-42	na	_	_	_	_	_	_	_	TokenRange=197:199
41	em	em	ADP	ADP	_	43	case	_	_
42	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	43	det	_	_
43	sede	sede	NOUN	NOUN	_	37	nmod	_	TokenRange=200:204
44-45	do	_	_	_	_	_	_	_	TokenRange=205:207
44	de	de	ADP	ADP	_	46	case	_	_
45	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	46	det	_	_
46	pt	_	PROPN	PNOUN	_	43	nmod	_	TokenRange=208:210
47	e	e	CCONJ	CONJ	_	49	cc	_	TokenRange=211:212
48	nao	nao	ADV	ADV	Polarity=Neg	49	advmod	_	TokenRange=213:216
49	respondeu	responder	VERB	VERB	_	6	conj	_	TokenRange=217:226
50	a	_	ADP	ADP	_	51	case	_	TokenRange=227:228
51	perguntas	pergunta	NOUN	NOUN	_	49	nmod	_	TokenRange=229:238
52	tratando	tratar	VERB	VERB	_	49	acl	_	TokenRange=239:247
53	a	o	DET	DET	_	54	det	_	TokenRange=248:249
54	imprensa	imprensa	NOUN	NOUN	_	52	obj	_	TokenRange=250:258
55	como	como	ADP	ADP	_	56	case	_	TokenRange=259:263
56	inimiga	inimigo	NOUN	NOUN	_	52	nmod	_	TokenRange=264:271
57	e	e	CCONJ	CONJ	_	60	cc	_	TokenRange=272:273
58	os	o	DET	DET	_	59	det	_	TokenRange=274:276
59	jornalistas	jornalista	NOUN	NOUN	_	60	nsubj	_	TokenRange=277:288
60	foram	_	VERB	VERB	_	37	conj	_	TokenRange=289:294
61	porque	_	CCONJ	CONJ	_	62	mark	_	TokenRange=295:301
62	servem	servir	VERB	VERB	_	60	advcl	_	TokenRange=302:308
63-64	ao	_	_	_	_	_	_	_	TokenRange=309:311
63	a	a	ADP	ADP	_	65	case	_	_
64	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	65	det	_	_
65	publico	_	NOUN	NOUN	_	62	iobj	_	TokenRange=312:319
66	ele	_	PRON	PRON	_	68	nsubj	_	TokenRange=320:323
67	nao	nao	ADV	ADV	Polarity=Neg	68	advmod	_	TokenRange=324:327
68	respondeu	responder	VERB	VERB	_	37	conj	_	TokenRange=328:337
69	porque	_	CCONJ	CONJ	_	71	mark	_	TokenRange=338:344
70	se	_	PART	PRT	_	71	expl:pv	_	TokenRange=345:347
71	acha	achar	VERB	VERB	_	68	advcl	_	TokenRange=348:352
72	acima	acima	ADV	ADV	_	71	advmod	_	TokenRange=353:358
73-74	do	_	_	_	_	_	_	_	TokenRange=359:361
73	de	de	ADP	ADP	_	75	case	_	_
74	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	75	det	_	_
75	bem	bem	NOUN	NOUN	_	72	nmod	_	TokenRange=362:365
76	e	e	CCONJ	CONJ	_	79	cc	_	TokenRange=366:367
77-78	do	_	_	_	_	_	_	_	TokenRange=368:370
77	de	de	ADP	ADP	_	79	case	_	_
78	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	79	det	_	_
79	mal	mal	NOUN	NOUN	_	75	conj	_	TokenRange=371:374
80	e	e	CCONJ	CONJ	_	81	cc	_	TokenRange=375:376
81	sabe	saber	VERB	VERB	_	37	conj	_	TokenRange=377:381
82	que	que	CCONJ	CONJ	_	84	mark	_	TokenRange=382:385
83	nao	nao	ADV	ADV	Polarity=Neg	84	advmod	_	TokenRange=386:389
84	tem	ter	VERB	VERB	_	81	ccomp	_	TokenRange=390:393
85	defesa	_	NOUN	NOUN	_	84	obj	_	TokenRange=394:400
86	a	_	ADP	ADP	_	87	mark	_	TokenRange=401:402
87	apresentar	apresentar	VERB	VERB	_	85	nmod	_	TokenRange=403:413
88	argumentos	argumento	NOUN	NOUN	_	87	obj	_	TokenRange=414:424
89	a	_	ADP	ADP	_	90	mark	_	TokenRange=425:426
90	discutir	discutir	VERB	VERB	_	88	nmod	_	TokenRange=427:435
91	este	_	PRON	PRON	_	90	obj	_	TokenRange=436:440
92	e	e	CCONJ	CONJ	_	94	cc	_	TokenRange=441:442
93	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	94	det	_	TokenRange=443:444
94	jogo	jogo	NOUN	NOUN	_	91	conj	_	TokenRange=445:449
95	populista	populista	ADJ	ADJ	_	94	amod	_	TokenRange=450:459
96	dele	_	X	ADPPRON	_	94	det:poss	_	TokenRange=460:464
97	mas	mas	CCONJ	CONJ	_	98	cc	_	TokenRange=465:468
98	voto	voto	NOUN	NOUN	_	37	conj	_	TokenRange=469:473
99	nao	nao	ADV	ADV	Polarity=Neg	101	advmod	_	TokenRange=474:477
100	e	e	CCONJ	CONJ	_	101	cc	_	TokenRange=478:479
101	detergente	detergente	ADJ	ADJ	_	98	conj	_	TokenRange=480:490
102	e	e	CCONJ	CONJ	_	103	cc	_	TokenRange=491:492
103	democracia	democracia	NOUN	NOUN	_	98	conj	_	TokenRange=493:503
104	nao	nao	ADV	ADV	Polarity=Neg	107	advmod	_	TokenRange=504:507
105	e	e	CCONJ	CONJ	_	107	cc	_	TokenRange=508:509
106	so	so	ADV	ADV	_	107	advmod	_	TokenRange=510:512
107	voto	voto	NOUN	NOUN	_	103	conj	_	TokenRange=513:517
108	mas	mas	CCONJ	CONJ	_	111	cc	_	TokenRange=518:521
109	tambem	tambem	ADV	ADV	_	111	advmod	_	TokenRange=522:528
110	o	o	DET	DET	_	111	det	_	TokenRange=529:530
111	funcionamento	funcionamento	NOUN	NOUN	_	107	conj	_	TokenRange=531:544
112	autonomo	autonomo	ADJ	ADJ	_	111	amod	_	TokenRange=545:553
113-114	dos	_	_	_	_	_	_	_	TokenRange=554:557
113	de	de	ADP	ADP	_	115	case	_	_
114	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	115	det	_	_
115	poderes	_	NOUN	NOUN	_	111	nmod	_	TokenRange=558:565
116	apud	_	ADP	ADP	_	117	case	_	TokenRange=566:570
117	montesquieu	_	NOUN	NOUN	_	115	nmod	_	TokenRange=571:582
118	e	e	CCONJ	CONJ	_	121	cc	_	TokenRange=583:584
119-120	dos	_	_	_	_	_	_	_	TokenRange=585:588
119	de	de	ADP	ADP	_	121	case	_	_
120	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	121	det	_	_
121	pesos	peso	NOUN	NOUN	_	115	conj	_	TokenRange=589:594
122	e	e	CCONJ	CONJ	_	123	cc	_	TokenRange=595:596
123	contrapesos	contrapeso	NOUN	NOUN	_	121	conj	_	TokenRange=597:608
124-125	da	_	_	_	_	_	_	_	TokenRange=609:611
124	de	de	ADP	ADP	_	126	case	_	_
125	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	126	det	_	_
126	revolucao	revolucao	NOUN	NOUN	_	121	nmod	_	TokenRange=612:621
127	americana	americano	ADJ	ADJ	_	126	amod	_	TokenRange=622:631
128	mas	mas	CCONJ	CONJ	_	130	cc	_	TokenRange=632:635
129	nao	nao	ADV	ADV	Polarity=Neg	130	advmod	_	TokenRange=636:639
130	adianta	adiantar	VERB	VERB	_	37	conj	_	TokenRange=640:647
131	chorar	chorar	VERB	VERB	_	130	xcomp	_	TokenRange=648:654
132	a	o	DET	DET	_	133	det	_	TokenRange=655:656
133	bola	bola	NOUN	NOUN	_	135	nsubj	_	TokenRange=657:661
134	sete	_	NUM	NUM	NumType=Card	133	appos	_	TokenRange=662:666
135	esta	_	VERB	VERB	_	131	ccomp	_	TokenRange=667:671
136-137	na	_	_	_	_	_	_	_	TokenRange=672:674
136	em	em	ADP	ADP	_	138	case	_	_
137	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	138	det	_	_
138	cacapa	cacapa	NOUN	NOUN	_	135	nmod	_	TokenRange=675:681
139	comentario	comentario	NOUN	NOUN	_	135	parataxis	_	TokenRange=682:692
140-141	no	_	_	_	_	_	_	_	TokenRange=693:695
140	em	em	ADP	ADP	_	142	case	_	_
141	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	142	det	_	_
142	jornal	jornal	NOUN	NOUN	_	139	nmod	_	TokenRange=696:702
143	eldorado	eldorado	ADJ	ADJ	_	142	amod	_	TokenRange=703:711
144-145	da	_	_	_	_	_	_	_	TokenRange=712:714
144	de	de	ADP	ADP	_	146	case	_	_
145	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	146	det	_	_
146	radio	radio	NOUN	NOUN	_	142	nmod	_	TokenRange=715:720
147	eldorado	eldorado	ADJ	ADJ	_	146	amod	_	TokenRange=721:729
148	fm	_	NOUN	NOUN	_	139	nmod	_	TokenRange=730:732
149	1073	_	NUM	NUM	NumType=Card	148	appos	_	TokenRange=733:737
150-151	na	_	_	_	_	_	_	_	TokenRange=738:740
150	em	em	ADP	ADP	_	152	case	_	_
151	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	152	det	_	_
152	sextafeira	sextafeira	NOUN	NOUN	_	139	nmod	_	TokenRange=741:751
153	14	_	NUM	NUM	NumType=Card	152	nmod	_	TokenRange=752:754
154	de	de	ADP	ADP	_	155	case	_	TokenRange=755:757
155	julho	_	PROPN	PNOUN	_	153	nmod	_	TokenRange=758:763
156	de	de	ADP	ADP	_	157	case	_	TokenRange=764:766
157	2017	_	NUM	NUM	NumType=Card	155	nmod	_	TokenRange=767:771
158	as	o	DET	DET	_	159	det	_	TokenRange=772:774
159	7h30m	_	NUM	NUM	NumType=Card	6	nmod	_	TokenRange=775:780

