# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = entenda o massacre na escola da florida e o andamento das investigacoes ataque conduzido por nikolas cruz e considerado um dos piores da historia moderna dos eua e fez com que a comunidade local pressionasse os politicos a reverem a legislacao sobre o controle de armas parkland eua o jovem nikolas cruz de 19 anos foi o autor de um dos piores massacres da historia moderna dos eua no dia 14 ele chegou ao colegio marjory stoneman douglas em parkland na florida de uber as 2h19 locais munido de um fuzil ar15 semiautomatico de acordo detalhes fornecidos por autoridades conheca os jovens que pressionam por mudancas nas leis sobre armas nos eua jovem sobreviveu ao massacre na florida escondendose em armario igual avo fez 70 anos antes um documento da policia aponta que o agressor disparou o alarme de incendio justamente para atirar contra os estudantes quando eles estivessem abandonando o predio e comecou a atirar nos que viu nos corredores e no chao da escola trump diz
1	entenda	entender	VERB	VERB	_	0	root	_	TokenRange=0:7
141	70	_	NUM	NUM	NumType=Card	142	nummod	_	TokenRange=723:725
142	anos	ano	NOUN	NOUN	_	143	nmod	_	TokenRange=726:730
143	antes	antes	ADV	ADV	_	140	advmod	_	TokenRange=731:736
144	um	um	DET	DET	_	145	det	_	TokenRange=737:739
145	documento	documento	NOUN	NOUN	_	149	nsubj	_	TokenRange=740:749
146-147	da	_	_	_	_	_	_	_	TokenRange=750:752
146	de	de	ADP	ADP	_	148	case	_	_
147	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	148	det	_	_
148	policia	policia	NOUN	NOUN	_	145	nmod	_	TokenRange=753:760
149	aponta	apontar	VERB	VERB	_	1	parataxis	_	TokenRange=761:767
150	que	que	CCONJ	CONJ	_	153	mark	_	TokenRange=768:771
151	o	o	DET	DET	_	152	det	_	TokenRange=772:773
152	agressor	agressor	NOUN	NOUN	_	153	nsubj	_	TokenRange=774:782
153	disparou	disparar	VERB	VERB	_	149	ccomp	_	TokenRange=783:791
154	o	o	DET	DET	_	155	det	_	TokenRange=792:793
155	alarme	alarme	NOUN	NOUN	_	153	obj	_	TokenRange=794:800
156	de	de	ADP	ADP	_	157	case	_	TokenRange=801:803
157	incendio	incendio	NOUN	NOUN	_	155	nmod	_	TokenRange=804:812
158	justamente	justamente	ADV	ADV	_	160	advmod	_	TokenRange=813:823
159	para	_	ADP	ADP	_	160	mark	_	TokenRange=824:828
160	atirar	atirar	VERB	VERB	_	153	advcl	_	TokenRange=829:835
161	contra	_	ADP	ADP	_	163	case	_	TokenRange=836:842
162	os	o	DET	DET	_	163	det	_	TokenRange=843:845
163	estudantes	estudante	NOUN	NOUN	_	160	nmod	_	TokenRange=846:856
164	quando	_	CCONJ	CONJ	_	167	mark	_	TokenRange=857:863
165	eles	_	PRON	PRON	_	167	nsubj	_	TokenRange=864:868
166	estivessem	estar	AUX	AUX	_	167	aux	_	TokenRange=869:879
167	abandonando	abandonar	VERB	VERB	_	83	advcl	_	TokenRange=880:891
168	o	o	DET	DET	_	169	det	_	TokenRange=892:893
169	predio	predio	NOUN	NOUN	_	167	obj	_	TokenRange=894:900
170	e	e	CCONJ	CONJ	_	173	cc	_	TokenRange=901:902
171	comecou	comecar	AUX	AUX	_	173	aux	_	TokenRange=903:910
172	a	_	ADP	ADP	_	173	mark	_	TokenRange=911:912
173	atirar	atirar	VERB	VERB	_	83	conj	_	TokenRange=913:919
174-175	nos	_	_	_	_	_	_	_	TokenRange=920:923
174	em	em	ADP	ADP	_	175	case	_	_
175	os	_	PRON	PRON	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	173	nmod	_	_
176	que	_	PRON	PRON	_	177	nsubj	_	TokenRange=924:927
177	viu	ver	VERB	VERB	_	175	acl:relcl	_	TokenRange=928:931
178-179	nos	_	_	_	_	_	_	_	TokenRange=932:935
178	em	em	ADP	ADP	_	180	case	_	_
179	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	180	det	_	_
180	corredores	corredor	NOUN	NOUN	_	177	nmod	_	TokenRange=936:946
181	e	e	CCONJ	CONJ	_	184	cc	_	TokenRange=947:948
182-183	no	_	_	_	_	_	_	_	TokenRange=949:951
182	em	em	ADP	ADP	_	184	case	_	_
183	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	184	det	_	_
184	chao	chao	NOUN	NOUN	_	180	conj	_	TokenRange=952:956
185-186	da	_	_	_	_	_	_	_	TokenRange=957:959
185	de	de	ADP	ADP	_	187	case	_	_
186	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	187	det	_	_
187	escola	escola	NOUN	NOUN	_	184	nmod	_	TokenRange=960:966
188	trump	_	NOUN	NOUN	_	187	appos	_	TokenRange=967:972
189	diz	dizer	VERB	VERB	_	149	ccomp	_	SpacesAfter=\s\s|TokenRange=973:976

