# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = estamos mais vulneraveis do que em 2008 diz expresidente do bce para jeanclaude trichet e inquietante ver o endividamento da economia global seguir no mesmo ritmo precrise paris em 2017 a economia da zona do euro o grupo de 19 paises da uniao europeia que adota a moeda unica registrou seu melhor desempenho em 10 anos com um crescimento de 25 de seu produto interno bruto pib o desempenho so nao foi maior do que o de 2007 quando a evolucao havia alcancado 3 nao por coincidencia aquele ano havia sido o ultimo antes da falencia do banco americano de investimentos lehman brothers o marco oficial da crise financeira internacional que abalaria a economia global ao longo de um decenio nessa epoca que tinha as redeas da politica monetaria da uniao europeia era um frances jeanclaude trichet entao presidente do poderoso banco central europeu bce essa circunstancia lhe conferiu a a condicao de um dos homens mais influentes e importantes do mundo em meio a turbulencia que ameacava reeditar a depressao economica de 19291930 uma de suas frases mais repetidas nas numerosas entrevistas coletivas que concedia com o intuito de acalmar os mercados financeiros continua a soar na cabeca dos jornalistas especializados na europa nao ha lugar para complacencia repetia trichet no intuito de demonstrar a firmeza com a qual o bce e a uniao europeia tratariam a crise do sistema financeiro causada pelos subprimes os creditos imobiliarios de alto risco e a seguir a crise das dividas da zona do euro que devastou as economias de grecia irlanda e portugal e jogou duas grandes
1	estamos	estar	VERB	VERB	_	0	root	_	TokenRange=0:7
87	quando	quando	ADV	ADV	_	91	advmod	_	TokenRange=424:430
88	a	o	DET	DET	_	89	det	_	TokenRange=431:432
89	evolucao	evolucao	NOUN	NOUN	_	91	nsubj	_	TokenRange=433:441
90	havia	haver	AUX	AUX	_	91	aux	_	TokenRange=442:447
91	alcancado	alcancar	VERB	VERB	_	84	acl:relcl	_	TokenRange=448:457
92	3	_	NUM	NUM	NumType=Card	91	obj	_	TokenRange=458:459
93	nao	nao	ADV	ADV	_	249	advmod	_	TokenRange=460:463
94	por	por	ADP	ADP	_	95	case	_	TokenRange=464:467
95	coincidencia	coincidencia	NOUN	NOUN	_	249	nmod	_	TokenRange=468:480
96	aquele	_	DET	DET	_	97	det	_	TokenRange=481:487
97	ano	ano	NOUN	NOUN	_	249	nsubj	_	TokenRange=488:491
98	havia	haver	AUX	AUX	_	101	aux	_	TokenRange=492:497
99	sido	ser	AUX	AUX	_	101	cop	_	TokenRange=498:502
100	o	o	DET	DET	_	101	det	_	TokenRange=503:504
101	ultimo	_	NOUN	NOUN	_	249	conj	_	TokenRange=505:511
102	antes	antes	ADV	ADV	_	105	case	_	TokenRange=512:517
103-104	da	_	_	_	_	_	_	_	TokenRange=518:520
103	de	de	ADP	ADP	_	102	case	_	_
104	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	102	det	_	_
105	falencia	falencia	NOUN	NOUN	_	101	nmod	_	TokenRange=521:529
106-107	do	_	_	_	_	_	_	_	TokenRange=530:532
106	de	de	ADP	ADP	_	108	case	_	_
107	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	108	det	_	_
108	banco	banco	NOUN	NOUN	_	105	nmod	_	TokenRange=533:538
109	americano	americano	ADJ	ADJ	_	108	amod	_	TokenRange=539:548
110	de	de	ADP	ADP	_	111	case	_	TokenRange=549:551
111	investimentos	investimento	NOUN	NOUN	_	108	nmod	_	TokenRange=552:565
112	lehman	lehman	NOUN	NOUN	_	111	appos	_	TokenRange=566:572
113	brothers	_	NOUN	NOUN	_	112	flat	_	TokenRange=573:581
114	o	o	DET	DET	_	115	det	_	TokenRange=582:583
115	marco	marco	NOUN	NOUN	_	164	nsubj	_	TokenRange=584:589
116	oficial	oficial	ADJ	ADJ	_	115	amod	_	TokenRange=590:597
117-118	da	_	_	_	_	_	_	_	TokenRange=598:600
117	de	de	ADP	ADP	_	119	case	_	_
118	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	119	det	_	_
119	crise	crise	NOUN	NOUN	_	115	nmod	_	TokenRange=601:606
120	financeira	financeiro	ADJ	ADJ	_	119	amod	_	TokenRange=607:617
121	internacional	internacional	ADJ	ADJ	_	119	amod	_	TokenRange=618:631
122	que	_	PRON	PRON	_	123	nsubj	_	TokenRange=632:635
123	abalaria	abalar	VERB	VERB	_	270	acl:relcl	_	TokenRange=636:644
124	a	o	DET	DET	_	125	det	_	TokenRange=645:646
125	economia	economia	NOUN	NOUN	_	123	obj	_	TokenRange=647:655
126	global	global	ADJ	ADJ	_	125	amod	_	TokenRange=656:662
127-128	ao	_	_	_	_	_	_	_	TokenRange=663:665
127	a	a	ADP	ADP	_	129	case	_	_
128	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	129	det	_	_
129	longo	longo	NOUN	NOUN	_	281	nmod	_	TokenRange=666:671
130	de	de	ADP	ADP	_	132	case	_	TokenRange=672:674
131	um	_	NUM	NUM	NumType=Card	132	nummod	_	TokenRange=675:677
132	decenio	decenio	NOUN	NOUN	_	129	nmod	_	TokenRange=678:685
133	nessa	_	ADP	ADP	_	134	case	_	TokenRange=686:691
134	epoca	epoca	NOUN	NOUN	_	281	nmod	_	TokenRange=692:697
135	que	_	PRON	PRON	_	136	nsubj	_	TokenRange=698:701
136	tinha	ter	VERB	VERB	_	134	acl:relcl	_	TokenRange=702:707
137	as	o	DET	DET	_	138	det	_	TokenRange=708:710
138	redeas	redea	NOUN	NOUN	_	136	obj	_	TokenRange=711:717
139-140	da	_	_	_	_	_	_	_	TokenRange=718:720
139	de	de	ADP	ADP	_	141	case	_	_
140	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	141	det	_	_
141	politica	_	NOUN	NOUN	_	138	nmod	_	TokenRange=721:729
142	monetaria	monetario	ADJ	ADJ	_	141	amod	_	TokenRange=730:739
143-144	da	_	_	_	_	_	_	_	TokenRange=740:742
143	de	de	ADP	ADP	_	145	case	_	_
144	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	145	det	_	_
145	uniao	uniao	NOUN	NOUN	_	141	nmod	_	TokenRange=743:748
146	europeia	europeu	ADJ	ADJ	_	145	amod	_	TokenRange=749:757
147	era	_	AUX	AUX	_	149	cop	_	TokenRange=758:761
148	um	um	DET	DET	_	149	det	_	TokenRange=762:764
149	frances	france	NOUN	NOUN	_	270	acl:relcl	_	TokenRange=765:772
150	jeanclaude	jeanclaude	NOUN	NOUN	_	149	appos	_	TokenRange=773:783
151	trichet	_	NOUN	NOUN	_	150	flat	_	TokenRange=784:791
152	entao	entao	ADV	ADV	_	153	advmod	_	TokenRange=792:797
153	presidente	presidente	NOUN	NOUN	_	150	appos	_	TokenRange=798:808
154-155	do	_	_	_	_	_	_	_	TokenRange=809:811
154	de	de	ADP	ADP	_	157	case	_	_
155	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	157	det	_	_
156	poderoso	poderoso	ADJ	ADJ	_	157	amod	_	TokenRange=812:820
157	banco	banco	NOUN	NOUN	_	153	nmod	_	TokenRange=821:826
158	central	central	ADJ	ADJ	_	157	amod	_	TokenRange=827:834
159	europeu	europeu	ADJ	ADJ	_	157	amod	_	TokenRange=835:842
160	bce	bce	NOUN	NOUN	_	108	appos	_	TokenRange=843:846
161	essa	_	DET	DET	_	162	det	_	TokenRange=847:851
162	circunstancia	circunstancia	NOUN	NOUN	_	164	nsubj	_	TokenRange=852:865
163	lhe	_	PRON	PRON	_	164	iobj	_	TokenRange=866:869
164	conferiu	conferir	VERB	VERB	_	1	parataxis	_	TokenRange=870:878
165	a	a	ADP	ADP	_	167	case	_	TokenRange=879:880
166	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	167	det	_	TokenRange=881:882
167	condicao	condicao	NOUN	NOUN	_	164	nmod	_	TokenRange=883:891
168	de	de	ADP	ADP	_	169	case	_	TokenRange=892:894
169	um	_	PRON	PRON	_	167	nmod	_	TokenRange=895:897
170-171	dos	_	_	_	_	_	_	_	TokenRange=898:901
170	de	de	ADP	ADP	_	172	case	_	_
171	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	172	det	_	_
172	homens	homem	NOUN	NOUN	_	169	nmod	_	TokenRange=902:908
173	mais	mais	ADV	ADV	_	174	advmod	_	TokenRange=909:913
174	influentes	influente	ADJ	ADJ	_	172	amod	_	TokenRange=914:924
175	e	e	CCONJ	CONJ	_	176	cc	_	TokenRange=925:926
176	importantes	importante	ADJ	ADJ	_	174	conj	_	TokenRange=927:938
177-178	do	_	_	_	_	_	_	_	TokenRange=939:941
177	de	de	ADP	ADP	_	179	case	_	_
178	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	179	det	_	_
179	mundo	mundo	NOUN	NOUN	_	39	nmod	_	TokenRange=942:947
180	em	em	ADP	ADP	_	181	case	_	TokenRange=948:950
181	meio	meio	NOUN	NOUN	_	215	nmod	_	TokenRange=951:955
182	a	_	ADP	ADP	_	183	case	_	TokenRange=956:957
183	turbulencia	turbulencia	NOUN	NOUN	_	181	nmod	_	TokenRange=958:969
184	que	_	PRON	PRON	_	185	nsubj	_	TokenRange=970:973
185	ameacava	ameacar	VERB	VERB	_	183	acl:relcl	_	TokenRange=974:982
186	reeditar	reeditar	VERB	VERB	_	185	xcomp	_	TokenRange=983:991
187	a	o	DET	DET	_	188	det	_	TokenRange=992:993
188	depressao	depressao	NOUN	NOUN	_	186	obj	_	TokenRange=994:1003
189	economica	economico	ADJ	ADJ	_	188	amod	_	TokenRange=1004:1013
190	de	de	ADP	ADP	_	191	case	_	TokenRange=1014:1016
191	19291930	_	NUM	NUM	NumType=Card	188	nmod	_	TokenRange=1017:1025
192	uma	_	PRON	PRON	_	164	nsubj	_	TokenRange=1026:1029
193	de	de	ADP	ADP	_	195	case	_	TokenRange=1030:1032
194	suas	_	DET	DET	_	195	det:poss	_	TokenRange=1033:1037
195	frases	frase	NOUN	NOUN	_	192	nmod	_	TokenRange=1038:1044
196	mais	mais	ADV	ADV	_	197	advmod	_	TokenRange=1045:1049
197	repetidas	repetido	ADJ	ADJ	_	195	amod	_	TokenRange=1050:1059
198-199	nas	_	_	_	_	_	_	_	TokenRange=1060:1063
198	em	em	ADP	ADP	_	201	case	_	_
199	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	201	det	_	_
200	numerosas	_	ADJ	ADJ	_	201	amod	_	TokenRange=1064:1073
201	entrevistas	entrevista	NOUN	NOUN	_	215	nmod	_	TokenRange=1074:1085
202	coletivas	coletivo	ADJ	ADJ	_	201	amod	_	TokenRange=1086:1095
203	que	_	PRON	PRON	_	204	obj	_	TokenRange=1096:1099
204	concedia	conceder	VERB	VERB	_	201	acl:relcl	_	TokenRange=1100:1108
205	com	_	ADP	ADP	_	84	case	_	TokenRange=1109:1112
206	o	o	DET	DET	_	207	det	_	TokenRange=1113:1114
207	intuito	intuito	NOUN	NOUN	_	81	fixed	_	TokenRange=1115:1122
208	de	_	ADP	ADP	_	81	fixed	_	TokenRange=1123:1125
209	acalmar	acalmar	VERB	VERB	_	215	advcl	_	TokenRange=1126:1133
210	os	o	DET	DET	_	211	det	_	TokenRange=1134:1136
211	mercados	mercado	NOUN	NOUN	_	209	obj	_	TokenRange=1137:1145
212	financeiros	financeiro	ADJ	ADJ	_	211	amod	_	TokenRange=1146:1157
213	continua	continuar	AUX	AUX	_	215	aux	_	TokenRange=1158:1166
214	a	_	ADP	ADP	_	215	mark	_	TokenRange=1167:1168
215	soar	soar	VERB	VERB	_	84	acl:relcl	_	TokenRange=1169:1173
216-217	na	_	_	_	_	_	_	_	TokenRange=1174:1176
216	em	em	ADP	ADP	_	218	case	_	_
217	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	218	det	_	_
218	cabeca	cabeca	NOUN	NOUN	_	215	nmod	_	TokenRange=1177:1183
219-220	dos	_	_	_	_	_	_	_	TokenRange=1184:1187
219	de	de	ADP	ADP	_	221	case	_	_
220	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	221	det	_	_
221	jornalistas	jornalista	NOUN	NOUN	_	218	nmod	_	TokenRange=1188:1199
222	especializados	especializado	ADJ	ADJ	_	221	amod	_	TokenRange=1200:1214
223-224	na	_	_	_	_	_	_	_	TokenRange=1215:1217
223	em	em	ADP	ADP	_	225	case	_	_
224	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	225	det	_	_
225	europa	europa	NOUN	NOUN	_	222	nmod	_	TokenRange=1218:1224
226	nao	nao	ADV	ADV	Polarity=Neg	227	advmod	_	TokenRange=1225:1228
227	ha	har	VERB	VERB	_	79	parataxis	_	TokenRange=1229:1231
228	lugar	lugar	NOUN	NOUN	_	227	obj	_	TokenRange=1232:1237
229	para	para	ADP	ADP	_	230	case	_	TokenRange=1238:1242
230	complacencia	complacencia	NOUN	NOUN	_	228	nmod	_	TokenRange=1243:1255
231	repetia	repetir	VERB	VERB	_	79	parataxis	_	TokenRange=1256:1263
232	trichet	_	PROPN	PNOUN	_	231	nsubj	_	TokenRange=1264:1271
233-234	no	_	_	_	_	_	_	_	TokenRange=1272:1274
233	em	em	ADP	ADP	_	235	case	_	_
234	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	235	det	_	_
235	intuito	intuito	NOUN	NOUN	_	231	nmod	_	TokenRange=1275:1282
236	de	_	ADP	ADP	_	237	mark	_	TokenRange=1283:1285
237	demonstrar	demonstrar	VERB	VERB	_	235	nmod	_	TokenRange=1286:1296
238	a	o	DET	DET	_	239	det	_	TokenRange=1297:1298
239	firmeza	firmeza	NOUN	NOUN	_	237	obj	_	TokenRange=1299:1306
240	com	com	ADP	ADP	_	242	case	_	TokenRange=1307:1310
241	a	o	DET	DET	_	242	det	_	TokenRange=1311:1312
242	qual	_	PRON	PRON	_	249	nmod	_	TokenRange=1313:1317
243	o	o	DET	DET	_	244	det	_	TokenRange=1318:1319
244	bce	bce	NOUN	NOUN	_	249	nsubj	_	TokenRange=1320:1323
245	e	e	CCONJ	CONJ	_	247	cc	_	TokenRange=1324:1325
246	a	o	DET	DET	_	247	det	_	TokenRange=1326:1327
247	uniao	uniao	NOUN	NOUN	_	244	conj	_	TokenRange=1328:1333
248	europeia	europeu	ADJ	ADJ	_	247	amod	_	TokenRange=1334:1342
249	tratariam	tratar	VERB	VERB	_	84	acl:relcl	_	TokenRange=1343:1352
250	a	o	DET	DET	_	251	det	_	TokenRange=1353:1354
251	crise	crise	NOUN	NOUN	_	249	obj	_	TokenRange=1355:1360
252-253	do	_	_	_	_	_	_	_	TokenRange=1361:1363
252	de	de	ADP	ADP	_	254	case	_	_
253	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	254	det	_	_
254	sistema	sistema	NOUN	NOUN	_	251	nmod	_	TokenRange=1364:1371
255	financeiro	financeiro	ADJ	ADJ	_	254	amod	_	TokenRange=1372:1382
256	causada	causar	VERB	VERB	_	251	acl	_	TokenRange=1383:1390
257-258	pelos	_	_	_	_	_	_	_	TokenRange=1391:1396
257	por	por	ADP	ADP	_	259	case	_	_
258	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	259	det	_	_
259	subprimes	subprime	NOUN	NOUN	_	256	nmod	_	TokenRange=1397:1406
260	os	o	DET	DET	_	261	det	_	TokenRange=1407:1409
261	creditos	credito	NOUN	NOUN	_	256	obj	_	TokenRange=1410:1418
262	imobiliarios	imobiliario	ADJ	ADJ	_	261	amod	_	TokenRange=1419:1431
263	de	de	ADP	ADP	_	265	case	_	TokenRange=1432:1434
264	alto	alto	ADJ	ADJ	_	265	amod	_	TokenRange=1435:1439
265	risco	risco	NOUN	NOUN	_	261	nmod	_	TokenRange=1440:1445
266	e	e	CCONJ	CONJ	_	268	cc	_	TokenRange=1446:1447
267	a	_	ADP	ADP	_	268	mark	_	TokenRange=1448:1449
268	seguir	seguir	VERB	VERB	_	249	conj	_	TokenRange=1450:1456
269	a	o	DET	DET	_	270	det	_	TokenRange=1457:1458
270	crise	crise	NOUN	NOUN	_	268	obj	_	TokenRange=1459:1464
271-272	das	_	_	_	_	_	_	_	TokenRange=1465:1468
271	de	de	ADP	ADP	_	273	case	_	_
272	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	273	det	_	_
273	dividas	divida	NOUN	NOUN	_	270	nmod	_	TokenRange=1469:1476
274-275	da	_	_	_	_	_	_	_	TokenRange=1477:1479
274	de	de	ADP	ADP	_	276	case	_	_
275	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	276	det	_	_
276	zona	zona	NOUN	NOUN	_	273	nmod	_	TokenRange=1480:1484
277-278	do	_	_	_	_	_	_	_	TokenRange=1485:1487
277	de	de	ADP	ADP	_	279	case	_	_
278	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	279	det	_	_
279	euro	euro	NOUN	NOUN	_	276	nmod	_	TokenRange=1488:1492
280	que	_	PRON	PRON	_	281	nsubj	_	TokenRange=1493:1496
281	devastou	devastar	VERB	VERB	_	270	acl:relcl	_	TokenRange=1497:1505
282	as	o	DET	DET	_	283	det	_	TokenRange=1506:1508
283	economias	economia	NOUN	NOUN	_	281	obj	_	TokenRange=1509:1518
284	de	de	ADP	ADP	_	285	case	_	TokenRange=1519:1521
285	grecia	grecia	NOUN	NOUN	_	283	nmod	_	TokenRange=1522:1528
286	irlanda	irlanda	NOUN	NOUN	_	283	appos	_	TokenRange=1529:1536
287	e	e	CCONJ	CONJ	_	288	cc	_	TokenRange=1537:1538
288	portugal	portugal	NOUN	NOUN	_	286	conj	_	TokenRange=1539:1547
289	e	e	CCONJ	CONJ	_	290	cc	_	TokenRange=1548:1549
290	jogou	jogar	VERB	VERB	_	281	conj	_	TokenRange=1550:1555
291	duas	_	NUM	NUM	NumType=Card	292	nummod	_	TokenRange=1556:1560
292	grandes	grande	ADJ	ADJ	_	157	amod	_	SpacesAfter=\s\s|TokenRange=1561:1568

