# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = demora no sus complica tratamento contra cancer na rede publica ha dificuldade no diagnostico precoce da doenca que reduziria o indice de mortalidade na rede privada o gargalo e bem menor as diferencas no tratamento para o cancer podem nao depender apenas dos aspectos especificos da doenca e das variacoes entre pacientes tempo de espera por consultas com especialistas facilidade para realizacao de exames diagnostico precoce e disponibilidade de tratamentos modernos nao sao iguais nas redes publica e privada o pai da analista de sistemas monica xavier fonseca de 45 anos fazia o acompanhamento em sao paulo ate se mudar para extrema mg apos seis meses de espera
1	demora	demorar	VERB	VERB	_	0	root	_	TokenRange=0:6
26	de	de	ADP	ADP	_	27	case	_	TokenRange=135:137
27	mortalidade	mortalidade	NOUN	NOUN	_	25	nmod	_	TokenRange=138:149
28-29	na	_	_	_	_	_	_	_	TokenRange=150:152
28	em	em	ADP	ADP	_	30	case	_	_
29	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	30	det	_	_
30	rede	rede	NOUN	NOUN	_	23	nmod	_	TokenRange=153:157
31	privada	privado	ADJ	ADJ	_	30	amod	_	TokenRange=158:165
32	o	o	DET	DET	_	33	det	_	TokenRange=166:167
33	gargalo	gargalo	NOUN	NOUN	_	23	nsubj	_	TokenRange=168:175
34	e	e	CCONJ	CONJ	_	47	cc	_	TokenRange=176:177
35	bem	bem	ADV	ADV	_	36	advmod	_	TokenRange=178:181
36	menor	menor	ADJ	ADJ	_	33	amod	_	TokenRange=182:187
37	as	o	DET	DET	_	38	det	_	TokenRange=188:190
38	diferencas	_	NOUN	NOUN	_	47	nsubj	_	TokenRange=191:201
39-40	no	_	_	_	_	_	_	_	TokenRange=202:204
39	em	em	ADP	ADP	_	41	case	_	_
40	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	41	det	_	_
41	tratamento	tratamento	NOUN	NOUN	_	38	nmod	_	TokenRange=205:215
42	para	para	ADP	ADP	_	44	case	_	TokenRange=216:220
43	o	o	DET	DET	_	44	det	_	TokenRange=221:222
44	cancer	cancer	NOUN	NOUN	_	41	nmod	_	TokenRange=223:229
45	podem	_	AUX	AUX	_	47	aux	_	TokenRange=230:235
46	nao	nao	ADV	ADV	Polarity=Neg	47	advmod	_	TokenRange=236:239
47	depender	depender	VERB	VERB	_	13	conj	_	TokenRange=240:248
48	apenas	apenas	ADV	ADV	_	47	advmod	_	TokenRange=249:255
49-50	dos	_	_	_	_	_	_	_	TokenRange=256:259
49	de	de	ADP	ADP	_	51	case	_	_
50	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	51	det	_	_
51	aspectos	aspecto	NOUN	NOUN	_	47	nmod	_	TokenRange=260:268
52	especificos	especifico	ADJ	ADJ	_	51	amod	_	TokenRange=269:280
53-54	da	_	_	_	_	_	_	_	TokenRange=281:283
53	de	de	ADP	ADP	_	55	case	_	_
54	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	55	det	_	_
55	doenca	doenca	NOUN	NOUN	_	51	nmod	_	TokenRange=284:290
56	e	e	CCONJ	CONJ	_	59	cc	_	TokenRange=291:292
57-58	das	_	_	_	_	_	_	_	TokenRange=293:296
57	de	de	ADP	ADP	_	59	case	_	_
58	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	59	det	_	_
59	variacoes	variacoe	NOUN	NOUN	_	51	conj	_	TokenRange=297:306
60	entre	_	ADP	ADP	_	61	case	_	TokenRange=307:312
61	pacientes	paciente	NOUN	NOUN	_	59	nmod	_	TokenRange=313:322
62	tempo	tempo	NOUN	NOUN	_	47	nsubj	_	TokenRange=323:328
63	de	de	ADP	ADP	_	64	case	_	TokenRange=329:331
64	espera	espera	NOUN	NOUN	_	62	nmod	_	TokenRange=332:338
65	por	por	ADP	ADP	_	66	case	_	TokenRange=339:342
66	consultas	consulta	NOUN	NOUN	_	47	nmod	_	TokenRange=343:352
67	com	com	ADP	ADP	_	68	case	_	TokenRange=353:356
68	especialistas	especialista	NOUN	NOUN	_	66	nmod	_	TokenRange=357:370
69	facilidade	facilidade	NOUN	NOUN	_	82	nsubj	_	TokenRange=371:381
70	para	para	ADP	ADP	_	71	case	_	TokenRange=382:386
71	realizacao	realizacao	NOUN	NOUN	_	69	nmod	_	TokenRange=387:397
72	de	de	ADP	ADP	_	73	case	_	TokenRange=398:400
73	exames	exame	NOUN	NOUN	_	71	nmod	_	TokenRange=401:407
74	diagnostico	diagnostico	ADJ	ADJ	_	73	amod	_	TokenRange=408:419
75	precoce	precoce	ADJ	ADJ	_	73	amod	_	TokenRange=420:427
76	e	e	CCONJ	CONJ	_	77	cc	_	TokenRange=428:429
77	disponibilidade	disponibilidade	NOUN	NOUN	_	73	conj	_	TokenRange=430:445
78	de	de	ADP	ADP	_	79	case	_	TokenRange=446:448
79	tratamentos	tratamento	NOUN	NOUN	_	77	nmod	_	TokenRange=449:460
80	modernos	moderno	ADJ	ADJ	_	79	amod	_	TokenRange=461:469
81	nao	nao	ADV	ADV	Polarity=Neg	82	advmod	_	TokenRange=470:473
82	sao	_	VERB	VERB	_	47	conj	_	TokenRange=474:477
83	iguais	igual	ADJ	ADJ	_	82	xcomp	_	TokenRange=478:484
84-85	nas	_	_	_	_	_	_	_	TokenRange=485:488
84	em	em	ADP	ADP	_	86	case	_	_
85	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	86	det	_	_
86	redes	rede	NOUN	NOUN	_	82	nmod	_	TokenRange=489:494
87	publica	publico	ADJ	ADJ	_	86	amod	_	TokenRange=495:502
88	e	e	CCONJ	CONJ	_	89	cc	_	TokenRange=503:504
89	privada	privado	ADJ	ADJ	_	87	conj	_	TokenRange=505:512
90	o	o	DET	DET	_	91	det	_	TokenRange=513:514
91	pai	pai	NOUN	NOUN	_	103	nsubj	_	TokenRange=515:518
92-93	da	_	_	_	_	_	_	_	TokenRange=519:521
92	de	de	ADP	ADP	_	94	case	_	_
93	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	94	det	_	_
94	analista	analista	NOUN	NOUN	_	91	nmod	_	TokenRange=522:530
95	de	de	ADP	ADP	_	96	case	_	TokenRange=531:533
96	sistemas	sistema	NOUN	NOUN	_	94	nmod	_	TokenRange=534:542
97	monica	_	NOUN	NOUN	_	91	appos	_	TokenRange=543:549
98	xavier	_	NOUN	NOUN	_	97	flat	_	TokenRange=550:556
99	fonseca	_	ADJ	ADJ	_	97	flat	_	TokenRange=557:564
100	de	de	ADP	ADP	_	102	case	_	TokenRange=565:567
101	45	_	NUM	NUM	NumType=Card	102	nummod	_	TokenRange=568:570
102	anos	ano	NOUN	NOUN	_	97	nmod	_	TokenRange=571:575
103	fazia	fazer	VERB	VERB	_	82	parataxis	_	TokenRange=576:581
104	o	o	DET	DET	_	105	det	_	TokenRange=582:583
105	acompanhamento	acompanhamento	NOUN	NOUN	_	103	obj	_	TokenRange=584:598
106	em	em	ADP	ADP	_	107	case	_	TokenRange=599:601
107	sao	sao	NOUN	NOUN	_	103	nmod	_	TokenRange=602:605
108	paulo	paulo	NOUN	NOUN	_	107	flat	_	TokenRange=606:611
109	ate	_	ADP	ADP	_	111	mark	_	TokenRange=612:615
110	se	_	PRON	PRON	_	111	obj	_	TokenRange=616:618
111	mudar	mudar	VERB	VERB	_	103	advcl	_	TokenRange=619:624
112	para	para	ADP	ADP	_	114	case	_	TokenRange=625:629
113	extrema	extremo	ADJ	ADJ	_	114	amod	_	TokenRange=630:637
114	mg	_	NOUN	NOUN	_	111	nmod	_	TokenRange=638:640
115	apos	_	ADP	ADP	_	117	case	_	TokenRange=641:645
116	seis	_	NUM	NUM	NumType=Card	117	nummod	_	TokenRange=646:650
117	meses	mês	NOUN	NOUN	_	111	nmod	_	TokenRange=651:656
118	de	de	ADP	ADP	_	119	case	_	TokenRange=657:659
119	espera	espera	NOUN	NOUN	_	117	nmod	_	SpacesAfter=\s\s|TokenRange=660:666

