# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = maioria dos senadores discursa a favor do impeachment votacao sera as 11h dos 63 parlamentares que se pronunciaram nas 12 horas de sessao 43 defenderam o afastamento definitivo da presidente afastada enquanto 18 foram contrarios brasilia dos 63 senadores que discursaram na sessao que comecou no inicio da tarde desta tercafeira e encerrou as 2h36 da madrugada desta quartafeira 43 se declararam favoraveis ao impeachment da presidente afastada dilma rousseff embora nao tenha havido nos pronunciamentos um minimo 54 apoios para condenar dilma por crime de responsabilidade proporcionalmente houve manifestacoes entre os senadores para considerala culpada o quorum para retirar dilma do cargo o maior de votacoes do congresso e de dois tercos ou 6666 dos votos nos discursos houve um aval ao afastamento definitivo de dilma de 6825 dos senadores a sessao de pronunciamentos durou 12 horas e encerrou com 43 manifestacoes favoraveis de senadores ao impedimento 18 contrarias e dois nao declararam
1	maioria	maioria	NOUN	NOUN	_	5	nsubj	_	TokenRange=0:7
15-16	dos	_	_	_	_	_	_	_	TokenRange=74:77
15	de	de	ADP	ADP	_	18	case	_	_
16	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	18	det	_	_
17	63	_	NUM	NUM	NumType=Card	18	nummod	_	TokenRange=78:80
18	parlamentares	parlamentar	NOUN	NOUN	_	14	nmod	_	TokenRange=81:94
19	que	_	PRON	PRON	_	21	nsubj	_	TokenRange=95:98
20	se	_	PRON	PRON	_	21	obj	_	TokenRange=99:101
21	pronunciaram	pronunciar	VERB	VERB	_	18	acl:relcl	_	TokenRange=102:114
22-23	nas	_	_	_	_	_	_	_	TokenRange=115:118
22	em	em	ADP	ADP	_	25	case	_	_
23	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	25	det	_	_
24	12	_	NUM	NUM	NumType=Card	25	nummod	_	TokenRange=119:121
25	horas	hora	NOUN	NOUN	_	21	nmod	_	TokenRange=122:127
26	de	de	ADP	ADP	_	27	case	_	TokenRange=128:130
27	sessao	sessao	NOUN	NOUN	_	25	nmod	_	TokenRange=131:137
28	43	_	NUM	NUM	NumType=Card	25	appos	_	TokenRange=138:140
29	defenderam	defender	VERB	VERB	_	14	acl:relcl	_	TokenRange=141:151
30	o	o	DET	DET	_	31	det	_	TokenRange=152:153
31	afastamento	afastamento	NOUN	NOUN	_	29	obj	_	TokenRange=154:165
32	definitivo	definitivo	ADJ	ADJ	_	31	amod	_	TokenRange=166:176
33-34	da	_	_	_	_	_	_	_	TokenRange=177:179
33	de	de	ADP	ADP	_	35	case	_	_
34	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	35	det	_	_
35	presidente	presidente	NOUN	NOUN	_	31	nmod	_	TokenRange=180:190
36	afastada	afastado	ADJ	ADJ	_	35	amod	_	TokenRange=191:199
37	enquanto	_	CCONJ	CONJ	_	39	mark	_	TokenRange=200:208
38	18	_	NUM	NUM	NumType=Card	39	nsubj	_	TokenRange=209:211
39	foram	_	VERB	VERB	_	29	advcl	_	TokenRange=212:217
40	contrarios	contrario	ADJ	ADJ	_	39	xcomp	_	TokenRange=218:228
41	brasilia	brasilia	NOUN	NOUN	_	39	nsubj	_	TokenRange=229:237
42-43	dos	_	_	_	_	_	_	_	TokenRange=238:241
42	de	de	ADP	ADP	_	45	case	_	_
43	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	45	det	_	_
44	63	_	NUM	NUM	NumType=Card	45	nummod	_	TokenRange=242:244
45	senadores	senador	NOUN	NOUN	_	41	nmod	_	TokenRange=245:254
46	que	_	PRON	PRON	_	47	nsubj	_	TokenRange=255:258
47	discursaram	discursar	VERB	VERB	_	45	acl:relcl	_	TokenRange=259:270
48-49	na	_	_	_	_	_	_	_	TokenRange=271:273
48	em	em	ADP	ADP	_	50	case	_	_
49	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	50	det	_	_
50	sessao	sessao	NOUN	NOUN	_	47	nmod	_	TokenRange=274:280
51	que	_	PRON	PRON	_	52	nsubj	_	TokenRange=281:284
52	comecou	comecar	VERB	VERB	_	50	acl:relcl	_	TokenRange=285:292
53-54	no	_	_	_	_	_	_	_	TokenRange=293:295
53	em	em	ADP	ADP	_	55	case	_	_
54	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	55	det	_	_
55	inicio	_	NOUN	NOUN	_	52	nmod	_	TokenRange=296:302
56-57	da	_	_	_	_	_	_	_	TokenRange=303:305
56	de	de	ADP	ADP	_	58	case	_	_
57	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	58	det	_	_
58	tarde	tarde	NOUN	NOUN	_	55	nmod	_	TokenRange=306:311
59	desta	_	ADP	ADP	_	60	case	_	TokenRange=312:317
60	tercafeira	tercafeira	NOUN	NOUN	_	58	nmod	_	TokenRange=318:328
61	e	e	CCONJ	CONJ	_	62	cc	_	TokenRange=329:330
62	encerrou	encerrar	VERB	VERB	_	47	conj	_	TokenRange=331:339
63	as	o	DET	DET	_	64	det	_	TokenRange=340:342
64	2h36	_	NUM	NUM	NumType=Card	62	obj	_	TokenRange=343:347
65-66	da	_	_	_	_	_	_	_	TokenRange=348:350
65	de	de	ADP	ADP	_	67	case	_	_
66	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	67	det	_	_
67	madrugada	madrugada	NOUN	NOUN	_	64	nmod	_	TokenRange=351:360
68	desta	_	ADP	ADP	_	69	case	_	TokenRange=361:366
69	quartafeira	_	NOUN	NOUN	_	67	nmod	_	TokenRange=367:378
70	43	_	NUM	NUM	NumType=Card	69	appos	_	TokenRange=379:381
71	se	_	PRON	PRON	_	72	expl:pv	_	TokenRange=382:384
72	declararam	declarar	VERB	VERB	_	155	conj	_	TokenRange=385:395
73	favoraveis	favoravel	ADJ	ADJ	_	72	xcomp	_	TokenRange=396:406
74-75	ao	_	_	_	_	_	_	_	TokenRange=407:409
74	a	a	ADP	ADP	_	76	case	_	_
75	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	76	det	_	_
76	impeachment	impeachment	NOUN	NOUN	_	73	nmod	_	TokenRange=410:421
77-78	da	_	_	_	_	_	_	_	TokenRange=422:424
77	de	de	ADP	ADP	_	79	case	_	_
78	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	79	det	_	_
79	presidente	presidente	NOUN	NOUN	_	76	nmod	_	TokenRange=425:435
80	afastada	afastado	ADJ	ADJ	_	79	amod	_	TokenRange=436:444
81	dilma	dilma	NOUN	NOUN	_	79	appos	_	TokenRange=445:450
82	rousseff	rousseff	NOUN	NOUN	_	81	flat	_	TokenRange=451:459
83	embora	_	CCONJ	CONJ	_	86	mark	_	TokenRange=460:466
84	nao	nao	ADV	ADV	Polarity=Neg	86	advmod	_	TokenRange=467:470
85	tenha	ter	AUX	AUX	_	86	aux	_	TokenRange=471:476
86	havido	haver	VERB	VERB	_	72	advcl	_	TokenRange=477:483
87-88	nos	_	_	_	_	_	_	_	TokenRange=484:487
87	em	em	ADP	ADP	_	89	case	_	_
88	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	89	det	_	_
89	pronunciamentos	pronunciamento	NOUN	NOUN	_	86	nmod	_	TokenRange=488:503
90	um	um	DET	DET	_	93	det	_	TokenRange=504:506
91	minimo	minimo	NOUN	NOUN	_	92	amod	_	TokenRange=507:513
92	54	_	NUM	NUM	NumType=Card	93	nummod	_	TokenRange=514:516
93	apoios	apoio	NOUN	NOUN	_	86	obj	_	TokenRange=517:523
94	para	_	ADP	ADP	_	95	mark	_	TokenRange=524:528
95	condenar	condenar	VERB	VERB	_	93	nmod	_	TokenRange=529:537
96	dilma	dilma	NOUN	NOUN	_	95	obj	_	TokenRange=538:543
97	por	por	ADP	ADP	_	98	case	_	TokenRange=544:547
98	crime	crime	NOUN	NOUN	_	95	nmod	_	TokenRange=548:553
99	de	de	ADP	ADP	_	100	case	_	TokenRange=554:556
100	responsabilidade	responsabilidade	NOUN	NOUN	_	98	nmod	_	TokenRange=557:573
101	proporcionalmente	proporcionalmente	ADV	ADV	_	174	advmod	_	TokenRange=574:591
102	houve	haver	VERB	VERB	_	29	advcl	_	TokenRange=592:597
103	manifestacoes	manifestacoe	NOUN	NOUN	_	102	obj	_	TokenRange=598:611
104	entre	_	ADP	ADP	_	106	case	_	TokenRange=612:617
105	os	o	DET	DET	_	106	det	_	TokenRange=618:620
106	senadores	senador	NOUN	NOUN	_	103	nmod	_	TokenRange=621:630
107	para	_	ADP	ADP	_	108	mark	_	TokenRange=631:635
108	considerala	consideraar	VERB	VERB	_	102	advcl	_	TokenRange=636:647
109	culpada	culpado	ADJ	ADJ	_	108	xcomp	_	TokenRange=648:655
110	o	o	DET	DET	_	111	det	_	TokenRange=656:657
111	quorum	quorum	NOUN	NOUN	_	47	nsubj	_	TokenRange=658:664
112	para	_	ADP	ADP	_	113	mark	_	TokenRange=665:669
113	retirar	retirar	VERB	VERB	_	139	nmod	_	TokenRange=670:677
114	dilma	_	NOUN	NOUN	_	113	obj	_	TokenRange=678:683
115-116	do	_	_	_	_	_	_	_	TokenRange=684:686
115	de	de	ADP	ADP	_	117	case	_	_
116	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	117	det	_	_
117	cargo	cargo	NOUN	NOUN	_	113	nmod	_	TokenRange=687:692
118	o	o	DET	DET	_	119	det	_	TokenRange=693:694
119	maior	maior	NOUN	NOUN	_	52	nsubj	_	TokenRange=695:700
120	de	de	ADP	ADP	_	121	case	_	TokenRange=701:703
121	votacoes	votacoe	NOUN	NOUN	_	119	nmod	_	TokenRange=704:712
122-123	do	_	_	_	_	_	_	_	TokenRange=713:715
122	de	de	ADP	ADP	_	124	case	_	_
123	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	124	det	_	_
124	congresso	congresso	NOUN	NOUN	_	121	nmod	_	TokenRange=716:725
125	e	e	CCONJ	CONJ	_	128	cc	_	TokenRange=726:727
126	de	de	ADP	ADP	_	128	case	_	TokenRange=728:730
127	dois	_	NUM	NUM	NumType=Card	128	nummod	_	TokenRange=731:735
128	tercos	terco	NOUN	NOUN	_	45	conj	_	TokenRange=736:742
129	ou	ou	CCONJ	CONJ	_	130	cc	_	TokenRange=743:745
130	6666	_	NUM	NUM	NumType=Card	128	conj	_	TokenRange=746:750
131-132	dos	_	_	_	_	_	_	_	TokenRange=751:754
131	de	de	ADP	ADP	_	133	case	_	_
132	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	133	det	_	_
133	votos	voto	NOUN	NOUN	_	128	nmod	_	TokenRange=755:760
134-135	nos	_	_	_	_	_	_	_	TokenRange=761:764
134	em	em	ADP	ADP	_	136	case	_	_
135	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	136	det	_	_
136	discursos	discurso	NOUN	NOUN	_	47	nmod	_	TokenRange=765:774
137	houve	haver	VERB	VERB	_	39	conj	_	TokenRange=775:780
138	um	um	DET	DET	_	139	det	_	TokenRange=781:783
139	aval	aval	NOUN	NOUN	_	137	obj	_	TokenRange=784:788
140-141	ao	_	_	_	_	_	_	_	TokenRange=789:791
140	a	a	ADP	ADP	_	142	case	_	_
141	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	142	det	_	_
142	afastamento	afastamento	NOUN	NOUN	_	139	nmod	_	TokenRange=792:803
143	definitivo	definitivo	ADJ	ADJ	_	142	amod	_	TokenRange=804:814
144	de	de	ADP	ADP	_	145	case	_	TokenRange=815:817
145	dilma	dilma	NOUN	NOUN	_	142	nmod	_	TokenRange=818:823
146	de	de	ADP	ADP	_	147	case	_	TokenRange=824:826
147	6825	_	NUM	NUM	NumType=Card	142	nmod	_	TokenRange=827:831
148-149	dos	_	_	_	_	_	_	_	TokenRange=832:835
148	de	de	ADP	ADP	_	150	case	_	_
149	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	150	det	_	_
150	senadores	senador	NOUN	NOUN	_	147	nmod	_	TokenRange=836:845
151	a	o	DET	DET	_	152	det	_	TokenRange=846:847
152	sessao	sessao	NOUN	NOUN	_	155	nsubj	_	TokenRange=848:854
153	de	de	ADP	ADP	_	154	case	_	TokenRange=855:857
154	pronunciamentos	pronunciamento	NOUN	NOUN	_	152	nmod	_	TokenRange=858:873
155	durou	durar	VERB	VERB	_	14	acl:relcl	_	TokenRange=874:879
156	12	_	NUM	NUM	NumType=Card	157	nummod	_	TokenRange=880:882
157	horas	hora	NOUN	NOUN	_	155	nmod	_	TokenRange=883:888
158	e	e	CCONJ	CONJ	_	159	cc	_	TokenRange=889:890
159	encerrou	encerrar	VERB	VERB	_	155	conj	_	TokenRange=891:899
160	com	com	ADP	ADP	_	162	case	_	TokenRange=900:903
161	43	_	NUM	NUM	NumType=Card	162	nummod	_	TokenRange=904:906
162	manifestacoes	manifestacoe	NOUN	NOUN	_	159	nmod	_	TokenRange=907:920
163	favoraveis	favoravel	ADJ	ADJ	_	162	amod	_	TokenRange=921:931
164	de	de	ADP	ADP	_	165	case	_	TokenRange=932:934
165	senadores	senador	NOUN	NOUN	_	162	nmod	_	TokenRange=935:944
166-167	ao	_	_	_	_	_	_	_	TokenRange=945:947
166	a	a	ADP	ADP	_	168	case	_	_
167	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	168	det	_	_
168	impedimento	impedimento	NOUN	NOUN	_	162	nmod	_	TokenRange=948:959
169	18	_	NUM	NUM	NumType=Card	170	nummod	_	TokenRange=960:962
170	contrarias	contraria	NOUN	NOUN	_	174	obj	_	TokenRange=963:973
171	e	e	CCONJ	CONJ	_	174	cc	_	TokenRange=974:975
172	dois	_	NUM	NUM	NumType=Card	174	nsubj	_	TokenRange=976:980
173	nao	nao	ADV	ADV	Polarity=Neg	174	advmod	_	TokenRange=981:984
174	declararam	declarar	VERB	VERB	_	155	conj	_	SpacesAfter=\s\s|TokenRange=985:995

