# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ao ver as fotos do presidente michel temer e do ministro da fazenda henrique meireles gargalhando a bandeiras despregadas ocorreume que eles estavam rindo de mim e de voces todos que me ouvem os mais de 14 milhoes de desempregados nao tem motivos para rir e os empresarios que nao dependem de bajular o governo qualquer governo para sobreviver sabem que a comemoracao de ontem nao e apenas injustificavel como tambem e irresponsavel um presidente e um ministro nao tem o direito de tratar assunto de tal relevancia como se fosse uma piada de ocasiao ainda na vigencia da maior crise moral politica e economica pela passa esta nossa republica da desgraca para ouvir clique aqui e em seguida no play para ouvir canto chorado com originais do samba clique aqui abaixo a degravacao do comentario na integra eldorado 2 de junho de 2017 sextafeira deu pra perceber que
1-2	ao	_	_	_	_	_	_	_	TokenRange=0:2
53	que	_	PRON	PRON	_	55	nsubj	_	TokenRange=273:276
54	nao	nao	ADV	ADV	Polarity=Neg	55	advmod	_	TokenRange=277:280
55	dependem	depender	VERB	VERB	_	52	acl:relcl	_	TokenRange=281:289
56	de	_	ADP	ADP	_	57	mark	_	TokenRange=290:292
57	bajular	bajular	VERB	VERB	_	55	nmod	_	TokenRange=293:300
58	o	o	DET	DET	_	59	det	_	TokenRange=301:302
59	governo	governo	NOUN	NOUN	_	57	obj	_	TokenRange=303:310
60	qualquer	_	DET	DET	_	61	det	_	TokenRange=311:319
61	governo	governo	NOUN	NOUN	_	57	obj	_	TokenRange=320:327
62	para	_	ADP	ADP	_	63	mark	_	TokenRange=328:332
63	sobreviver	sobreviver	VERB	VERB	_	61	nmod	_	TokenRange=333:343
64	sabem	saber	VERB	VERB	_	24	conj	_	TokenRange=344:349
65	que	que	CCONJ	CONJ	_	71	mark	_	TokenRange=350:353
66	a	o	DET	DET	_	67	det	_	TokenRange=354:355
67	comemoracao	comemoracao	NOUN	NOUN	_	71	nsubj	_	TokenRange=356:367
68	de	_	ADP	ADP	_	69	mark	_	TokenRange=368:370
69	ontem	ontem	ADV	ADV	_	67	nmod	_	TokenRange=371:376
70	nao	nao	ADV	ADV	Polarity=Neg	71	advmod	_	TokenRange=377:380
71	e	_	VERB	VERB	_	160	ccomp	_	TokenRange=381:382
72	apenas	apenas	ADV	ADV	_	73	advmod	_	TokenRange=383:389
73	injustificavel	injustificavel	ADJ	ADJ	_	71	xcomp	_	TokenRange=390:404
74	como	_	CCONJ	CONJ	_	84	mark	_	TokenRange=405:409
75	tambem	tambem	ADV	ADV	_	73	advmod	_	TokenRange=410:416
76	e	e	CCONJ	CONJ	_	77	cc	_	TokenRange=417:418
77	irresponsavel	irresponsavel	ADJ	ADJ	_	109	conj	_	TokenRange=419:432
78	um	um	DET	DET	_	79	det	_	TokenRange=433:435
79	presidente	presidente	NOUN	NOUN	_	84	nsubj	_	TokenRange=436:446
80	e	e	CCONJ	CONJ	_	82	cc	_	TokenRange=447:448
81	um	um	DET	DET	_	82	det	_	TokenRange=449:451
82	ministro	ministro	NOUN	NOUN	_	79	conj	_	TokenRange=452:460
83	nao	nao	ADV	ADV	Polarity=Neg	84	advmod	_	TokenRange=461:464
84	tem	ter	VERB	VERB	_	160	ccomp	_	TokenRange=465:468
85	o	o	DET	DET	_	86	det	_	TokenRange=469:470
86	direito	direito	NOUN	NOUN	_	84	obj	_	TokenRange=471:478
87	de	_	ADP	ADP	_	88	mark	_	TokenRange=479:481
88	tratar	tratar	VERB	VERB	_	86	nmod	_	TokenRange=482:488
89	assunto	assunto	NOUN	NOUN	_	88	obj	_	TokenRange=489:496
90	de	de	ADP	ADP	_	92	case	_	TokenRange=497:499
91	tal	_	DET	DET	_	92	det	_	TokenRange=500:503
92	relevancia	relevancia	NOUN	NOUN	_	89	nmod	_	TokenRange=504:514
93	como	_	CCONJ	CONJ	_	97	mark	_	TokenRange=515:519
94	se	_	CCONJ	CONJ	_	93	fixed	_	TokenRange=520:522
95	fosse	_	AUX	AUX	_	97	cop	_	TokenRange=523:528
96	uma	um	DET	DET	_	97	det	_	TokenRange=529:532
97	piada	piada	NOUN	NOUN	_	71	advcl	_	TokenRange=533:538
98	de	de	ADP	ADP	_	99	case	_	TokenRange=539:541
99	ocasiao	ocasiao	NOUN	NOUN	_	97	nmod	_	TokenRange=542:549
100	ainda	ainda	ADV	ADV	_	103	advmod	_	TokenRange=550:555
101-102	na	_	_	_	_	_	_	_	TokenRange=556:558
101	em	em	ADP	ADP	_	103	case	_	_
102	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	103	det	_	_
103	vigencia	vigencia	NOUN	NOUN	_	97	nmod	_	TokenRange=559:567
104-105	da	_	_	_	_	_	_	_	TokenRange=568:570
104	de	de	ADP	ADP	_	107	case	_	_
105	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	107	det	_	_
106	maior	maior	ADJ	ADJ	_	107	amod	_	TokenRange=571:576
107	crise	crise	NOUN	NOUN	_	103	nmod	_	TokenRange=577:582
108	moral	moral	ADJ	ADJ	_	107	amod	_	TokenRange=583:588
109	politica	politico	ADJ	ADJ	_	107	amod	_	TokenRange=589:597
110	e	e	CCONJ	CONJ	_	111	cc	_	TokenRange=598:599
111	economica	economico	ADJ	ADJ	_	109	conj	_	TokenRange=600:609
112-113	pela	_	_	_	_	_	_	_	TokenRange=610:614
112	por	por	ADP	ADP	_	114	case	_	_
113	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	114	det	_	_
114	passa	passa	VERB	VERB	_	107	nmod	_	TokenRange=615:620
115	esta	_	DET	DET	_	117	det	_	TokenRange=621:625
116	nossa	_	DET	DET	_	117	det:poss	_	TokenRange=626:631
117	republica	_	NOUN	NOUN	_	114	nsubj	_	TokenRange=632:641
118-119	da	_	_	_	_	_	_	_	TokenRange=642:644
118	de	de	ADP	ADP	_	120	case	_	_
119	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	120	det	_	_
120	desgraca	_	NOUN	NOUN	_	117	nmod	_	TokenRange=645:653
121	para	_	ADP	ADP	_	122	mark	_	TokenRange=654:658
122	ouvir	ouvir	VERB	VERB	_	57	advcl	_	TokenRange=659:664
123	clique	clicar	NOUN	NOUN	_	122	obj	_	TokenRange=665:671
124	aqui	aqui	ADV	ADV	_	123	advmod	_	TokenRange=672:676
125	e	e	CCONJ	CONJ	_	64	cc	_	TokenRange=677:678
126	em	em	ADP	ADP	_	127	case	_	TokenRange=679:681
127	seguida	_	NOUN	NOUN	_	71	nmod	_	TokenRange=682:689
128-129	no	_	_	_	_	_	_	_	TokenRange=690:692
128	em	em	ADP	ADP	_	130	case	_	_
129	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	130	det	_	_
130	play	play	NOUN	NOUN	_	127	nmod	_	TokenRange=693:697
131	para	_	ADP	ADP	_	132	mark	_	TokenRange=698:702
132	ouvir	ouvir	VERB	VERB	_	130	nmod	_	TokenRange=703:708
133	canto	canto	NOUN	NOUN	_	132	obj	_	TokenRange=709:714
134	chorado	chorado	ADJ	ADJ	_	133	amod	_	TokenRange=715:722
135	com	com	ADP	ADP	_	136	case	_	TokenRange=723:726
136	originais	original	NOUN	NOUN	_	133	nmod	_	TokenRange=727:736
137-138	do	_	_	_	_	_	_	_	TokenRange=737:739
137	de	de	ADP	ADP	_	139	case	_	_
138	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	139	det	_	_
139	samba	samba	NOUN	NOUN	_	136	nmod	_	TokenRange=740:745
140	clique	clique	NOUN	NOUN	_	139	appos	_	TokenRange=746:752
141	aqui	aqui	ADV	ADV	_	140	advmod	_	TokenRange=753:757
142	abaixo	abaixo	ADV	ADV	_	140	advmod	_	TokenRange=758:764
143	a	o	DET	DET	_	144	det	_	TokenRange=765:766
144	degravacao	_	NOUN	NOUN	_	64	nsubj	_	TokenRange=767:777
145-146	do	_	_	_	_	_	_	_	TokenRange=778:780
145	de	de	ADP	ADP	_	147	case	_	_
146	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	147	det	_	_
147	comentario	comentario	NOUN	NOUN	_	144	nmod	_	TokenRange=781:791
148-149	na	_	_	_	_	_	_	_	TokenRange=792:794
148	em	em	ADP	ADP	_	150	case	_	_
149	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	150	det	_	_
150	integra	integra	NOUN	NOUN	_	144	nmod	_	TokenRange=795:802
151	eldorado	eldorado	NOUN	NOUN	_	150	appos	_	TokenRange=803:811
152	2	_	NUM	NUM	NumType=Card	150	nmod	_	TokenRange=812:813
153	de	de	ADP	ADP	_	154	case	_	TokenRange=814:816
154	junho	_	PROPN	PNOUN	_	152	nmod	_	TokenRange=817:822
155	de	de	ADP	ADP	_	156	case	_	TokenRange=823:825
156	2017	_	NUM	NUM	NumType=Card	154	nmod	_	TokenRange=826:830
157	sextafeira	sextafeira	NOUN	NOUN	_	160	nsubj	_	TokenRange=831:841
158	deu	dar	AUX	AUX	_	160	aux	_	TokenRange=842:845
159	pra	_	ADP	ADP	_	160	mark	_	TokenRange=846:849
160	perceber	perceber	VERB	VERB	_	24	parataxis	_	TokenRange=850:858
161	que	que	CCONJ	CONJ	_	160	mark	_	SpacesAfter=\s\s|TokenRange=859:862

