# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = assolados por uma grave crise de legitimidade e confianca diversos partidos brasileiros tem procurado alterar seus nomes como uma tentativa de recuperar sua credibilidade assim o pfl tornouse dem o ptn de janio quadros foi rebatizado como podemos o pt do b passou a ser avante e mais recentemente assistimos o pmdb de temer juca geddel e companhia voltar a se chamar mdb nao nos esquecamos de incluir tambem o pp de maluf anteriormente ppb pds e arena agora progressistas vetar essas praticas e necessario para fortalecer a democracia no pais o objetivo de qualquer principio constitucional ou lei que regulamente a competicao politica e evitar a arbitrariedade e favorecer a representatividade dos cidadaos na gestao da coisa publica para tanto as regras que delimitam o jogo politico devem favorecer que os cidadaos tenham acesso a informacoes de qualidade com base na qual tomem a decisao de votar o nome do partido carrega
1	assolados	assolar	VERB	VERB	_	11	acl	_	TokenRange=0:9
50	recentemente	recentemente	ADV	ADV	_	51	advmod	_	TokenRange=284:296
51	assistimos	assistir	VERB	VERB	_	46	conj	_	TokenRange=297:307
52	o	o	DET	DET	_	53	det	_	TokenRange=308:309
53	pmdb	_	NOUN	NOUN	_	51	obj	_	TokenRange=310:314
54	de	de	ADP	ADP	_	55	case	_	TokenRange=315:317
55	temer	temer	NOUN	NOUN	_	53	nmod	_	TokenRange=318:323
56	juca	juca	NOUN	NOUN	_	129	appos	_	TokenRange=324:328
57	geddel	_	NOUN	NOUN	_	56	flat	_	TokenRange=329:335
58	e	e	CCONJ	CONJ	_	59	cc	_	TokenRange=336:337
59	companhia	companhia	NOUN	NOUN	_	56	conj	_	TokenRange=338:347
60	voltar	voltar	AUX	AUX	_	64	aux	_	TokenRange=348:354
61	a	_	ADP	ADP	_	64	mark	_	TokenRange=355:356
62	se	_	PART	PRT	_	64	expl:pv	_	TokenRange=357:359
63	chamar	chamar	AUX	AUX	_	64	cop	_	TokenRange=360:366
64	mdb	_	NOUN	NOUN	_	136	ccomp	_	TokenRange=367:370
65	nao	nao	ADV	ADV	Polarity=Neg	64	advmod	_	TokenRange=371:374
66-67	nos	_	_	_	_	_	_	_	TokenRange=375:378
66	em	em	ADP	ADP	_	68	case	_	_
67	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	68	det	_	_
68	esquecamos	esquecar	VERB	VERB	_	136	nmod	_	TokenRange=379:389
69	de	_	ADP	ADP	_	70	mark	_	TokenRange=390:392
70	incluir	incluir	VERB	VERB	_	68	nmod	_	TokenRange=393:400
71	tambem	tambem	ADV	ADV	_	70	advmod	_	TokenRange=401:407
72	o	o	DET	DET	_	73	det	_	TokenRange=408:409
73	pp	_	NOUN	NOUN	_	70	obj	_	TokenRange=410:412
74	de	de	ADP	ADP	_	75	case	_	TokenRange=413:415
75	maluf	_	NOUN	NOUN	_	73	nmod	_	TokenRange=416:421
76	anteriormente	anteriormente	ADV	ADV	_	77	advmod	_	TokenRange=422:435
77	ppb	_	NOUN	NOUN	_	143	appos	_	TokenRange=436:439
78	pds	_	NOUN	NOUN	_	77	flat	_	TokenRange=440:443
79	e	e	CCONJ	CONJ	_	80	cc	_	TokenRange=444:445
80	arena	arena	NOUN	NOUN	_	77	conj	_	TokenRange=446:451
81	agora	agora	ADV	ADV	_	82	advmod	_	TokenRange=452:457
82	progressistas	progressista	ADJ	NOUN	_	80	amod	_	TokenRange=458:471
83	vetar	vetar	VERB	VERB	_	136	ccomp	_	TokenRange=472:477
84	essas	_	DET	DET	_	85	det	_	TokenRange=478:483
85	praticas	_	NOUN	NOUN	_	83	obj	_	TokenRange=484:492
86	e	e	CCONJ	CONJ	_	87	cc	_	TokenRange=493:494
87	necessario	necessario	ADJ	ADJ	_	85	conj	_	TokenRange=495:505
88	para	_	ADP	ADP	_	89	mark	_	TokenRange=506:510
89	fortalecer	fortalecer	VERB	VERB	_	87	nmod	_	TokenRange=511:521
90	a	o	DET	DET	_	91	det	_	TokenRange=522:523
91	democracia	democracia	NOUN	NOUN	_	89	obj	_	TokenRange=524:534
92-93	no	_	_	_	_	_	_	_	TokenRange=535:537
92	em	em	ADP	ADP	_	94	case	_	_
93	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	94	det	_	_
94	pais	_	NOUN	NOUN	_	89	nmod	_	TokenRange=538:542
95	o	o	DET	DET	_	96	det	_	TokenRange=543:544
96	objetivo	objetivo	NOUN	NOUN	_	46	nsubj	_	TokenRange=545:553
97	de	de	ADP	ADP	_	99	case	_	TokenRange=554:556
98	qualquer	_	DET	DET	_	99	det	_	TokenRange=557:565
99	principio	principio	NOUN	NOUN	_	96	nmod	_	TokenRange=566:575
100	constitucional	constitucional	ADJ	ADJ	_	99	amod	_	TokenRange=576:590
101	ou	ou	CCONJ	CONJ	_	102	cc	_	TokenRange=591:593
102	lei	lei	NOUN	NOUN	_	99	conj	_	TokenRange=594:597
103	que	_	PRON	PRON	_	104	nsubj	_	TokenRange=598:601
104	regulamente	regulamentar	VERB	VERB	_	99	acl:relcl	_	TokenRange=602:613
105	a	o	DET	DET	_	106	det	_	TokenRange=614:615
106	competicao	competicao	NOUN	NOUN	_	104	obj	_	TokenRange=616:626
107	politica	politico	ADJ	ADJ	_	106	amod	_	TokenRange=627:635
108	e	e	CCONJ	CONJ	_	109	cc	_	TokenRange=636:637
109	evitar	evitar	VERB	VERB	_	46	conj	_	TokenRange=638:644
110	a	o	DET	DET	_	111	det	_	TokenRange=645:646
111	arbitrariedade	arbitrariedade	NOUN	NOUN	_	109	obj	_	TokenRange=647:661
112	e	e	CCONJ	CONJ	_	113	cc	_	TokenRange=662:663
113	favorecer	favorecer	VERB	VERB	_	46	conj	_	TokenRange=664:673
114	a	o	DET	DET	_	115	det	_	TokenRange=674:675
115	representatividade	representatividade	NOUN	NOUN	_	113	obj	_	TokenRange=676:694
116-117	dos	_	_	_	_	_	_	_	TokenRange=695:698
116	de	de	ADP	ADP	_	118	case	_	_
117	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	118	det	_	_
118	cidadaos	cidadao	NOUN	NOUN	_	115	nmod	_	TokenRange=699:707
119-120	na	_	_	_	_	_	_	_	TokenRange=708:710
119	em	em	ADP	ADP	_	121	case	_	_
120	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	121	det	_	_
121	gestao	gestao	NOUN	NOUN	_	115	nmod	_	TokenRange=711:717
122-123	da	_	_	_	_	_	_	_	TokenRange=718:720
122	de	de	ADP	ADP	_	124	case	_	_
123	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	124	det	_	_
124	coisa	coisa	NOUN	NOUN	_	121	nmod	_	TokenRange=721:726
125	publica	publico	ADJ	ADJ	_	124	amod	_	TokenRange=727:734
126	para	_	ADP	ADP	_	127	mark	_	TokenRange=735:739
127	tanto	tanto	ADV	ADV	_	51	advmod	_	TokenRange=740:745
128	as	o	DET	DET	_	129	det	_	TokenRange=746:748
129	regras	regra	NOUN	NOUN	_	136	nsubj	_	TokenRange=749:755
130	que	_	PRON	PRON	_	131	nsubj	_	TokenRange=756:759
131	delimitam	delimitar	VERB	VERB	_	129	acl:relcl	_	TokenRange=760:769
132	o	o	DET	DET	_	133	det	_	TokenRange=770:771
133	jogo	jogo	NOUN	NOUN	_	131	obj	_	TokenRange=772:776
134	politico	politico	ADJ	ADJ	_	133	amod	_	TokenRange=777:785
135	devem	_	AUX	AUX	_	136	aux	_	TokenRange=786:791
136	favorecer	favorecer	VERB	VERB	_	46	advcl	_	TokenRange=792:801
137	que	que	CCONJ	CONJ	_	140	mark	_	TokenRange=802:805
138	os	o	DET	DET	_	139	det	_	TokenRange=806:808
139	cidadaos	cidadao	NOUN	NOUN	_	140	nsubj	_	TokenRange=809:817
140	tenham	ter	VERB	VERB	_	136	ccomp	_	TokenRange=818:824
141	acesso	acesso	NOUN	NOUN	_	140	obj	_	TokenRange=825:831
142	a	_	ADP	ADP	_	143	case	_	TokenRange=832:833
143	informacoes	informacoe	NOUN	NOUN	_	141	nmod	_	TokenRange=834:845
144	de	de	ADP	ADP	_	145	case	_	TokenRange=846:848
145	qualidade	qualidade	NOUN	NOUN	_	143	nmod	_	TokenRange=849:858
146	com	com	ADP	ADP	_	147	case	_	TokenRange=859:862
147	base	base	NOUN	NOUN	_	143	nmod	_	TokenRange=863:867
148-149	na	_	_	_	_	_	_	_	TokenRange=868:870
148	em	em	ADP	ADP	_	150	case	_	_
149	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	150	det	_	_
150	qual	_	PRON	PRON	_	151	nmod	_	TokenRange=871:875
151	tomem	tomar	VERB	VERB	_	147	acl:relcl	_	TokenRange=876:881
152	a	o	DET	DET	_	153	det	_	TokenRange=882:883
153	decisao	decisao	NOUN	NOUN	_	151	obj	_	TokenRange=884:891
154	de	_	ADP	ADP	_	155	mark	_	TokenRange=892:894
155	votar	votar	VERB	VERB	_	153	nmod	_	TokenRange=895:900
156	o	o	DET	DET	_	157	det	_	TokenRange=901:902
157	nome	nome	NOUN	NOUN	_	155	obj	_	TokenRange=903:907
158-159	do	_	_	_	_	_	_	_	TokenRange=908:910
158	de	de	ADP	ADP	_	160	case	_	_
159	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	160	det	_	_
160	partido	partido	NOUN	NOUN	_	157	nmod	_	TokenRange=911:918
161	carrega	carregar	VERB	VERB	_	160	acl:relcl	_	SpacesAfter=\s\s|TokenRange=919:926

