# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = existe uma especie de corrida entre a justica e o congresso para ver quem engana o distinto publico primeiro o senado ja aprovou uma versao da reducao do foro privilegiado que passou pela ccj da camara nela ha penduricalhos suspeitos como o que tira o foro de muita gente sao mais de 54 mil privilegiados mas o estende a expresidentes como e lula e em 2019 sera temer outra excrescencia e a que libera presidente da republica para matar e roubar isso e uma peculiaridade brasileira que tira todo o sentido da providencia afinal as grandes democracias do mundo nao conhecem essa jabuticaba e ela precisa ser extinta de uma vez e de um golpe so o resto e a disputa de deputados e ministros supremos para ver quem serve mais e melhor os senhores do poder comentario do jornal eldorado da radio eldorado fm 1073 na sexta 24 de novembro de 2017 as 7h30m para ouvir clique aqui e em seguida no play para ouvir daqui nao saio com vocalistas tropicais clique aqui abaixo a integra da degravacao do comentario eldorado 24 de novembro de 2017 sextafeira a maioria dos ministros do supremo tribunal federal stf decidiu ontem limitar o alcance do foro privilegiado de deputados federais e senadores ate que enfim o judiciario atendeu ao clamor popular pela garantia da igualdade de todos perante a lei o julgamento foi suspenso por um pedido de vista de dias toffoli mas pelo entendimento de 7 dos 11 ministros somente deverao tramitar na corte processos de crimes cometidos no exercicio do mandato e relacionados ao cargo em reacao a camara vai acelerar a tramitacao de uma proposta de emenda a constituicao pec para restringir tambem o foro de integrantes do judiciario e do ministerio publico o unico ate agora a votar a favor do foro privilegiado foi o ministro alexandre de moraes depois de ter pedido vista para ganhar tempo sonora 2411 moraes
1	existe	existir	VERB	VERB	_	0	root	_	TokenRange=0:6
146	comentario	comentario	NOUN	NOUN	_	216	obj	_	TokenRange=752:762
147-148	do	_	_	_	_	_	_	_	TokenRange=763:765
147	de	de	ADP	ADP	_	149	case	_	_
148	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	149	det	_	_
149	jornal	jornal	NOUN	NOUN	_	146	nmod	_	TokenRange=766:772
150	eldorado	eldorado	ADJ	ADJ	_	149	amod	_	TokenRange=773:781
151-152	da	_	_	_	_	_	_	_	TokenRange=782:784
151	de	de	ADP	ADP	_	153	case	_	_
152	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	153	det	_	_
153	radio	radio	NOUN	NOUN	_	149	nmod	_	TokenRange=785:790
154	eldorado	eldorado	ADJ	ADJ	_	153	amod	_	TokenRange=791:799
155	fm	fm	NOUN	NOUN	_	153	appos	_	TokenRange=800:802
156	1073	_	NUM	NUM	NumType=Card	155	appos	_	TokenRange=803:807
157-158	na	_	_	_	_	_	_	_	TokenRange=808:810
157	em	em	ADP	ADP	_	159	case	_	_
158	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	159	det	_	_
159	sexta	_	PROPN	PNOUN	_	280	nmod	_	TokenRange=811:816
160	24	_	NUM	NUM	NumType=Card	159	nmod	_	TokenRange=817:819
161	de	de	ADP	ADP	_	162	case	_	TokenRange=820:822
162	novembro	_	PROPN	PNOUN	_	160	nmod	_	TokenRange=823:831
163	de	de	ADP	ADP	_	164	case	_	TokenRange=832:834
164	2017	_	NUM	NUM	NumType=Card	162	nmod	_	TokenRange=835:839
165	as	o	DET	DET	_	166	det	_	TokenRange=840:842
166	7h30m	_	NUM	NUM	NumType=Card	252	nsubj:pass	_	TokenRange=843:848
167	para	_	ADP	ADP	_	168	mark	_	TokenRange=849:853
168	ouvir	ouvir	VERB	VERB	_	252	advcl	_	TokenRange=854:859
169	clique	clicar	NOUN	NOUN	_	168	obj	_	TokenRange=860:866
170	aqui	aqui	ADV	ADV	_	169	advmod	_	TokenRange=867:871
171	e	e	CCONJ	CONJ	_	128	cc	_	TokenRange=872:873
172	em	em	ADP	ADP	_	173	case	_	TokenRange=874:876
173	seguida	_	NOUN	NOUN	_	185	nmod	_	TokenRange=877:884
174-175	no	_	_	_	_	_	_	_	TokenRange=885:887
174	em	em	ADP	ADP	_	176	case	_	_
175	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	176	det	_	_
176	play	play	NOUN	NOUN	_	130	nmod	_	TokenRange=888:892
177	para	_	ADP	ADP	_	178	mark	_	TokenRange=893:897
178	ouvir	ouvir	VERB	VERB	_	176	nmod	_	TokenRange=898:903
179	daqui	_	ADP	ADP	_	181	nmod	_	TokenRange=904:909
180	nao	nao	ADV	ADV	Polarity=Neg	181	advmod	_	TokenRange=910:913
181	saio	saiar	VERB	VERB	_	178	conj	_	TokenRange=914:918
182	com	com	ADP	ADP	_	183	case	_	TokenRange=919:922
183	vocalistas	vocalista	NOUN	NOUN	_	181	nmod	_	TokenRange=923:933
184	tropicais	tropical	ADJ	ADJ	_	183	amod	_	TokenRange=934:943
185	clique	clicar	VERB	VERB	_	23	conj	_	TokenRange=944:950
186	aqui	aqui	ADV	ADV	_	185	advmod	_	TokenRange=951:955
187	abaixo	abaixo	ADV	ADV	_	185	advmod	_	TokenRange=956:962
188	a	o	DET	DET	_	189	det	_	TokenRange=963:964
189	integra	integra	NOUN	NOUN	_	185	obj	_	TokenRange=965:972
190-191	da	_	_	_	_	_	_	_	TokenRange=973:975
190	de	de	ADP	ADP	_	192	case	_	_
191	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	192	det	_	_
192	degravacao	_	NOUN	NOUN	_	189	nmod	_	TokenRange=976:986
193-194	do	_	_	_	_	_	_	_	TokenRange=987:989
193	de	de	ADP	ADP	_	195	case	_	_
194	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	195	det	_	_
195	comentario	comentario	NOUN	NOUN	_	192	nmod	_	TokenRange=990:1000
196	eldorado	eldorado	NOUN	NOUN	_	195	appos	_	TokenRange=1001:1009
197	24	_	NUM	NUM	NumType=Card	196	appos	_	TokenRange=1010:1012
198	de	de	ADP	ADP	_	199	case	_	TokenRange=1013:1015
199	novembro	_	PROPN	PNOUN	_	197	nmod	_	TokenRange=1016:1024
200	de	de	ADP	ADP	_	201	case	_	TokenRange=1025:1027
201	2017	_	NUM	NUM	NumType=Card	199	nmod	_	TokenRange=1028:1032
202	sextafeira	sextafeira	NOUN	NOUN	_	185	nmod	_	TokenRange=1033:1043
203	a	o	DET	DET	_	204	det	_	TokenRange=1044:1045
204	maioria	maioria	NOUN	NOUN	_	185	nsubj	_	TokenRange=1046:1053
205-206	dos	_	_	_	_	_	_	_	TokenRange=1054:1057
205	de	de	ADP	ADP	_	207	case	_	_
206	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	207	det	_	_
207	ministros	ministro	NOUN	NOUN	_	204	nmod	_	TokenRange=1058:1067
208-209	do	_	_	_	_	_	_	_	TokenRange=1068:1070
208	de	de	ADP	ADP	_	211	case	_	_
209	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	211	det	_	_
210	supremo	supremo	ADJ	ADJ	_	211	amod	_	TokenRange=1071:1078
211	tribunal	tribunal	NOUN	NOUN	_	207	nmod	_	TokenRange=1079:1087
212	federal	federal	ADJ	ADJ	_	211	amod	_	TokenRange=1088:1095
213	stf	_	NOUN	NOUN	_	211	appos	_	TokenRange=1096:1099
214	decidiu	decidir	VERB	VERB	_	1	parataxis	_	TokenRange=1100:1107
215	ontem	ontem	ADV	ADV	_	214	advmod	_	TokenRange=1108:1113
216	limitar	limitar	VERB	VERB	_	214	xcomp	_	TokenRange=1114:1121
217	o	o	DET	DET	_	218	det	_	TokenRange=1122:1123
218	alcance	alcance	NOUN	NOUN	_	216	obj	_	TokenRange=1124:1131
219-220	do	_	_	_	_	_	_	_	TokenRange=1132:1134
219	de	de	ADP	ADP	_	221	case	_	_
220	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	221	det	_	_
221	foro	foro	NOUN	NOUN	_	218	nmod	_	TokenRange=1135:1139
222	privilegiado	privilegiado	ADJ	ADJ	_	221	amod	_	TokenRange=1140:1152
223	de	de	ADP	ADP	_	224	case	_	TokenRange=1153:1155
224	deputados	deputado	NOUN	NOUN	_	221	nmod	_	TokenRange=1156:1165
225	federais	federal	ADJ	ADJ	_	224	amod	_	TokenRange=1166:1174
226	e	e	CCONJ	CONJ	_	227	cc	_	TokenRange=1175:1176
227	senadores	senador	NOUN	NOUN	_	224	conj	_	TokenRange=1177:1186
228	ate	_	ADP	ADP	_	233	mark	_	TokenRange=1187:1190
229	que	_	CCONJ	CONJ	_	228	fixed	_	TokenRange=1191:1194
230	enfim	enfim	ADV	ADV	_	233	advmod	_	TokenRange=1195:1200
231	o	o	DET	DET	_	232	det	_	TokenRange=1201:1202
232	judiciario	judiciario	NOUN	NOUN	_	233	nsubj	_	TokenRange=1203:1213
233	atendeu	atender	VERB	VERB	_	214	advcl	_	TokenRange=1214:1221
234-235	ao	_	_	_	_	_	_	_	TokenRange=1222:1224
234	a	a	ADP	ADP	_	236	case	_	_
235	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	236	det	_	_
236	clamor	clamor	NOUN	NOUN	_	233	nmod	_	TokenRange=1225:1231
237	popular	popular	ADJ	ADJ	_	236	amod	_	TokenRange=1232:1239
238-239	pela	_	_	_	_	_	_	_	TokenRange=1240:1244
238	por	por	ADP	ADP	_	240	case	_	_
239	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	240	det	_	_
240	garantia	garantia	NOUN	NOUN	_	233	nmod	_	TokenRange=1245:1253
241-242	da	_	_	_	_	_	_	_	TokenRange=1254:1256
241	de	de	ADP	ADP	_	243	case	_	_
242	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	243	det	_	_
243	igualdade	igualdade	NOUN	NOUN	_	240	nmod	_	TokenRange=1257:1266
244	de	de	ADP	ADP	_	245	case	_	TokenRange=1267:1269
245	todos	_	PRON	PRON	_	243	nmod	_	TokenRange=1270:1275
246	perante	_	ADP	ADP	_	248	case	_	TokenRange=1276:1283
247	a	o	DET	DET	_	248	det	_	TokenRange=1284:1285
248	lei	lei	NOUN	NOUN	_	243	nmod	_	TokenRange=1286:1289
249	o	o	DET	DET	_	250	det	_	TokenRange=1290:1291
250	julgamento	julgamento	NOUN	NOUN	_	252	nsubj:pass	_	TokenRange=1292:1302
251	foi	_	AUX	AUX	_	252	aux:pass	_	TokenRange=1303:1306
252	suspenso	suspender	VERB	VERB	_	214	parataxis	_	TokenRange=1307:1315
253	por	por	ADP	ADP	_	255	case	_	TokenRange=1316:1319
254	um	um	DET	DET	_	255	det	_	TokenRange=1320:1322
255	pedido	pedido	NOUN	NOUN	_	252	nmod	_	TokenRange=1323:1329
256	de	de	ADP	ADP	_	257	case	_	TokenRange=1330:1332
257	vista	vista	NOUN	NOUN	_	255	nmod	_	TokenRange=1333:1338
258	de	de	ADP	ADP	_	259	case	_	TokenRange=1339:1341
259	dias	dia	NOUN	NOUN	_	255	nmod	_	TokenRange=1342:1346
260	toffoli	_	NOUN	NOUN	_	259	flat	_	TokenRange=1347:1354
261	mas	mas	CCONJ	CONJ	_	273	cc	_	TokenRange=1355:1358
262-263	pelo	_	_	_	_	_	_	_	TokenRange=1359:1363
262	por	por	ADP	ADP	_	264	case	_	_
263	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	264	det	_	_
264	entendimento	entendimento	NOUN	NOUN	_	273	nmod	_	TokenRange=1364:1376
265	de	de	ADP	ADP	_	266	case	_	TokenRange=1377:1379
266	7	_	NUM	NUM	NumType=Card	273	nsubj	_	TokenRange=1380:1381
267-268	dos	_	_	_	_	_	_	_	TokenRange=1382:1385
267	de	de	ADP	ADP	_	270	case	_	_
268	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	270	det	_	_
269	11	_	NUM	NUM	NumType=Card	270	nummod	_	TokenRange=1386:1388
270	ministros	ministro	NOUN	NOUN	_	266	nmod	_	TokenRange=1389:1398
271	somente	somente	ADV	ADV	_	273	advmod	_	TokenRange=1399:1406
272	deverao	dever	AUX	AUX	_	273	aux	_	TokenRange=1407:1414
273	tramitar	tramitar	VERB	VERB	_	252	conj	_	TokenRange=1415:1423
274-275	na	_	_	_	_	_	_	_	TokenRange=1424:1426
274	em	em	ADP	ADP	_	276	case	_	_
275	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	276	det	_	_
276	corte	corte	NOUN	NOUN	_	273	nmod	_	TokenRange=1427:1432
277	processos	processo	NOUN	NOUN	_	297	obj	_	TokenRange=1433:1442
278	de	de	ADP	ADP	_	279	case	_	TokenRange=1443:1445
279	crimes	crime	NOUN	NOUN	_	277	nmod	_	TokenRange=1446:1452
280	cometidos	cometer	VERB	VERB	_	279	acl	_	TokenRange=1453:1462
281-282	no	_	_	_	_	_	_	_	TokenRange=1463:1465
281	em	em	ADP	ADP	_	283	case	_	_
282	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	283	det	_	_
283	exercicio	exercicio	NOUN	NOUN	_	280	nmod	_	TokenRange=1466:1475
284-285	do	_	_	_	_	_	_	_	TokenRange=1476:1478
284	de	de	ADP	ADP	_	286	case	_	_
285	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	286	det	_	_
286	mandato	mandato	NOUN	NOUN	_	283	nmod	_	TokenRange=1479:1486
287	e	e	CCONJ	CONJ	_	288	cc	_	TokenRange=1487:1488
288	relacionados	relacionado	ADJ	ADJ	_	280	conj	_	TokenRange=1489:1501
289-290	ao	_	_	_	_	_	_	_	TokenRange=1502:1504
289	a	a	ADP	ADP	_	291	case	_	_
290	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	291	det	_	_
291	cargo	cargo	NOUN	NOUN	_	288	nmod	_	TokenRange=1505:1510
292	em	em	ADP	ADP	_	293	case	_	TokenRange=1511:1513
293	reacao	reacao	NOUN	NOUN	_	288	nmod	_	TokenRange=1514:1520
294	a	o	DET	DET	_	295	det	_	TokenRange=1521:1522
295	camara	camara	NOUN	NOUN	_	297	nsubj	_	TokenRange=1523:1529
296	vai	ir	AUX	AUX	_	297	aux	_	TokenRange=1530:1533
297	acelerar	acelerar	VERB	VERB	_	252	conj	_	TokenRange=1534:1542
298	a	o	DET	DET	_	299	det	_	TokenRange=1543:1544
299	tramitacao	tramitacao	NOUN	NOUN	_	297	obj	_	TokenRange=1545:1555
300	de	de	ADP	ADP	_	302	case	_	TokenRange=1556:1558
301	uma	um	DET	DET	_	302	det	_	TokenRange=1559:1562
302	proposta	_	NOUN	NOUN	_	299	nmod	_	TokenRange=1563:1571
303	de	de	ADP	ADP	_	304	case	_	TokenRange=1572:1574
304	emenda	emenda	NOUN	NOUN	_	302	nmod	_	TokenRange=1575:1581
305	a	_	ADP	ADP	_	306	case	_	TokenRange=1582:1583
306	constituicao	constituicao	NOUN	NOUN	_	302	nmod	_	TokenRange=1584:1596
307	pec	pec	NOUN	NOUN	_	306	flat	_	TokenRange=1597:1600
