# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = debate sobre denuncia contra temer deve dominar pauta da semana na camara desde a denuncia trabalhos tiveram ritmo reduzido no senado roberto rocha relator da indicacao de raquel dodge ao cargo de procuradorageral da republica podera apresentar parecer o foco na camara dos deputados nesta semana sera para discutir a tramitacao e definir a relatoria da denuncia contra o presidente da republica michel temer por corrupcao tambem ha a possibilidade de que os advogados do presidente enviem a comissao de constituicao e justica ccj a manifestacao da defesa a procuradoria geral da republica pgr apresentou acusacao formal contra temer na semana passada com base na delacao da jbs o presidente se diz inocente e afirma que a denuncia e baseada em ilacoes no senado o senador roberto rocha psbma relator da indicacao de raquel dodge ao cargo de procuradorageral da republica para substituir rodrigo janot em setembro podera apresentar o seu parecer para ter o nome confirmado ela precisara do aval dos senadores no plenario os senadores devem analisar um requerimento para acelerar a
1	debate	debate	NOUN	NOUN	_	7	nsubj	_	TokenRange=0:6
15	desde	_	ADP	ADP	_	17	case	_	TokenRange=74:79
16	a	o	DET	DET	_	17	det	_	TokenRange=80:81
17	denuncia	_	NOUN	NOUN	_	7	nmod	_	TokenRange=82:90
18	trabalhos	trabalho	NOUN	NOUN	_	19	nsubj	_	TokenRange=91:100
19	tiveram	ter	VERB	VERB	_	7	advcl	_	TokenRange=101:108
20	ritmo	ritmo	NOUN	NOUN	_	19	obj	_	TokenRange=109:114
21	reduzido	reduzido	ADJ	ADJ	_	20	amod	_	TokenRange=115:123
22-23	no	_	_	_	_	_	_	_	TokenRange=124:126
22	em	em	ADP	ADP	_	24	case	_	_
23	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	24	det	_	_
24	senado	senado	NOUN	NOUN	_	19	nmod	_	TokenRange=127:133
25	roberto	roberto	NOUN	NOUN	_	19	nsubj	_	TokenRange=134:141
26	rocha	rocha	NOUN	NOUN	_	25	flat	_	TokenRange=142:147
27	relator	relator	NOUN	NOUN	_	43	nsubj	_	TokenRange=148:155
28-29	da	_	_	_	_	_	_	_	TokenRange=156:158
28	de	de	ADP	ADP	_	30	case	_	_
29	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	30	det	_	_
30	indicacao	indicacao	NOUN	NOUN	_	27	nmod	_	TokenRange=159:168
31	de	de	ADP	ADP	_	32	case	_	TokenRange=169:171
32	raquel	raquel	NOUN	NOUN	_	30	nmod	_	TokenRange=172:178
33	dodge	_	NOUN	NOUN	_	32	flat	_	TokenRange=179:184
34-35	ao	_	_	_	_	_	_	_	TokenRange=185:187
34	a	a	ADP	ADP	_	36	case	_	_
35	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	36	det	_	_
36	cargo	cargo	NOUN	NOUN	_	30	nmod	_	TokenRange=188:193
37	de	de	ADP	ADP	_	38	case	_	TokenRange=194:196
38	procuradorageral	procuradorageral	NOUN	NOUN	_	36	nmod	_	TokenRange=197:213
39-40	da	_	_	_	_	_	_	_	TokenRange=214:216
39	de	de	ADP	ADP	_	41	case	_	_
40	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	41	det	_	_
41	republica	_	NOUN	NOUN	_	38	nmod	_	TokenRange=217:226
42	podera	poder	AUX	AUX	_	43	aux	_	TokenRange=227:233
43	apresentar	apresentar	VERB	VERB	_	7	parataxis	_	TokenRange=234:244
44	parecer	parecer	NOUN	NOUN	_	43	obj	_	TokenRange=245:252
45	o	o	DET	DET	_	46	det	_	TokenRange=253:254
46	foco	foco	NOUN	NOUN	_	43	nsubj	_	TokenRange=255:259
47-48	na	_	_	_	_	_	_	_	TokenRange=260:262
47	em	em	ADP	ADP	_	49	case	_	_
48	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	49	det	_	_
49	camara	camara	NOUN	NOUN	_	46	nmod	_	TokenRange=263:269
50-51	dos	_	_	_	_	_	_	_	TokenRange=270:273
50	de	de	ADP	ADP	_	52	case	_	_
51	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	52	det	_	_
52	deputados	deputado	NOUN	NOUN	_	49	nmod	_	TokenRange=274:283
53	nesta	_	ADP	ADP	_	54	case	_	TokenRange=284:289
54	semana	semana	NOUN	NOUN	_	43	nmod	_	TokenRange=290:296
55	sera	_	VERB	VERB	_	7	parataxis	_	TokenRange=297:301
56	para	_	ADP	ADP	_	57	mark	_	TokenRange=302:306
57	discutir	discutir	VERB	VERB	_	55	advcl	_	TokenRange=307:315
58	a	o	DET	DET	_	59	det	_	TokenRange=316:317
59	tramitacao	tramitacao	NOUN	NOUN	_	57	obj	_	TokenRange=318:328
60	e	e	CCONJ	CONJ	_	61	cc	_	TokenRange=329:330
61	definir	definir	VERB	VERB	_	57	conj	_	TokenRange=331:338
62	a	o	DET	DET	_	63	det	_	TokenRange=339:340
63	relatoria	relatoria	NOUN	NOUN	_	61	obj	_	TokenRange=341:350
64-65	da	_	_	_	_	_	_	_	TokenRange=351:353
64	de	de	ADP	ADP	_	66	case	_	_
65	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	66	det	_	_
66	denuncia	denuncia	NOUN	NOUN	_	63	nmod	_	TokenRange=354:362
67	contra	_	ADP	ADP	_	69	case	_	TokenRange=363:369
68	o	o	DET	DET	_	69	det	_	TokenRange=370:371
69	presidente	presidente	NOUN	NOUN	_	66	nmod	_	TokenRange=372:382
70-71	da	_	_	_	_	_	_	_	TokenRange=383:385
70	de	de	ADP	ADP	_	72	case	_	_
71	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	72	det	_	_
72	republica	_	NOUN	NOUN	_	69	nmod	_	TokenRange=386:395
73	michel	michel	ADJ	ADJ	_	69	appos	_	TokenRange=396:402
74	temer	temer	NOUN	NOUN	_	73	flat	_	TokenRange=403:408
75	por	por	ADP	ADP	_	76	case	_	TokenRange=409:412
76	corrupcao	corrupcao	NOUN	NOUN	_	163	nmod	_	TokenRange=413:422
77	tambem	tambem	ADV	ADV	_	78	advmod	_	TokenRange=423:429
78	ha	har	VERB	VERB	_	55	conj	_	TokenRange=430:432
79	a	o	DET	DET	_	80	det	_	TokenRange=433:434
80	possibilidade	possibilidade	NOUN	NOUN	_	78	obj	_	TokenRange=435:448
81	de	_	ADP	ADP	_	88	mark	_	TokenRange=449:451
82	que	que	CCONJ	CONJ	_	88	mark	_	TokenRange=452:455
83	os	o	DET	DET	_	84	det	_	TokenRange=456:458
84	advogados	advogado	NOUN	NOUN	_	88	nsubj	_	TokenRange=459:468
85-86	do	_	_	_	_	_	_	_	TokenRange=469:471
85	de	de	ADP	ADP	_	87	case	_	_
86	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	87	det	_	_
87	presidente	presidente	NOUN	NOUN	_	84	nmod	_	TokenRange=472:482
88	enviem	enviar	VERB	VERB	_	80	nmod	_	TokenRange=483:489
89	a	o	DET	DET	_	90	det	_	TokenRange=490:491
90	comissao	comissao	NOUN	NOUN	_	88	obj	_	TokenRange=492:500
91	de	de	ADP	ADP	_	92	case	_	TokenRange=501:503
92	constituicao	constituicao	NOUN	NOUN	_	90	nmod	_	TokenRange=504:516
93	e	e	CCONJ	CONJ	_	94	cc	_	TokenRange=517:518
94	justica	_	NOUN	NOUN	_	92	conj	_	TokenRange=519:526
95	ccj	_	NOUN	NOUN	_	90	appos	_	TokenRange=527:530
96	a	o	DET	DET	_	97	det	_	TokenRange=531:532
97	manifestacao	manifestacao	NOUN	NOUN	_	88	obj	_	TokenRange=533:545
98-99	da	_	_	_	_	_	_	_	TokenRange=546:548
98	de	de	ADP	ADP	_	100	case	_	_
99	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	100	det	_	_
100	defesa	_	NOUN	NOUN	_	97	nmod	_	TokenRange=549:555
101	a	o	DET	DET	_	102	det	_	TokenRange=556:557
102	procuradoria	procuradoria	NOUN	NOUN	_	108	nsubj	_	TokenRange=558:570
103	geral	geral	ADJ	ADJ	_	102	amod	_	TokenRange=571:576
104-105	da	_	_	_	_	_	_	_	TokenRange=577:579
104	de	de	ADP	ADP	_	106	case	_	_
105	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	106	det	_	_
106	republica	_	NOUN	NOUN	_	102	nmod	_	TokenRange=580:589
107	pgr	_	NOUN	NOUN	_	102	appos	_	TokenRange=590:593
108	apresentou	apresentar	VERB	VERB	_	80	nmod	_	TokenRange=594:604
109	acusacao	acusacao	NOUN	NOUN	_	108	obj	_	TokenRange=605:613
110	formal	formal	ADJ	ADJ	_	109	amod	_	TokenRange=614:620
111	contra	_	ADP	ADP	_	112	case	_	TokenRange=621:627
112	temer	temer	NOUN	NOUN	_	109	nmod	_	TokenRange=628:633
113-114	na	_	_	_	_	_	_	_	TokenRange=634:636
113	em	em	ADP	ADP	_	115	case	_	_
114	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	115	det	_	_
115	semana	semana	NOUN	NOUN	_	88	nmod	_	TokenRange=637:643
116	passada	passado	ADJ	ADJ	_	115	amod	_	TokenRange=644:651
117	com	com	ADP	ADP	_	118	case	_	TokenRange=652:655
118	base	base	NOUN	NOUN	_	108	nmod	_	TokenRange=656:660
119-120	na	_	_	_	_	_	_	_	TokenRange=661:663
119	em	em	ADP	ADP	_	121	case	_	_
120	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	121	det	_	_
121	delacao	delacao	NOUN	NOUN	_	118	nmod	_	TokenRange=664:671
122-123	da	_	_	_	_	_	_	_	TokenRange=672:674
122	de	de	ADP	ADP	_	124	case	_	_
123	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	124	det	_	_
124	jbs	_	NOUN	NOUN	_	121	nmod	_	TokenRange=675:678
125	o	o	DET	DET	_	126	det	_	TokenRange=679:680
126	presidente	presidente	NOUN	NOUN	_	128	nsubj	_	TokenRange=681:691
127	se	_	PRON	PRON	_	128	expl:pv	_	TokenRange=692:694
128	diz	dizer	VERB	VERB	_	7	parataxis	_	TokenRange=695:698
129	inocente	inocente	ADJ	ADJ	_	128	xcomp	_	TokenRange=699:707
130	e	e	CCONJ	CONJ	_	131	cc	_	TokenRange=708:709
131	afirma	afirmar	VERB	VERB	_	128	conj	_	TokenRange=710:716
132	que	que	CCONJ	CONJ	_	108	mark	_	TokenRange=717:720
133	a	o	DET	DET	_	134	det	_	TokenRange=721:722
134	denuncia	denuncia	NOUN	NOUN	_	108	nsubj	_	TokenRange=723:731
135	e	e	CCONJ	CONJ	_	136	cc	_	TokenRange=732:733
136	baseada	basear	VERB	VERB	_	134	amod	_	TokenRange=734:741
137	em	em	ADP	ADP	_	138	case	_	TokenRange=742:744
138	ilacoes	ilacoe	NOUN	NOUN	_	136	nmod	_	TokenRange=745:752
139-140	no	_	_	_	_	_	_	_	TokenRange=753:755
139	em	em	ADP	ADP	_	141	case	_	_
140	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	141	det	_	_
141	senado	senado	NOUN	NOUN	_	136	nmod	_	TokenRange=756:762
142	o	o	DET	DET	_	143	det	_	TokenRange=763:764
143	senador	senador	NOUN	NOUN	_	55	nsubj	_	TokenRange=765:772
144	roberto	roberto	ADJ	ADJ	_	143	appos	_	TokenRange=773:780
145	rocha	rocha	NOUN	NOUN	_	144	flat	_	TokenRange=781:786
146	psbma	_	VERB	VERB	_	55	parataxis	_	TokenRange=787:792
147	relator	relator	NOUN	NOUN	_	55	nsubj	_	TokenRange=793:800
148-149	da	_	_	_	_	_	_	_	TokenRange=801:803
148	de	de	ADP	ADP	_	150	case	_	_
149	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	150	det	_	_
150	indicacao	indicacao	NOUN	NOUN	_	147	nmod	_	TokenRange=804:813
151	de	de	ADP	ADP	_	152	case	_	TokenRange=814:816
152	raquel	_	NOUN	NOUN	_	150	nmod	_	TokenRange=817:823
153	dodge	_	PROPN	NOUN	_	152	flat	_	TokenRange=824:829
154-155	ao	_	_	_	_	_	_	_	TokenRange=830:832
154	a	a	ADP	ADP	_	156	case	_	_
155	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	156	det	_	_
156	cargo	cargo	NOUN	NOUN	_	150	nmod	_	TokenRange=833:838
157	de	de	ADP	ADP	_	158	case	_	TokenRange=839:841
158	procuradorageral	procuradorageral	NOUN	NOUN	_	156	nmod	_	TokenRange=842:858
159-160	da	_	_	_	_	_	_	_	TokenRange=859:861
159	de	de	ADP	ADP	_	161	case	_	_
160	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	161	det	_	_
161	republica	_	NOUN	NOUN	_	69	nmod	_	TokenRange=862:871
162	para	_	ADP	ADP	_	163	mark	_	TokenRange=872:876
163	substituir	substituir	VERB	VERB	_	150	nmod	_	TokenRange=877:887
164	rodrigo	_	PROPN	PNOUN	_	163	obj	_	TokenRange=888:895
165	janot	_	PROPN	PNOUN	_	164	flat	_	TokenRange=896:901
166	em	em	ADP	ADP	_	167	case	_	TokenRange=902:904
167	setembro	_	PROPN	PNOUN	_	163	nmod	_	TokenRange=905:913
168	podera	poder	AUX	AUX	_	169	aux	_	TokenRange=914:920
169	apresentar	apresentar	VERB	VERB	_	55	conj	_	TokenRange=921:931
170	o	o	DET	DET	_	172	det	_	TokenRange=932:933
171	seu	_	DET	DET	_	172	det:poss	_	TokenRange=934:937
172	parecer	parecer	NOUN	NOUN	_	169	obj	_	TokenRange=938:945
173	para	_	ADP	ADP	_	174	mark	_	TokenRange=946:950
174	ter	ter	VERB	VERB	_	169	advcl	_	TokenRange=951:954
175	o	o	DET	DET	_	176	det	_	TokenRange=955:956
176	nome	nome	NOUN	NOUN	_	174	obj	_	TokenRange=957:961
177	confirmado	confirmado	ADJ	ADJ	_	176	amod	_	TokenRange=962:972
178	ela	_	PRON	PRON	_	179	nsubj	_	TokenRange=973:976
179	precisara	precisar	VERB	VERB	_	169	conj	_	TokenRange=977:986
180-181	do	_	_	_	_	_	_	_	TokenRange=987:989
180	de	de	ADP	ADP	_	182	case	_	_
181	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	182	det	_	_
182	aval	aval	NOUN	NOUN	_	179	nmod	_	TokenRange=990:994
183-184	dos	_	_	_	_	_	_	_	TokenRange=995:998
183	de	de	ADP	ADP	_	185	case	_	_
184	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	185	det	_	_
185	senadores	senador	NOUN	NOUN	_	182	nmod	_	TokenRange=999:1008
186-187	no	_	_	_	_	_	_	_	TokenRange=1009:1011
186	em	em	ADP	ADP	_	188	case	_	_
187	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	188	det	_	_
188	plenario	plenario	NOUN	NOUN	_	179	nmod	_	TokenRange=1012:1020
189	os	o	DET	DET	_	190	det	_	TokenRange=1021:1023
190	senadores	senador	NOUN	NOUN	_	192	nsubj	_	TokenRange=1024:1033
191	devem	_	AUX	AUX	_	192	aux	_	TokenRange=1034:1039
192	analisar	analisar	VERB	VERB	_	169	parataxis	_	TokenRange=1040:1048
193	um	um	DET	DET	_	194	det	_	TokenRange=1049:1051
194	requerimento	requerimento	NOUN	NOUN	_	192	obj	_	TokenRange=1052:1064
195	para	_	ADP	ADP	_	196	mark	_	TokenRange=1065:1069
196	acelerar	acelerar	VERB	VERB	_	194	nmod	_	TokenRange=1070:1078
197	a	o	DET	DET	_	194	det	_	SpacesAfter=\s\s|TokenRange=1079:1080

