# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = quis testar se deus e deus diz pastor sobre homem que o atacou com faca em culto transmitido ao vivo caso aconteceu em uma igreja evangelica em tatui sp video mostra o momento em que o homem sobe no pulpito com uma faca na cintura o pastor getero augusto de campos que quase foi esfaqueado por um homem durante um culto transmitido ao vivo pelo facebook contou ao
1	quis	querer	VERB	VERB	_	0	root	_	TokenRange=0:4
53	de	de	ADP	ADP	_	54	case	_	TokenRange=255:257
54	campos	campo	NOUN	NOUN	_	51	nmod	_	TokenRange=258:264
55	que	_	PRON	PRON	_	58	nsubj:pass	_	TokenRange=265:268
56	quase	quase	ADV	ADV	_	58	advmod	_	TokenRange=269:274
57	foi	_	AUX	AUX	_	58	aux:pass	_	TokenRange=275:278
58	esfaqueado	esfaquear	VERB	VERB	_	50	acl:relcl	_	TokenRange=279:289
59	por	por	ADP	ADP	_	61	case	_	TokenRange=290:293
60	um	um	DET	DET	_	61	det	_	TokenRange=294:296
61	homem	homem	NOUN	NOUN	_	58	nmod	_	TokenRange=297:302
62	durante	_	ADP	ADP	_	64	case	_	TokenRange=303:310
63	um	um	DET	DET	_	64	det	_	TokenRange=311:313
64	culto	culto	NOUN	NOUN	_	58	nmod	_	TokenRange=314:319
65	transmitido	transmitir	VERB	VERB	_	64	acl	_	TokenRange=320:331
66-67	ao	_	_	_	_	_	_	_	TokenRange=332:334
66	a	a	ADP	ADP	_	68	case	_	_
67	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	68	det	_	_
68	vivo	vivo	ADJ	ADJ	_	65	nmod	_	TokenRange=335:339
69-70	pelo	_	_	_	_	_	_	_	TokenRange=340:344
69	por	por	ADP	ADP	_	71	case	_	_
70	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	71	det	_	_
71	facebook	_	PROPN	PNOUN	_	65	nmod	_	TokenRange=345:353
72	contou	contar	VERB	VERB	_	34	acl:relcl	_	TokenRange=354:360
73-74	ao	_	_	_	_	_	_	_	SpacesAfter=\s\s|TokenRange=361:363
73	a	a	ADP	ADP	_	34	case	_	_
74	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	71	det	_	_

