# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = nas redes sociais foi convocado para as 15 horas de domingo 18 em berlim um ato de solidariedade e repudia ao assassinato da deputada do psol marielle franco apesar da temperatura gelida de zero graus aproximadamente 200 brasileirxs e berlinenses marcaram presenca discussos de marielle feitos na camara dos vereadores foram reproduzidos em telao seguido de discursos de integrantes de grupos ativistas e simpatizantes na capital twitter cartazes em portugues em alemao pleiteavam marielle presente e fim dos assassinatos movidos por racismo e assassinato por motivo politico em uma mesa foram colocados velas e flores assim como um retrato em preto e branco um outro cartaz apioado no pe da mesa exibia luto durante a semana foram feitas varias homenagens a marielle em capitais e cidades europeias como dublim valencia paris debaixo de neve intensa estocolmo oslo e estudantes brasileiros da universidade de lisboa no dia 17 a camara de lisboa homenageou marielle durante a conferencia we should speak lgbt and family rights em londres assim como no parlamento europeu membro movimento podemos protestou severamente contra o ato de covardia contra a quinta mais votada vereadora do rj e alertou para a situacao de violencia no brasil alem disso 52 parlamentares de estrasburgo exigiram a suspensao de negociacoes de um acordo entre o mercosul e a ue enquanto a execucao nao for esclarecida no
1-2	nas	_	_	_	_	_	_	_	TokenRange=0:3
26	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	27	det	_	_
27	deputada	deputado	NOUN	NOUN	_	24	nmod	_	TokenRange=125:133
28-29	do	_	_	_	_	_	_	_	TokenRange=134:136
28	de	de	ADP	ADP	_	30	case	_	_
29	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	30	det	_	_
30	psol	psol	NOUN	NOUN	_	27	nmod	_	TokenRange=137:141
31	marielle	marielle	NOUN	NOUN	_	27	appos	_	TokenRange=142:150
32	franco	franco	NOUN	NOUN	_	31	flat	_	TokenRange=151:157
33	apesar	apesar	ADV	ADV	_	36	case	_	TokenRange=158:164
34-35	da	_	_	_	_	_	_	_	TokenRange=165:167
34	de	de	ADP	ADP	_	33	case	_	_
35	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	33	det	_	_
36	temperatura	temperatura	NOUN	NOUN	_	46	nmod	_	TokenRange=168:179
37	gelida	gelido	ADJ	ADJ	_	36	amod	_	TokenRange=180:186
38	de	de	ADP	ADP	_	40	case	_	TokenRange=187:189
39	zero	_	NUM	NUM	NumType=Card	40	nummod	_	TokenRange=190:194
40	graus	grau	NOUN	NOUN	_	36	nmod	_	TokenRange=195:200
41	aproximadamente	aproximadamente	ADV	ADV	_	42	advmod	_	TokenRange=201:216
42	200	_	NUM	NUM	NumType=Card	43	nummod	_	TokenRange=217:220
43	brasileirxs	brasileirx	NOUN	NOUN	_	46	nsubj	_	TokenRange=221:232
44	e	e	CCONJ	CONJ	_	45	cc	_	TokenRange=233:234
45	berlinenses	berlinense	NOUN	NOUN	_	43	conj	_	TokenRange=235:246
46	marcaram	marcar	VERB	VERB	_	6	conj	_	TokenRange=247:255
47	presenca	presenca	NOUN	NOUN	_	46	obj	_	TokenRange=256:264
48	discussos	discusso	NOUN	NOUN	_	46	obj	_	TokenRange=265:274
49	de	de	ADP	ADP	_	50	case	_	TokenRange=275:277
50	marielle	_	NOUN	NOUN	_	48	nmod	_	TokenRange=278:286
51	feitos	fazer	VERB	VERB	_	50	acl	_	TokenRange=287:293
52-53	na	_	_	_	_	_	_	_	TokenRange=294:296
52	em	em	ADP	ADP	_	54	case	_	_
53	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	54	det	_	_
54	camara	camara	NOUN	NOUN	_	51	nmod	_	TokenRange=297:303
55-56	dos	_	_	_	_	_	_	_	TokenRange=304:307
55	de	de	ADP	ADP	_	57	case	_	_
56	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	57	det	_	_
57	vereadores	vereador	NOUN	NOUN	_	54	nmod	_	TokenRange=308:318
58	foram	_	AUX	AUX	_	59	aux:pass	_	TokenRange=319:324
59	reproduzidos	reproduzir	VERB	VERB	_	165	parataxis	_	TokenRange=325:337
60	em	em	ADP	ADP	_	61	case	_	TokenRange=338:340
61	telao	telao	NOUN	NOUN	_	59	nmod	_	TokenRange=341:346
62	seguido	seguir	VERB	VERB	_	165	acl	_	TokenRange=347:354
63	de	de	ADP	ADP	_	64	case	_	TokenRange=355:357
64	discursos	discurso	NOUN	NOUN	_	62	nmod	_	TokenRange=358:367
65	de	de	ADP	ADP	_	66	case	_	TokenRange=368:370
66	integrantes	_	NOUN	NOUN	_	64	nmod	_	TokenRange=371:382
67	de	de	ADP	ADP	_	68	case	_	TokenRange=383:385
68	grupos	grupo	NOUN	NOUN	_	66	nmod	_	TokenRange=386:392
69	ativistas	ativista	ADJ	ADJ	_	68	amod	_	TokenRange=393:402
70	e	e	CCONJ	CONJ	_	71	cc	_	TokenRange=403:404
71	simpatizantes	simpatizante	NOUN	NOUN	_	173	conj	_	TokenRange=405:418
72-73	na	_	_	_	_	_	_	_	TokenRange=419:421
72	em	em	ADP	ADP	_	74	case	_	_
73	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	74	det	_	_
74	capital	capital	NOUN	NOUN	_	59	nmod	_	TokenRange=422:429
75	twitter	_	PROPN	PNOUN	_	188	nsubj	_	TokenRange=430:437
76	cartazes	cartaz	NOUN	NOUN	_	188	nsubj	_	TokenRange=438:446
77	em	em	ADP	ADP	_	78	case	_	TokenRange=447:449
78	portugues	portugue	NOUN	NOUN	_	76	nmod	_	TokenRange=450:459
79	em	em	ADP	ADP	_	80	case	_	TokenRange=460:462
80	alemao	alemao	NOUN	NOUN	_	76	nmod	_	TokenRange=463:469
81	pleiteavam	pleitear	VERB	VERB	_	188	parataxis	_	TokenRange=470:480
82	marielle	_	NOUN	NOUN	_	188	obj	_	TokenRange=481:489
83	presente	presente	NOUN	NOUN	_	82	appos	_	TokenRange=490:498
84	e	e	CCONJ	CONJ	_	85	cc	_	TokenRange=499:500
85	fim	fim	NOUN	NOUN	_	83	conj	_	TokenRange=501:504
86-87	dos	_	_	_	_	_	_	_	TokenRange=505:508
86	de	de	ADP	ADP	_	88	case	_	_
87	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	88	det	_	_
88	assassinatos	assassinato	NOUN	NOUN	_	85	nmod	_	TokenRange=509:521
89	movidos	mover	VERB	VERB	_	88	acl	_	TokenRange=522:529
90	por	por	ADP	ADP	_	91	case	_	TokenRange=530:533
91	racismo	racismo	NOUN	NOUN	_	89	nmod	_	TokenRange=534:541
92	e	e	CCONJ	CONJ	_	93	cc	_	TokenRange=542:543
93	assassinato	assassinato	NOUN	NOUN	_	91	conj	_	TokenRange=544:555
94	por	por	ADP	ADP	_	95	case	_	TokenRange=556:559
95	motivo	motivo	NOUN	NOUN	_	89	nmod	_	TokenRange=560:566
96	politico	politico	ADJ	ADJ	_	95	amod	_	TokenRange=567:575
97	em	em	ADP	ADP	_	99	case	_	TokenRange=576:578
98	uma	um	DET	DET	_	99	det	_	TokenRange=579:582
99	mesa	mesa	NOUN	NOUN	_	89	nmod	_	TokenRange=583:587
100	foram	_	AUX	AUX	_	101	aux:pass	_	TokenRange=588:593
101	colocados	colocar	VERB	VERB	_	6	parataxis	_	TokenRange=594:603
102	velas	vela	NOUN	NOUN	_	101	nsubj:pass	_	TokenRange=604:609
103	e	e	CCONJ	CONJ	_	104	cc	_	TokenRange=610:611
104	flores	flor	NOUN	NOUN	_	102	conj	_	TokenRange=612:618
105	assim	assim	ADV	ADV	_	108	case	_	TokenRange=619:624
106	como	_	ADP	ADP	_	105	fixed	_	TokenRange=625:629
107	um	um	DET	DET	_	108	det	_	TokenRange=630:632
108	retrato	retrato	NOUN	NOUN	_	101	nmod	_	TokenRange=633:640
109	em	em	ADP	ADP	_	110	case	_	TokenRange=641:643
110	preto	preto	NOUN	NOUN	_	108	nmod	_	TokenRange=644:649
111	e	e	CCONJ	CONJ	_	112	cc	_	TokenRange=650:651
112	branco	branco	NOUN	NOUN	_	110	conj	_	TokenRange=652:658
113	um	um	DET	DET	_	115	det	_	TokenRange=659:661
114	outro	_	DET	DET	_	115	det	_	TokenRange=662:667
115	cartaz	cartaz	NOUN	NOUN	_	108	appos	_	TokenRange=668:674
116	apioado	apioar	VERB	ADJ	_	115	acl	_	TokenRange=675:682
117-118	no	_	_	_	_	_	_	_	TokenRange=683:685
117	em	em	ADP	ADP	_	119	case	_	_
118	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	119	det	_	_
119	pe	pe	NOUN	NOUN	_	89	nmod	_	TokenRange=686:688
120-121	da	_	_	_	_	_	_	_	TokenRange=689:691
120	de	de	ADP	ADP	_	122	case	_	_
121	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	122	det	_	_
122	mesa	mesa	NOUN	NOUN	_	119	nmod	_	TokenRange=692:696
123	exibia	exibir	VERB	VERB	_	108	acl:relcl	_	TokenRange=697:703
124	luto	luto	NOUN	NOUN	_	123	obj	_	TokenRange=704:708
125	durante	_	ADP	ADP	_	127	case	_	TokenRange=709:716
126	a	o	DET	DET	_	127	det	_	TokenRange=717:718
127	semana	semana	NOUN	NOUN	_	123	nmod	_	TokenRange=719:725
128	foram	_	AUX	AUX	_	129	aux:pass	_	TokenRange=726:731
129	feitas	_	VERB	VERB	_	6	parataxis	_	TokenRange=732:738
130	varias	_	DET	DET	_	131	det	_	TokenRange=739:745
131	homenagens	homenagem	NOUN	NOUN	_	129	nsubj:pass	_	TokenRange=746:756
132	a	_	ADP	ADP	_	133	case	_	TokenRange=757:758
133	marielle	marielle	NOUN	NOUN	_	131	nmod	_	TokenRange=759:767
134	em	em	ADP	ADP	_	135	case	_	TokenRange=768:770
135	capitais	capital	NOUN	NOUN	_	131	nmod	_	TokenRange=771:779
136	e	e	CCONJ	CONJ	_	137	cc	_	TokenRange=780:781
137	cidades	cidade	NOUN	NOUN	_	135	conj	_	TokenRange=782:789
138	europeias	europeu	ADJ	ADJ	_	137	amod	_	TokenRange=790:799
139	como	como	ADP	ADP	_	140	case	_	TokenRange=800:804
140	dublim	_	NOUN	NOUN	_	135	nmod	_	TokenRange=805:811
141	valencia	_	NOUN	NOUN	_	140	appos	_	TokenRange=812:820
142	paris	_	PROPN	PNOUN	_	140	appos	_	TokenRange=821:826
143	debaixo	debaixo	ADV	ADV	_	140	advmod	_	TokenRange=827:834
144	de	de	ADP	ADP	_	145	case	_	TokenRange=835:837
145	neve	neve	NOUN	NOUN	_	143	nmod	_	TokenRange=838:842
146	intensa	intenso	ADJ	ADJ	_	145	amod	_	TokenRange=843:850
147	estocolmo	estocolmo	VERB	VERB	_	129	parataxis	_	TokenRange=851:860
148	oslo	_	PROPN	PNOUN	_	147	obj	_	TokenRange=861:865
149	e	e	CCONJ	CONJ	_	150	cc	_	TokenRange=866:867
150	estudantes	estudante	NOUN	NOUN	_	148	conj	_	TokenRange=868:878
151	brasileiros	brasileiro	ADJ	ADJ	_	150	amod	_	TokenRange=879:890
152-153	da	_	_	_	_	_	_	_	TokenRange=891:893
152	de	de	ADP	ADP	_	154	case	_	_
153	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	154	det	_	_
154	universidade	universidade	NOUN	NOUN	_	150	nmod	_	TokenRange=894:906
155	de	de	ADP	ADP	_	156	case	_	TokenRange=907:909
156	lisboa	lisboa	NOUN	NOUN	_	154	nmod	_	TokenRange=910:916
157-158	no	_	_	_	_	_	_	_	TokenRange=917:919
157	em	em	ADP	ADP	_	159	case	_	_
158	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	159	det	_	_
159	dia	dia	NOUN	NOUN	_	46	nmod	_	TokenRange=920:923
160	17	_	NUM	NUM	NumType=Card	159	nmod	_	TokenRange=924:926
161	a	o	DET	DET	_	162	det	_	TokenRange=927:928
162	camara	camara	NOUN	NOUN	_	46	nsubj	_	TokenRange=929:935
163	de	de	ADP	ADP	_	164	case	_	TokenRange=936:938
164	lisboa	lisboa	NOUN	NOUN	_	162	nmod	_	TokenRange=939:945
165	homenageou	homenagear	VERB	VERB	_	6	parataxis	_	TokenRange=946:956
166	marielle	marielle	NOUN	NOUN	_	165	obj	_	TokenRange=957:965
167	durante	_	ADP	ADP	_	169	case	_	TokenRange=966:973
168	a	o	DET	DET	_	169	det	_	TokenRange=974:975
169	conferencia	conferencia	NOUN	NOUN	_	165	nmod	_	TokenRange=976:987
170	we	_	PRON	PRON	_	172	nsubj	_	TokenRange=988:990
171	should	_	PROPN	PNOUN	_	172	aux	_	TokenRange=991:997
172	speak	_	VERB	PNOUN	_	169	acl:relcl	_	TokenRange=998:1003
173	lgbt	_	PROPN	PNOUN	_	172	obj	_	TokenRange=1004:1008
174	and	_	CCONJ	CONJ	_	175	cc	_	TokenRange=1009:1012
175	family	_	PROPN	PNOUN	_	173	conj	_	TokenRange=1013:1019
176	rights	_	PROPN	PNOUN	_	175	flat	_	TokenRange=1020:1026
177	em	em	ADP	ADP	_	178	case	_	TokenRange=1027:1029
178	londres	_	NOUN	NOUN	_	172	nmod	_	TokenRange=1030:1037
179	assim	assim	ADV	ADV	_	188	nmod	_	TokenRange=1038:1043
180	como	_	ADP	ADP	_	179	fixed	_	TokenRange=1044:1048
181-182	no	_	_	_	_	_	_	_	TokenRange=1049:1051
181	em	em	ADP	ADP	_	183	case	_	_
182	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	183	det	_	_
183	parlamento	parlamento	NOUN	NOUN	_	188	nmod	_	TokenRange=1052:1062
184	europeu	europeu	ADJ	ADJ	_	183	amod	_	TokenRange=1063:1070
185	membro	membro	NOUN	NOUN	_	188	nsubj	_	TokenRange=1071:1077
186	movimento	movimento	NOUN	NOUN	_	76	appos	_	TokenRange=1078:1087
187	podemos	_	ADJ	ADJ	_	186	amod	_	TokenRange=1088:1095
188	protestou	protestar	VERB	VERB	_	165	advcl	_	TokenRange=1096:1105
189	severamente	severamente	ADV	ADV	_	188	advmod	_	TokenRange=1106:1117
190	contra	_	ADP	ADP	_	192	case	_	TokenRange=1118:1124
191	o	o	DET	DET	_	192	det	_	TokenRange=1125:1126
192	ato	ato	NOUN	NOUN	_	188	nmod	_	TokenRange=1127:1130
193	de	de	ADP	ADP	_	194	case	_	TokenRange=1131:1133
194	covardia	covardia	NOUN	NOUN	_	192	nmod	_	TokenRange=1134:1142
195	contra	_	ADP	ADP	_	200	case	_	TokenRange=1143:1149
196	a	o	DET	DET	_	200	det	_	TokenRange=1150:1151
197	quinta	_	ADJ	ADJ	_	200	amod	_	TokenRange=1152:1158
198	mais	mais	ADV	ADV	_	199	advmod	_	TokenRange=1159:1163
199	votada	votado	ADJ	ADJ	_	200	amod	_	TokenRange=1164:1170
200	vereadora	vereador	NOUN	NOUN	_	64	nmod	_	TokenRange=1171:1180
201-202	do	_	_	_	_	_	_	_	TokenRange=1181:1183
201	de	de	ADP	ADP	_	203	case	_	_
202	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	203	det	_	_
203	rj	_	PROPN	NOUN	_	200	nmod	_	TokenRange=1184:1186
204	e	e	CCONJ	CONJ	_	205	cc	_	TokenRange=1187:1188
205	alertou	alertar	VERB	VERB	_	188	conj	_	TokenRange=1189:1196
206	para	para	ADP	ADP	_	208	case	_	TokenRange=1197:1201
207	a	o	DET	DET	_	208	det	_	TokenRange=1202:1203
208	situacao	situacao	NOUN	NOUN	_	205	nmod	_	TokenRange=1204:1212
209	de	de	ADP	ADP	_	210	case	_	TokenRange=1213:1215
210	violencia	violencia	NOUN	NOUN	_	208	nmod	_	TokenRange=1216:1225
211-212	no	_	_	_	_	_	_	_	TokenRange=1226:1228
211	em	em	ADP	ADP	_	213	case	_	_
212	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	213	det	_	_
213	brasil	brasil	NOUN	NOUN	_	208	nmod	_	TokenRange=1229:1235
214	alem	alem	ADV	ADV	_	220	advmod	_	TokenRange=1236:1240
215	disso	_	X	ADPPRON	_	214	fixed	_	TokenRange=1241:1246
216	52	_	NUM	NUM	NumType=Card	217	nummod	_	TokenRange=1247:1249
217	parlamentares	parlamentar	NOUN	NOUN	_	220	nsubj	_	TokenRange=1250:1263
218	de	de	ADP	ADP	_	219	case	_	TokenRange=1264:1266
219	estrasburgo	estrasburgo	NOUN	NOUN	_	217	nmod	_	TokenRange=1267:1278
220	exigiram	exigir	VERB	VERB	_	101	conj	_	TokenRange=1279:1287
221	a	o	DET	DET	_	222	det	_	TokenRange=1288:1289
222	suspensao	suspensao	NOUN	NOUN	_	220	obj	_	TokenRange=1290:1299
223	de	de	ADP	ADP	_	224	case	_	TokenRange=1300:1302
224	negociacoes	negociacoe	NOUN	NOUN	_	222	nmod	_	TokenRange=1303:1314
225	de	de	ADP	ADP	_	227	case	_	TokenRange=1315:1317
226	um	um	DET	DET	_	227	det	_	TokenRange=1318:1320
227	acordo	acordo	NOUN	NOUN	_	224	nmod	_	TokenRange=1321:1327
228	entre	_	ADP	ADP	_	230	case	_	TokenRange=1328:1333
229	o	o	DET	DET	_	230	det	_	TokenRange=1334:1335
230	mercosul	mercosul	NOUN	NOUN	_	227	nmod	_	TokenRange=1336:1344
231	e	e	CCONJ	CONJ	_	233	cc	_	TokenRange=1345:1346
232	a	o	DET	DET	_	233	det	_	TokenRange=1347:1348
233	ue	_	PROPN	PNOUN	_	230	conj	_	TokenRange=1349:1351
234	enquanto	_	CCONJ	CONJ	_	239	mark	_	TokenRange=1352:1360
235	a	o	DET	DET	_	236	det	_	TokenRange=1361:1362
236	execucao	execucao	NOUN	NOUN	_	239	nsubj:pass	_	TokenRange=1363:1371
237	nao	nao	ADV	ADV	Polarity=Neg	239	advmod	_	TokenRange=1372:1375
238	for	_	AUX	AUX	_	239	aux:pass	_	TokenRange=1376:1379
239	esclarecida	esclarecer	VERB	VERB	_	220	advcl	_	TokenRange=1380:1391
240-241	no	_	_	_	_	_	_	_	SpacesAfter=\s\s|TokenRange=1392:1394
240	em	em	ADP	ADP	_	159	case	_	_
241	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	159	det	_	_

