# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = leia redacoes nota mil do enem 2016 inep liberou consulta a correcao dos textos nesta semanaconfira exemplos que tiraram nota maxima o instituto nacional de estudos e pesquisas educacionais anisio teixeira inep liberou nesta tercafeira 11 o acesso aos espelhos das redacoes do exame nacional do ensino medio enem 2016 do total de candidatos que prestaram o exame 77 conseguiram alcancar a nota maxima o g1 disponibiliza abaixo a integra de alguns desses textos que tiraram 1000 jogo de perguntas e respostas baixe o app g1 enem o numero e menor do que o registrado no ano anterior quando 104 candidatos conseguiram tirar nota maxima na redacao em 2014 foram 250 com desempenho maximo o tema da redacao do enem 2016 foi caminhos para combater a intolerancia religiosa no brasil ja os candidatos que prestaram a segunda aplicacao do exame em dezembro tiveram de dissertar sobre caminhos para combater o racismo no brasil a reaplicacao do enem em 2016 ocorreu devido as ocupacoes
1	leia	ler	VERB	VERB	_	0	root	_	TokenRange=0:4
52	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	53	det	_	_
53	ensino	ensino	NOUN	NOUN	_	49	nmod	_	TokenRange=295:301
54	medio	medio	ADJ	ADJ	_	53	amod	_	TokenRange=302:307
55	enem	_	NOUN	NOUN	_	35	parataxis	_	TokenRange=308:312
56	2016	_	NUM	NUM	NumType=Card	55	appos	_	TokenRange=313:317
57-58	do	_	_	_	_	_	_	_	TokenRange=318:320
57	de	de	ADP	ADP	_	59	case	_	_
58	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	59	det	_	_
59	total	total	NOUN	NOUN	_	159	nmod	_	TokenRange=321:326
60	de	de	ADP	ADP	_	61	case	_	TokenRange=327:329
61	candidatos	candidato	NOUN	NOUN	_	59	nmod	_	TokenRange=330:340
62	que	_	PRON	PRON	_	63	nsubj	_	TokenRange=341:344
63	prestaram	prestar	VERB	VERB	_	61	acl:relcl	_	TokenRange=345:354
64	o	o	DET	DET	_	65	det	_	TokenRange=355:356
65	exame	exame	NOUN	NOUN	_	63	obj	_	TokenRange=357:362
66	77	_	NUM	NUM	NumType=Card	65	appos	_	TokenRange=363:365
67	conseguiram	conseguir	VERB	VERB	_	103	acl:relcl	_	TokenRange=366:377
68	alcancar	alcancar	VERB	VERB	_	67	xcomp	_	TokenRange=378:386
69	a	o	DET	DET	_	70	det	_	TokenRange=387:388
70	nota	nota	NOUN	NOUN	_	68	obj	_	TokenRange=389:393
71	maxima	maxima	ADJ	ADJ	_	70	amod	_	TokenRange=394:400
72	o	o	DET	DET	_	73	det	_	TokenRange=401:402
73	g1	_	NOUN	NOUN	_	74	nsubj	_	TokenRange=403:405
74	disponibiliza	disponibilizar	VERB	VERB	_	35	conj	_	TokenRange=406:419
75	abaixo	abaixo	ADV	ADV	_	74	advmod	_	TokenRange=420:426
76	a	o	DET	DET	_	77	det	_	TokenRange=427:428
77	integra	integra	NOUN	NOUN	_	74	obj	_	TokenRange=429:436
78	de	de	ADP	ADP	_	79	case	_	TokenRange=437:439
79	alguns	_	PRON	PRON	_	77	nmod	_	TokenRange=440:446
80	desses	_	ADP	ADP	_	81	case	_	TokenRange=447:453
81	textos	texto	NOUN	NOUN	_	79	nmod	_	TokenRange=454:460
82	que	_	PRON	PRON	_	83	nsubj	_	TokenRange=461:464
83	tiraram	tirar	VERB	VERB	_	79	acl:relcl	_	TokenRange=465:472
84	1000	_	NUM	NUM	NumType=Card	85	nummod	_	TokenRange=473:477
85	jogo	jogo	NOUN	NOUN	_	83	obj	_	TokenRange=478:482
86	de	de	ADP	ADP	_	87	case	_	TokenRange=483:485
87	perguntas	pergunta	NOUN	NOUN	_	85	nmod	_	TokenRange=486:495
88	e	e	CCONJ	CONJ	_	89	cc	_	TokenRange=496:497
89	respostas	resposta	NOUN	NOUN	_	87	conj	_	TokenRange=498:507
90	baixe	baixe	ADJ	ADJ	_	89	amod	_	TokenRange=508:513
91	o	o	DET	DET	_	92	det	_	TokenRange=514:515
92	app	_	NOUN	NOUN	_	35	parataxis	_	TokenRange=516:519
93	g1	_	X	X	_	92	flat	_	TokenRange=520:522
94	enem	_	X	NOUN	_	92	flat	_	TokenRange=523:527
95	o	o	DET	DET	_	96	det	_	TokenRange=528:529
96	numero	numero	NOUN	NOUN	_	74	nsubj	_	TokenRange=530:536
97	e	e	CCONJ	CONJ	_	98	cc	_	TokenRange=537:538
98	menor	menor	ADJ	ADJ	_	96	conj	_	TokenRange=539:544
99-100	do	_	_	_	_	_	_	_	TokenRange=545:547
99	de	de	ADP	ADP	_	103	case	_	_
100	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	103	det	_	_
101	que	_	ADP	ADP	_	99	fixed	_	TokenRange=548:551
102	o	o	DET	DET	_	103	det	_	TokenRange=552:553
103	registrado	_	NOUN	NOUN	_	98	nmod	_	TokenRange=554:564
104-105	no	_	_	_	_	_	_	_	TokenRange=565:567
104	em	em	ADP	ADP	_	106	case	_	_
105	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	106	det	_	_
106	ano	ano	NOUN	NOUN	_	103	nmod	_	TokenRange=568:571
107	anterior	anterior	ADJ	ADJ	_	106	amod	_	TokenRange=572:580
108	quando	quando	ADV	ADV	_	111	advmod	_	TokenRange=581:587
109	104	_	NUM	NUM	NumType=Card	110	nummod	_	TokenRange=588:591
110	candidatos	candidato	NOUN	NOUN	_	111	nsubj	_	TokenRange=592:602
111	conseguiram	conseguir	VERB	VERB	_	103	acl:relcl	_	TokenRange=603:614
112	tirar	tirar	VERB	VERB	_	111	xcomp	_	TokenRange=615:620
113	nota	nota	NOUN	NOUN	_	112	obj	_	TokenRange=621:625
114	maxima	maxima	ADJ	ADJ	_	113	amod	_	TokenRange=626:632
115-116	na	_	_	_	_	_	_	_	TokenRange=633:635
115	em	em	ADP	ADP	_	117	case	_	_
116	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	117	det	_	_
117	redacao	redacao	NOUN	NOUN	_	112	nmod	_	TokenRange=636:643
118	em	em	ADP	ADP	_	119	case	_	TokenRange=644:646
119	2014	_	NUM	NUM	NumType=Card	112	nmod	_	TokenRange=647:651
120	foram	_	VERB	VERB	_	35	parataxis	_	TokenRange=652:657
121	250	_	NUM	NUM	NumType=Card	120	nsubj	_	TokenRange=658:661
122	com	com	ADP	ADP	_	123	case	_	TokenRange=662:665
123	desempenho	desempenho	NOUN	NOUN	_	40	nmod	_	TokenRange=666:676
124	maximo	maximo	ADJ	ADJ	_	123	amod	_	TokenRange=677:683
125	o	o	DET	DET	_	126	det	_	TokenRange=684:685
126	tema	tema	NOUN	NOUN	_	120	nsubj	_	TokenRange=686:690
127-128	da	_	_	_	_	_	_	_	TokenRange=691:693
127	de	de	ADP	ADP	_	129	case	_	_
128	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	129	det	_	_
129	redacao	redacao	NOUN	NOUN	_	126	nmod	_	TokenRange=694:701
130-131	do	_	_	_	_	_	_	_	TokenRange=702:704
130	de	de	ADP	ADP	_	132	case	_	_
131	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	132	det	_	_
132	enem	enem	NOUN	NOUN	_	129	nmod	_	TokenRange=705:709
133	2016	_	NUM	NUM	NumType=Card	132	appos	_	TokenRange=710:714
134	foi	_	AUX	AUX	_	135	cop	_	TokenRange=715:718
135	caminhos	caminho	NOUN	NOUN	_	103	acl:relcl	_	TokenRange=719:727
136	para	_	ADP	ADP	_	137	mark	_	TokenRange=728:732
137	combater	combater	VERB	VERB	_	135	nmod	_	TokenRange=733:741
138	a	o	DET	DET	_	139	det	_	TokenRange=742:743
139	intolerancia	intolerancia	NOUN	NOUN	_	137	obj	_	TokenRange=744:756
140	religiosa	religioso	ADJ	ADJ	_	139	amod	_	TokenRange=757:766
141-142	no	_	_	_	_	_	_	_	TokenRange=767:769
141	em	em	ADP	ADP	_	143	case	_	_
142	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	143	det	_	_
143	brasil	brasil	NOUN	NOUN	_	137	nmod	_	TokenRange=770:776
144	ja	ja	ADV	ADV	_	159	advmod	_	TokenRange=777:779
145	os	o	DET	DET	_	146	det	_	TokenRange=780:782
146	candidatos	candidato	NOUN	NOUN	_	159	nsubj	_	TokenRange=783:793
147	que	_	PRON	PRON	_	148	nsubj	_	TokenRange=794:797
148	prestaram	prestar	VERB	VERB	_	146	acl:relcl	_	TokenRange=798:807
149	a	o	DET	DET	_	151	det	_	TokenRange=808:809
150	segunda	segundo	ADJ	ADJ	_	151	amod	_	TokenRange=810:817
151	aplicacao	aplicacao	NOUN	NOUN	_	148	obj	_	TokenRange=818:827
152-153	do	_	_	_	_	_	_	_	TokenRange=828:830
152	de	de	ADP	ADP	_	154	case	_	_
153	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	154	det	_	_
154	exame	exame	NOUN	NOUN	_	151	nmod	_	TokenRange=831:836
155	em	em	ADP	ADP	_	156	case	_	TokenRange=837:839
156	dezembro	_	PROPN	PNOUN	_	148	nmod	_	TokenRange=840:848
157	tiveram	ter	AUX	AUX	_	159	aux	_	TokenRange=849:856
158	de	_	ADP	ADP	_	159	mark	_	TokenRange=857:859
159	dissertar	dissertar	VERB	VERB	_	120	conj	_	TokenRange=860:869
160	sobre	_	ADP	ADP	_	161	case	_	TokenRange=870:875
161	caminhos	caminho	NOUN	NOUN	_	159	nmod	_	TokenRange=876:884
162	para	_	ADP	ADP	_	163	mark	_	TokenRange=885:889
163	combater	combater	VERB	VERB	_	161	nmod	_	TokenRange=890:898
164	o	o	DET	DET	_	165	det	_	TokenRange=899:900
165	racismo	racismo	NOUN	NOUN	_	163	obj	_	TokenRange=901:908
166-167	no	_	_	_	_	_	_	_	TokenRange=909:911
166	em	em	ADP	ADP	_	168	case	_	_
167	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	168	det	_	_
168	brasil	brasil	NOUN	NOUN	_	163	nmod	_	TokenRange=912:918
169	a	o	DET	DET	_	170	det	_	TokenRange=919:920
170	reaplicacao	reaplicacao	NOUN	NOUN	_	176	nsubj	_	TokenRange=921:932
171-172	do	_	_	_	_	_	_	_	TokenRange=933:935
171	de	de	ADP	ADP	_	173	case	_	_
172	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	173	det	_	_
173	enem	_	PROPN	NOUN	_	170	nmod	_	TokenRange=936:940
174	em	em	ADP	ADP	_	175	case	_	TokenRange=941:943
175	2016	_	NUM	NUM	NumType=Card	170	nmod	_	TokenRange=944:948
176	ocorreu	ocorrer	VERB	VERB	_	159	parataxis	_	TokenRange=949:956
177	devido	dever	VERB	VERB	_	179	case	_	TokenRange=957:963
178	as	_	ADP	ADP	_	177	fixed	_	TokenRange=964:966
179	ocupacoes	ocupacoe	NOUN	NOUN	_	176	nmod	_	SpacesAfter=\s\s|TokenRange=967:976

