# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = cortaram meu pescoco e lancaram meu bebe no chao sobreviventes de massacre em vilarejo de mianmar relatam estupros assassinatos e tortura cometidos pelo exercito em acao que evidencia processo de limpeza etnica no pais na fronteira entre mianmar e bangladesh centenas de milhares de pessoas feridas famintas e traumatizadas se aglomeram em campos precarios sao os sobreviventes de uma serie de massacres estupros e expulsoes perpetrados desde agosto pelo exercito birmanes contra a minoria islamica rohingya a jovem rashida begum mostra a enorme cicatriz em seu pescoco a equipe da bbc eles os soldados tentaram contar minha garganta conta ela fomos cercadas pelos soldados e forcadas a nos ajoelhar a beira do rio dai eles comecaram a nos estuprar e a matar eu estava com o meu bebe eles arrancaram ele de mim o atiraram no chao e o mataram diversos relatos semelhantes foram compilados pela reportagem da bbc que acompanhou
1	cortaram	cortar	VERB	VERB	_	0	root	_	TokenRange=0:8
26	exercito	exercito	NOUN	NOUN	_	23	nmod	_	TokenRange=153:161
27	em	em	ADP	ADP	_	28	case	_	TokenRange=162:164
28	acao	acao	NOUN	NOUN	_	23	nmod	_	TokenRange=165:169
29	que	_	PRON	PRON	_	30	nsubj	_	TokenRange=170:173
30	evidencia	evidencir	VERB	VERB	_	19	acl:relcl	_	TokenRange=174:183
31	processo	processo	NOUN	NOUN	_	30	obj	_	TokenRange=184:192
32	de	de	ADP	ADP	_	33	case	_	TokenRange=193:195
33	limpeza	limpeza	NOUN	NOUN	_	31	nmod	_	TokenRange=196:203
34	etnica	etnico	ADJ	ADJ	_	33	amod	_	TokenRange=204:210
35-36	no	_	_	_	_	_	_	_	TokenRange=211:213
35	em	em	ADP	ADP	_	37	case	_	_
36	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	37	det	_	_
37	pais	_	NOUN	NOUN	_	30	nmod	_	TokenRange=214:218
38-39	na	_	_	_	_	_	_	_	TokenRange=219:221
38	em	em	ADP	ADP	_	40	case	_	_
39	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	40	det	_	_
40	fronteira	_	NOUN	NOUN	_	30	nmod	_	TokenRange=222:231
41	entre	_	ADP	ADP	_	42	case	_	TokenRange=232:237
42	mianmar	mianmar	NOUN	NOUN	_	40	nmod	_	TokenRange=238:245
43	e	e	CCONJ	CONJ	_	44	cc	_	TokenRange=246:247
44	bangladesh	_	NOUN	NOUN	_	42	conj	_	TokenRange=248:258
45	centenas	_	NUM	NUM	NumType=Card	49	nummod	_	TokenRange=259:267
46	de	de	ADP	ADP	_	49	case	_	TokenRange=268:270
47	milhares	_	NUM	NUM	NumType=Card	49	nummod	_	TokenRange=271:279
48	de	de	ADP	ADP	_	49	case	_	TokenRange=280:282
49	pessoas	pessoa	NOUN	NOUN	_	61	nsubj	_	TokenRange=283:290
50	feridas	ferido	ADJ	ADJ	_	49	amod	_	TokenRange=291:298
51	famintas	faminto	ADJ	ADJ	_	49	amod	_	TokenRange=299:307
52	e	e	CCONJ	CONJ	_	53	cc	_	TokenRange=308:309
53	traumatizadas	traumatizado	ADJ	ADJ	_	51	conj	_	TokenRange=310:323
54	se	_	PRON	PRON	_	55	obj	_	TokenRange=324:326
55	aglomeram	aglomerar	VERB	VERB	_	49	acl:relcl	_	TokenRange=327:336
56	em	em	ADP	ADP	_	57	case	_	TokenRange=337:339
57	campos	campo	NOUN	NOUN	_	55	nmod	_	TokenRange=340:346
58	precarios	precario	ADJ	ADJ	_	57	amod	_	TokenRange=347:356
59	sao	_	AUX	AUX	_	61	cop	_	TokenRange=357:360
60	os	o	DET	DET	_	61	det	_	TokenRange=361:363
61	sobreviventes	sobrevivente	NOUN	NOUN	_	1	parataxis	_	TokenRange=364:377
62	de	de	ADP	ADP	_	64	case	_	TokenRange=378:380
63	uma	um	DET	DET	_	64	det	_	TokenRange=381:384
64	serie	serie	NOUN	NOUN	_	61	nmod	_	TokenRange=385:390
65	de	de	ADP	ADP	_	66	case	_	TokenRange=391:393
66	massacres	massacre	NOUN	NOUN	_	64	nmod	_	TokenRange=394:403
67	estupros	estupro	ADJ	ADJ	_	66	amod	_	TokenRange=404:412
68	e	e	CCONJ	CONJ	_	69	cc	_	TokenRange=413:414
69	expulsoes	expulsoe	NOUN	NOUN	_	66	conj	_	TokenRange=415:424
70	perpetrados	perpetrar	VERB	VERB	_	66	acl	_	TokenRange=425:436
71	desde	_	ADP	ADP	_	72	case	_	TokenRange=437:442
72	agosto	_	PROPN	PNOUN	_	70	nmod	_	TokenRange=443:449
73-74	pelo	_	_	_	_	_	_	_	TokenRange=450:454
73	por	por	ADP	ADP	_	75	case	_	_
74	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	75	det	_	_
75	exercito	exercito	NOUN	NOUN	_	70	nmod	_	TokenRange=455:463
76	birmanes	birmane	ADJ	ADJ	_	75	amod	_	TokenRange=464:472
77	contra	_	ADP	ADP	_	79	case	_	TokenRange=473:479
78	a	o	DET	DET	_	79	det	_	TokenRange=480:481
79	minoria	minoria	NOUN	NOUN	_	75	nmod	_	TokenRange=482:489
80	islamica	islamico	ADJ	ADJ	_	79	amod	_	TokenRange=490:498
81	rohingya	rohingyo	ADJ	ADJ	_	79	amod	_	TokenRange=499:507
82	a	o	DET	DET	_	153	det	_	TokenRange=508:509
83	jovem	jovem	NOUN	NOUN	_	86	nsubj	_	TokenRange=510:515
84	rashida	rashido	NOUN	NOUN	_	83	appos	_	TokenRange=516:523
85	begum	_	ADJ	ADJ	_	84	amod	_	TokenRange=524:529
86	mostra	mostrar	VERB	VERB	_	1	parataxis	_	TokenRange=530:536
87	a	o	DET	DET	_	89	det	_	TokenRange=537:538
88	enorme	enorme	ADJ	ADJ	_	89	amod	_	TokenRange=539:545
89	cicatriz	cicatriz	NOUN	NOUN	_	86	obj	_	TokenRange=546:554
90	em	em	ADP	ADP	_	92	case	_	TokenRange=555:557
91	seu	_	DET	DET	_	92	det:poss	_	TokenRange=558:561
92	pescoco	pescoco	NOUN	NOUN	_	89	nmod	_	TokenRange=562:569
93	a	o	DET	DET	_	94	det	_	TokenRange=570:571
94	equipe	equipe	NOUN	NOUN	_	86	nsubj	_	TokenRange=572:578
95-96	da	_	_	_	_	_	_	_	TokenRange=579:581
95	de	de	ADP	ADP	_	97	case	_	_
96	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	97	det	_	_
97	bbc	bbc	NOUN	NOUN	_	94	nmod	_	TokenRange=582:585
98	eles	_	PRON	PRON	_	101	nsubj	_	TokenRange=586:590
99	os	o	DET	DET	_	100	det	_	TokenRange=591:593
100	soldados	soldado	NOUN	NOUN	_	101	nsubj	_	TokenRange=594:602
101	tentaram	tentar	VERB	VERB	_	86	parataxis	_	TokenRange=603:611
102	contar	contar	VERB	VERB	_	101	xcomp	_	TokenRange=612:618
103	minha	_	DET	DET	_	104	det:poss	_	TokenRange=619:624
104	garganta	garganta	NOUN	NOUN	_	102	obj	_	TokenRange=625:633
105	conta	contar	VERB	VERB	_	108	parataxis	_	TokenRange=634:639
106	ela	_	PRON	PRON	_	108	nsubj:pass	_	TokenRange=640:643
107	fomos	_	AUX	AUX	_	108	aux:pass	_	TokenRange=644:649
108	cercadas	cercar	VERB	VERB	_	23	conj	_	TokenRange=650:658
109-110	pelos	_	_	_	_	_	_	_	TokenRange=659:664
109	por	por	ADP	ADP	_	111	case	_	_
110	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	111	det	_	_
111	soldados	soldado	NOUN	NOUN	_	108	nmod	_	TokenRange=665:673
112	e	e	CCONJ	CONJ	_	113	cc	_	TokenRange=674:675
113	forcadas	forcar	VERB	VERB	_	108	conj	_	TokenRange=676:684
114	a	_	ADP	ADP	_	117	mark	_	TokenRange=685:686
115-116	nos	_	_	_	_	_	_	_	TokenRange=687:690
115	em	em	ADP	ADP	_	117	case	_	_
116	os	o	PRON	PRON	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	117	obj	_	_
117	ajoelhar	ajoelhar	VERB	VERB	_	113	nmod	_	TokenRange=691:699
118	a	_	ADP	ADP	_	119	case	_	TokenRange=700:701
119	beira	beira	NOUN	NOUN	_	117	nmod	_	TokenRange=702:707
120-121	do	_	_	_	_	_	_	_	TokenRange=708:710
120	de	de	ADP	ADP	_	122	case	_	_
121	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	122	det	_	_
122	rio	rio	NOUN	NOUN	_	119	nmod	_	TokenRange=711:714
123	dai	_	CCONJ	CONJ	_	30	mark	_	TokenRange=715:718
124	eles	_	PRON	PRON	_	30	nsubj	_	TokenRange=719:723
125	comecaram	comecar	AUX	AUX	_	30	aux	_	TokenRange=724:733
126	a	_	ADP	ADP	_	129	mark	_	TokenRange=734:735
127-128	nos	_	_	_	_	_	_	_	TokenRange=736:739
127	em	em	ADP	ADP	_	117	case	_	_
128	os	o	PRON	PRON	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	129	obj	_	_
129	estuprar	estuprar	VERB	VERB	_	30	conj	_	TokenRange=740:748
130	e	e	CCONJ	CONJ	_	134	cc	_	TokenRange=749:750
131	a	_	ADP	ADP	_	132	mark	_	TokenRange=751:752
132	matar	matar	VERB	VERB	_	129	conj	_	TokenRange=753:758
133	eu	_	PRON	PRON	_	134	nsubj	_	TokenRange=759:761
134	estava	estar	VERB	VERB	_	30	conj	_	TokenRange=762:768
135	com	com	ADP	ADP	_	138	case	_	TokenRange=769:772
136	o	o	DET	DET	_	138	det	_	TokenRange=773:774
137	meu	_	DET	DET	_	138	det:poss	_	TokenRange=775:778
138	bebe	bebe	NOUN	NOUN	_	134	nmod	_	TokenRange=779:783
139	eles	_	PRON	PRON	_	140	nsubj	_	TokenRange=784:788
140	arrancaram	arrancar	VERB	VERB	_	30	conj	_	TokenRange=789:799
141	ele	_	PRON	PRON	_	140	obj	_	TokenRange=800:803
142	de	de	ADP	ADP	_	143	case	_	TokenRange=804:806
143	mim	_	PRON	PRON	_	145	nmod	_	TokenRange=807:810
144	o	_	PRON	PRON	_	145	obj	_	TokenRange=811:812
145	atiraram	atirar	VERB	VERB	_	140	ccomp	_	TokenRange=813:821
146-147	no	_	_	_	_	_	_	_	TokenRange=822:824
146	em	em	ADP	ADP	_	148	case	_	_
147	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	148	det	_	_
148	chao	chao	NOUN	NOUN	_	145	nmod	_	TokenRange=825:829
149	e	e	CCONJ	CONJ	_	151	cc	_	TokenRange=830:831
150	o	_	PRON	DET	_	151	obj	_	TokenRange=832:833
151	mataram	matar	VERB	VERB	_	145	conj	_	TokenRange=834:841
152	diversos	_	DET	DET	_	153	det	_	TokenRange=842:850
153	relatos	relato	NOUN	NOUN	_	151	obj	_	TokenRange=851:858
154	semelhantes	semelhante	ADJ	ADJ	_	153	amod	_	TokenRange=859:870
155	foram	_	AUX	AUX	_	156	aux:pass	_	TokenRange=871:876
156	compilados	compilar	VERB	VERB	_	86	parataxis	_	TokenRange=877:887
157-158	pela	_	_	_	_	_	_	_	TokenRange=888:892
157	por	por	ADP	ADP	_	159	case	_	_
158	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	159	det	_	_
159	reportagem	reportagem	NOUN	NOUN	_	156	nmod	_	TokenRange=893:903
160-161	da	_	_	_	_	_	_	_	TokenRange=904:906
160	de	de	ADP	ADP	_	162	case	_	_
161	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	162	det	_	_
162	bbc	bbc	NOUN	NOUN	_	159	nmod	_	TokenRange=907:910
163	que	_	PRON	PRON	_	164	nsubj	_	TokenRange=911:914
164	acompanhou	acompanhar	VERB	VERB	_	159	acl:relcl	_	SpacesAfter=\s\s|TokenRange=915:925

