# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = brasilia a policia federal concluiu que nao houve crime de obstrucao de justica na indicacao do ministro marcelo ribeiro navarro dantas ao superior tribunal de justica stj por parte da expresidente dilma rousseff em 2015 a constatacao faz parte do relatorio final da pf sobre um inquerito que tramita em segredo de justica no supremo tribunal federal stf e investiga se houve na indicacao de navarro por dilma algum tipo de articulacao para barrar a lava jato por meio da atuacao do ministro no stj a suspeita partiu da delacao de delcidio do amaral do exlider do governo dilma no senado segundo delcidio navarro foi escolhido para o stj com o compromisso de conceder habeas corpus e recursos favoraveis a empreiteiros como marcelo odebrecht do grupo odebrecht e otavio azevedo da andrade gutiererrez o relatorio da pf encaminhado nesta segundafeira 21 ao stf apontou que feitas todas as diligencias nao se confirmou o depoimento de delcidio do amaral e do seu exchefe de gabinete diogo ferreira segundo o broadcast apurou o relatorio tambem nao verificou nenhum tipo de conduta criminosa por parte do ministro francisco falcao do stj que ja foi presidente da corte o relatorio ja foi encaminhado a procuradoriageral da republica pgr para que decida se pede o arquivamento do
1	brasilia	brasilia	NOUN	NOUN	_	5	parataxis	_	TokenRange=0:8
22	navarro	navarro	NOUN	NOUN	_	19	appos	_	TokenRange=121:128
23	dantas	_	ADJ	ADJ	_	20	amod	_	TokenRange=129:135
24-25	ao	_	_	_	_	_	_	_	TokenRange=136:138
24	a	a	ADP	ADP	_	27	case	_	_
25	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	27	det	_	_
26	superior	superior	ADJ	ADJ	_	27	amod	_	TokenRange=139:147
27	tribunal	tribunal	NOUN	NOUN	_	8	nmod	_	TokenRange=148:156
28	de	de	ADP	ADP	_	29	case	_	TokenRange=157:159
29	justica	_	NOUN	NOUN	_	27	nmod	_	TokenRange=160:167
30	stj	_	ADJ	ADJ	_	27	appos	_	TokenRange=168:171
31	por	por	ADP	ADP	_	32	case	_	TokenRange=172:175
32	parte	parte	NOUN	NOUN	_	8	nmod	_	TokenRange=176:181
33-34	da	_	_	_	_	_	_	_	TokenRange=182:184
33	de	de	ADP	ADP	_	35	case	_	_
34	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	35	det	_	_
35	expresidente	expresidente	NOUN	NOUN	_	32	nmod	_	TokenRange=185:197
36	dilma	_	ADJ	NOUN	_	35	appos	_	TokenRange=198:203
37	rousseff	rousseff	NOUN	NOUN	_	35	appos	_	TokenRange=204:212
38	em	em	ADP	ADP	_	39	case	_	TokenRange=213:215
39	2015	_	NUM	NUM	NumType=Card	42	nmod	_	TokenRange=216:220
40	a	o	DET	DET	_	41	det	_	TokenRange=221:222
41	constatacao	constatacao	NOUN	NOUN	_	42	nsubj	_	TokenRange=223:234
42	faz	fazer	VERB	VERB	_	5	parataxis	_	TokenRange=235:238
43	parte	parte	NOUN	NOUN	_	42	obj	_	TokenRange=239:244
44-45	do	_	_	_	_	_	_	_	TokenRange=245:247
44	de	de	ADP	ADP	_	46	case	_	_
45	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	46	det	_	_
46	relatorio	relatorio	NOUN	NOUN	_	43	nmod	_	TokenRange=248:257
47	final	final	ADJ	ADJ	_	46	amod	_	TokenRange=258:263
48-49	da	_	_	_	_	_	_	_	TokenRange=264:266
48	de	de	ADP	ADP	_	50	case	_	_
49	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	50	det	_	_
50	pf	_	NOUN	NOUN	_	46	nmod	_	TokenRange=267:269
51	sobre	_	ADP	ADP	_	53	case	_	TokenRange=270:275
52	um	um	DET	DET	_	53	det	_	TokenRange=276:278
53	inquerito	inquerito	NOUN	NOUN	_	46	nmod	_	TokenRange=279:288
54	que	_	PRON	PRON	_	55	nsubj	_	TokenRange=289:292
55	tramita	tramitar	VERB	VERB	_	53	acl:relcl	_	TokenRange=293:300
56	em	em	ADP	ADP	_	57	case	_	TokenRange=301:303
57	segredo	segredo	NOUN	NOUN	_	55	nmod	_	TokenRange=304:311
58	de	de	ADP	ADP	_	59	case	_	TokenRange=312:314
59	justica	_	NOUN	NOUN	_	57	nmod	_	TokenRange=315:322
60-61	no	_	_	_	_	_	_	_	TokenRange=323:325
60	em	em	ADP	ADP	_	63	case	_	_
61	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	63	det	_	_
62	supremo	supremo	ADJ	ADJ	_	63	amod	_	TokenRange=326:333
63	tribunal	tribunal	NOUN	NOUN	_	55	nmod	_	TokenRange=334:342
64	federal	federal	ADJ	ADJ	_	63	amod	_	TokenRange=343:350
65	stf	_	NOUN	NOUN	_	63	appos	_	TokenRange=351:354
66	e	e	CCONJ	CONJ	_	67	cc	_	TokenRange=355:356
67	investiga	investigar	VERB	VERB	_	42	conj	_	TokenRange=357:366
68	se	_	CCONJ	CONJ	_	69	mark	_	TokenRange=367:369
69	houve	haver	VERB	VERB	_	67	ccomp	_	TokenRange=370:375
70-71	na	_	_	_	_	_	_	_	TokenRange=376:378
70	em	em	ADP	ADP	_	72	case	_	_
71	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	72	det	_	_
72	indicacao	indicacao	NOUN	NOUN	_	69	nmod	_	TokenRange=379:388
73	de	de	ADP	ADP	_	74	case	_	TokenRange=389:391
74	navarro	navarro	NOUN	NOUN	_	72	nmod	_	TokenRange=392:399
75	por	por	ADP	ADP	_	76	case	_	TokenRange=400:403
76	dilma	dilma	NOUN	NOUN	_	72	nmod	_	TokenRange=404:409
77	algum	_	DET	DET	_	78	det	_	TokenRange=410:415
78	tipo	tipo	NOUN	NOUN	_	69	obj	_	TokenRange=416:420
79	de	de	ADP	ADP	_	80	case	_	TokenRange=421:423
80	articulacao	articulacao	NOUN	NOUN	_	78	nmod	_	TokenRange=424:435
81	para	_	ADP	ADP	_	82	mark	_	TokenRange=436:440
82	barrar	barrar	VERB	VERB	_	69	advcl	_	TokenRange=441:447
83	a	o	DET	DET	_	84	det	_	TokenRange=448:449
84	lava	lava	NOUN	NOUN	_	82	obj	_	TokenRange=450:454
85	jato	jato	NOUN	NOUN	_	84	flat	_	TokenRange=455:459
86	por	por	ADP	ADP	_	87	case	_	TokenRange=460:463
87	meio	meio	NOUN	NOUN	_	69	nmod	_	TokenRange=464:468
88-89	da	_	_	_	_	_	_	_	TokenRange=469:471
88	de	de	ADP	ADP	_	90	case	_	_
89	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	90	det	_	_
90	atuacao	atuacao	NOUN	NOUN	_	87	nmod	_	TokenRange=472:479
91-92	do	_	_	_	_	_	_	_	TokenRange=480:482
91	de	de	ADP	ADP	_	93	case	_	_
92	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	93	det	_	_
93	ministro	ministro	NOUN	NOUN	_	90	nmod	_	TokenRange=483:491
94-95	no	_	_	_	_	_	_	_	TokenRange=492:494
94	em	em	ADP	ADP	_	96	case	_	_
95	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	96	det	_	_
96	stj	stj	NOUN	NOUN	_	216	nmod	_	TokenRange=495:498
97	a	o	DET	DET	_	98	det	_	TokenRange=499:500
98	suspeita	_	NOUN	NOUN	_	122	nsubj:pass	_	TokenRange=501:509
99	partiu	partir	VERB	VERB	_	164	ccomp	_	TokenRange=510:516
100-101	da	_	_	_	_	_	_	_	TokenRange=517:519
100	de	de	ADP	ADP	_	102	case	_	_
101	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	102	det	_	_
102	delacao	delacao	NOUN	NOUN	_	99	nmod	_	TokenRange=520:527
103	de	de	ADP	ADP	_	104	case	_	TokenRange=528:530
104	delcidio	delcidio	NOUN	NOUN	_	102	nmod	_	TokenRange=531:539
105-106	do	_	_	_	_	_	_	_	TokenRange=540:542
105	de	de	ADP	ADP	_	107	case	_	_
106	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	107	det	_	_
107	amaral	amaral	NOUN	NOUN	_	104	nmod	_	TokenRange=543:549
108-109	do	_	_	_	_	_	_	_	TokenRange=550:552
108	de	de	ADP	ADP	_	110	case	_	_
109	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	110	det	_	_
110	exlider	exlider	NOUN	NOUN	_	104	nmod	_	TokenRange=553:560
111-112	do	_	_	_	_	_	_	_	TokenRange=561:563
111	de	de	ADP	ADP	_	113	case	_	_
112	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	113	det	_	_
113	governo	governo	NOUN	NOUN	_	110	nmod	_	TokenRange=564:571
114	dilma	dilma	ADJ	ADJ	_	113	amod	_	TokenRange=572:577
115-116	no	_	_	_	_	_	_	_	TokenRange=578:580
115	em	em	ADP	ADP	_	117	case	_	_
116	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	117	det	_	_
117	senado	senado	NOUN	NOUN	_	224	nmod	_	TokenRange=581:587
118	segundo	_	ADP	ADP	_	119	case	_	TokenRange=588:595
119	delcidio	delcidio	NOUN	NOUN	_	122	nmod	_	TokenRange=596:604
120	navarro	navarro	NOUN	NOUN	_	119	flat	_	TokenRange=605:612
121	foi	_	AUX	AUX	_	122	aux:pass	_	TokenRange=613:616
122	escolhido	escolher	VERB	VERB	_	5	conj	_	TokenRange=617:626
123	para	para	ADP	ADP	_	125	case	_	TokenRange=627:631
124	o	o	DET	DET	_	125	det	_	TokenRange=632:633
125	stj	_	NOUN	NOUN	_	122	nmod	_	TokenRange=634:637
126	com	com	ADP	ADP	_	128	case	_	TokenRange=638:641
127	o	o	DET	DET	_	128	det	_	TokenRange=642:643
128	compromisso	compromisso	NOUN	NOUN	_	122	nmod	_	TokenRange=644:655
129	de	_	ADP	ADP	_	130	mark	_	TokenRange=656:658
130	conceder	conceder	VERB	VERB	_	128	nmod	_	TokenRange=659:667
131	habeas	habeas	NOUN	NOUN	_	130	obj	_	TokenRange=668:674
132	corpus	corpus	NOUN	NOUN	_	131	flat	_	TokenRange=675:681
133	e	e	CCONJ	CONJ	_	134	cc	_	TokenRange=682:683
134	recursos	recurso	NOUN	NOUN	_	131	conj	_	TokenRange=684:692
135	favoraveis	favoravel	ADJ	ADJ	_	134	amod	_	TokenRange=693:703
136	a	_	ADP	ADP	_	137	case	_	TokenRange=704:705
137	empreiteiros	empreiteiro	NOUN	NOUN	_	135	nmod	_	TokenRange=706:718
138	como	como	ADP	ADP	_	139	case	_	TokenRange=719:723
139	marcelo	marcelo	NOUN	NOUN	_	137	nmod	_	TokenRange=724:731
140	odebrecht	_	NOUN	NOUN	_	139	flat	_	TokenRange=732:741
141-142	do	_	_	_	_	_	_	_	TokenRange=742:744
141	de	de	ADP	ADP	_	143	case	_	_
142	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	143	det	_	_
143	grupo	grupo	NOUN	NOUN	_	139	nmod	_	TokenRange=745:750
144	odebrecht	_	PROPN	PNOUN	_	143	appos	_	TokenRange=751:760
145	e	e	CCONJ	CONJ	_	146	cc	_	TokenRange=761:762
146	otavio	otavio	NOUN	NOUN	_	139	conj	_	TokenRange=763:769
147	azevedo	_	ADJ	ADJ	_	146	flat	_	TokenRange=770:777
148-149	da	_	_	_	_	_	_	_	TokenRange=778:780
148	de	de	ADP	ADP	_	150	case	_	_
149	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	150	det	_	_
150	andrade	andrade	NOUN	NOUN	_	146	nmod	_	TokenRange=781:788
151	gutiererrez	gutiererrez	NOUN	NOUN	_	150	flat	_	TokenRange=789:800
152	o	o	DET	DET	_	153	det	_	TokenRange=801:802
153	relatorio	relatorio	NOUN	NOUN	_	42	nsubj	_	TokenRange=803:812
154-155	da	_	_	_	_	_	_	_	TokenRange=813:815
154	de	de	ADP	ADP	_	156	case	_	_
155	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	156	det	_	_
156	pf	_	NOUN	NOUN	_	153	nmod	_	TokenRange=816:818
157	encaminhado	encaminhar	VERB	VERB	_	153	acl	_	TokenRange=819:830
158	nesta	_	ADP	ADP	_	159	case	_	TokenRange=831:836
159	segundafeira	_	PROPN	NOUN	_	157	nmod	_	TokenRange=837:849
160	21	_	NUM	NUM	NumType=Card	159	appos	_	TokenRange=850:852
161-162	ao	_	_	_	_	_	_	_	TokenRange=853:855
161	a	a	ADP	ADP	_	163	case	_	_
162	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	163	det	_	_
163	stf	_	NOUN	NOUN	_	157	nmod	_	TokenRange=856:859
164	apontou	apontar	VERB	VERB	_	5	parataxis	_	TokenRange=860:867
165	que	que	CCONJ	CONJ	_	172	mark	_	TokenRange=868:871
166	feitas	_	VERB	VERB	_	164	ccomp	_	TokenRange=872:878
167	todas	_	DET	DET	_	169	det	_	TokenRange=879:884
168	as	o	DET	DET	_	169	det	_	TokenRange=885:887
169	diligencias	diligencia	NOUN	NOUN	_	166	nsubj	_	TokenRange=888:899
170	nao	nao	ADV	ADV	Polarity=Neg	172	advmod	_	TokenRange=900:903
171	se	_	PRON	PRON	_	172	expl:pv	_	TokenRange=904:906
172	confirmou	confirmar	VERB	VERB	_	67	ccomp	_	TokenRange=907:916
173	o	o	DET	DET	_	174	det	_	TokenRange=917:918
174	depoimento	depoimento	NOUN	NOUN	_	172	nsubj	_	TokenRange=919:929
175	de	de	ADP	ADP	_	176	case	_	TokenRange=930:932
176	delcidio	delcidio	NOUN	NOUN	_	174	nmod	_	TokenRange=933:941
177-178	do	_	_	_	_	_	_	_	TokenRange=942:944
177	de	de	ADP	ADP	_	179	case	_	_
178	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	179	det	_	_
179	amaral	amaral	NOUN	NOUN	_	176	nmod	_	TokenRange=945:951
180	e	e	CCONJ	CONJ	_	184	cc	_	TokenRange=952:953
181-182	do	_	_	_	_	_	_	_	TokenRange=954:956
181	de	de	ADP	ADP	_	184	case	_	_
182	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	184	det	_	_
183	seu	_	DET	DET	_	184	det:poss	_	TokenRange=957:960
184	exchefe	exchefe	NOUN	NOUN	_	176	conj	_	TokenRange=961:968
185	de	de	ADP	ADP	_	186	case	_	TokenRange=969:971
186	gabinete	gabinete	NOUN	NOUN	_	184	nmod	_	TokenRange=972:980
187	diogo	diogo	NOUN	NOUN	_	184	appos	_	TokenRange=981:986
188	ferreira	_	NOUN	NOUN	_	187	flat	_	TokenRange=987:995
189	segundo	_	ADP	ADP	_	191	case	_	TokenRange=996:1003
190	o	o	DET	DET	_	191	det	_	TokenRange=1004:1005
191	broadcast	_	NOUN	NOUN	_	192	nmod	_	TokenRange=1006:1015
192	apurou	apurar	VERB	VERB	_	164	ccomp	_	TokenRange=1016:1022
193	o	o	DET	DET	_	194	det	_	TokenRange=1023:1024
194	relatorio	relatorio	NOUN	NOUN	_	192	nsubj	_	TokenRange=1025:1034
195	tambem	tambem	ADV	ADV	_	197	advmod	_	TokenRange=1035:1041
196	nao	nao	ADV	ADV	Polarity=Neg	197	advmod	_	TokenRange=1042:1045
197	verificou	verificar	VERB	VERB	_	67	ccomp	_	TokenRange=1046:1055
198	nenhum	_	DET	DET	_	199	det	_	TokenRange=1056:1062
199	tipo	tipo	NOUN	NOUN	_	69	obj	_	TokenRange=1063:1067
200	de	de	ADP	ADP	_	201	case	_	TokenRange=1068:1070
201	conduta	conduta	NOUN	NOUN	_	199	nmod	_	TokenRange=1071:1078
202	criminosa	criminoso	ADJ	ADJ	_	201	amod	_	TokenRange=1079:1088
203	por	por	ADP	ADP	_	204	case	_	TokenRange=1089:1092
204	parte	parte	NOUN	NOUN	_	69	nmod	_	TokenRange=1093:1098
205-206	do	_	_	_	_	_	_	_	TokenRange=1099:1101
205	de	de	ADP	ADP	_	207	case	_	_
206	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	207	det	_	_
207	ministro	ministro	NOUN	NOUN	_	204	nmod	_	TokenRange=1102:1110
208	francisco	francisco	NOUN	NOUN	_	207	appos	_	TokenRange=1111:1120
209	falcao	falcao	NOUN	NOUN	_	208	flat	_	TokenRange=1121:1127
210-211	do	_	_	_	_	_	_	_	TokenRange=1128:1130
210	de	de	ADP	ADP	_	212	case	_	_
211	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	212	det	_	_
212	stj	stj	NOUN	NOUN	_	207	nmod	_	TokenRange=1131:1134
213	que	_	PRON	PRON	_	216	nsubj	_	TokenRange=1135:1138
214	ja	ja	ADV	ADV	_	216	advmod	_	TokenRange=1139:1141
215	foi	_	AUX	AUX	_	216	cop	_	TokenRange=1142:1145
216	presidente	presidente	NOUN	NOUN	_	207	acl:relcl	_	TokenRange=1146:1156
217-218	da	_	_	_	_	_	_	_	TokenRange=1157:1159
217	de	de	ADP	ADP	_	219	case	_	_
218	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	219	det	_	_
219	corte	corte	NOUN	NOUN	_	216	nmod	_	TokenRange=1160:1165
220	o	o	DET	DET	_	221	det	_	TokenRange=1166:1167
221	relatorio	relatorio	NOUN	NOUN	_	224	nsubj:pass	_	TokenRange=1168:1177
222	ja	ja	ADV	ADV	_	224	advmod	_	TokenRange=1178:1180
223	foi	_	AUX	AUX	_	224	aux:pass	_	TokenRange=1181:1184
224	encaminhado	encaminhar	VERB	VERB	_	67	ccomp	_	TokenRange=1185:1196
225	a	_	ADP	ADP	_	226	case	_	TokenRange=1197:1198
226	procuradoriageral	procuradoriageral	NOUN	NOUN	_	224	iobj	_	TokenRange=1199:1216
227-228	da	_	_	_	_	_	_	_	TokenRange=1217:1219
227	de	de	ADP	ADP	_	229	case	_	_
228	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	229	det	_	_
229	republica	_	NOUN	NOUN	_	226	nmod	_	TokenRange=1220:1229
230	pgr	pgr	NOUN	NOUN	_	229	appos	_	TokenRange=1230:1233
231	para	_	ADP	ADP	_	233	mark	_	TokenRange=1234:1238
232	que	_	CCONJ	CONJ	_	231	fixed	_	TokenRange=1239:1242
233	decida	decidir	VERB	VERB	_	224	advcl	_	TokenRange=1243:1249
234	se	_	CCONJ	CONJ	_	235	expl:pv	_	TokenRange=1250:1252
235	pede	pedir	VERB	VERB	_	233	ccomp	_	TokenRange=1253:1257
236	o	o	DET	DET	_	237	det	_	TokenRange=1258:1259
237	arquivamento	arquivamento	NOUN	NOUN	_	235	nsubj	_	TokenRange=1260:1272
238-239	do	_	_	_	_	_	_	_	SpacesAfter=\s\s|TokenRange=1273:1275
238	de	de	ADP	ADP	_	46	case	_	_
239	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	143	det	_	_

