# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = nos cometemos erros diz mark zuckerberg sobre escandalo do facebook com cambridge analytica fundador do facebook anunciou tambem mudancas para reforcar a seguranca de dados no aplicativo como a auditoria de apps o fundador do facebook mark zuckerberg reconheceu que a empresa errou sobre o caso envolvendo vazamento de dados com a consultoria cambridge analytica leia nota na integra em ingles e sua traducao ao fim desta reportagem as declaracoes foram dados em um post no perfil de zuckerberg na rede social na primeira vez que falou sobre a crise institucional que fez o facebook perder quase us 50 bilhoes em valor de mercado em dois dias neste domingo 18 o facebook informou que esta investigando o vazamento de dados envolvendo por uma empresa britanica que trabalhou para a campanha de 2016 do presidente americano donald
1-2	nos	_	_	_	_	_	_	_	TokenRange=0:3
133	uma	um	DET	DET	_	134	det	_	TokenRange=738:741
134	empresa	empresa	NOUN	NOUN	_	131	nmod	_	TokenRange=742:749
135	britanica	britanico	ADJ	ADJ	_	134	amod	_	TokenRange=750:759
136	que	_	PRON	PRON	_	137	nsubj	_	TokenRange=760:763
137	trabalhou	trabalhar	VERB	VERB	_	134	acl:relcl	_	TokenRange=764:773
138	para	para	ADP	ADP	_	140	case	_	TokenRange=774:778
139	a	o	DET	DET	_	140	det	_	TokenRange=779:780
140	campanha	campanha	NOUN	NOUN	_	137	nmod	_	TokenRange=781:789
141	de	de	ADP	ADP	_	142	case	_	TokenRange=790:792
142	2016	_	NUM	NUM	NumType=Card	140	nmod	_	TokenRange=793:797
143-144	do	_	_	_	_	_	_	_	TokenRange=798:800
143	de	de	ADP	ADP	_	145	case	_	_
144	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	145	det	_	_
145	presidente	presidente	NOUN	NOUN	_	140	nmod	_	TokenRange=801:811
146	americano	americano	ADJ	ADJ	_	145	amod	_	TokenRange=812:821
147	donald	_	PROPN	PNOUN	_	145	appos	_	SpacesAfter=\s\s|TokenRange=822:828

