# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = conheca os candidatos declarados a presidencia do senado eunicio oliveira pmdbce e jose medeiros psdmt afirmaram que entrarao na disputa inscricoes de candidatos sao aceitas ate antes da votacao marcada para as 16h desta quarta 1 apos ficar quatro anos sob o comando de renan calheiros pmdbal o senado ira escolher nesta quartafeira 1 quem ira presidir a casa ate fevereiro de 2019 o regimento interno permite que os senadores se lancem na disputa interna ate o inicio da votacao marcada para as 16h ate esta tercafeira 31 somente os senadores eunicio oliveira pmdbce e jose medeiros psdmt manifestaram interesse em concorrer ao cargo mas eles ainda nao tinham oficializado as candidaturas ate a ultima atualizacao desta reportagem o novo presidente acumulara a funcao com o comando do congresso nacional instituicao formada pela uniao da camara e do senado alem do poder politico e das regalias em jogo na eleicao o sucessor de renan sera o segundo na linha de sucessao da presidencia da republica favorito na corrida pela presidencia do senado eunicio oliveira 64 anos circula pelos corredores do congresso nacional desde 1998
1	conheca	conhecar	VERB	VERB	_	0	root	_	TokenRange=0:7
40	apos	_	ADP	ADP	_	41	mark	_	TokenRange=230:234
41	ficar	ficar	VERB	VERB	_	54	advcl	_	TokenRange=235:240
42	quatro	_	NUM	NUM	NumType=Card	43	nummod	_	TokenRange=241:247
43	anos	ano	NOUN	NOUN	_	41	obj	_	TokenRange=248:252
44	sob	_	ADP	ADP	_	46	case	_	TokenRange=253:256
45	o	o	DET	DET	_	46	det	_	TokenRange=257:258
46	comando	comando	NOUN	NOUN	_	41	nmod	_	TokenRange=259:266
47	de	de	ADP	ADP	_	48	case	_	TokenRange=267:269
48	renan	renan	NOUN	NOUN	_	46	nmod	_	TokenRange=270:275
49	calheiros	calheiro	NOUN	NOUN	_	48	flat	_	TokenRange=276:285
50	pmdbal	_	ADJ	ADJ	_	48	amod	_	TokenRange=286:292
51	o	o	DET	DET	_	52	det	_	TokenRange=293:294
52	senado	senado	NOUN	NOUN	_	54	nsubj	_	TokenRange=295:301
53	ira	_	AUX	AUX	_	54	aux	_	TokenRange=302:305
54	escolher	escolher	VERB	VERB	_	1	advcl	_	TokenRange=306:314
55	nesta	_	ADP	ADP	_	56	case	_	TokenRange=315:320
56	quartafeira	_	NOUN	NOUN	_	54	nmod	_	TokenRange=321:332
57	1	_	NUM	NUM	NumType=Card	56	appos	_	TokenRange=333:334
58	quem	_	PRON	PRON	_	60	nsubj	_	TokenRange=335:339
59	ira	_	AUX	AUX	_	60	aux	_	TokenRange=340:343
60	presidir	presidir	VERB	VERB	_	54	ccomp	_	TokenRange=344:352
61	a	o	DET	DET	_	62	det	_	TokenRange=353:354
62	casa	casa	NOUN	NOUN	_	60	obj	_	TokenRange=355:359
63	ate	_	ADP	ADP	_	64	case	_	TokenRange=360:363
64	fevereiro	_	PROPN	PNOUN	_	60	nmod	_	TokenRange=364:373
65	de	de	ADP	ADP	_	66	case	_	TokenRange=374:376
66	2019	_	NUM	NUM	NumType=Card	64	nmod	_	TokenRange=377:381
67	o	o	DET	DET	_	68	det	_	TokenRange=382:383
68	regimento	regimento	NOUN	NOUN	_	54	nsubj	_	TokenRange=384:393
69	interno	interno	ADJ	ADJ	_	68	amod	_	TokenRange=394:401
70	permite	permitir	VERB	VERB	_	1	parataxis	_	TokenRange=402:409
71	que	que	CCONJ	CONJ	_	75	mark	_	TokenRange=410:413
72	os	o	DET	DET	_	73	det	_	TokenRange=414:416
73	senadores	senador	NOUN	NOUN	_	75	nsubj	_	TokenRange=417:426
74	se	_	PRON	PRON	_	75	obj	_	TokenRange=427:429
75	lancem	lancar	VERB	VERB	_	70	ccomp	_	TokenRange=430:436
76-77	na	_	_	_	_	_	_	_	TokenRange=437:439
76	em	em	ADP	ADP	_	78	case	_	_
77	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	78	det	_	_
78	disputa	disputa	NOUN	NOUN	_	75	nmod	_	TokenRange=440:447
79	interna	interno	ADJ	ADJ	_	78	amod	_	TokenRange=448:455
80	ate	_	ADP	ADP	_	82	case	_	TokenRange=456:459
81	o	o	DET	DET	_	82	det	_	TokenRange=460:461
82	inicio	inicio	NOUN	NOUN	_	75	nmod	_	TokenRange=462:468
83-84	da	_	_	_	_	_	_	_	TokenRange=469:471
83	de	de	ADP	ADP	_	85	case	_	_
84	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	85	det	_	_
85	votacao	votacao	NOUN	NOUN	_	82	nmod	_	TokenRange=472:479
86	marcada	marcar	VERB	VERB	_	85	acl	_	TokenRange=480:487
87	para	para	ADP	ADP	_	89	case	_	TokenRange=488:492
88	as	o	DET	DET	_	89	det	_	TokenRange=493:495
89	16h	_	NUM	NUM	NumType=Card	86	nmod	_	TokenRange=496:499
90	ate	_	ADP	ADP	_	92	case	_	TokenRange=500:503
91	esta	_	DET	DET	_	92	det	_	TokenRange=504:508
92	tercafeira	_	NOUN	NOUN	_	86	nmod	_	TokenRange=509:519
93	31	_	NUM	NUM	NumType=Card	92	appos	_	TokenRange=520:522
94	somente	somente	ADV	ADV	_	196	advmod	_	TokenRange=523:530
95	os	o	DET	DET	_	96	det	_	TokenRange=531:533
96	senadores	senador	NOUN	NOUN	_	196	nsubj	_	TokenRange=534:543
97	eunicio	_	NOUN	PNOUN	_	96	appos	_	TokenRange=544:551
98	oliveira	_	PROPN	PNOUN	_	97	flat	_	TokenRange=552:560
99	pmdbce	_	PROPN	PNOUN	_	97	flat	_	TokenRange=561:567
100	e	e	CCONJ	CONJ	_	101	cc	_	TokenRange=568:569
101	jose	jose	NOUN	NOUN	_	97	conj	_	TokenRange=570:574
102	medeiros	medeiro	ADJ	NOUN	_	101	flat	_	TokenRange=575:583
103	psdmt	_	PROPN	PNOUN	_	101	flat	_	TokenRange=584:589
104	manifestaram	manifestar	VERB	VERB	_	1	conj	_	TokenRange=590:602
105	interesse	interesse	NOUN	NOUN	_	104	obj	_	TokenRange=603:612
106	em	_	ADP	ADP	_	107	mark	_	TokenRange=613:615
107	concorrer	concorrer	VERB	VERB	_	105	nmod	_	TokenRange=616:625
108-109	ao	_	_	_	_	_	_	_	TokenRange=626:628
108	a	a	ADP	ADP	_	110	case	_	_
109	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	110	det	_	_
110	cargo	cargo	NOUN	NOUN	_	107	nmod	_	TokenRange=629:634
111	mas	mas	CCONJ	CONJ	_	104	cc	_	TokenRange=635:638
112	eles	_	PRON	PRON	_	116	nsubj	_	TokenRange=639:643
113	ainda	ainda	ADV	ADV	_	116	advmod	_	TokenRange=644:649
114	nao	nao	ADV	ADV	Polarity=Neg	116	advmod	_	TokenRange=650:653
115	tinham	ter	AUX	AUX	_	116	aux	_	TokenRange=654:660
116	oficializado	oficializar	VERB	VERB	_	27	conj	_	TokenRange=661:673
117	as	o	DET	DET	_	118	det	_	TokenRange=674:676
118	candidaturas	candidatura	NOUN	NOUN	_	116	obj	_	TokenRange=677:689
119	ate	_	ADP	ADP	_	122	case	_	TokenRange=690:693
120	a	o	DET	DET	_	122	det	_	TokenRange=694:695
121	ultima	_	ADJ	ADJ	_	122	amod	_	TokenRange=696:702
122	atualizacao	atualizacao	NOUN	NOUN	_	116	nmod	_	TokenRange=703:714
123	desta	_	ADP	ADP	_	124	case	_	TokenRange=715:720
124	reportagem	reportagem	NOUN	NOUN	_	122	nmod	_	TokenRange=721:731
125	o	o	DET	DET	_	127	det	_	TokenRange=732:733
126	novo	novo	ADJ	ADJ	_	127	amod	_	TokenRange=734:738
127	presidente	presidente	NOUN	NOUN	_	128	nsubj	_	TokenRange=739:749
128	acumulara	acumular	VERB	VERB	_	27	conj	_	TokenRange=750:759
129	a	o	DET	DET	_	130	det	_	TokenRange=760:761
130	funcao	funcao	NOUN	NOUN	_	128	obj	_	TokenRange=762:768
131	com	com	ADP	ADP	_	133	case	_	TokenRange=769:772
132	o	o	DET	DET	_	133	det	_	TokenRange=773:774
133	comando	comando	NOUN	NOUN	_	128	nmod	_	TokenRange=775:782
134-135	do	_	_	_	_	_	_	_	TokenRange=783:785
134	de	de	ADP	ADP	_	136	case	_	_
135	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	136	det	_	_
136	congresso	congresso	NOUN	NOUN	_	133	nmod	_	TokenRange=786:795
137	nacional	nacional	ADJ	ADJ	_	136	amod	_	TokenRange=796:804
138	instituicao	instituicao	NOUN	NOUN	_	54	obj	_	TokenRange=805:816
139	formada	formar	VERB	VERB	_	138	acl	_	TokenRange=817:824
140-141	pela	_	_	_	_	_	_	_	TokenRange=825:829
140	por	por	ADP	ADP	_	142	case	_	_
141	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	142	det	_	_
142	uniao	uniao	NOUN	NOUN	_	139	nmod	_	TokenRange=830:835
143-144	da	_	_	_	_	_	_	_	TokenRange=836:838
143	de	de	ADP	ADP	_	145	case	_	_
144	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	145	det	_	_
145	camara	camara	NOUN	NOUN	_	142	nmod	_	TokenRange=839:845
146	e	e	CCONJ	CONJ	_	149	cc	_	TokenRange=846:847
147-148	do	_	_	_	_	_	_	_	TokenRange=848:850
147	de	de	ADP	ADP	_	149	case	_	_
148	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	149	det	_	_
149	senado	senado	NOUN	NOUN	_	145	conj	_	TokenRange=851:857
150	alem	alem	ADV	ADV	_	54	advmod	_	TokenRange=858:862
151-152	do	_	_	_	_	_	_	_	TokenRange=863:865
151	de	de	ADP	ADP	_	153	case	_	_
152	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	153	det	_	_
153	poder	poder	NOUN	NOUN	_	150	nmod	_	TokenRange=866:871
154	politico	politico	ADJ	ADJ	_	153	amod	_	TokenRange=872:880
155	e	e	CCONJ	CONJ	_	158	cc	_	TokenRange=881:882
156-157	das	_	_	_	_	_	_	_	TokenRange=883:886
156	de	de	ADP	ADP	_	158	case	_	_
157	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	158	det	_	_
158	regalias	regalia	NOUN	NOUN	_	153	conj	_	TokenRange=887:895
159	em	em	ADP	ADP	_	160	case	_	TokenRange=896:898
160	jogo	jogo	NOUN	NOUN	_	158	nmod	_	TokenRange=899:903
161-162	na	_	_	_	_	_	_	_	TokenRange=904:906
161	em	em	ADP	ADP	_	163	case	_	_
162	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	163	det	_	_
163	eleicao	eleicao	NOUN	NOUN	_	41	nmod	_	TokenRange=907:914
164	o	o	DET	DET	_	165	det	_	TokenRange=915:916
165	sucessor	sucessor	NOUN	NOUN	_	170	nsubj	_	TokenRange=917:925
166	de	de	ADP	ADP	_	167	case	_	TokenRange=926:928
167	renan	_	NOUN	NOUN	_	165	nmod	_	TokenRange=929:934
168	sera	_	AUX	AUX	_	170	cop	_	TokenRange=935:939
169	o	o	DET	DET	_	170	det	_	TokenRange=940:941
170	segundo	segundo	NOUN	NOUN	_	54	parataxis	_	TokenRange=942:949
171-172	na	_	_	_	_	_	_	_	TokenRange=950:952
171	em	em	ADP	ADP	_	173	case	_	_
172	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	173	det	_	_
173	linha	_	NOUN	NOUN	_	170	nmod	_	TokenRange=953:958
174	de	de	ADP	ADP	_	175	case	_	TokenRange=959:961
175	sucessao	sucessao	NOUN	NOUN	_	173	nmod	_	TokenRange=962:970
176-177	da	_	_	_	_	_	_	_	TokenRange=971:973
176	de	de	ADP	ADP	_	178	case	_	_
177	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	178	det	_	_
178	presidencia	presidencia	NOUN	NOUN	_	173	nmod	_	TokenRange=974:985
179-180	da	_	_	_	_	_	_	_	TokenRange=986:988
179	de	de	ADP	ADP	_	181	case	_	_
180	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	181	det	_	_
181	republica	_	NOUN	NOUN	_	178	nmod	_	TokenRange=989:998
182	favorito	favorito	NOUN	NOUN	_	75	nsubj	_	TokenRange=999:1007
183-184	na	_	_	_	_	_	_	_	TokenRange=1008:1010
183	em	em	ADP	ADP	_	185	case	_	_
184	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	185	det	_	_
185	corrida	corrida	NOUN	NOUN	_	182	nmod	_	TokenRange=1011:1018
186-187	pela	_	_	_	_	_	_	_	TokenRange=1019:1023
186	por	por	ADP	ADP	_	188	case	_	_
187	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	188	det	_	_
188	presidencia	presidencia	NOUN	NOUN	_	185	nmod	_	TokenRange=1024:1035
189-190	do	_	_	_	_	_	_	_	TokenRange=1036:1038
189	de	de	ADP	ADP	_	191	case	_	_
190	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	191	det	_	_
191	senado	senado	NOUN	NOUN	_	188	nmod	_	TokenRange=1039:1045
192	eunicio	_	NOUN	PNOUN	_	196	nsubj	_	TokenRange=1046:1053
193	oliveira	oliveira	PROPN	PNOUN	_	192	flat	_	TokenRange=1054:1062
194	64	_	NUM	NUM	NumType=Card	195	nummod	_	TokenRange=1063:1065
195	anos	ano	NOUN	NOUN	_	192	appos	_	TokenRange=1066:1070
196	circula	circular	VERB	VERB	_	70	parataxis	_	TokenRange=1071:1078
197-198	pelos	_	_	_	_	_	_	_	TokenRange=1079:1084
197	por	por	ADP	ADP	_	199	case	_	_
198	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	199	det	_	_
199	corredores	corredor	NOUN	NOUN	_	196	nmod	_	TokenRange=1085:1095
200-201	do	_	_	_	_	_	_	_	TokenRange=1096:1098
200	de	de	ADP	ADP	_	202	case	_	_
201	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	202	det	_	_
202	congresso	congresso	NOUN	NOUN	_	199	nmod	_	TokenRange=1099:1108
203	nacional	nacional	ADJ	ADJ	_	202	amod	_	TokenRange=1109:1117
204	desde	_	ADP	ADP	_	205	case	_	TokenRange=1118:1123
205	1998	_	NUM	NUM	NumType=Card	196	nmod	_	SpacesAfter=\s\s|TokenRange=1124:1128

