# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = oito oportunidades para empreender no segmento de eficiencia energetica foram identificadas em estudo feito em conjunto pela aes tiete eletropaulo e a aceleradora de negocios de impacto social artemisia acesso a energia geracao e distribuicao descentralizada de energia inteligencia de dados para eficiencia energetica eficiencia energetica por meio da adequacao de imoveis e equipamentos eficiencia energetica na gestao e em equipamentos publicos energia para producao no campo meios de financiamento para acesso a servicos de energia nao convencional e capacitacao e oportunidades para profissionais sao as oportunidades detectadas gerente de projetos da artemisia paula sato afirma que os parceiros do estudo esperam que o resultado obtido sirva de base para que quem quer investir no segmento o faca
1	oito	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:4
99	artemisia	artemisia	NOUN	NOUN	_	94	nmod	_	TokenRange=657:666
100	paula	_	NOUN	NOUN	_	99	appos	_	TokenRange=667:672
101	sato	_	PROPN	PNOUN	_	100	flat	_	TokenRange=673:677
102	afirma	afirmar	VERB	VERB	_	12	parataxis	_	TokenRange=678:684
103	que	que	CCONJ	CONJ	_	109	mark	_	TokenRange=685:688
104	os	o	DET	DET	_	105	det	_	TokenRange=689:691
105	parceiros	parceiro	NOUN	NOUN	_	109	nsubj	_	TokenRange=692:701
106-107	do	_	_	_	_	_	_	_	TokenRange=702:704
106	de	de	ADP	ADP	_	108	case	_	_
107	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	108	det	_	_
108	estudo	estudo	NOUN	NOUN	_	105	nmod	_	TokenRange=705:711
109	esperam	esperar	VERB	VERB	_	102	ccomp	_	TokenRange=712:719
110	que	que	CCONJ	CONJ	_	114	mark	_	TokenRange=720:723
111	o	o	DET	DET	_	112	det	_	TokenRange=724:725
112	resultado	resultado	NOUN	NOUN	_	114	nsubj	_	TokenRange=726:735
113	obtido	obter	VERB	VERB	_	112	acl	_	TokenRange=736:742
114	sirva	servir	VERB	VERB	_	109	ccomp	_	TokenRange=743:748
115	de	de	ADP	ADP	_	116	case	_	TokenRange=749:751
116	base	base	NOUN	NOUN	_	114	nmod	_	TokenRange=752:756
117	para	_	ADP	ADP	_	126	mark	_	TokenRange=757:761
118	que	_	CCONJ	CONJ	_	126	mark	_	TokenRange=762:765
119	quem	_	PRON	PRON	_	120	nsubj	_	TokenRange=766:770
120	quer	querer	VERB	VERB	_	114	advcl	_	TokenRange=771:775
121	investir	investir	VERB	VERB	_	120	xcomp	_	TokenRange=776:784
122-123	no	_	_	_	_	_	_	_	TokenRange=785:787
122	em	em	ADP	ADP	_	124	case	_	_
123	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	124	det	_	_
124	segmento	segmento	NOUN	NOUN	_	121	nmod	_	TokenRange=788:796
125	o	_	PRON	PRON	_	126	obj	_	TokenRange=797:798
126	faca	_	VERB	VERB	_	114	advcl	_	SpacesAfter=\s\s|TokenRange=799:803

