# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = morreu ontem aos 92 anos o grande mestre do cinema latinoamericano fernando birri argentino oriundo da escuela de santa fe autor do seminal tiredie e de outros filmes importantes como los inundados org etc autor de livros poemas desenhos malabarista de ideias e ideais birri foi fundador da escuela de cine de cine y tv de san antonio de los banos em cuba sua influencia sobre o cinema latinoamericano mal pode ser avaliada neste momento mais que um artista era um utopista e como tal sabia que nao existe nada mais triste e morto que um homem sem sonhos birri se foi seu legado fica inesquecivel para cineastas e amigos que tivemos a sorte de com ele conviver va em paz maestro abaixo um texto que escrevi sobre ele aqui mesmo no estadao todo mundo o considera um dos pais do moderno cinema latinoamericano mas o argentino fernando birri prefere que o chamem de mascate de imagens foi assim mesmo que ele se definiu em sua recente passagem pelo brasil no cine ceara onde foi apresentar seu filme mi hijo el che feito a partir de entrevistas com o pai de che guevara ernesto guevara lynch sou um errante sigo pelos paises do mundo com essas pequenas imagens no bau como os antigos caixeirosviajavam pelas estradas com seus tecidos e seus botoes disse na apresentacao do filme em fortaleza vou vendo o que as pessoas precisam e se estiver ao meu alcance fornecolhes essas minhas modestas imagens o mascate de imagens nao poderia ter aparencia mais apropriada alias ele mesmo se parece com o titulo de outro dos seus filmes um senhor muito velho com as asas enormes titulo adaptado de
1	morreu	morrer	VERB	VERB	_	0	root	_	TokenRange=0:6
22	santa	santo	ADJ	ADJ	_	23	amod	_	TokenRange=114:119
23	fe	_	NOUN	NOUN	_	20	nmod	_	TokenRange=120:122
24	autor	autor	NOUN	NOUN	_	9	appos	_	TokenRange=123:128
25-26	do	_	_	_	_	_	_	_	TokenRange=129:131
25	de	de	ADP	ADP	_	28	case	_	_
26	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	28	det	_	_
27	seminal	seminal	ADJ	ADJ	_	28	amod	_	TokenRange=132:139
28	tiredie	tiredie	NOUN	NOUN	_	24	nmod	_	TokenRange=140:147
29	e	e	CCONJ	CONJ	_	32	cc	_	TokenRange=148:149
30	de	de	ADP	ADP	_	32	case	_	TokenRange=150:152
31	outros	_	DET	DET	_	32	det	_	TokenRange=153:159
32	filmes	filme	NOUN	NOUN	_	28	conj	_	TokenRange=160:166
33	importantes	importante	ADJ	ADJ	_	32	amod	_	TokenRange=167:178
34	como	como	ADP	ADP	_	36	case	_	TokenRange=179:183
35	los	_	PROPN	PNOUN	_	36	det	_	TokenRange=184:187
36	inundados	inundado	NOUN	NOUN	_	32	nmod	_	TokenRange=188:197
37	org	_	X	NOUN	_	36	appos	_	TokenRange=198:201
38	etc	_	X	X	_	37	flat	_	TokenRange=202:205
39	autor	autor	NOUN	NOUN	_	51	nsubj	_	TokenRange=206:211
40	de	de	ADP	ADP	_	41	case	_	TokenRange=212:214
41	livros	livro	NOUN	NOUN	_	39	nmod	_	TokenRange=215:221
42	poemas	poema	ADJ	NOUN	_	41	amod	_	TokenRange=222:228
43	desenhos	desenho	NOUN	NOUN	_	41	appos	_	TokenRange=229:237
44	malabarista	malabarista	ADJ	ADJ	_	43	amod	_	TokenRange=238:249
45	de	de	ADP	ADP	_	46	case	_	TokenRange=250:252
46	ideias	ideia	NOUN	NOUN	_	43	nmod	_	TokenRange=253:259
47	e	e	CCONJ	CONJ	_	48	cc	_	TokenRange=260:261
48	ideais	ideal	NOUN	NOUN	_	46	conj	_	TokenRange=262:268
49	birri	birri	NOUN	NOUN	_	43	appos	_	TokenRange=269:274
50	foi	_	AUX	AUX	_	51	cop	_	TokenRange=275:278
51	fundador	fundador	NOUN	NOUN	_	1	parataxis	_	TokenRange=279:287
52-53	da	_	_	_	_	_	_	_	TokenRange=288:290
52	de	de	ADP	ADP	_	54	case	_	_
53	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	54	det	_	_
54	escuela	escuela	NOUN	NOUN	_	51	nmod	_	TokenRange=291:298
55	de	de	ADP	ADP	_	56	case	_	TokenRange=299:301
56	cine	cine	NOUN	NOUN	_	54	nmod	_	TokenRange=302:306
57	de	de	ADP	ADP	_	58	case	_	TokenRange=307:309
58	cine	cine	NOUN	NOUN	_	56	nmod	_	TokenRange=310:314
59	y	_	CCONJ	CONJ	_	60	cc	_	TokenRange=315:316
60	tv	tv	NOUN	NOUN	_	58	conj	_	TokenRange=317:319
61	de	de	ADP	ADP	_	62	case	_	TokenRange=320:322
62	san	_	NOUN	NOUN	_	54	nmod	_	TokenRange=323:326
63	antonio	antonio	NOUN	NOUN	_	62	flat	_	TokenRange=327:334
64	de	de	ADP	ADP	_	66	case	_	TokenRange=335:337
65	los	_	DET	DET	_	66	det	_	TokenRange=338:341
66	banos	bano	NOUN	NOUN	_	63	nmod	_	TokenRange=342:347
67	em	em	ADP	ADP	_	68	case	_	TokenRange=348:350
68	cuba	cuba	NOUN	NOUN	_	227	nmod	_	TokenRange=351:355
69	sua	_	DET	DET	_	70	det:poss	_	TokenRange=356:359
70	influencia	_	NOUN	NOUN	_	51	nsubj	_	TokenRange=360:370
71	sobre	_	ADP	ADP	_	73	case	_	TokenRange=371:376
72	o	o	DET	DET	_	73	det	_	TokenRange=377:378
73	cinema	cinema	NOUN	NOUN	_	70	nmod	_	TokenRange=379:385
74	latinoamericano	latinoamericano	ADJ	ADJ	_	73	amod	_	TokenRange=386:401
75	mal	mal	ADV	ADV	_	78	advmod	_	TokenRange=402:405
76	pode	_	AUX	AUX	_	78	aux	_	TokenRange=406:410
77	ser	ser	AUX	AUX	_	78	aux:pass	_	TokenRange=411:414
78	avaliada	avaliar	VERB	VERB	_	1	parataxis	_	TokenRange=415:423
79	neste	_	ADP	ADP	_	80	case	_	TokenRange=424:429
80	momento	momento	NOUN	NOUN	_	78	nmod	_	TokenRange=430:437
81	mais	mais	ADV	ADV	_	247	mark	_	TokenRange=438:442
82	que	que	CCONJ	CONJ	_	247	mark	_	TokenRange=443:446
83	um	um	DET	DET	_	84	det	_	TokenRange=447:449
84	artista	artista	NOUN	NOUN	_	87	nsubj	_	TokenRange=450:457
85	era	_	AUX	AUX	_	87	cop	_	TokenRange=458:461
86	um	um	DET	DET	_	87	det	_	TokenRange=462:464
87	utopista	utopista	NOUN	NOUN	_	78	advcl	_	TokenRange=465:473
88	e	e	CCONJ	CONJ	_	91	cc	_	TokenRange=474:475
89	como	como	ADP	ADP	_	90	case	_	TokenRange=476:480
90	tal	_	PRON	PRON	_	91	nmod	_	TokenRange=481:484
91	sabia	saber	VERB	VERB	_	247	conj	_	TokenRange=485:490
92	que	que	CCONJ	CONJ	_	94	mark	_	TokenRange=491:494
93	nao	nao	ADV	ADV	Polarity=Neg	94	advmod	_	TokenRange=495:498
94	existe	existir	VERB	VERB	_	91	ccomp	_	TokenRange=499:505
95	nada	_	PRON	PRON	_	94	nsubj	_	TokenRange=506:510
96	mais	mais	ADV	ADV	_	97	advmod	_	TokenRange=511:515
97	triste	triste	ADJ	ADJ	_	95	amod	_	TokenRange=516:522
98	e	e	CCONJ	CONJ	_	99	cc	_	TokenRange=523:524
99	morto	morto	ADJ	ADJ	_	97	conj	_	TokenRange=525:530
100	que	_	ADP	ADP	_	102	case	_	TokenRange=531:534
101	um	um	DET	DET	_	102	det	_	TokenRange=535:537
102	homem	homem	NOUN	NOUN	_	94	nmod	_	TokenRange=538:543
103	sem	_	ADP	ADP	_	104	case	_	TokenRange=544:547
104	sonhos	sonho	NOUN	NOUN	_	102	nmod	_	TokenRange=548:554
105	birri	birri	VERB	VERB	_	102	acl:relcl	_	TokenRange=555:560
106	se	_	CCONJ	CONJ	_	107	mark	_	TokenRange=561:563
107	foi	_	AUX	AUX	_	110	cop	_	TokenRange=564:567
108	seu	_	DET	DET	_	109	det:poss	_	TokenRange=568:571
109	legado	legado	NOUN	NOUN	_	107	nsubj	_	TokenRange=572:578
110	fica	ficar	VERB	VERB	_	91	ccomp	_	TokenRange=579:583
111	inesquecivel	inesquecivel	ADJ	ADJ	_	110	xcomp	_	TokenRange=584:596
112	para	para	ADP	ADP	_	113	case	_	TokenRange=597:601
113	cineastas	cineasta	NOUN	NOUN	_	111	nmod	_	TokenRange=602:611
114	e	e	CCONJ	CONJ	_	115	cc	_	TokenRange=612:613
115	amigos	amigo	NOUN	NOUN	_	113	conj	_	TokenRange=614:620
116	que	_	CCONJ	CONJ	_	117	mark	_	TokenRange=621:624
117	tivemos	ter	VERB	VERB	_	113	acl:relcl	_	TokenRange=625:632
118	a	o	DET	DET	_	119	det	_	TokenRange=633:634
119	sorte	sorte	NOUN	NOUN	_	117	obj	_	TokenRange=635:640
120	de	_	ADP	ADP	_	123	mark	_	TokenRange=641:643
121	com	com	ADP	ADP	_	122	case	_	TokenRange=644:647
122	ele	_	PRON	PRON	_	132	nmod	_	TokenRange=648:651
123	conviver	conviver	VERB	VERB	_	272	nmod	_	TokenRange=652:660
124	va	_	VERB	VERB	_	274	ccomp	_	TokenRange=661:663
125	em	em	ADP	ADP	_	126	case	_	TokenRange=664:666
126	paz	paz	NOUN	NOUN	_	124	nmod	_	TokenRange=667:670
127	maestro	maestro	NOUN	NOUN	_	124	nmod	_	TokenRange=671:678
128	abaixo	abaixo	ADV	ADV	_	279	advmod	_	TokenRange=679:685
129	um	um	DET	DET	_	130	det	_	TokenRange=686:688
130	texto	texto	NOUN	NOUN	_	279	nsubj	_	TokenRange=689:694
131	que	_	PRON	PRON	_	132	nsubj	_	TokenRange=695:698
132	escrevi	escrever	VERB	VERB	_	130	acl:relcl	_	TokenRange=699:706
133	sobre	_	ADP	ADP	_	134	case	_	TokenRange=707:712
134	ele	_	PRON	PRON	_	132	nmod	_	TokenRange=713:716
135	aqui	aqui	ADV	ADV	_	94	advmod	_	TokenRange=717:721
136	mesmo	mesmo	ADV	ADV	_	139	advmod	_	TokenRange=722:727
137-138	no	_	_	_	_	_	_	_	TokenRange=728:730
137	em	em	ADP	ADP	_	139	case	_	_
138	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	139	det	_	_
139	estadao	estadao	NOUN	NOUN	_	298	nmod	_	TokenRange=731:738
140	todo	_	DET	DET	_	141	det	_	TokenRange=739:743
141	mundo	mundo	NOUN	NOUN	_	139	appos	_	TokenRange=744:749
142	o	_	PRON	PRON	_	144	obj	_	TokenRange=750:751
143	considera	considerar	AUX	AUX	_	144	cop	_	TokenRange=752:761
144	um	_	PRON	PRON	_	1	parataxis	_	TokenRange=762:764
145-146	dos	_	_	_	_	_	_	_	TokenRange=765:768
145	de	de	ADP	ADP	_	147	case	_	_
146	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	147	det	_	_
147	pais	_	NOUN	NOUN	_	144	nmod	_	TokenRange=769:773
148-149	do	_	_	_	_	_	_	_	TokenRange=774:776
148	de	de	ADP	ADP	_	151	case	_	_
149	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	151	det	_	_
150	moderno	moderno	ADJ	ADJ	_	151	amod	_	TokenRange=777:784
151	cinema	cinema	NOUN	NOUN	_	147	nmod	_	TokenRange=785:791
152	latinoamericano	latinoamericano	ADJ	ADJ	_	151	amod	_	TokenRange=792:807
153	mas	mas	CCONJ	CONJ	_	158	cc	_	TokenRange=808:811
154	o	o	DET	DET	_	155	det	_	TokenRange=812:813
155	argentino	argentino	NOUN	NOUN	_	51	nsubj	_	TokenRange=814:823
156	fernando	fernar	VERB	VERB	_	155	appos	_	TokenRange=824:832
157	birri	_	NOUN	NOUN	_	156	flat	_	TokenRange=833:838
158	prefere	preferir	VERB	VERB	_	1	conj	_	TokenRange=839:846
159	que	que	CCONJ	CONJ	_	161	mark	_	TokenRange=847:850
160	o	_	PRON	PRON	_	161	obj	_	TokenRange=851:852
161	chamem	chamar	VERB	VERB	_	158	ccomp	_	TokenRange=853:859
162	de	de	ADP	ADP	_	163	case	_	TokenRange=860:862
163	mascate	mascate	NOUN	NOUN	_	161	nmod	_	TokenRange=863:870
164	de	de	ADP	ADP	_	165	case	_	TokenRange=871:873
165	imagens	imagem	NOUN	NOUN	_	163	nmod	_	TokenRange=874:881
166	foi	_	VERB	VERB	_	78	parataxis	_	TokenRange=882:885
167	assim	assim	ADV	ADV	_	168	advmod	_	TokenRange=886:891
168	mesmo	mesmo	ADV	ADV	_	166	advmod	_	TokenRange=892:897
169	que	que	CCONJ	CONJ	_	172	mark	_	TokenRange=898:901
170	ele	_	PRON	PRON	_	172	nsubj	_	TokenRange=902:905
171	se	_	PRON	PRON	_	172	expl:pv	_	TokenRange=906:908
172	definiu	definir	VERB	VERB	_	166	csubj	_	TokenRange=909:916
173	em	em	ADP	ADP	_	176	case	_	TokenRange=917:919
174	sua	_	DET	DET	_	176	det:poss	_	TokenRange=920:923
175	recente	recente	ADJ	ADJ	_	176	amod	_	TokenRange=924:931
176	passagem	passagem	NOUN	NOUN	_	172	nmod	_	TokenRange=932:940
177-178	pelo	_	_	_	_	_	_	_	TokenRange=941:945
177	por	por	ADP	ADP	_	179	case	_	_
178	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	179	det	_	_
179	brasil	brasil	NOUN	NOUN	_	176	nmod	_	TokenRange=946:952
180-181	no	_	_	_	_	_	_	_	TokenRange=953:955
180	em	em	ADP	ADP	_	182	case	_	_
181	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	182	det	_	_
182	cine	cine	NOUN	NOUN	_	54	nmod	_	TokenRange=956:960
183	ceara	ceara	NOUN	NOUN	_	182	amod	_	TokenRange=961:966
184	onde	onde	ADV	ADV	_	186	advmod	_	TokenRange=967:971
185	foi	_	AUX	AUX	_	186	aux	_	TokenRange=972:975
186	apresentar	apresentar	VERB	VERB	_	182	acl:relcl	_	TokenRange=976:986
187	seu	_	DET	DET	_	188	det:poss	_	TokenRange=987:990
188	filme	filme	NOUN	NOUN	_	186	obj	_	TokenRange=991:996
189	mi	_	PROPN	PNOUN	_	190	det:poss	_	TokenRange=997:999
190	hijo	_	PROPN	PNOUN	_	188	appos	_	TokenRange=1000:1004
191	el	_	PROPN	PNOUN	_	192	det	_	TokenRange=1005:1007
192	che	_	PROPN	PNOUN	_	190	flat	_	TokenRange=1008:1011
193	feito	_	VERB	VERB	_	188	acl	_	TokenRange=1012:1017
194	a	_	ADP	ADP	_	195	mark	_	TokenRange=1018:1019
195	partir	partir	VERB	VERB	_	193	nmod	_	TokenRange=1020:1026
196	de	de	ADP	ADP	_	197	case	_	TokenRange=1027:1029
197	entrevistas	entrevista	NOUN	NOUN	_	195	nmod	_	TokenRange=1030:1041
198	com	com	ADP	ADP	_	200	case	_	TokenRange=1042:1045
199	o	o	DET	DET	_	200	det	_	TokenRange=1046:1047
200	pai	pai	NOUN	NOUN	_	197	nmod	_	TokenRange=1048:1051
201	de	de	ADP	ADP	_	203	case	_	TokenRange=1052:1054
202	che	_	DET	DET	_	203	det	_	TokenRange=1055:1058
203	guevara	guevar	NOUN	NOUN	_	200	nmod	_	TokenRange=1059:1066
204	ernesto	ernesto	ADJ	ADJ	_	205	amod	_	TokenRange=1067:1074
205	guevara	guevar	NOUN	NOUN	_	200	appos	_	TokenRange=1075:1082
206	lynch	_	ADJ	ADV	_	209	nsubj	_	TokenRange=1083:1088
207	sou	ser	AUX	AUX	_	209	cop	_	TokenRange=1089:1092
208	um	um	DET	DET	_	209	det	_	TokenRange=1093:1095
209	errante	errante	NOUN	NOUN	_	51	conj	_	TokenRange=1096:1103
210	sigo	_	VERB	VERB	_	209	csubj	_	TokenRange=1104:1108
211-212	pelos	_	_	_	_	_	_	_	TokenRange=1109:1114
211	por	por	ADP	ADP	_	213	case	_	_
212	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	213	det	_	_
213	paises	paise	NOUN	NOUN	_	210	nmod	_	TokenRange=1115:1121
214-215	do	_	_	_	_	_	_	_	TokenRange=1122:1124
214	de	de	ADP	ADP	_	216	case	_	_
215	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	216	det	_	_
216	mundo	mundo	NOUN	NOUN	_	213	nmod	_	TokenRange=1125:1130
217	com	com	ADP	ADP	_	220	case	_	TokenRange=1131:1134
218	essas	_	DET	DET	_	220	det	_	TokenRange=1135:1140
219	pequenas	pequeno	ADJ	ADJ	_	220	amod	_	TokenRange=1141:1149
220	imagens	imagem	NOUN	NOUN	_	210	nmod	_	TokenRange=1150:1157
221-222	no	_	_	_	_	_	_	_	TokenRange=1158:1160
221	em	em	ADP	ADP	_	223	case	_	_
222	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	223	det	_	_
223	bau	bau	NOUN	NOUN	_	220	nmod	_	TokenRange=1161:1164
224	como	_	CCONJ	CONJ	_	247	mark	_	TokenRange=1165:1169
225	os	o	DET	DET	_	227	det	_	TokenRange=1170:1172
226	antigos	antigo	ADJ	ADJ	_	227	amod	_	TokenRange=1173:1180
227	caixeirosviajavam	_	VERB	VERB	_	237	nsubj	_	TokenRange=1181:1198
228-229	pelas	_	_	_	_	_	_	_	TokenRange=1199:1204
228	por	por	ADP	ADP	_	230	case	_	_
229	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	230	det	_	_
230	estradas	estrada	NOUN	NOUN	_	227	nmod	_	TokenRange=1205:1213
231	com	com	ADP	ADP	_	233	case	_	TokenRange=1214:1217
232	seus	_	DET	DET	_	233	det:poss	_	TokenRange=1218:1222
233	tecidos	tecido	NOUN	NOUN	_	227	nmod	_	TokenRange=1223:1230
234	e	e	CCONJ	CONJ	_	236	cc	_	TokenRange=1231:1232
235	seus	_	DET	DET	_	236	det:poss	_	TokenRange=1233:1237
236	botoes	botoe	NOUN	NOUN	_	233	conj	_	TokenRange=1238:1244
237	disse	dizer	VERB	VERB	_	247	conj	_	TokenRange=1245:1250
238-239	na	_	_	_	_	_	_	_	TokenRange=1251:1253
238	em	em	ADP	ADP	_	240	case	_	_
239	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	240	det	_	_
240	apresentacao	apresentacao	NOUN	NOUN	_	247	nmod	_	TokenRange=1254:1266
241-242	do	_	_	_	_	_	_	_	TokenRange=1267:1269
241	de	de	ADP	ADP	_	243	case	_	_
242	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	243	det	_	_
243	filme	filme	NOUN	NOUN	_	240	nmod	_	TokenRange=1270:1275
244	em	em	ADP	ADP	_	245	case	_	TokenRange=1276:1278
245	fortaleza	fortaleza	NOUN	NOUN	_	227	nmod	_	TokenRange=1279:1288
246	vou	ir	AUX	AUX	_	247	aux	_	TokenRange=1289:1292
247	vendo	_	VERB	VERB	_	78	advcl	_	TokenRange=1293:1298
248	o	_	PRON	PRON	_	247	obj	_	TokenRange=1299:1300
249	que	_	PRON	PRON	_	252	obj	_	TokenRange=1301:1304
250	as	o	DET	DET	_	251	det	_	TokenRange=1305:1307
251	pessoas	pessoa	NOUN	NOUN	_	252	nsubj	_	TokenRange=1308:1315
252	precisam	precisar	VERB	VERB	_	248	acl:relcl	_	TokenRange=1316:1324
253	e	e	CCONJ	CONJ	_	271	cc	_	TokenRange=1325:1326
254	se	_	CCONJ	CONJ	_	255	mark	_	TokenRange=1327:1329
255	estiver	estar	VERB	VERB	_	271	advcl	_	TokenRange=1330:1337
256-257	ao	_	_	_	_	_	_	_	TokenRange=1338:1340
256	a	a	ADP	ADP	_	259	case	_	_
257	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	259	det	_	_
258	meu	_	DET	DET	_	259	det:poss	_	TokenRange=1341:1344
259	alcance	alcance	NOUN	NOUN	_	255	nmod	_	TokenRange=1345:1352
260	fornecolhes	fornecolher	VERB	VERB	_	255	conj	_	TokenRange=1353:1364
261	essas	_	DET	DET	_	264	det	_	TokenRange=1365:1370
262	minhas	_	DET	DET	_	264	det:poss	_	TokenRange=1371:1377
263	modestas	modesto	ADJ	ADJ	_	264	amod	_	TokenRange=1378:1386
264	imagens	imagem	NOUN	NOUN	_	260	nsubj	_	TokenRange=1387:1394
265	o	o	DET	DET	_	266	det	_	TokenRange=1395:1396
266	mascate	mascate	NOUN	NOUN	_	271	nsubj	_	TokenRange=1397:1404
267	de	de	ADP	ADP	_	268	case	_	TokenRange=1405:1407
268	imagens	imagem	NOUN	NOUN	_	266	nmod	_	TokenRange=1408:1415
269	nao	nao	ADV	ADV	Polarity=Neg	271	advmod	_	TokenRange=1416:1419
270	poderia	poder	AUX	AUX	_	271	aux	_	TokenRange=1420:1427
271	ter	ter	VERB	VERB	_	247	conj	_	TokenRange=1428:1431
272	aparencia	aparencia	NOUN	NOUN	_	271	obj	_	TokenRange=1432:1441
273	mais	mais	ADV	ADV	_	274	advmod	_	TokenRange=1442:1446
274	apropriada	apropriado	ADJ	ADJ	_	272	amod	_	TokenRange=1447:1457
275	alias	_	ADV	ADV	_	279	advmod	_	TokenRange=1458:1463
276	ele	_	PRON	PRON	_	279	nsubj	_	TokenRange=1464:1467
277	mesmo	mesmo	ADJ	ADJ	_	276	amod	_	TokenRange=1468:1473
278	se	_	PRON	PRON	_	279	expl:pv	_	TokenRange=1474:1476
279	parece	parecer	VERB	VERB	_	247	conj	_	TokenRange=1477:1483
280	com	com	ADP	ADP	_	282	case	_	TokenRange=1484:1487
281	o	o	DET	DET	_	282	det	_	TokenRange=1488:1489
282	titulo	titulo	NOUN	NOUN	_	279	nmod	_	TokenRange=1490:1496
283	de	de	ADP	ADP	_	284	case	_	TokenRange=1497:1499
284	outro	_	PRON	PRON	_	282	nmod	_	TokenRange=1500:1505
285-286	dos	_	_	_	_	_	_	_	TokenRange=1506:1509
285	de	de	ADP	ADP	_	288	case	_	_
286	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	288	det	_	_
287	seus	_	DET	DET	_	288	det:poss	_	TokenRange=1510:1514
288	filmes	filme	NOUN	NOUN	_	284	nmod	_	TokenRange=1515:1521
289	um	um	DET	DET	_	290	det	_	TokenRange=1522:1524
290	senhor	senhor	NOUN	NOUN	_	288	appos	_	TokenRange=1525:1531
291	muito	muito	ADV	ADV	_	292	advmod	_	TokenRange=1532:1537
292	velho	velho	ADJ	ADJ	_	290	amod	_	TokenRange=1538:1543
293	com	com	ADP	ADP	_	295	case	_	TokenRange=1544:1547
294	as	o	DET	DET	_	295	det	_	TokenRange=1548:1550
295	asas	asa	NOUN	NOUN	_	290	nmod	_	TokenRange=1551:1555
296	enormes	enorme	ADJ	ADJ	_	295	amod	_	TokenRange=1556:1563
297	titulo	titulo	NOUN	NOUN	_	282	appos	_	TokenRange=1564:1570
298	adaptado	adaptar	VERB	VERB	_	297	acl	_	TokenRange=1571:1579
299	de	de	ADP	ADP	_	282	case	_	SpacesAfter=\s\s|TokenRange=1580:1582

