# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = prefeito de porto alegre pede ao governo federal reforco na seguranca para julgamento de lula oficios foram enviados ao presidente michel temer pmdb ao ministro da defesa raul jungmann e tambem ao governador jose ivo sartori pmdb e ao secretario da seguranca publica do rio grande do sul cezar schirmer a prefeitura de porto alegre pediu ao governo federal que a seguranca seja reforcada para o julgamento do expresidente luiz inacio lula da silva marcado para 24 de janeiro no tribunal regional federal da 4 regiao trf4 que fica no bairro praia de belas regiao central da cidade lula foi condenado em primeira instancia na lava jato por corrupcao passiva e lavagem de dinheiro a 9 anos e 6 meses de prisao e recorre em liberdade o trf4 julga os processos a lava jato em segunda instancia conforme nota divulgada pela prefeitura nelson marchezan junior psdb pediu o reforco para preservar a integridade dos cidadaos e do patrimonio coletivo leia o comunicado abaixo na integra ao g1 o ministro da defesa raul jungmann explicou que conforme a constituicao caberia ao governador solicitar ao presidente da republica a acao de glo garantia da lei e da ordem para o emprego das forcas armadas questionada pelo g1 a
1	prefeito	prefeito	NOUN	NOUN	_	5	nsubj	_	TokenRange=0:8
20	enviados	enviar	VERB	VERB	_	5	parataxis	_	TokenRange=108:116
21-22	ao	_	_	_	_	_	_	_	TokenRange=117:119
21	a	a	ADP	ADP	_	23	case	_	_
22	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	23	det	_	_
23	presidente	presidente	NOUN	NOUN	_	20	iobj	_	TokenRange=120:130
24	michel	michel	ADJ	ADJ	_	23	amod	_	TokenRange=131:137
25	temer	temer	NOUN	NOUN	_	23	appos	_	TokenRange=138:143
26	pmdb	_	NOUN	NOUN	_	23	appos	_	TokenRange=144:148
27-28	ao	_	_	_	_	_	_	_	TokenRange=149:151
27	a	a	ADP	ADP	_	29	case	_	_
28	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	29	det	_	_
29	ministro	ministro	NOUN	NOUN	_	20	iobj	_	TokenRange=152:160
30-31	da	_	_	_	_	_	_	_	TokenRange=161:163
30	de	de	ADP	ADP	_	32	case	_	_
31	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	32	det	_	_
32	defesa	_	NOUN	NOUN	_	29	nmod	_	TokenRange=164:170
33	raul	raul	NOUN	NOUN	_	29	appos	_	TokenRange=171:175
34	jungmann	_	NOUN	NOUN	_	33	flat	_	TokenRange=176:184
35	e	e	CCONJ	CONJ	_	39	cc	_	TokenRange=185:186
36	tambem	tambem	ADV	ADV	_	39	advmod	_	TokenRange=187:193
37-38	ao	_	_	_	_	_	_	_	TokenRange=194:196
37	a	a	ADP	ADP	_	39	case	_	_
38	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	39	det	_	_
39	governador	governador	NOUN	NOUN	_	29	conj	_	TokenRange=197:207
40	jose	jose	NOUN	NOUN	_	39	appos	_	TokenRange=208:212
41	ivo	ivo	NOUN	NOUN	_	40	flat	_	TokenRange=213:216
42	sartori	sartori	NOUN	NOUN	_	40	flat	_	TokenRange=217:224
43	pmdb	_	NOUN	NOUN	_	40	flat	_	TokenRange=225:229
44	e	e	CCONJ	CONJ	_	47	cc	_	TokenRange=230:231
45-46	ao	_	_	_	_	_	_	_	TokenRange=232:234
45	a	a	ADP	ADP	_	47	case	_	_
46	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	47	det	_	_
47	secretario	secretario	NOUN	NOUN	_	23	conj	_	TokenRange=235:245
48-49	da	_	_	_	_	_	_	_	TokenRange=246:248
48	de	de	ADP	ADP	_	50	case	_	_
49	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	50	det	_	_
50	seguranca	_	NOUN	NOUN	_	47	nmod	_	TokenRange=249:258
51	publica	publico	ADJ	ADJ	_	50	amod	_	TokenRange=259:266
52-53	do	_	_	_	_	_	_	_	TokenRange=267:269
52	de	de	ADP	ADP	_	54	case	_	_
53	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	54	det	_	_
54	rio	rio	NOUN	NOUN	_	47	nmod	_	TokenRange=270:273
55	grande	grande	ADJ	ADJ	_	54	amod	_	TokenRange=274:280
56-57	do	_	_	_	_	_	_	_	TokenRange=281:283
56	de	de	ADP	ADP	_	58	case	_	_
57	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	58	det	_	_
58	sul	sul	NOUN	NOUN	_	54	nmod	_	TokenRange=284:287
59	cezar	cezar	VERB	VERB	_	47	appos	_	TokenRange=288:293
60	schirmer	schirmer	NOUN	NOUN	_	59	flat	_	TokenRange=294:302
61	a	o	DET	DET	_	62	det	_	TokenRange=303:304
62	prefeitura	prefeitura	NOUN	NOUN	_	166	nsubj	_	TokenRange=305:315
63	de	de	ADP	ADP	_	64	case	_	TokenRange=316:318
64	porto	porto	NOUN	NOUN	_	62	nmod	_	TokenRange=319:324
65	alegre	alegre	ADJ	ADJ	_	64	amod	_	TokenRange=325:331
66	pediu	pedir	VERB	VERB	_	5	parataxis	_	TokenRange=332:337
67-68	ao	_	_	_	_	_	_	_	TokenRange=338:340
67	a	a	ADP	ADP	_	69	case	_	_
68	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	69	det	_	_
69	governo	governo	NOUN	NOUN	_	66	iobj	_	TokenRange=341:348
70	federal	federal	ADJ	ADJ	_	69	amod	_	TokenRange=349:356
71	que	que	CCONJ	CONJ	_	75	mark	_	TokenRange=357:360
72	a	o	DET	DET	_	73	det	_	TokenRange=361:362
73	seguranca	_	NOUN	NOUN	_	75	nsubj:pass	_	TokenRange=363:372
74	seja	ser	AUX	AUX	_	75	aux:pass	_	TokenRange=373:377
75	reforcada	reforcar	VERB	VERB	_	66	ccomp	_	TokenRange=378:387
76	para	para	ADP	ADP	_	78	case	_	TokenRange=388:392
77	o	o	DET	DET	_	78	det	_	TokenRange=393:394
78	julgamento	julgamento	NOUN	NOUN	_	75	nmod	_	TokenRange=395:405
79-80	do	_	_	_	_	_	_	_	TokenRange=406:408
79	de	de	ADP	ADP	_	81	case	_	_
80	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	81	det	_	_
81	expresidente	expresidente	NOUN	NOUN	_	78	nmod	_	TokenRange=409:421
82	luiz	luiz	NOUN	ADJ	_	81	appos	_	TokenRange=422:426
83	inacio	_	NOUN	NOUN	_	82	flat	_	TokenRange=427:433
84	lula	_	NOUN	NOUN	_	82	flat	_	TokenRange=434:438
85-86	da	_	_	_	_	_	_	_	TokenRange=439:441
85	de	de	ADP	ADP	_	87	case	_	_
86	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	87	det	_	_
87	silva	silva	NOUN	NOUN	_	82	nmod	_	TokenRange=442:447
88	marcado	marcar	VERB	VERB	_	81	acl	_	TokenRange=448:455
89	para	para	ADP	ADP	_	90	case	_	TokenRange=456:460
90	24	_	NUM	NUM	NumType=Card	88	nmod	_	TokenRange=461:463
91	de	de	ADP	ADP	_	92	case	_	TokenRange=464:466
92	janeiro	_	PROPN	PNOUN	_	90	nmod	_	TokenRange=467:474
93-94	no	_	_	_	_	_	_	_	TokenRange=475:477
93	em	em	ADP	ADP	_	95	case	_	_
94	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	95	det	_	_
95	tribunal	tribunal	NOUN	NOUN	_	118	nmod	_	TokenRange=478:486
96	regional	regional	ADJ	ADJ	_	95	amod	_	TokenRange=487:495
97	federal	federal	ADJ	ADJ	_	95	amod	_	TokenRange=496:503
98-99	da	_	_	_	_	_	_	_	TokenRange=504:506
98	de	de	ADP	ADP	_	101	case	_	_
99	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	101	det	_	_
100	4	_	NUM	NUM	NumType=Card	101	nummod	_	TokenRange=507:508
101	regiao	regiao	NOUN	NOUN	_	95	nmod	_	TokenRange=509:515
102	trf4	_	NOUN	NOUN	_	95	appos	_	TokenRange=516:520
103	que	_	PRON	PRON	_	104	nsubj	_	TokenRange=521:524
104	fica	ficar	VERB	VERB	_	95	acl:relcl	_	TokenRange=525:529
105-106	no	_	_	_	_	_	_	_	TokenRange=530:532
105	em	em	ADP	ADP	_	107	case	_	_
106	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	107	det	_	_
107	bairro	bairro	NOUN	NOUN	_	104	nmod	_	TokenRange=533:539
108	praia	praia	NOUN	NOUN	_	107	appos	_	TokenRange=540:545
109	de	de	ADP	ADP	_	110	case	_	TokenRange=546:548
110	belas	bela	NOUN	NOUN	_	108	nmod	_	TokenRange=549:554
111	regiao	regiao	NOUN	NOUN	_	233	nmod	_	TokenRange=555:561
112	central	central	ADJ	ADJ	_	111	amod	_	TokenRange=562:569
113-114	da	_	_	_	_	_	_	_	TokenRange=570:572
113	de	de	ADP	ADP	_	115	case	_	_
114	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	115	det	_	_
115	cidade	cidade	NOUN	NOUN	_	111	nmod	_	TokenRange=573:579
116	lula	lula	NOUN	NOUN	_	118	nsubj:pass	_	TokenRange=580:584
117	foi	_	AUX	AUX	_	118	aux:pass	_	TokenRange=585:588
118	condenado	condenar	VERB	VERB	_	198	ccomp	_	TokenRange=589:598
119	em	em	ADP	ADP	_	121	case	_	TokenRange=599:601
120	primeira	primeiro	ADJ	ADJ	_	121	amod	_	TokenRange=602:610
121	instancia	instancia	NOUN	NOUN	_	118	nmod	_	TokenRange=611:620
122-123	na	_	_	_	_	_	_	_	TokenRange=621:623
122	em	em	ADP	ADP	_	124	case	_	_
123	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	124	det	_	_
124	lava	lava	NOUN	NOUN	_	118	nmod	_	TokenRange=624:628
125	jato	jato	ADJ	ADJ	_	124	amod	_	TokenRange=629:633
126	por	por	ADP	ADP	_	127	case	_	TokenRange=634:637
127	corrupcao	corrupcao	NOUN	NOUN	_	118	nmod	_	TokenRange=638:647
128	passiva	passivo	ADJ	ADJ	_	127	amod	_	TokenRange=648:655
129	e	e	CCONJ	CONJ	_	130	cc	_	TokenRange=656:657
130	lavagem	lavagem	NOUN	NOUN	_	127	conj	_	TokenRange=658:665
131	de	de	ADP	ADP	_	132	case	_	TokenRange=666:668
132	dinheiro	dinheiro	NOUN	NOUN	_	130	nmod	_	TokenRange=669:677
133	a	_	ADP	ADP	_	135	case	_	TokenRange=678:679
134	9	_	NUM	NUM	NumType=Card	135	nummod	_	TokenRange=680:681
135	anos	ano	NOUN	NOUN	_	118	nmod	_	TokenRange=682:686
136	e	e	CCONJ	CONJ	_	138	cc	_	TokenRange=687:688
137	6	_	NUM	NUM	NumType=Card	138	nummod	_	TokenRange=689:690
138	meses	mês	NOUN	NOUN	_	135	conj	_	TokenRange=691:696
139	de	de	ADP	ADP	_	140	case	_	TokenRange=697:699
140	prisao	prisao	NOUN	NOUN	_	138	nmod	_	TokenRange=700:706
141	e	e	CCONJ	CONJ	_	142	cc	_	TokenRange=707:708
142	recorre	recorrer	VERB	VERB	_	20	conj	_	TokenRange=709:716
143	em	em	ADP	ADP	_	144	case	_	TokenRange=717:719
144	liberdade	liberdade	NOUN	NOUN	_	142	nmod	_	TokenRange=720:729
145	o	o	DET	DET	_	146	det	_	TokenRange=730:731
146	trf4	_	NOUN	NOUN	_	147	nsubj	_	TokenRange=732:736
147	julga	julgar	VERB	VERB	_	20	conj	_	TokenRange=737:742
148	os	o	DET	DET	_	149	det	_	TokenRange=743:745
149	processos	processo	NOUN	NOUN	_	147	obj	_	TokenRange=746:755
150	a	_	ADP	DET	_	151	case	_	TokenRange=756:757
151	lava	lava	NOUN	NOUN	_	149	nmod	_	TokenRange=758:762
152	jato	jato	NOUN	NOUN	_	151	flat	_	TokenRange=763:767
153	em	em	ADP	ADP	_	155	case	_	TokenRange=768:770
154	segunda	segundo	ADJ	ADJ	_	155	amod	_	TokenRange=771:778
155	instancia	instancia	NOUN	NOUN	_	47	nmod	_	TokenRange=779:788
156	conforme	_	ADP	ADP	_	157	case	_	TokenRange=789:797
157	nota	nota	NOUN	NOUN	_	166	nmod	_	TokenRange=798:802
158	divulgada	divulgar	VERB	VERB	_	157	acl	_	TokenRange=803:812
159-160	pela	_	_	_	_	_	_	_	TokenRange=813:817
159	por	por	ADP	ADP	_	161	case	_	_
160	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	161	det	_	_
161	prefeitura	prefeitura	NOUN	NOUN	_	158	nmod	_	TokenRange=818:828
162	nelson	_	NOUN	NOUN	_	39	appos	_	TokenRange=829:835
163	marchezan	marchezan	NOUN	NOUN	_	162	flat	_	TokenRange=836:845
164	junior	_	ADJ	ADJ	_	162	amod	_	TokenRange=846:852
165	psdb	_	PROPN	PNOUN	_	162	appos	_	TokenRange=853:857
166	pediu	pedir	VERB	VERB	_	20	conj	_	TokenRange=858:863
167	o	o	DET	DET	_	168	det	_	TokenRange=864:865
168	reforco	reforco	NOUN	NOUN	_	166	obj	_	TokenRange=866:873
169	para	_	ADP	ADP	_	170	mark	_	TokenRange=874:878
170	preservar	preservar	VERB	VERB	_	166	advcl	_	TokenRange=879:888
171	a	o	DET	DET	_	172	det	_	TokenRange=889:890
172	integridade	integridade	NOUN	NOUN	_	170	obj	_	TokenRange=891:902
173-174	dos	_	_	_	_	_	_	_	TokenRange=903:906
173	de	de	ADP	ADP	_	175	case	_	_
174	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	175	det	_	_
175	cidadaos	cidadao	NOUN	NOUN	_	172	nmod	_	TokenRange=907:915
176	e	e	CCONJ	CONJ	_	179	cc	_	TokenRange=916:917
177-178	do	_	_	_	_	_	_	_	TokenRange=918:920
177	de	de	ADP	ADP	_	179	case	_	_
178	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	179	det	_	_
179	patrimonio	patrimonio	NOUN	NOUN	_	175	conj	_	TokenRange=921:931
180	coletivo	coletivo	ADJ	ADJ	_	179	amod	_	TokenRange=932:940
181	leia	ler	VERB	VERB	_	66	parataxis	_	TokenRange=941:945
182	o	o	DET	DET	_	183	det	_	TokenRange=946:947
183	comunicado	comunicado	NOUN	NOUN	_	181	obj	_	TokenRange=948:958
184	abaixo	abaixo	ADV	ADV	_	187	advmod	_	TokenRange=959:965
185-186	na	_	_	_	_	_	_	_	TokenRange=966:968
185	em	em	ADP	ADP	_	187	case	_	_
186	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	187	det	_	_
187	integra	_	NOUN	NOUN	_	181	nmod	_	TokenRange=969:976
188-189	ao	_	_	_	_	_	_	_	TokenRange=977:979
188	a	a	ADP	ADP	_	190	case	_	_
189	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	190	det	_	_
190	g1	_	PROPN	PNOUN	_	187	nmod	_	TokenRange=980:982
191	o	o	DET	DET	_	192	det	_	TokenRange=983:984
192	ministro	ministro	NOUN	NOUN	_	198	nsubj	_	TokenRange=985:993
193-194	da	_	_	_	_	_	_	_	TokenRange=994:996
193	de	de	ADP	ADP	_	195	case	_	_
194	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	195	det	_	_
195	defesa	_	NOUN	NOUN	_	192	nmod	_	TokenRange=997:1003
196	raul	raul	PROPN	PNOUN	_	192	appos	_	TokenRange=1004:1008
197	jungmann	_	PROPN	PNOUN	_	196	flat	_	TokenRange=1009:1017
198	explicou	explicar	VERB	VERB	_	66	parataxis	_	TokenRange=1018:1026
199	que	que	CCONJ	CONJ	_	203	mark	_	TokenRange=1027:1030
200	conforme	_	CCONJ	CONJ	_	203	mark	_	TokenRange=1031:1039
201	a	o	DET	DET	_	202	det	_	TokenRange=1040:1041
202	constituicao	constituicao	NOUN	NOUN	_	203	nsubj	_	TokenRange=1042:1054
203	caberia	caber	VERB	VERB	_	198	ccomp	_	TokenRange=1055:1062
204-205	ao	_	_	_	_	_	_	_	TokenRange=1063:1065
204	a	a	ADP	ADP	_	206	case	_	_
205	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	206	det	_	_
206	governador	governador	NOUN	NOUN	_	203	iobj	_	TokenRange=1066:1076
207	solicitar	solicitar	VERB	VERB	_	203	ccomp	_	TokenRange=1077:1086
208-209	ao	_	_	_	_	_	_	_	TokenRange=1087:1089
208	a	a	ADP	ADP	_	210	case	_	_
209	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	210	det	_	_
210	presidente	presidente	NOUN	NOUN	_	207	iobj	_	TokenRange=1090:1100
211-212	da	_	_	_	_	_	_	_	TokenRange=1101:1103
211	de	de	ADP	ADP	_	213	case	_	_
212	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	213	det	_	_
213	republica	_	NOUN	NOUN	_	210	nmod	_	TokenRange=1104:1113
214	a	o	DET	DET	_	215	det	_	TokenRange=1114:1115
215	acao	acao	NOUN	NOUN	_	207	obj	_	TokenRange=1116:1120
216	de	de	ADP	ADP	_	217	case	_	TokenRange=1121:1123
217	glo	_	NOUN	NOUN	_	215	nmod	_	TokenRange=1124:1127
218	garantia	garantia	NOUN	NOUN	_	215	appos	_	TokenRange=1128:1136
219-220	da	_	_	_	_	_	_	_	TokenRange=1137:1139
219	de	de	ADP	ADP	_	221	case	_	_
220	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	221	det	_	_
221	lei	lei	NOUN	NOUN	_	218	nmod	_	TokenRange=1140:1143
222	e	e	CCONJ	CONJ	_	225	cc	_	TokenRange=1144:1145
223-224	da	_	_	_	_	_	_	_	TokenRange=1146:1148
223	de	de	ADP	ADP	_	225	case	_	_
224	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	225	det	_	_
225	ordem	ordem	NOUN	NOUN	_	221	conj	_	TokenRange=1149:1154
226	para	para	ADP	ADP	_	228	case	_	TokenRange=1155:1159
227	o	o	DET	DET	_	228	det	_	TokenRange=1160:1161
228	emprego	emprego	NOUN	NOUN	_	225	nmod	_	TokenRange=1162:1169
229-230	das	_	_	_	_	_	_	_	TokenRange=1170:1173
229	de	de	ADP	ADP	_	231	case	_	_
230	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	231	det	_	_
231	forcas	forca	NOUN	NOUN	_	228	nmod	_	TokenRange=1174:1180
232	armadas	armado	ADJ	ADJ	_	231	amod	_	TokenRange=1181:1188
233	questionada	questionar	VERB	VERB	_	218	acl	_	TokenRange=1189:1200
234-235	pelo	_	_	_	_	_	_	_	TokenRange=1201:1205
234	por	por	ADP	ADP	_	236	case	_	_
235	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	236	det	_	_
236	g1	_	NOUN	NOUN	_	233	nmod	_	TokenRange=1206:1208
237	a	_	ADP	ADP	_	236	case	_	SpacesAfter=\s\s|TokenRange=1209:1210

