# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = quartafeira 14 de fevereiro de 2018 boa noite aqui estao as principais noticias para voce terminar o dia beminformado a beijaflor se sagrou a grande campea do carnaval do rio 2018 a escola de nilopolis levou seu 14 titulo com enredo que falava de corrupcao e intolerancia o vicecampeonato ficou para a surpreendente paraiso do tuiuti que tambem fez um desfile com muitos protestos ja em clima de fim de carnaval a presidente do stf carmen lucia decidiu que o caso cristiane brasil e de competencia do stf e assim a posse da deputada como ministra do trabalho segue em suspenso em apuracao bastante acirrada a beijaflor levou o 14 titulo de sua historia o 9 nos ultimos 20 anos corrupcao desigualdade violencia e intolerancias de genero racial religiosa e ate esportiva formaram o cenario de brasil monstruoso do enredo comandado por neguinho da beijaflor o sambaenredo foi cantado em coro pelo publico da sapucai que ao final do desfile ocupou
1	quartafeira	quartafeira	NOUN	NOUN	_	26	parataxis	_	TokenRange=0:11
35	escola	escola	NOUN	NOUN	_	38	nsubj	_	TokenRange=182:188
36	de	de	ADP	ADP	_	37	case	_	TokenRange=189:191
37	nilopolis	_	NOUN	NOUN	_	35	nmod	_	TokenRange=192:201
38	levou	levar	VERB	VERB	_	26	conj	_	TokenRange=202:207
39	seu	_	DET	DET	_	41	det:poss	_	TokenRange=208:211
40	14	_	NUM	NUM	NumType=Card	41	nummod	_	TokenRange=212:214
41	titulo	titulo	NOUN	NOUN	_	38	obj	_	TokenRange=215:221
42	com	com	ADP	ADP	_	43	case	_	TokenRange=222:225
43	enredo	enredo	NOUN	NOUN	_	38	nmod	_	TokenRange=226:232
44	que	_	PRON	PRON	_	45	nsubj	_	TokenRange=233:236
45	falava	falar	VERB	VERB	_	43	acl:relcl	_	TokenRange=237:243
46	de	de	ADP	ADP	_	47	case	_	TokenRange=244:246
47	corrupcao	corrupcao	NOUN	NOUN	_	45	nmod	_	TokenRange=247:256
48	e	e	CCONJ	CONJ	_	49	cc	_	TokenRange=257:258
49	intolerancia	intolerancia	NOUN	NOUN	_	47	conj	_	TokenRange=259:271
50	o	o	DET	DET	_	51	det	_	TokenRange=272:273
51	vicecampeonato	vicecampeonato	NOUN	NOUN	_	52	nsubj	_	TokenRange=274:288
52	ficou	ficar	VERB	VERB	_	38	conj	_	TokenRange=289:294
53	para	para	ADP	ADP	_	56	case	_	TokenRange=295:299
54	a	o	DET	DET	_	56	det	_	TokenRange=300:301
55	surpreendente	surpreendente	ADJ	ADJ	_	56	amod	_	TokenRange=302:315
56	paraiso	paraiso	NOUN	NOUN	_	52	nmod	_	TokenRange=316:323
57-58	do	_	_	_	_	_	_	_	TokenRange=324:326
57	de	de	ADP	ADP	_	59	case	_	_
58	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	59	det	_	_
59	tuiuti	_	NOUN	NOUN	_	56	nmod	_	TokenRange=327:333
60	que	_	PRON	PRON	_	62	nsubj	_	TokenRange=334:337
61	tambem	tambem	ADV	ADV	_	62	advmod	_	TokenRange=338:344
62	fez	fazer	VERB	VERB	_	56	acl:relcl	_	TokenRange=345:348
63	um	um	DET	DET	_	64	det	_	TokenRange=349:351
64	desfile	desfile	NOUN	NOUN	_	62	obj	_	TokenRange=352:359
65	com	com	ADP	ADP	_	67	case	_	TokenRange=360:363
66	muitos	_	DET	DET	_	67	det	_	TokenRange=364:370
67	protestos	protesto	NOUN	NOUN	_	62	nmod	_	TokenRange=371:380
68	ja	ja	ADV	ADV	_	70	advmod	_	TokenRange=381:383
69	em	em	ADP	ADP	_	70	case	_	TokenRange=384:386
70	clima	clima	NOUN	NOUN	_	62	nmod	_	TokenRange=387:392
71	de	de	ADP	ADP	_	72	case	_	TokenRange=393:395
72	fim	fim	NOUN	NOUN	_	70	nmod	_	TokenRange=396:399
73	de	de	ADP	ADP	_	74	case	_	TokenRange=400:402
74	carnaval	carnaval	NOUN	NOUN	_	72	nmod	_	TokenRange=403:411
75	a	o	DET	DET	_	76	det	_	TokenRange=412:413
76	presidente	presidente	NOUN	NOUN	_	175	nsubj	_	TokenRange=414:424
77-78	do	_	_	_	_	_	_	_	TokenRange=425:427
77	de	de	ADP	ADP	_	79	case	_	_
78	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	79	det	_	_
79	stf	_	NOUN	NOUN	_	76	nmod	_	TokenRange=428:431
80	carmen	_	NOUN	NOUN	_	76	appos	_	TokenRange=432:438
81	lucia	_	NOUN	NOUN	_	80	flat	_	TokenRange=439:444
82	decidiu	decidir	VERB	VERB	_	56	acl:relcl	_	TokenRange=445:452
83	que	que	CCONJ	CONJ	_	159	mark	_	TokenRange=453:456
84	o	o	DET	DET	_	85	det	_	TokenRange=457:458
85	caso	caso	NOUN	NOUN	_	159	nsubj:pass	_	TokenRange=459:463
86	cristiane	cristiane	ADJ	ADJ	_	85	amod	_	TokenRange=464:473
87	brasil	brasil	ADJ	ADJ	_	85	amod	_	TokenRange=474:480
88	e	e	CCONJ	CONJ	_	90	cc	_	TokenRange=481:482
89	de	de	ADP	ADP	_	90	case	_	TokenRange=483:485
90	competencia	competencia	NOUN	NOUN	_	86	conj	_	TokenRange=486:497
91-92	do	_	_	_	_	_	_	_	TokenRange=498:500
91	de	de	ADP	ADP	_	93	case	_	_
92	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	93	det	_	_
93	stf	_	NOUN	NOUN	_	90	nmod	_	TokenRange=501:504
94	e	e	CCONJ	CONJ	_	159	cc	_	TokenRange=505:506
95	assim	assim	ADV	ADV	_	175	advmod	_	TokenRange=507:512
96	a	o	DET	DET	_	97	det	_	TokenRange=513:514
97	posse	posse	NOUN	NOUN	_	175	nsubj	_	TokenRange=515:520
98-99	da	_	_	_	_	_	_	_	TokenRange=521:523
98	de	de	ADP	ADP	_	100	case	_	_
99	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	100	det	_	_
100	deputada	deputado	NOUN	NOUN	_	97	nmod	_	TokenRange=524:532
101	como	como	ADP	ADP	_	102	case	_	TokenRange=533:537
102	ministra	_	NOUN	NOUN	_	97	nmod	_	TokenRange=538:546
103-104	do	_	_	_	_	_	_	_	TokenRange=547:549
103	de	de	ADP	ADP	_	105	case	_	_
104	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	105	det	_	_
105	trabalho	trabalho	NOUN	NOUN	_	102	nmod	_	TokenRange=550:558
106	segue	_	VERB	VERB	_	38	conj	_	TokenRange=559:564
107	em	_	ADP	ADP	_	108	mark	_	TokenRange=565:567
108	suspenso	suspenso	ADJ	ADJ	_	106	nmod	_	TokenRange=568:576
109	em	em	ADP	ADP	_	110	case	_	TokenRange=577:579
110	apuracao	apuracao	NOUN	NOUN	_	106	nmod	_	TokenRange=580:588
111	bastante	bastante	ADV	ADV	_	112	advmod	_	TokenRange=589:597
112	acirrada	acirrado	ADJ	ADJ	_	110	amod	_	TokenRange=598:606
113	a	o	DET	DET	_	114	det	_	TokenRange=607:608
114	beijaflor	_	NOUN	NOUN	_	175	nsubj	_	TokenRange=609:618
115	levou	levar	VERB	VERB	_	82	ccomp	_	TokenRange=619:624
116	o	o	DET	DET	_	118	det	_	TokenRange=625:626
117	14	_	NUM	NUM	NumType=Card	118	nummod	_	TokenRange=627:629
118	titulo	titulo	NOUN	NOUN	_	115	obj	_	TokenRange=630:636
119	de	de	ADP	ADP	_	121	case	_	TokenRange=637:639
120	sua	_	DET	DET	_	121	det:poss	_	TokenRange=640:643
121	historia	historia	NOUN	NOUN	_	118	nmod	_	TokenRange=644:652
122	o	o	DET	DET	_	123	det	_	TokenRange=653:654
123	9	_	NUM	NUM	NumType=Card	115	nsubj	_	TokenRange=655:656
124-125	nos	_	_	_	_	_	_	_	TokenRange=657:660
124	em	em	ADP	ADP	_	128	case	_	_
125	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	128	det	_	_
126	ultimos	ultimo	ADJ	ADJ	_	128	amod	_	TokenRange=661:668
127	20	_	NUM	NUM	NumType=Card	128	nummod	_	TokenRange=669:671
128	anos	ano	NOUN	NOUN	_	123	nmod	_	TokenRange=672:676
129	corrupcao	corrupcao	NOUN	NOUN	_	52	nsubj	_	TokenRange=677:686
130	desigualdade	desigualdade	ADJ	ADJ	_	129	amod	_	TokenRange=687:699
131	violencia	violencia	NOUN	NOUN	_	129	appos	_	TokenRange=700:709
132	e	e	CCONJ	CONJ	_	133	cc	_	TokenRange=710:711
133	intolerancias	intolerancia	NOUN	NOUN	_	131	conj	_	TokenRange=712:725
134	de	de	ADP	ADP	_	135	case	_	TokenRange=726:728
135	genero	genero	NOUN	NOUN	_	133	nmod	_	TokenRange=729:735
136	racial	racial	ADJ	ADJ	_	135	amod	_	TokenRange=736:742
137	religiosa	religioso	ADJ	ADJ	_	135	amod	_	TokenRange=743:752
138	e	e	CCONJ	CONJ	_	140	cc	_	TokenRange=753:754
139	ate	ate	ADV	ADV	_	140	advmod	_	TokenRange=755:758
140	esportiva	esportivo	ADJ	ADJ	_	137	conj	_	TokenRange=759:768
141	formaram	formar	VERB	VERB	_	38	conj	_	TokenRange=769:777
142	o	o	DET	DET	_	143	det	_	TokenRange=778:779
143	cenario	cenario	NOUN	NOUN	_	141	obj	_	TokenRange=780:787
144	de	de	ADP	ADP	_	145	case	_	TokenRange=788:790
145	brasil	brasil	NOUN	NOUN	_	143	nmod	_	TokenRange=791:797
146	monstruoso	monstruoso	ADJ	ADJ	_	145	amod	_	TokenRange=798:808
147-148	do	_	_	_	_	_	_	_	TokenRange=809:811
147	de	de	ADP	ADP	_	149	case	_	_
148	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	149	det	_	_
149	enredo	enredo	NOUN	NOUN	_	145	nmod	_	TokenRange=812:818
150	comandado	comandar	VERB	VERB	_	149	acl	_	TokenRange=819:828
151	por	por	ADP	ADP	_	152	case	_	TokenRange=829:832
152	neguinho	_	NOUN	NOUN	_	150	nmod	_	TokenRange=833:841
153-154	da	_	_	_	_	_	_	_	TokenRange=842:844
153	de	de	ADP	ADP	_	155	case	_	_
154	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	155	det	_	_
155	beijaflor	beijaflor	NOUN	NOUN	_	152	nmod	_	TokenRange=845:854
156	o	o	DET	DET	_	157	det	_	TokenRange=855:856
157	sambaenredo	_	NOUN	NOUN	_	159	nsubj:pass	_	TokenRange=857:868
158	foi	_	AUX	AUX	_	159	aux:pass	_	TokenRange=869:872
159	cantado	cantar	VERB	VERB	_	82	ccomp	_	TokenRange=873:880
160	em	em	ADP	ADP	_	161	case	_	TokenRange=881:883
161	coro	coro	NOUN	NOUN	_	159	nmod	_	TokenRange=884:888
162-163	pelo	_	_	_	_	_	_	_	TokenRange=889:893
162	por	por	ADP	ADP	_	164	case	_	_
163	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	164	det	_	_
164	publico	_	NOUN	NOUN	_	159	nmod	_	TokenRange=894:901
165-166	da	_	_	_	_	_	_	_	TokenRange=902:904
165	de	de	ADP	ADP	_	167	case	_	_
166	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	167	det	_	_
167	sapucai	sapucai	NOUN	NOUN	_	164	nmod	_	TokenRange=905:912
168	que	_	PRON	PRON	_	175	nsubj	_	TokenRange=913:916
169-170	ao	_	_	_	_	_	_	_	TokenRange=917:919
169	a	a	ADP	ADP	_	171	case	_	_
170	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	171	det	_	_
171	final	final	NOUN	NOUN	_	175	nmod	_	TokenRange=920:925
172-173	do	_	_	_	_	_	_	_	TokenRange=926:928
172	de	de	ADP	ADP	_	174	case	_	_
173	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	174	det	_	_
174	desfile	desfile	NOUN	NOUN	_	171	nmod	_	TokenRange=929:936
175	ocupou	ocupar	VERB	VERB	_	164	acl:relcl	_	SpacesAfter=\s\s|TokenRange=937:943

