# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = sabe como chamo o celular e a internet praia dos covardes diz rosamaria murtinho a atriz participou da primeira fase de deus salve o rei como a rainha de montemor ela tem 82 anos e gosta do contato humano comunicarse com alguem atraves de mensagens instantaneas raramente o negocio dela e ouvir a voz do outro tive que me tornar uma pessoa mais tecnologica e aceitar essa coisa horrorosa celular que nao e da minha geracao mas tem certas coisas das quais nao abro mao como uma ligacao telefonica nao posso ficar procurando por mensagens de quem quer falar comigo quem quiser e so me telefonar ficar com celular na mao esta virando vicio diz rosamaria murtinho casada ha quase 60 anos com o ator mauro mendonca a atriz participou da primeira fase de deus salve o rei como a rainha de montemor criselia novela das sete da globo apesar da morte da personagem a monarca ainda aparece em flashbacks na trama numa reflexao
1	sabe	saber	VERB	VERB	_	0	root	_	TokenRange=0:4
14	rosamaria	rosamaria	NOUN	NOUN	_	13	nsubj	_	TokenRange=62:71
15	murtinho	_	ADJ	ADJ	_	14	flat	_	TokenRange=72:80
16	a	o	DET	DET	_	17	det	_	TokenRange=81:82
17	atriz	_	NOUN	NOUN	_	18	nsubj	_	TokenRange=83:88
18	participou	participar	VERB	VERB	_	1	ccomp	_	TokenRange=89:99
19-20	da	_	_	_	_	_	_	_	TokenRange=100:102
19	de	de	ADP	ADP	_	22	case	_	_
20	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	22	det	_	_
21	primeira	primeiro	ADJ	ADJ	_	22	amod	_	TokenRange=103:111
22	fase	fase	NOUN	NOUN	_	18	nmod	_	TokenRange=112:116
23	de	de	ADP	ADP	_	24	case	_	TokenRange=117:119
24	deus	_	NOUN	NOUN	_	22	nmod	_	TokenRange=120:124
25	salve	_	VERB	VERB	_	24	appos	_	TokenRange=125:130
26	o	o	DET	DET	_	27	det	_	TokenRange=131:132
27	rei	rei	NOUN	NOUN	_	25	obj	_	TokenRange=133:136
28	como	como	ADP	ADP	_	30	case	_	TokenRange=137:141
29	a	o	DET	DET	_	30	det	_	TokenRange=142:143
30	rainha	_	NOUN	NOUN	_	25	nmod	_	TokenRange=144:150
31	de	de	ADP	ADP	_	32	case	_	TokenRange=151:153
32	montemor	montemor	NOUN	NOUN	_	30	nmod	_	TokenRange=154:162
33	ela	_	PRON	PRON	_	34	nsubj	_	TokenRange=163:166
34	tem	ter	VERB	VERB	_	1	ccomp	_	TokenRange=167:170
35	82	_	NUM	NUM	NumType=Card	36	nummod	_	TokenRange=171:173
36	anos	ano	NOUN	NOUN	_	34	obj	_	TokenRange=174:178
37	e	e	CCONJ	CONJ	_	38	cc	_	TokenRange=179:180
38	gosta	gostar	VERB	VERB	_	34	conj	_	TokenRange=181:186
39-40	do	_	_	_	_	_	_	_	TokenRange=187:189
39	de	de	ADP	ADP	_	41	case	_	_
40	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	41	det	_	_
41	contato	contato	NOUN	NOUN	_	38	nmod	_	TokenRange=190:197
42	humano	humano	ADJ	ADJ	_	41	amod	_	TokenRange=198:204
43	comunicarse	comunicarse	VERB	VERB	_	38	xcomp	_	TokenRange=205:216
44	com	com	ADP	ADP	_	45	case	_	TokenRange=217:220
45	alguem	_	PRON	PRON	_	43	nmod	_	TokenRange=221:227
46	atraves	atraves	ADV	ADV	_	43	advmod	_	TokenRange=228:235
47	de	de	ADP	ADP	_	48	case	_	TokenRange=236:238
48	mensagens	mensagem	NOUN	NOUN	_	46	nmod	_	TokenRange=239:248
49	instantaneas	instantaneo	ADJ	ADJ	_	48	amod	_	TokenRange=249:261
50	raramente	raramente	ADV	ADV	_	38	advmod	_	TokenRange=262:271
51	o	o	DET	DET	_	52	det	_	TokenRange=272:273
52	negocio	negocio	NOUN	NOUN	_	66	nsubj	_	TokenRange=274:281
53	dela	_	X	ADPPRON	_	52	det:poss	_	TokenRange=282:286
54	e	e	CCONJ	CONJ	_	55	cc	_	TokenRange=287:288
55	ouvir	ouvir	VERB	VERB	_	18	conj	_	TokenRange=289:294
56	a	o	DET	DET	_	57	det	_	TokenRange=295:296
57	voz	voz	NOUN	NOUN	_	55	obj	_	TokenRange=297:300
58-59	do	_	_	_	_	_	_	_	TokenRange=301:303
58	de	de	ADP	ADP	_	60	case	_	_
59	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	60	det	_	_
60	outro	_	PRON	PRON	_	57	nmod	_	TokenRange=304:309
61	tive	ter	AUX	AUX	_	66	aux	_	TokenRange=310:314
62	que	que	CCONJ	CONJ	_	66	mark	_	TokenRange=315:318
63	me	_	PRON	PRON	_	66	obj	_	TokenRange=319:321
64	tornar	tornar	AUX	AUX	_	66	cop	_	TokenRange=322:328
65	uma	um	DET	DET	_	66	det	_	TokenRange=329:332
66	pessoa	pessoa	NOUN	NOUN	_	1	ccomp	_	TokenRange=333:339
67	mais	mais	ADV	ADV	_	68	advmod	_	TokenRange=340:344
68	tecnologica	tecnologico	ADJ	ADJ	_	66	amod	_	TokenRange=345:356
69	e	e	CCONJ	CONJ	_	70	cc	_	TokenRange=357:358
70	aceitar	aceitar	VERB	VERB	_	66	conj	_	TokenRange=359:366
71	essa	_	DET	DET	_	72	det	_	TokenRange=367:371
72	coisa	coisa	NOUN	NOUN	_	70	obj	_	TokenRange=372:377
73	horrorosa	horroroso	ADJ	ADJ	_	72	amod	_	TokenRange=378:387
74	celular	_	NOUN	NOUN	_	72	appos	_	TokenRange=388:395
75	que	_	PRON	PRON	_	77	nsubj	_	TokenRange=396:399
76	nao	nao	ADV	ADV	Polarity=Neg	77	advmod	_	TokenRange=400:403
77	e	_	VERB	VERB	_	74	acl:relcl	_	TokenRange=404:405
78-79	da	_	_	_	_	_	_	_	TokenRange=406:408
78	de	de	ADP	ADP	_	81	case	_	_
79	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	81	det	_	_
80	minha	_	DET	DET	_	81	det:poss	_	TokenRange=409:414
81	geracao	geracao	NOUN	NOUN	_	77	nmod	_	TokenRange=415:422
82	mas	mas	CCONJ	CONJ	_	83	cc	_	TokenRange=423:426
83	tem	ter	VERB	VERB	_	137	conj	_	TokenRange=427:430
84	certas	_	DET	DET	_	85	det	_	TokenRange=431:437
85	coisas	coisa	NOUN	NOUN	_	83	obj	_	TokenRange=438:444
86-87	das	_	_	_	_	_	_	_	TokenRange=445:448
86	de	de	ADP	ADP	_	88	case	_	_
87	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	88	det	_	_
88	quais	_	PRON	PRON	_	90	nmod	_	TokenRange=449:454
89	nao	nao	ADV	ADV	Polarity=Neg	90	advmod	_	TokenRange=455:458
90	abro	abrar	VERB	VERB	_	85	acl:relcl	_	TokenRange=459:463
91	mao	mao	NOUN	NOUN	_	90	obj	_	TokenRange=464:467
92	como	como	ADP	ADP	_	94	case	_	TokenRange=468:472
93	uma	um	DET	DET	_	94	det	_	TokenRange=473:476
94	ligacao	ligacao	NOUN	NOUN	_	137	nmod	_	TokenRange=477:484
95	telefonica	telefonico	ADJ	ADJ	_	94	amod	_	TokenRange=485:495
96	nao	nao	ADV	ADV	Polarity=Neg	137	advmod	_	TokenRange=496:499
97	posso	_	AUX	AUX	_	99	aux	_	TokenRange=500:505
98	ficar	ficar	AUX	AUX	_	99	aux	_	TokenRange=506:511
99	procurando	procurar	VERB	VERB	_	66	acl:relcl	_	TokenRange=512:522
100	por	por	ADP	ADP	_	101	case	_	TokenRange=523:526
101	mensagens	mensagem	NOUN	NOUN	_	137	nmod	_	TokenRange=527:536
102	de	_	ADP	ADP	_	104	mark	_	TokenRange=537:539
103	quem	_	PRON	PRON	_	104	nsubj	_	TokenRange=540:544
104	quer	querer	VERB	VERB	_	85	nmod	_	TokenRange=545:549
105	falar	falar	VERB	VERB	_	104	xcomp	_	TokenRange=550:555
106	comigo	_	X	ADPPRON	_	105	nmod	_	TokenRange=556:562
107	quem	_	PRON	PRON	_	108	nsubj	_	TokenRange=563:567
108	quiser	querer	VERB	VERB	_	143	acl:relcl	_	TokenRange=568:574
109	e	e	CCONJ	CONJ	_	112	cc	_	TokenRange=575:576
110	so	so	ADV	ADV	_	112	advmod	_	TokenRange=577:579
111	me	_	PRON	PRON	_	112	obj	_	TokenRange=580:582
112	telefonar	telefonar	VERB	VERB	_	137	conj	_	TokenRange=583:592
113	ficar	ficar	VERB	VERB	_	112	xcomp	_	TokenRange=593:598
114	com	com	ADP	ADP	_	115	case	_	TokenRange=599:602
115	celular	_	NOUN	NOUN	_	125	nmod	_	TokenRange=603:610
116-117	na	_	_	_	_	_	_	_	TokenRange=611:613
116	em	em	ADP	ADP	_	118	case	_	_
117	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	118	det	_	_
118	mao	mao	NOUN	NOUN	_	137	nmod	_	TokenRange=614:617
119	esta	_	PRON	AUX	_	122	aux	_	TokenRange=618:622
120	virando	virar	AUX	AUX	_	122	aux	_	TokenRange=623:630
121	vicio	_	NOUN	NOUN	_	137	nsubj	_	TokenRange=631:636
122	diz	dizer	VERB	VERB	_	137	conj	_	TokenRange=637:640
123	rosamaria	rosamaria	NOUN	NOUN	_	137	nsubj	_	TokenRange=641:650
124	murtinho	_	ADJ	ADJ	_	123	flat	_	TokenRange=651:659
125	casada	casado	ADJ	ADJ	_	123	amod	_	TokenRange=660:666
126	ha	_	VERB	VERB	_	129	case	_	TokenRange=667:669
127	quase	quase	ADV	ADV	_	128	advmod	_	TokenRange=670:675
128	60	_	NUM	NUM	NumType=Card	129	nummod	_	TokenRange=676:678
129	anos	ano	NOUN	NOUN	_	125	nmod	_	TokenRange=679:683
130	com	com	ADP	ADP	_	132	case	_	TokenRange=684:687
131	o	o	DET	DET	_	132	det	_	TokenRange=688:689
132	ator	ator	NOUN	NOUN	_	125	nmod	_	TokenRange=690:694
133	mauro	mauro	NOUN	NOUN	_	132	appos	_	TokenRange=695:700
134	mendonca	_	ADJ	ADJ	_	133	flat	_	TokenRange=701:709
135	a	o	DET	DET	_	136	det	_	TokenRange=710:711
136	atriz	_	NOUN	NOUN	_	137	nsubj	_	TokenRange=712:717
137	participou	participar	VERB	VERB	_	66	conj	_	TokenRange=718:728
138-139	da	_	_	_	_	_	_	_	TokenRange=729:731
138	de	de	ADP	ADP	_	141	case	_	_
139	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	141	det	_	_
140	primeira	primeiro	ADJ	ADJ	_	141	amod	_	TokenRange=732:740
141	fase	fase	NOUN	NOUN	_	137	nmod	_	TokenRange=741:745
142	de	de	ADP	ADP	_	143	case	_	TokenRange=746:748
143	deus	deus	NOUN	NOUN	_	141	nmod	_	TokenRange=749:753
144	salve	_	NOUN	NOUN	_	143	appos	_	TokenRange=754:759
145	o	o	DET	DET	_	146	det	_	TokenRange=760:761
146	rei	rei	NOUN	NOUN	_	144	appos	_	TokenRange=762:765
147	como	como	ADP	ADP	_	149	case	_	TokenRange=766:770
148	a	o	DET	DET	_	149	det	_	TokenRange=771:772
149	rainha	_	NOUN	NOUN	_	137	nmod	_	TokenRange=773:779
150	de	de	ADP	ADP	_	151	case	_	TokenRange=780:782
151	montemor	montemor	NOUN	NOUN	_	149	nmod	_	TokenRange=783:791
152	criselia	criselia	NOUN	NOUN	_	137	parataxis	_	TokenRange=792:800
153	novela	novela	NOUN	NOUN	_	152	appos	_	TokenRange=801:807
154-155	das	_	_	_	_	_	_	_	TokenRange=808:811
154	de	de	ADP	ADP	_	156	case	_	_
155	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	156	det	_	_
156	sete	_	NUM	NUM	NumType=Card	153	nmod	_	TokenRange=812:816
157-158	da	_	_	_	_	_	_	_	TokenRange=817:819
157	de	de	ADP	ADP	_	159	case	_	_
158	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	159	det	_	_
159	globo	globo	NOUN	NOUN	_	156	nmod	_	TokenRange=820:825
160	apesar	apesar	ADV	ADV	_	163	case	_	TokenRange=826:832
161-162	da	_	_	_	_	_	_	_	TokenRange=833:835
161	de	de	ADP	ADP	_	160	case	_	_
162	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	160	det	_	_
163	morte	morte	NOUN	NOUN	_	170	nmod	_	TokenRange=836:841
164-165	da	_	_	_	_	_	_	_	TokenRange=842:844
164	de	de	ADP	ADP	_	166	case	_	_
165	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	166	det	_	_
166	personagem	personagem	NOUN	NOUN	_	163	nmod	_	TokenRange=845:855
167	a	o	DET	DET	_	168	det	_	TokenRange=856:857
168	monarca	monarca	NOUN	NOUN	_	170	nsubj	_	TokenRange=858:865
169	ainda	ainda	ADV	ADV	_	170	advmod	_	TokenRange=866:871
170	aparece	aparecer	VERB	VERB	_	137	parataxis	_	TokenRange=872:879
171	em	em	ADP	ADP	_	172	case	_	TokenRange=880:882
172	flashbacks	_	NOUN	NOUN	_	170	nmod	_	TokenRange=883:893
173-174	na	_	_	_	_	_	_	_	TokenRange=894:896
173	em	em	ADP	ADP	_	175	case	_	_
174	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	175	det	_	_
175	trama	trama	NOUN	NOUN	_	170	nmod	_	TokenRange=897:902
176-177	numa	_	_	_	_	_	_	_	TokenRange=903:907
176	em	em	ADP	ADP	_	178	case	_	_
177	uma	um	DET	DET	_	178	det	_	_
178	reflexao	reflexao	NOUN	NOUN	_	170	nmod	_	SpacesAfter=\s\s|TokenRange=908:916

