# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = estou com a tranquilidade dos inocentes diz lula no dia da analise do habeas corpus pelo stf expresidente disse esperar julgamento digno de esferas superiores da justica porto alegre no dia em que o supremo tribunal federal julga seu pedido de habeas corpus o expresidente luiz inacio lula da silva afirmou nesta quintafeira 22 estar com a tranquilidade dos inocentes em entrevista concedida a jornalistas da radio guaiba o petista disse que espera um julgamento digno das esferas superiores da justica juristas avaliam julgamento que pode mandar lula para a prisao da
1	estou	estar	VERB	VERB	_	0	root	_	TokenRange=0:5
50	corpus	corpus	NOUN	NOUN	_	49	flat	_	TokenRange=251:257
51	o	o	DET	DET	_	52	det	_	TokenRange=258:259
52	expresidente	expresidente	NOUN	NOUN	_	59	nsubj	_	TokenRange=260:272
53	luiz	luiz	ADJ	ADJ	_	52	appos	_	TokenRange=273:277
54	inacio	_	ADJ	NOUN	_	53	flat	_	TokenRange=278:284
55	lula	_	NOUN	NOUN	_	53	flat	_	TokenRange=285:289
56-57	da	_	_	_	_	_	_	_	TokenRange=290:292
56	de	de	ADP	ADP	_	58	case	_	_
57	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	58	det	_	_
58	silva	silva	NOUN	NOUN	_	53	nmod	_	TokenRange=293:298
59	afirmou	afirmar	VERB	VERB	_	38	acl:relcl	_	TokenRange=299:306
60	nesta	_	ADP	ADP	_	61	case	_	TokenRange=307:312
61	quintafeira	quintafeira	NOUN	NOUN	_	59	nmod	_	TokenRange=313:324
62	22	_	NUM	NUM	NumType=Card	61	appos	_	TokenRange=325:327
63	estar	estar	VERB	VERB	_	59	ccomp	_	TokenRange=328:333
64	com	com	ADP	ADP	_	66	case	_	TokenRange=334:337
65	a	o	DET	DET	_	66	det	_	TokenRange=338:339
66	tranquilidade	tranquilidade	NOUN	NOUN	_	63	nmod	_	TokenRange=340:353
67-68	dos	_	_	_	_	_	_	_	TokenRange=354:357
67	de	de	ADP	ADP	_	69	case	_	_
68	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	69	det	_	_
69	inocentes	inocente	NOUN	NOUN	_	66	nmod	_	TokenRange=358:367
70	em	em	ADP	ADP	_	71	case	_	TokenRange=368:370
71	entrevista	entrevista	NOUN	NOUN	_	63	nmod	_	TokenRange=371:381
72	concedida	conceder	VERB	VERB	_	71	acl	_	TokenRange=382:391
73	a	_	ADP	ADP	_	74	case	_	TokenRange=392:393
74	jornalistas	jornalista	NOUN	NOUN	_	72	nmod	_	TokenRange=394:405
75-76	da	_	_	_	_	_	_	_	TokenRange=406:408
75	de	de	ADP	ADP	_	77	case	_	_
76	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	77	det	_	_
77	radio	radio	NOUN	NOUN	_	74	nmod	_	TokenRange=409:414
78	guaiba	guaiba	ADJ	ADJ	_	77	amod	_	TokenRange=415:421
79	o	o	DET	DET	_	80	det	_	TokenRange=422:423
80	petista	petista	NOUN	NOUN	_	81	nsubj	_	TokenRange=424:431
81	disse	dizer	VERB	VERB	_	59	parataxis	_	TokenRange=432:437
82	que	que	CCONJ	CONJ	_	83	mark	_	TokenRange=438:441
83	espera	esperar	VERB	VERB	_	81	ccomp	_	TokenRange=442:448
84	um	um	DET	DET	_	85	det	_	TokenRange=449:451
85	julgamento	julgamento	NOUN	NOUN	_	83	obj	_	TokenRange=452:462
86	digno	digno	ADJ	ADJ	_	85	amod	_	TokenRange=463:468
87-88	das	_	_	_	_	_	_	_	TokenRange=469:472
87	de	de	ADP	ADP	_	89	case	_	_
88	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	89	det	_	_
89	esferas	esfera	NOUN	NOUN	_	85	nmod	_	TokenRange=473:480
90	superiores	superior	ADJ	ADJ	_	89	amod	_	TokenRange=481:491
91-92	da	_	_	_	_	_	_	_	TokenRange=492:494
91	de	de	ADP	ADP	_	93	case	_	_
92	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	93	det	_	_
93	justica	_	NOUN	NOUN	_	89	nmod	_	TokenRange=495:502
94	juristas	jurista	NOUN	NOUN	_	95	nsubj	_	TokenRange=503:511
95	avaliam	avaliar	VERB	VERB	_	81	ccomp	_	TokenRange=512:519
96	julgamento	julgamento	NOUN	NOUN	_	95	obj	_	TokenRange=520:530
97	que	_	PRON	PRON	_	99	nsubj	_	TokenRange=531:534
98	pode	_	AUX	AUX	_	99	aux	_	TokenRange=535:539
99	mandar	mandar	VERB	VERB	_	96	acl:relcl	_	TokenRange=540:546
100	lula	lula	NOUN	NOUN	_	99	obj	_	TokenRange=547:551
101	para	para	ADP	ADP	_	103	case	_	TokenRange=552:556
102	a	o	DET	DET	_	103	det	_	TokenRange=557:558
103	prisao	prisao	NOUN	NOUN	_	99	nmod	_	TokenRange=559:565
104-105	da	_	_	_	_	_	_	_	SpacesAfter=\s\s|TokenRange=566:568
104	de	de	ADP	ADP	_	103	case	_	_
105	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	93	det	_	_

