# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = sextafeira 2 de junho de 2017 boa noite aqui estao as principais noticias para voce terminar o dia beminformado a decisao historica do presidente americano donald trump de retirar os eua do acordo de paris continuou repercutindo nesta sexta no pais e no mundo no brasil o presidente michel temer tentou esvaziar o movimento de debandada do psdb de seu governo encontrandose com o governador de sao paulo geraldo alckmin e o procuradorgeral da republica rodrigo janot denunciou o senador aecio
1	sextafeira	sextafeira	NOUN	NOUN	_	39	parataxis	_	TokenRange=0:10
45	e	e	CCONJ	CONJ	_	48	cc	_	TokenRange=249:250
46-47	no	_	_	_	_	_	_	_	TokenRange=251:253
46	em	em	ADP	ADP	_	48	case	_	_
47	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	48	det	_	_
48	mundo	mundo	NOUN	NOUN	_	44	conj	_	TokenRange=254:259
49-50	no	_	_	_	_	_	_	_	TokenRange=260:262
49	em	em	ADP	ADP	_	51	case	_	_
50	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	51	det	_	_
51	brasil	brasil	NOUN	NOUN	_	39	nmod	_	TokenRange=263:269
52	o	o	DET	DET	_	53	det	_	TokenRange=270:271
53	presidente	presidente	NOUN	NOUN	_	56	nsubj	_	TokenRange=272:282
54	michel	michel	ADJ	ADJ	_	53	amod	_	TokenRange=283:289
55	temer	temer	NOUN	NOUN	_	53	appos	_	TokenRange=290:295
56	tentou	tentar	VERB	VERB	_	39	conj	_	TokenRange=296:302
57	esvaziar	esvaziar	VERB	VERB	_	56	xcomp	_	TokenRange=303:311
58	o	o	DET	DET	_	59	det	_	TokenRange=312:313
59	movimento	movimento	NOUN	NOUN	_	57	obj	_	TokenRange=314:323
60	de	de	ADP	ADP	_	61	case	_	TokenRange=324:326
61	debandada	debandada	NOUN	NOUN	_	59	nmod	_	TokenRange=327:336
62-63	do	_	_	_	_	_	_	_	TokenRange=337:339
62	de	de	ADP	ADP	_	64	case	_	_
63	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	64	det	_	_
64	psdb	_	NOUN	NOUN	_	59	nmod	_	TokenRange=340:344
65	de	de	ADP	ADP	_	67	case	_	TokenRange=345:347
66	seu	_	DET	DET	_	67	det:poss	_	TokenRange=348:351
67	governo	governo	NOUN	NOUN	_	64	nmod	_	TokenRange=352:359
68	encontrandose	encontrandose	VERB	VERB	_	57	acl	_	TokenRange=360:373
69	com	com	ADP	ADP	_	71	case	_	TokenRange=374:377
70	o	o	DET	DET	_	71	det	_	TokenRange=378:379
71	governador	governador	NOUN	NOUN	_	68	nmod	_	TokenRange=380:390
72	de	de	ADP	ADP	_	73	case	_	TokenRange=391:393
73	sao	sao	NOUN	NOUN	_	71	nmod	_	TokenRange=394:397
74	paulo	paulo	NOUN	NOUN	_	73	amod	_	TokenRange=398:403
75	geraldo	geraldo	NOUN	NOUN	_	71	appos	_	TokenRange=404:411
76	alckmin	alckmin	NOUN	NOUN	_	75	flat	_	TokenRange=412:419
77	e	e	CCONJ	CONJ	_	79	cc	_	TokenRange=420:421
78	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	79	det	_	TokenRange=422:423
79	procuradorgeral	procuradorgeral	NOUN	NOUN	_	71	conj	_	TokenRange=424:439
80-81	da	_	_	_	_	_	_	_	TokenRange=440:442
80	de	de	ADP	ADP	_	82	case	_	_
81	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	82	det	_	_
82	republica	_	NOUN	NOUN	_	79	nmod	_	TokenRange=443:452
83	rodrigo	_	PROPN	PNOUN	_	85	nsubj	_	TokenRange=453:460
84	janot	_	PROPN	PNOUN	_	83	flat	_	TokenRange=461:466
85	denunciou	denunciar	VERB	VERB	_	56	conj	_	TokenRange=467:476
86	o	o	DET	DET	_	87	det	_	TokenRange=477:478
87	senador	senador	NOUN	NOUN	_	85	obj	_	TokenRange=479:486
88	aecio	_	NOUN	NOUN	_	87	appos	_	SpacesAfter=\s\s|TokenRange=487:492

