# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba como votou cada ministro do stf na decisao que liberou jose dirceu defesa de exministro conseguiu revogar ordem de prisao decretada pelo juiz federal sergio moro responsavel pela operacao lava jato na primeira instancia da justica federal a segunda turma do supremo tribunal federal stf decidiu nesta tercafeira 25 soltar o exministrochefe da casa civil jose dirceu condenado duas vezes pela lava jato o petista esta preso em curitiba desde agosto de 2015 a decisao foi por 3 votos a 2 votaram a favor da soltura os ministros dias toffoli ricardo lewandowski e gilmar mendes o relator edson fachin e celso de mello votaram pela manutencao da prisao em duas sentencas de sergio moro dirceu foi condenado a mais de 31 anos de prisao por corrupcao passiva lavagem de dinheiro e organizacao criminosa o entendimento do stf no entanto e que a prisao definitiva so e possivel apos a condenacao em segunda
1	saiba	saber	VERB	VERB	_	0	root	_	TokenRange=0:5
32	por	por	ADP	ADP	_	34	case	_	_
33	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	34	det	_	_
34	operacao	operacao	NOUN	NOUN	_	31	nmod	_	TokenRange=185:193
35	lava	lava	NOUN	NOUN	_	34	appos	_	TokenRange=194:198
36	jato	jato	NOUN	NOUN	_	35	flat	_	TokenRange=199:203
37-38	na	_	_	_	_	_	_	_	TokenRange=204:206
37	em	em	ADP	ADP	_	40	case	_	_
38	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	40	det	_	_
39	primeira	primeiro	ADJ	ADJ	_	40	amod	_	TokenRange=207:215
40	instancia	instancia	NOUN	NOUN	_	24	nmod	_	TokenRange=216:225
41-42	da	_	_	_	_	_	_	_	TokenRange=226:228
41	de	de	ADP	ADP	_	43	case	_	_
42	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	43	det	_	_
43	justica	_	NOUN	NOUN	_	40	nmod	_	TokenRange=229:236
44	federal	federal	ADJ	ADJ	_	43	amod	_	TokenRange=237:244
45	a	o	DET	DET	_	47	det	_	TokenRange=245:246
46	segunda	segundo	ADJ	ADJ	_	47	amod	_	TokenRange=247:254
47	turma	turma	NOUN	NOUN	_	115	nsubj	_	TokenRange=255:260
48-49	do	_	_	_	_	_	_	_	TokenRange=261:263
48	de	de	ADP	ADP	_	51	case	_	_
49	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	51	det	_	_
50	supremo	supremo	ADJ	ADJ	_	51	amod	_	TokenRange=264:271
51	tribunal	tribunal	NOUN	NOUN	_	47	nmod	_	TokenRange=272:280
52	federal	federal	ADJ	ADJ	_	51	amod	_	TokenRange=281:288
53	stf	_	NOUN	NOUN	_	51	appos	_	TokenRange=289:292
54	decidiu	decidir	VERB	VERB	_	1	parataxis	_	TokenRange=293:300
55	nesta	_	ADP	ADP	_	56	case	_	TokenRange=301:306
56	tercafeira	_	NOUN	NOUN	_	54	nmod	_	TokenRange=307:317
57	25	_	NUM	NUM	NumType=Card	58	nmod	_	TokenRange=318:320
58	soltar	soltar	VERB	VERB	_	54	xcomp	_	TokenRange=321:327
59	o	o	DET	DET	_	60	det	_	TokenRange=328:329
60	exministrochefe	exministrochefe	NOUN	NOUN	_	58	obj	_	TokenRange=330:345
61-62	da	_	_	_	_	_	_	_	TokenRange=346:348
61	de	de	ADP	ADP	_	63	case	_	_
62	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	63	det	_	_
63	casa	casa	NOUN	NOUN	_	60	nmod	_	TokenRange=349:353
64	civil	civil	ADJ	ADJ	_	63	amod	_	TokenRange=354:359
65	jose	jose	NOUN	NOUN	_	130	nsubj:pass	_	TokenRange=360:364
66	dirceu	_	NOUN	NOUN	_	65	flat	_	TokenRange=365:371
67	condenado	condenar	VERB	VERB	_	99	acl	_	TokenRange=372:381
68	duas	_	NUM	NUM	NumType=Card	69	nummod	_	TokenRange=382:386
69	vezes	vez	NOUN	NOUN	_	67	nmod	_	TokenRange=387:392
70-71	pela	_	_	_	_	_	_	_	TokenRange=393:397
70	por	por	ADP	ADP	_	72	case	_	_
71	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	72	det	_	_
72	lava	lava	NOUN	NOUN	_	67	nmod	_	TokenRange=398:402
73	jato	jato	NOUN	NOUN	_	72	flat	_	TokenRange=403:407
74	o	o	DET	DET	_	75	det	_	TokenRange=408:409
75	petista	petista	NOUN	NOUN	_	76	nsubj	_	TokenRange=410:417
76	esta	_	VERB	VERB	_	54	parataxis	_	TokenRange=418:422
77	preso	preso	ADJ	ADJ	_	76	xcomp	_	TokenRange=423:428
78	em	em	ADP	ADP	_	79	case	_	TokenRange=429:431
79	curitiba	curitiba	NOUN	NOUN	_	77	nmod	_	TokenRange=432:440
80	desde	_	ADP	ADP	_	81	case	_	TokenRange=441:446
81	agosto	_	PROPN	PNOUN	_	76	nmod	_	TokenRange=447:453
82	de	de	ADP	ADP	_	83	case	_	TokenRange=454:456
83	2015	_	NUM	NUM	NumType=Card	81	nmod	_	TokenRange=457:461
84	a	o	DET	DET	_	85	det	_	TokenRange=462:463
85	decisao	decisao	NOUN	NOUN	_	86	nsubj	_	TokenRange=464:471
86	foi	_	VERB	VERB	_	54	parataxis	_	TokenRange=472:475
87	por	por	ADP	ADP	_	89	case	_	TokenRange=476:479
88	3	_	NUM	NUM	NumType=Card	89	nummod	_	TokenRange=480:481
89	votos	voto	NOUN	NOUN	_	86	nmod	_	TokenRange=482:487
90	a	_	ADP	ADP	_	91	case	_	TokenRange=488:489
91	2	_	NUM	NUM	NumType=Card	89	nmod	_	TokenRange=490:491
92	votaram	votar	VERB	VERB	_	54	parataxis	_	TokenRange=492:499
93	a	_	ADP	ADP	_	94	case	_	TokenRange=500:501
94	favor	favor	NOUN	NOUN	_	92	nmod	_	TokenRange=502:507
95-96	da	_	_	_	_	_	_	_	TokenRange=508:510
95	de	de	ADP	ADP	_	97	case	_	_
96	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	97	det	_	_
97	soltura	soltura	NOUN	NOUN	_	94	nmod	_	TokenRange=511:518
98	os	o	DET	DET	_	99	det	_	TokenRange=519:521
99	ministros	ministro	NOUN	NOUN	_	92	nsubj	_	TokenRange=522:531
100	dias	dia	NOUN	NOUN	_	99	appos	_	TokenRange=532:536
101	toffoli	_	NOUN	NOUN	_	100	flat	_	TokenRange=537:544
102	ricardo	ricardo	NOUN	NOUN	_	100	appos	_	TokenRange=545:552
103	lewandowski	_	NOUN	NOUN	_	102	flat	_	TokenRange=553:564
104	e	e	CCONJ	CONJ	_	105	cc	_	TokenRange=565:566
105	gilmar	gilmar	NOUN	NOUN	_	102	conj	_	TokenRange=567:573
106	mendes	mende	ADJ	ADJ	_	105	amod	_	TokenRange=574:580
107	o	o	DET	DET	_	108	det	_	TokenRange=581:582
108	relator	relator	NOUN	NOUN	_	115	nsubj	_	TokenRange=583:590
109	edson	_	PROPN	NOUN	_	108	appos	_	TokenRange=591:596
110	fachin	_	NOUN	NOUN	_	109	flat	_	TokenRange=597:603
111	e	e	CCONJ	CONJ	_	112	cc	_	TokenRange=604:605
112	celso	celso	NOUN	NOUN	_	109	conj	_	TokenRange=606:611
113	de	de	ADP	ADP	_	114	case	_	TokenRange=612:614
114	mello	mello	NOUN	NOUN	_	112	nmod	_	TokenRange=615:620
115	votaram	votar	VERB	VERB	_	54	conj	_	TokenRange=621:628
116-117	pela	_	_	_	_	_	_	_	TokenRange=629:633
116	por	por	ADP	ADP	_	118	case	_	_
117	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	118	det	_	_
118	manutencao	manutencao	NOUN	NOUN	_	115	nmod	_	TokenRange=634:644
119-120	da	_	_	_	_	_	_	_	TokenRange=645:647
119	de	de	ADP	ADP	_	121	case	_	_
120	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	121	det	_	_
121	prisao	prisao	NOUN	NOUN	_	118	nmod	_	TokenRange=648:654
122	em	em	ADP	ADP	_	124	case	_	TokenRange=655:657
123	duas	_	NUM	NUM	NumType=Card	124	nummod	_	TokenRange=658:662
124	sentencas	sentenca	NOUN	NOUN	_	115	nmod	_	TokenRange=663:672
125	de	de	ADP	ADP	_	126	case	_	TokenRange=673:675
126	sergio	_	NOUN	NOUN	_	124	nmod	_	TokenRange=676:682
127	moro	moro	NOUN	NOUN	_	126	flat	_	TokenRange=683:687
128	dirceu	dirceu	NOUN	NOUN	_	130	nsubj:pass	_	TokenRange=688:694
129	foi	_	AUX	AUX	_	130	aux:pass	_	TokenRange=695:698
130	condenado	condenar	VERB	VERB	_	54	parataxis	_	TokenRange=699:708
131	a	_	ADP	ADP	_	135	case	_	TokenRange=709:710
132	mais	mais	ADV	ADV	_	134	advmod	_	TokenRange=711:715
133	de	de	ADP	ADP	_	132	case	_	TokenRange=716:718
134	31	_	NUM	NUM	NumType=Card	135	nummod	_	TokenRange=719:721
135	anos	ano	NOUN	NOUN	_	130	nmod	_	TokenRange=722:726
136	de	de	ADP	ADP	_	137	case	_	TokenRange=727:729
137	prisao	prisao	NOUN	NOUN	_	135	nmod	_	TokenRange=730:736
138	por	por	ADP	ADP	_	139	case	_	TokenRange=737:740
139	corrupcao	corrupcao	NOUN	NOUN	_	130	nmod	_	TokenRange=741:750
140	passiva	passivo	ADJ	ADJ	_	139	amod	_	TokenRange=751:758
141	lavagem	lavagem	NOUN	NOUN	_	139	appos	_	TokenRange=759:766
142	de	de	ADP	ADP	_	143	case	_	TokenRange=767:769
143	dinheiro	dinheiro	NOUN	NOUN	_	141	nmod	_	TokenRange=770:778
144	e	e	CCONJ	CONJ	_	145	cc	_	TokenRange=779:780
145	organizacao	organizacao	NOUN	NOUN	_	141	conj	_	TokenRange=781:792
146	criminosa	criminoso	ADJ	ADJ	_	145	amod	_	TokenRange=793:802
147	o	o	DET	DET	_	148	det	_	TokenRange=803:804
148	entendimento	entendimento	NOUN	NOUN	_	54	obj	_	TokenRange=805:817
149-150	do	_	_	_	_	_	_	_	TokenRange=818:820
149	de	de	ADP	ADP	_	151	case	_	_
150	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	151	det	_	_
151	stf	_	NOUN	NOUN	_	148	nmod	_	TokenRange=821:824
152-153	no	_	_	_	_	_	_	_	TokenRange=825:827
152	em	em	ADP	ADP	_	154	case	_	_
153	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	154	det	_	_
154	entanto	entanto	ADV	ADV	_	148	nmod	_	TokenRange=828:835
155	e	e	CCONJ	CONJ	_	161	cc	_	TokenRange=836:837
156	que	que	CCONJ	CONJ	_	161	mark	_	TokenRange=838:841
157	a	o	DET	DET	_	158	det	_	TokenRange=842:843
158	prisao	prisao	NOUN	NOUN	_	161	nsubj	_	TokenRange=844:850
159	definitiva	definitivo	ADJ	ADJ	_	158	amod	_	TokenRange=851:861
160	so	so	ADV	ADV	_	161	advmod	_	TokenRange=862:864
161	e	e	CCONJ	CONJ	_	130	conj	_	TokenRange=865:866
162	possivel	possivel	ADJ	ADJ	_	161	xcomp	_	TokenRange=867:875
163	apos	_	ADP	ADP	_	165	case	_	TokenRange=876:880
164	a	o	DET	DET	_	165	det	_	TokenRange=881:882
165	condenacao	condenacao	NOUN	NOUN	_	162	nmod	_	TokenRange=883:893
166	em	em	ADP	ADP	_	167	case	_	TokenRange=894:896
167	segunda	_	PROPN	PNOUN	_	165	amod	_	SpacesAfter=\s\s|TokenRange=897:904

