# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = reveja todos os videos do quadro partiurs do jornal do almoco telejornal mostra aos sabados destinos e curiosidades do rio grande do sul confira tambem dicas de gastronomia e hospedagem nas cidades gauchas o rio grande do sul e conhecido por suas belezas naturais que vao da serra ao litoral alem de sua diversidade cultural trazida pelos imigrantes que vao da arquitetura a gastronomia desde o primeiro sabado de junho de 2016 o jornal do almoco exibido pela rbs tv apresenta o quadro partiurs que apresenta destinos curiosidades e sabores das diferentes regioes do estado voce pode participar do quadro com um registro em foto ou video apresentando belezas curiosidades e destinos da cidade escolhida em seguida encaminhe o material por meio da plataforma vc no g1 rs basta preencher um cadastro no portal da globocom para participar e so clicar aqui com pouco mais de 7 mil habitantes manoel viana e uma das mais novas cidades da regiao oeste do rio grande do sul tem apenas 25 anos mesmo pequena e jovem o municipio tem bastante potencial turistico por la da para se aventurar ou simplesmente descansar no balneario e camping rainha do sol entre o oceano atlantico e a lagoa dos patos a cidade de sao jose do norte tem uma forte relacao com a agua com lindas paisagens a fe dos moradores esta na natureza de onde tambem vem o sustento do interior do
1	reveja	rever	VERB	VERB	_	0	root	_	TokenRange=0:6
35	e	e	CCONJ	CONJ	_	36	cc	_	TokenRange=173:174
36	hospedagem	hospedagem	NOUN	NOUN	_	34	conj	_	TokenRange=175:185
37-38	nas	_	_	_	_	_	_	_	TokenRange=186:189
37	em	em	ADP	ADP	_	39	case	_	_
38	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	39	det	_	_
39	cidades	cidade	NOUN	NOUN	_	30	nmod	_	TokenRange=190:197
40	gauchas	gaucha	ADJ	ADJ	_	39	amod	_	TokenRange=198:205
41	o	o	DET	DET	_	42	det	_	TokenRange=206:207
42	rio	rio	NOUN	NOUN	_	30	nsubj	_	TokenRange=208:211
43	grande	grande	ADJ	ADJ	_	42	amod	_	TokenRange=212:218
44-45	do	_	_	_	_	_	_	_	TokenRange=219:221
44	de	de	ADP	ADP	_	46	case	_	_
45	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	46	det	_	_
46	sul	sul	NOUN	NOUN	_	42	nmod	_	TokenRange=222:225
47	e	e	CCONJ	CONJ	_	48	cc	_	TokenRange=226:227
48	conhecido	conhecer	VERB	VERB	_	30	conj	_	TokenRange=228:237
49	por	por	ADP	ADP	_	51	case	_	TokenRange=238:241
50	suas	_	DET	DET	_	51	det:poss	_	TokenRange=242:246
51	belezas	beleza	NOUN	NOUN	_	48	nmod	_	TokenRange=247:254
52	naturais	natural	ADJ	ADJ	_	51	amod	_	TokenRange=255:263
53	que	_	PRON	PRON	_	54	nsubj	_	TokenRange=264:267
54	vao	ir	VERB	VERB	_	51	acl:relcl	_	TokenRange=268:271
55-56	da	_	_	_	_	_	_	_	TokenRange=272:274
55	de	de	ADP	ADP	_	57	case	_	_
56	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	57	det	_	_
57	serra	serra	NOUN	NOUN	_	54	nmod	_	TokenRange=275:280
58-59	ao	_	_	_	_	_	_	_	TokenRange=281:283
58	a	a	ADP	ADP	_	60	case	_	_
59	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	60	det	_	_
60	litoral	litoral	NOUN	NOUN	_	57	nmod	_	TokenRange=284:291
61	alem	alem	ADV	ADV	_	202	advmod	_	TokenRange=292:296
62	de	de	ADP	ADP	_	64	case	_	TokenRange=297:299
63	sua	_	DET	DET	_	64	det:poss	_	TokenRange=300:303
64	diversidade	diversidade	NOUN	NOUN	_	61	nmod	_	TokenRange=304:315
65	cultural	cultural	ADJ	ADJ	_	64	amod	_	TokenRange=316:324
66	trazida	trazer	VERB	VERB	_	51	acl	_	TokenRange=325:332
67-68	pelos	_	_	_	_	_	_	_	TokenRange=333:338
67	por	por	ADP	ADP	_	69	case	_	_
68	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	69	det	_	_
69	imigrantes	imigrante	NOUN	NOUN	_	66	nmod	_	TokenRange=339:349
70	que	_	PRON	PRON	_	71	nsubj	_	TokenRange=350:353
71	vao	ir	VERB	VERB	_	69	acl:relcl	_	TokenRange=354:357
72-73	da	_	_	_	_	_	_	_	TokenRange=358:360
72	de	de	ADP	ADP	_	74	case	_	_
73	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	74	det	_	_
74	arquitetura	arquitetura	NOUN	NOUN	_	54	nmod	_	TokenRange=361:372
75	a	_	ADP	ADP	_	76	case	_	TokenRange=373:374
76	gastronomia	gastronomia	NOUN	NOUN	_	74	nmod	_	TokenRange=375:386
77	desde	_	ADP	ADP	_	80	case	_	TokenRange=387:392
78	o	o	DET	DET	_	80	det	_	TokenRange=393:394
79	primeiro	primeiro	ADJ	ADJ	_	80	amod	_	TokenRange=395:403
80	sabado	_	PROPN	PNOUN	_	54	nmod	_	TokenRange=404:410
81	de	de	ADP	ADP	_	82	case	_	TokenRange=411:413
82	junho	_	PROPN	PNOUN	_	80	nmod	_	TokenRange=414:419
83	de	de	ADP	ADP	_	84	case	_	TokenRange=420:422
84	2016	_	NUM	NUM	NumType=Card	82	nmod	_	TokenRange=423:427
85	o	o	DET	DET	_	86	det	_	TokenRange=428:429
86	jornal	jornal	NOUN	NOUN	_	202	nsubj	_	TokenRange=430:436
87-88	do	_	_	_	_	_	_	_	TokenRange=437:439
87	de	de	ADP	ADP	_	89	case	_	_
88	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	89	det	_	_
89	almoco	almoco	NOUN	NOUN	_	86	nmod	_	TokenRange=440:446
90	exibido	exibir	VERB	VERB	_	86	acl	_	TokenRange=447:454
91-92	pela	_	_	_	_	_	_	_	TokenRange=455:459
91	por	por	ADP	ADP	_	93	case	_	_
92	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	93	det	_	_
93	rbs	_	NOUN	NOUN	_	90	nmod	_	TokenRange=460:463
94	tv	_	PROPN	PNOUN	_	93	flat	_	TokenRange=464:466
95	apresenta	apresentar	VERB	VERB	_	51	acl:relcl	_	TokenRange=467:476
96	o	o	DET	DET	_	97	det	_	TokenRange=477:478
97	quadro	quadro	NOUN	NOUN	_	95	obj	_	TokenRange=479:485
98	partiurs	_	NOUN	NOUN	_	97	amod	_	TokenRange=486:494
99	que	_	PRON	PRON	_	100	nsubj	_	TokenRange=495:498
100	apresenta	apresentar	VERB	VERB	_	97	acl:relcl	_	TokenRange=499:508
101	destinos	destino	NOUN	NOUN	_	100	obj	_	TokenRange=509:517
102	curiosidades	curiosidade	NOUN	NOUN	_	101	appos	_	TokenRange=518:530
103	e	e	CCONJ	CONJ	_	104	cc	_	TokenRange=531:532
104	sabores	sabor	NOUN	NOUN	_	102	conj	_	TokenRange=533:540
105-106	das	_	_	_	_	_	_	_	TokenRange=541:544
105	de	de	ADP	ADP	_	108	case	_	_
106	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	108	det	_	_
107	diferentes	_	DET	DET	_	108	det	_	TokenRange=545:555
108	regioes	regioe	NOUN	NOUN	_	102	nmod	_	TokenRange=556:563
109-110	do	_	_	_	_	_	_	_	TokenRange=564:566
109	de	de	ADP	ADP	_	111	case	_	_
110	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	111	det	_	_
111	estado	estado	NOUN	NOUN	_	108	nmod	_	TokenRange=567:573
112	voce	_	PRON	PRON	_	114	nsubj	_	TokenRange=574:578
113	pode	_	AUX	AUX	_	114	aux	_	TokenRange=579:583
114	participar	participar	VERB	VERB	_	51	acl:relcl	_	TokenRange=584:594
115-116	do	_	_	_	_	_	_	_	TokenRange=595:597
115	de	de	ADP	ADP	_	117	case	_	_
116	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	117	det	_	_
117	quadro	quadro	NOUN	NOUN	_	114	nmod	_	TokenRange=598:604
118	com	com	ADP	ADP	_	120	case	_	TokenRange=605:608
119	um	um	DET	DET	_	120	det	_	TokenRange=609:611
120	registro	registro	NOUN	NOUN	_	243	nmod	_	TokenRange=612:620
121	em	em	ADP	ADP	_	122	case	_	TokenRange=621:623
122	foto	foto	NOUN	NOUN	_	120	nmod	_	TokenRange=624:628
123	ou	ou	CCONJ	CONJ	_	124	cc	_	TokenRange=629:631
124	video	video	NOUN	NOUN	_	122	conj	_	TokenRange=632:637
125	apresentando	apresentar	VERB	VERB	_	120	acl	_	TokenRange=638:650
126	belezas	beleza	NOUN	NOUN	_	125	obj	_	TokenRange=651:658
127	curiosidades	curiosidade	NOUN	NOUN	_	125	obj	_	TokenRange=659:671
128	e	e	CCONJ	CONJ	_	129	cc	_	TokenRange=672:673
129	destinos	destino	NOUN	NOUN	_	127	conj	_	TokenRange=674:682
130-131	da	_	_	_	_	_	_	_	TokenRange=683:685
130	de	de	ADP	ADP	_	132	case	_	_
131	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	132	det	_	_
132	cidade	cidade	NOUN	NOUN	_	127	nmod	_	TokenRange=686:692
133	escolhida	escolher	VERB	VERB	_	267	acl	_	TokenRange=693:702
134	em	em	ADP	ADP	_	135	case	_	TokenRange=703:705
135	seguida	_	NOUN	NOUN	_	133	nmod	_	TokenRange=706:713
136	encaminhe	encaminhar	VERB	VERB	_	125	conj	_	TokenRange=714:723
137	o	o	DET	DET	_	138	det	_	TokenRange=724:725
138	material	material	NOUN	NOUN	_	136	obj	_	TokenRange=726:734
139	por	por	ADP	ADP	_	140	case	_	TokenRange=735:738
140	meio	meio	NOUN	NOUN	_	136	nmod	_	TokenRange=739:743
141-142	da	_	_	_	_	_	_	_	TokenRange=744:746
141	de	de	ADP	ADP	_	143	case	_	_
142	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	143	det	_	_
143	plataforma	plataforma	NOUN	NOUN	_	140	nmod	_	TokenRange=747:757
144	vc	_	X	X	_	143	appos	_	TokenRange=758:760
145-146	no	_	_	_	_	_	_	_	TokenRange=761:763
145	em	em	ADP	ADP	_	147	case	_	_
146	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	147	det	_	_
147	g1	_	NOUN	NOUN	_	90	nmod	_	TokenRange=764:766
148	rs	_	PROPN	PNOUN	_	147	flat	_	TokenRange=767:769
149	basta	_	VERB	VERB	_	1	parataxis	_	TokenRange=770:775
150	preencher	preencher	VERB	VERB	_	149	csubj	_	TokenRange=776:785
151	um	um	DET	DET	_	152	det	_	TokenRange=786:788
152	cadastro	cadastro	NOUN	NOUN	_	150	obj	_	TokenRange=789:797
153-154	no	_	_	_	_	_	_	_	TokenRange=798:800
153	em	em	ADP	ADP	_	155	case	_	_
154	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	155	det	_	_
155	portal	portal	NOUN	NOUN	_	150	nmod	_	TokenRange=801:807
156-157	da	_	_	_	_	_	_	_	TokenRange=808:810
156	de	de	ADP	ADP	_	158	case	_	_
157	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	158	det	_	_
158	globocom	_	PROPN	PNOUN	_	155	nmod	_	TokenRange=811:819
159	para	_	ADP	ADP	_	160	mark	_	TokenRange=820:824
160	participar	participar	VERB	VERB	_	150	advcl	_	TokenRange=825:835
161	e	e	CCONJ	CONJ	_	163	cc	_	TokenRange=836:837
162	so	so	ADV	ADV	_	163	advmod	_	TokenRange=838:840
163	clicar	clicar	VERB	VERB	_	212	conj	_	TokenRange=841:847
164	aqui	aqui	ADV	ADV	_	163	advmod	_	TokenRange=848:852
165	com	com	ADP	ADP	_	171	case	_	TokenRange=853:856
166	pouco	pouco	ADV	ADV	_	167	advmod	_	TokenRange=857:862
167	mais	mais	ADV	ADV	_	170	advmod	_	TokenRange=863:867
168	de	de	ADP	ADP	_	167	case	_	TokenRange=868:870
169	7	_	NUM	NUM	NumType=Card	170	nummod	_	TokenRange=871:872
170	mil	_	NUM	NUM	NumType=Card	171	nummod	_	TokenRange=873:876
171	habitantes	habitante	NOUN	NOUN	_	163	nmod	_	TokenRange=877:887
172	manoel	manoel	NOUN	NOUN	_	51	appos	_	TokenRange=888:894
173	viana	viano	ADJ	ADJ	_	172	amod	_	TokenRange=895:900
174	e	e	CCONJ	CONJ	_	175	cc	_	TokenRange=901:902
175	uma	_	PRON	PRON	_	51	conj	_	TokenRange=903:906
176-177	das	_	_	_	_	_	_	_	TokenRange=907:910
176	de	de	ADP	ADP	_	180	case	_	_
177	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	180	det	_	_
178	mais	mais	ADV	ADV	_	179	advmod	_	TokenRange=911:915
179	novas	novo	ADJ	ADJ	_	180	amod	_	TokenRange=916:921
180	cidades	cidade	NOUN	NOUN	_	175	nmod	_	TokenRange=922:929
181-182	da	_	_	_	_	_	_	_	TokenRange=930:932
181	de	de	ADP	ADP	_	183	case	_	_
182	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	183	det	_	_
183	regiao	regiao	NOUN	NOUN	_	180	nmod	_	TokenRange=933:939
184	oeste	oeste	ADJ	ADJ	_	183	amod	_	TokenRange=940:945
185-186	do	_	_	_	_	_	_	_	TokenRange=946:948
185	de	de	ADP	ADP	_	187	case	_	_
186	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	187	det	_	_
187	rio	rio	NOUN	NOUN	_	183	nmod	_	TokenRange=949:952
188	grande	grande	ADJ	ADJ	_	187	amod	_	TokenRange=953:959
189-190	do	_	_	_	_	_	_	_	TokenRange=960:962
189	de	de	ADP	ADP	_	191	case	_	_
190	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	191	det	_	_
191	sul	sul	NOUN	NOUN	_	187	nmod	_	TokenRange=963:966
192	tem	ter	VERB	VERB	_	30	conj	_	TokenRange=967:970
193	apenas	apenas	ADV	ADV	_	194	advmod	_	TokenRange=971:977
194	25	_	NUM	NUM	NumType=Card	195	nummod	_	TokenRange=978:980
195	anos	ano	NOUN	NOUN	_	192	nmod	_	TokenRange=981:985
196	mesmo	mesmo	ADV	ADV	_	197	advmod	_	TokenRange=986:991
197	pequena	pequeno	ADJ	ADJ	_	192	xcomp	_	TokenRange=992:999
198	e	e	CCONJ	CONJ	_	199	cc	_	TokenRange=1000:1001
199	jovem	jovem	ADJ	ADJ	_	197	conj	_	TokenRange=1002:1007
200	o	o	DET	DET	_	201	det	_	TokenRange=1008:1009
201	municipio	municipio	NOUN	NOUN	_	202	nsubj	_	TokenRange=1010:1019
202	tem	ter	VERB	VERB	_	149	conj	_	TokenRange=1020:1023
203	bastante	_	DET	DET	_	204	det	_	TokenRange=1024:1032
204	potencial	potencial	NOUN	NOUN	_	202	obj	_	TokenRange=1033:1042
205	turistico	turistico	ADJ	ADJ	_	204	amod	_	TokenRange=1043:1052
206	por	por	ADP	ADP	_	207	case	_	TokenRange=1053:1056
207	la	_	PRON	PRON	_	202	nmod	_	TokenRange=1057:1059
208-209	da	_	_	_	_	_	_	_	TokenRange=1060:1062
208	de	de	ADP	ADP	_	212	case	_	_
209	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	212	det	_	_
210	para	_	ADP	ADP	_	212	mark	_	TokenRange=1063:1067
211	se	_	PRON	PRON	_	212	expl:pv	_	TokenRange=1068:1070
212	aventurar	aventurar	VERB	VERB	_	202	advcl	_	TokenRange=1071:1080
213	ou	ou	CCONJ	CONJ	_	215	cc	_	TokenRange=1081:1083
214	simplesmente	simplesmente	ADV	ADV	_	215	advmod	_	TokenRange=1084:1096
215	descansar	descansar	VERB	VERB	_	212	conj	_	TokenRange=1097:1106
216-217	no	_	_	_	_	_	_	_	TokenRange=1107:1109
216	em	em	ADP	ADP	_	218	case	_	_
217	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	218	det	_	_
218	balneario	balneario	NOUN	NOUN	_	215	nmod	_	TokenRange=1110:1119
219	e	e	CCONJ	CONJ	_	220	cc	_	TokenRange=1120:1121
220	camping	camping	NOUN	NOUN	_	218	conj	_	TokenRange=1122:1129
221	rainha	_	NOUN	NOUN	_	218	appos	_	TokenRange=1130:1136
222-223	do	_	_	_	_	_	_	_	TokenRange=1137:1139
222	de	de	ADP	ADP	_	224	case	_	_
223	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	224	det	_	_
224	sol	sol	NOUN	NOUN	_	221	nmod	_	TokenRange=1140:1143
225	entre	_	ADP	ADP	_	227	case	_	TokenRange=1144:1149
226	o	o	DET	DET	_	227	det	_	TokenRange=1150:1151
227	oceano	oceano	NOUN	NOUN	_	215	nmod	_	TokenRange=1152:1158
228	atlantico	atlantico	ADJ	ADJ	_	227	amod	_	TokenRange=1159:1168
229	e	e	CCONJ	CONJ	_	231	cc	_	TokenRange=1169:1170
230	a	o	DET	DET	_	231	det	_	TokenRange=1171:1172
231	lagoa	lagoa	NOUN	NOUN	_	227	conj	_	TokenRange=1173:1178
232-233	dos	_	_	_	_	_	_	_	TokenRange=1179:1182
232	de	de	ADP	ADP	_	234	case	_	_
233	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	234	det	_	_
234	patos	pato	NOUN	NOUN	_	231	nmod	_	TokenRange=1183:1188
235	a	o	DET	DET	_	236	det	_	TokenRange=1189:1190
236	cidade	cidade	NOUN	NOUN	_	243	nsubj	_	TokenRange=1191:1197
237	de	de	ADP	ADP	_	238	case	_	TokenRange=1198:1200
238	sao	sao	PROPN	PNOUN	_	236	nmod	_	TokenRange=1201:1204
239	jose	jose	NOUN	NOUN	_	238	flat	_	TokenRange=1205:1209
240-241	do	_	_	_	_	_	_	_	TokenRange=1210:1212
240	de	de	ADP	ADP	_	242	case	_	_
241	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	242	det	_	_
242	norte	norte	NOUN	NOUN	_	238	nmod	_	TokenRange=1213:1218
243	tem	ter	VERB	VERB	_	95	conj	_	TokenRange=1219:1222
244	uma	um	DET	DET	_	246	det	_	TokenRange=1223:1226
245	forte	forte	ADJ	ADJ	_	246	amod	_	TokenRange=1227:1232
246	relacao	relacao	NOUN	NOUN	_	243	obj	_	TokenRange=1233:1240
247	com	com	ADP	ADP	_	249	case	_	TokenRange=1241:1244
248	a	o	DET	DET	_	249	det	_	TokenRange=1245:1246
249	agua	agua	NOUN	NOUN	_	246	nmod	_	TokenRange=1247:1251
250	com	com	ADP	ADP	_	252	case	_	TokenRange=1252:1255
251	lindas	lindo	ADJ	ADJ	_	252	amod	_	TokenRange=1256:1262
252	paisagens	paisagem	NOUN	NOUN	_	246	nmod	_	TokenRange=1263:1272
253	a	o	DET	DET	_	254	det	_	TokenRange=1273:1274
254	fe	fe	NOUN	NOUN	_	243	nsubj	_	TokenRange=1275:1277
255-256	dos	_	_	_	_	_	_	_	TokenRange=1278:1281
255	de	de	ADP	ADP	_	257	case	_	_
256	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	257	det	_	_
257	moradores	morador	NOUN	NOUN	_	254	nmod	_	TokenRange=1282:1291
258	esta	_	VERB	VERB	_	243	parataxis	_	TokenRange=1292:1296
259-260	na	_	_	_	_	_	_	_	TokenRange=1297:1299
259	em	em	ADP	ADP	_	261	case	_	_
260	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	261	det	_	_
261	natureza	natureza	NOUN	NOUN	_	258	nmod	_	TokenRange=1300:1308
262	de	_	ADP	ADP	_	263	mark	_	TokenRange=1309:1311
263	onde	onde	ADV	ADV	_	265	nmod	_	TokenRange=1312:1316
264	tambem	tambem	ADV	ADV	_	265	advmod	_	TokenRange=1317:1323
265	vem	vir	VERB	VERB	_	261	acl:relcl	_	TokenRange=1324:1327
266	o	o	DET	DET	_	267	det	_	TokenRange=1328:1329
267	sustento	sustento	NOUN	NOUN	_	265	nsubj	_	TokenRange=1330:1338
268-269	do	_	_	_	_	_	_	_	TokenRange=1339:1341
268	de	de	ADP	ADP	_	270	case	_	_
269	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	270	det	_	_
270	interior	interior	NOUN	NOUN	_	267	nmod	_	TokenRange=1342:1350
271-272	do	_	_	_	_	_	_	_	SpacesAfter=\s\s|TokenRange=1351:1353
271	de	de	ADP	ADP	_	143	case	_	_
272	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	60	det	_	_

