# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = delacao da jbs saiba ponto a ponto o que foi dito sobre membros do pt delatores citam pagamentos a campanhas compra de apoio pelo partido e atuacao de politicos para beneficiar empresa entenda acusacoes assessoria da expresidente dilma negou irregularidades o supremo tribunal federal liberou nesta sextafeira 19 o conteudo das delacoes premiadas dos empresarios joesley e wesley batista donos da jbs e do diretor da jf ricardo saud na operacao lava jato nelas os executivos citam pagamentos de propina para campanhas do pt compra de apoio politico pelo partido e atuacao de membros da legenda em beneficio da empresa saiba abaixo ponto a ponto o que foi dito nas delacoes sobre membros do pt e leia ao final desta reportagem o que os politicos citados disseram sobre as acusacoes apos as delacoes o
1	delacao	delacao	NOUN	NOUN	_	43	nsubj	_	TokenRange=0:7
52	19	_	NUM	NUM	NumType=Card	51	appos	_	TokenRange=310:312
53	o	o	DET	DET	_	54	det	_	TokenRange=313:314
54	conteudo	conteudo	NOUN	NOUN	_	49	obj	_	TokenRange=315:323
55-56	das	_	_	_	_	_	_	_	TokenRange=324:327
55	de	de	ADP	ADP	_	57	case	_	_
56	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	57	det	_	_
57	delacoes	delacoe	NOUN	NOUN	_	54	nmod	_	TokenRange=328:336
58	premiadas	premiar	VERB	VERB	_	57	acl	_	TokenRange=337:346
59-60	dos	_	_	_	_	_	_	_	TokenRange=347:350
59	de	de	ADP	ADP	_	61	case	_	_
60	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	61	det	_	_
61	empresarios	empresario	NOUN	NOUN	_	58	nmod	_	TokenRange=351:362
62	joesley	_	NOUN	NOUN	_	61	appos	_	TokenRange=363:370
63	e	e	CCONJ	CONJ	_	64	cc	_	TokenRange=371:372
64	wesley	_	NOUN	NOUN	_	62	conj	_	TokenRange=373:379
65	batista	batista	ADJ	ADJ	_	64	amod	_	TokenRange=380:387
66	donos	dono	NOUN	NOUN	_	61	appos	_	TokenRange=388:393
67-68	da	_	_	_	_	_	_	_	TokenRange=394:396
67	de	de	ADP	ADP	_	69	case	_	_
68	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	69	det	_	_
69	jbs	_	NOUN	NOUN	_	66	nmod	_	TokenRange=397:400
70	e	e	CCONJ	CONJ	_	73	cc	_	TokenRange=401:402
71-72	do	_	_	_	_	_	_	_	TokenRange=403:405
71	de	de	ADP	ADP	_	73	case	_	_
72	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	73	det	_	_
73	diretor	diretor	NOUN	NOUN	_	69	conj	_	TokenRange=406:413
74-75	da	_	_	_	_	_	_	_	TokenRange=414:416
74	de	de	ADP	ADP	_	76	case	_	_
75	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	76	det	_	_
76	jf	_	NOUN	NOUN	_	73	nmod	_	TokenRange=417:419
77	ricardo	ricardo	NOUN	NOUN	_	73	appos	_	TokenRange=420:427
78	saud	_	PROPN	NOUN	_	77	flat	_	TokenRange=428:432
79-80	na	_	_	_	_	_	_	_	TokenRange=433:435
79	em	em	ADP	ADP	_	81	case	_	_
80	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	81	det	_	_
81	operacao	operacao	NOUN	NOUN	_	36	nmod	_	TokenRange=436:444
82	lava	lava	NOUN	NOUN	_	81	appos	_	TokenRange=445:449
83	jato	jato	NOUN	NOUN	_	82	flat	_	TokenRange=450:454
84	nelas	_	X	ADPPRON	_	81	nmod	_	TokenRange=455:460
85	os	o	DET	DET	_	86	det	_	TokenRange=461:463
86	executivos	executivo	NOUN	NOUN	_	87	nsubj	_	TokenRange=464:474
87	citam	citar	VERB	VERB	_	19	parataxis	_	TokenRange=475:480
88	pagamentos	pagamento	NOUN	NOUN	_	87	obj	_	TokenRange=481:491
89	de	de	ADP	ADP	_	90	case	_	TokenRange=492:494
90	propina	propina	NOUN	NOUN	_	88	nmod	_	TokenRange=495:502
91	para	para	ADP	ADP	_	92	case	_	TokenRange=503:507
92	campanhas	campanha	NOUN	NOUN	_	88	nmod	_	TokenRange=508:517
93-94	do	_	_	_	_	_	_	_	TokenRange=518:520
93	de	de	ADP	ADP	_	95	case	_	_
94	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	95	det	_	_
95	pt	_	NOUN	NOUN	_	92	nmod	_	TokenRange=521:523
96	compra	compra	NOUN	NOUN	_	61	appos	_	TokenRange=524:530
97	de	de	ADP	ADP	_	98	case	_	TokenRange=531:533
98	apoio	apoio	NOUN	NOUN	_	96	nmod	_	TokenRange=534:539
99	politico	politico	ADJ	ADJ	_	98	amod	_	TokenRange=540:548
100-101	pelo	_	_	_	_	_	_	_	TokenRange=549:553
100	por	por	ADP	ADP	_	102	case	_	_
101	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	102	det	_	_
102	partido	partido	NOUN	NOUN	_	96	nmod	_	TokenRange=554:561
103	e	e	CCONJ	CONJ	_	104	cc	_	TokenRange=562:563
104	atuacao	atuacao	NOUN	NOUN	_	88	conj	_	TokenRange=564:571
105	de	de	ADP	ADP	_	106	case	_	TokenRange=572:574
106	membros	membro	NOUN	NOUN	_	104	nmod	_	TokenRange=575:582
107-108	da	_	_	_	_	_	_	_	TokenRange=583:585
107	de	de	ADP	ADP	_	109	case	_	_
108	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	109	det	_	_
109	legenda	legenda	NOUN	NOUN	_	106	nmod	_	TokenRange=586:593
110	em	em	ADP	ADP	_	111	case	_	TokenRange=594:596
111	beneficio	beneficio	NOUN	NOUN	_	104	nmod	_	TokenRange=597:606
112-113	da	_	_	_	_	_	_	_	TokenRange=607:609
112	de	de	ADP	ADP	_	114	case	_	_
113	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	114	det	_	_
114	empresa	empresa	NOUN	NOUN	_	111	nmod	_	TokenRange=610:617
115	saiba	saber	ADJ	VERB	_	114	appos	_	TokenRange=618:623
116	abaixo	abaixo	ADV	ADV	_	49	advmod	_	TokenRange=624:630
117	ponto	ponto	NOUN	NOUN	_	49	nmod	_	TokenRange=631:636
118	a	_	ADP	ADP	_	119	case	_	TokenRange=637:638
119	ponto	ponto	NOUN	NOUN	_	117	nmod	_	TokenRange=639:644
120	o	_	PRON	PRON	_	49	obj	_	TokenRange=645:646
121	que	_	PRON	PRON	_	123	nsubj:pass	_	TokenRange=647:650
122	foi	_	AUX	AUX	_	123	aux:pass	_	TokenRange=651:654
123	dito	_	VERB	VERB	_	120	acl:relcl	_	TokenRange=655:659
124-125	nas	_	_	_	_	_	_	_	TokenRange=660:663
124	em	em	ADP	ADP	_	126	case	_	_
125	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	126	det	_	_
126	delacoes	delacoe	NOUN	NOUN	_	123	nmod	_	TokenRange=664:672
127	sobre	_	ADP	ADP	_	128	case	_	TokenRange=673:678
128	membros	membro	NOUN	NOUN	_	126	nmod	_	TokenRange=679:686
129-130	do	_	_	_	_	_	_	_	TokenRange=687:689
129	de	de	ADP	ADP	_	131	case	_	_
130	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	131	det	_	_
131	pt	_	NOUN	NOUN	_	128	nmod	_	TokenRange=690:692
132	e	e	CCONJ	CONJ	_	133	cc	_	TokenRange=693:694
133	leia	ler	VERB	VERB	_	123	conj	_	TokenRange=695:699
134-135	ao	_	_	_	_	_	_	_	TokenRange=700:702
134	a	a	ADP	ADP	_	136	case	_	_
135	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	136	det	_	_
136	final	final	NOUN	NOUN	_	133	nmod	_	TokenRange=703:708
137	desta	_	ADP	ADP	_	138	case	_	TokenRange=709:714
138	reportagem	reportagem	NOUN	NOUN	_	136	nmod	_	TokenRange=715:725
139	o	_	PRON	PRON	_	133	obj	_	TokenRange=726:727
140	que	_	PRON	PRON	_	144	obj	_	TokenRange=728:731
141	os	o	DET	DET	_	142	det	_	TokenRange=732:734
142	politicos	politico	NOUN	NOUN	_	144	nsubj	_	TokenRange=735:744
143	citados	citar	VERB	VERB	_	142	acl	_	TokenRange=745:752
144	disseram	dizer	VERB	VERB	_	139	acl:relcl	_	TokenRange=753:761
145	sobre	_	ADP	ADP	_	147	case	_	TokenRange=762:767
146	as	o	DET	DET	_	147	det	_	TokenRange=768:770
147	acusacoes	acusacoe	NOUN	NOUN	_	144	nmod	_	TokenRange=771:780
148	apos	_	ADP	ADP	_	150	case	_	TokenRange=781:785
149	as	o	DET	DET	_	150	det	_	TokenRange=786:788
150	delacoes	delacoe	NOUN	NOUN	_	147	nmod	_	TokenRange=789:797
151	o	o	DET	DET	_	139	det	_	SpacesAfter=\s\s|TokenRange=798:799

