# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = luz do estadio do maracana e cortada por divida de r 3 milhoes empresa responsavel pelo abastecimento de energia no rio confirmou informacao a globonews o abastecimento de energia eletrica do estadio do maracana na zona norte do rio foi cortado na manha desta quintafeira 26 por falta de pagamento de acordo com a globonews ja sao 5 meses de atraso num total de r 3 milhoes em divida em setembro e outubro o comite rio 2016 ainda era o responsavel pela gestao do estadio
1	luz	luz	NOUN	NOUN	_	26	nsubj	_	TokenRange=0:3
73	total	total	NOUN	NOUN	_	70	nmod	_	TokenRange=353:358
74	de	de	ADP	ADP	_	75	case	_	TokenRange=359:361
75	r	r	NOUN	NOUN	_	73	nmod	_	TokenRange=362:363
76	3	_	NUM	NUM	NumType=Card	77	nummod	_	TokenRange=364:365
77	milhoes	_	NUM	NUM	NumType=Card	75	nummod	_	TokenRange=366:373
78	em	em	ADP	ADP	_	79	case	_	TokenRange=374:376
79	divida	divida	NOUN	NOUN	_	73	nmod	_	TokenRange=377:383
80	em	em	ADP	ADP	_	81	case	_	TokenRange=384:386
81	setembro	_	PROPN	PNOUN	_	91	nmod	_	TokenRange=387:395
82	e	e	CCONJ	CONJ	_	83	cc	_	TokenRange=396:397
83	outubro	_	PROPN	PNOUN	_	81	conj	_	TokenRange=398:405
84	o	o	DET	DET	_	85	det	_	TokenRange=406:407
85	comite	comite	NOUN	NOUN	_	91	nsubj	_	TokenRange=408:414
86	rio	rio	NOUN	NOUN	_	85	appos	_	TokenRange=415:418
87	2016	_	NUM	NUM	NumType=Card	86	appos	_	TokenRange=419:423
88	ainda	ainda	ADV	ADV	_	91	advmod	_	TokenRange=424:429
89	era	_	AUX	AUX	_	91	cop	_	TokenRange=430:433
90	o	o	DET	DET	_	91	det	_	TokenRange=434:435
91	responsavel	responsavel	NOUN	NOUN	_	49	parataxis	_	TokenRange=436:447
92-93	pela	_	_	_	_	_	_	_	TokenRange=448:452
92	por	por	ADP	ADP	_	94	case	_	_
93	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	94	det	_	_
94	gestao	gestao	NOUN	NOUN	_	91	nmod	_	TokenRange=453:459
95-96	do	_	_	_	_	_	_	_	TokenRange=460:462
95	de	de	ADP	ADP	_	97	case	_	_
96	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	97	det	_	_
97	estadio	estadio	NOUN	NOUN	_	94	nmod	_	SpacesAfter=\s\s|TokenRange=463:470

