# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = exaerotrem e agora bigodao fidelix diz que nao teme clausula de barreira com otimismo e ataques aos adversarios o empresario levy fidelix 65 lancou no ulitmo dia 26 de novembro sua precandidatura a presidencia fundador do prtb e com varias eleicoes no curriculo ele diz estar preparado para fazer o pais voltar a crescer nas campanhas desde 1996 e nas presidenciais de 2010 e 2014 ficou conhecido por ter como vitrine o aerotrem especie de veiculo leve sobre trilhos que segundo ele foi copiado por outros partidos ao longo dos anos no lancamento de sua precandidatura na assembleia de sp apresentou seu novo jingle bigodao e a solucao mesmo sem nunca ter sido eleito para cargos publicos ele ja se lancou a vereador prefeito governador e presidente nao se ve como um outsider outsiders sao esses que entram de repente mesmo sem sequer ter partido e se acham preparados tenho 23 anos no partido e ao contrario dos
1	exaerotrem	exaerotrar	VERB	VERB	_	0	root	_	TokenRange=0:10
27	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	28	det	_	_
28	ulitmo	_	NOUN	NOUN	_	25	nmod	_	TokenRange=151:157
29	dia	dia	NOUN	NOUN	_	25	nmod	_	TokenRange=158:161
30	26	_	NUM	NUM	NumType=Card	29	appos	_	TokenRange=162:164
31	de	de	ADP	ADP	_	32	case	_	TokenRange=165:167
32	novembro	_	PROPN	PNOUN	_	30	nmod	_	TokenRange=168:176
33	sua	_	DET	DET	_	34	det:poss	_	TokenRange=177:180
34	precandidatura	precandidatura	NOUN	NOUN	_	25	obj	_	TokenRange=181:195
35	a	_	ADP	ADP	_	36	case	_	TokenRange=196:197
36	presidencia	presidencia	NOUN	NOUN	_	34	nmod	_	TokenRange=198:209
37	fundador	fundador	NOUN	NOUN	_	36	appos	_	TokenRange=210:218
38-39	do	_	_	_	_	_	_	_	TokenRange=219:221
38	de	de	ADP	ADP	_	40	case	_	_
39	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	40	det	_	_
40	prtb	_	PROPN	PNOUN	_	34	nmod	_	TokenRange=222:226
41	e	e	CCONJ	CONJ	_	49	cc	_	TokenRange=227:228
42	com	com	ADP	ADP	_	44	case	_	TokenRange=229:232
43	varias	_	DET	DET	_	44	det	_	TokenRange=233:239
44	eleicoes	eleicoe	NOUN	NOUN	_	49	nmod	_	TokenRange=240:248
45-46	no	_	_	_	_	_	_	_	TokenRange=249:251
45	em	em	ADP	ADP	_	47	case	_	_
46	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	47	det	_	_
47	curriculo	curriculo	NOUN	NOUN	_	44	nmod	_	TokenRange=252:261
48	ele	_	PRON	PRON	_	49	nsubj	_	TokenRange=262:265
49	diz	dizer	VERB	VERB	_	25	conj	_	TokenRange=266:269
50	estar	estar	VERB	VERB	_	49	xcomp	_	TokenRange=270:275
51	preparado	preparado	ADJ	ADJ	_	50	xcomp	_	TokenRange=276:285
52	para	_	ADP	ADP	_	53	mark	_	TokenRange=286:290
53	fazer	fazer	VERB	VERB	_	51	nmod	_	TokenRange=291:296
54	o	o	DET	DET	_	55	det	_	TokenRange=297:298
55	pais	_	NOUN	NOUN	_	58	nsubj	_	TokenRange=299:303
56	voltar	voltar	AUX	AUX	_	58	aux	_	TokenRange=304:310
57	a	_	ADP	ADP	_	58	mark	_	TokenRange=311:312
58	crescer	crescer	VERB	VERB	_	53	ccomp	_	TokenRange=313:320
59-60	nas	_	_	_	_	_	_	_	TokenRange=321:324
59	em	em	ADP	ADP	_	61	case	_	_
60	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	61	det	_	_
61	campanhas	campanha	NOUN	NOUN	_	58	nmod	_	TokenRange=325:334
62	desde	_	ADP	ADP	_	63	case	_	TokenRange=335:340
63	1996	_	NUM	NUM	NumType=Card	58	nmod	_	TokenRange=341:345
64	e	e	CCONJ	CONJ	_	72	cc	_	TokenRange=346:347
65-66	nas	_	_	_	_	_	_	_	TokenRange=348:351
65	em	em	ADP	ADP	_	67	case	_	_
66	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	67	det	_	_
67	presidenciais	_	NOUN	NOUN	_	154	nmod	_	TokenRange=352:365
68	de	de	ADP	ADP	_	69	case	_	TokenRange=366:368
69	2010	_	NUM	NUM	NumType=Card	67	nmod	_	TokenRange=369:373
70	e	e	CCONJ	CONJ	_	71	cc	_	TokenRange=374:375
71	2014	_	NUM	NUM	NumType=Card	69	conj	_	TokenRange=376:380
72	ficou	ficar	VERB	VERB	_	25	conj	_	TokenRange=381:386
73	conhecido	conhecido	ADJ	ADJ	_	72	xcomp	_	TokenRange=387:396
74	por	_	ADP	ADP	_	75	mark	_	TokenRange=397:400
75	ter	ter	VERB	VERB	_	72	advcl	_	TokenRange=401:404
76	como	como	ADP	ADP	_	77	case	_	TokenRange=405:409
77	vitrine	vitrine	NOUN	NOUN	_	75	nmod	_	TokenRange=410:417
78	o	o	DET	DET	_	79	det	_	TokenRange=418:419
79	aerotrem	_	NOUN	NOUN	_	75	obj	_	TokenRange=420:428
80	especie	especie	NOUN	NOUN	_	79	appos	_	TokenRange=429:436
81	de	de	ADP	ADP	_	82	case	_	TokenRange=437:439
82	veiculo	veiculo	NOUN	NOUN	_	80	nmod	_	TokenRange=440:447
83	leve	leve	ADJ	ADJ	_	82	amod	_	TokenRange=448:452
84	sobre	_	ADP	ADP	_	85	case	_	TokenRange=453:458
85	trilhos	trilho	NOUN	NOUN	_	82	nmod	_	TokenRange=459:466
86	que	_	PRON	PRON	_	90	nsubj:pass	_	TokenRange=467:470
87	segundo	_	ADP	ADP	_	88	case	_	TokenRange=471:478
88	ele	_	PRON	PRON	_	90	nmod	_	TokenRange=479:482
89	foi	_	AUX	AUX	_	90	aux:pass	_	TokenRange=483:486
90	copiado	copiar	VERB	VERB	_	80	acl:relcl	_	TokenRange=487:494
91	por	por	ADP	ADP	_	93	case	_	TokenRange=495:498
92	outros	_	DET	DET	_	93	det	_	TokenRange=499:505
93	partidos	partido	NOUN	NOUN	_	90	nmod	_	TokenRange=506:514
94-95	ao	_	_	_	_	_	_	_	TokenRange=515:517
94	a	a	ADP	ADP	_	96	case	_	_
95	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	96	det	_	_
96	longo	longo	NOUN	NOUN	_	90	nmod	_	TokenRange=518:523
97-98	dos	_	_	_	_	_	_	_	TokenRange=524:527
97	de	de	ADP	ADP	_	99	case	_	_
98	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	99	det	_	_
99	anos	ano	NOUN	NOUN	_	96	nmod	_	TokenRange=528:532
100-101	no	_	_	_	_	_	_	_	TokenRange=533:535
100	em	em	ADP	ADP	_	102	case	_	_
101	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	102	det	_	_
102	lancamento	lancamento	NOUN	NOUN	_	90	nmod	_	TokenRange=536:546
103	de	de	ADP	ADP	_	105	case	_	TokenRange=547:549
104	sua	_	DET	DET	_	105	det:poss	_	TokenRange=550:553
105	precandidatura	precandidatura	NOUN	NOUN	_	102	nmod	_	TokenRange=554:568
106-107	na	_	_	_	_	_	_	_	TokenRange=569:571
106	em	em	ADP	ADP	_	108	case	_	_
107	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	108	det	_	_
108	assembleia	assembleia	NOUN	NOUN	_	105	nmod	_	TokenRange=572:582
109	de	de	ADP	ADP	_	110	case	_	TokenRange=583:585
110	sp	_	PROPN	PNOUN	_	108	nmod	_	TokenRange=586:588
111	apresentou	apresentar	VERB	VERB	_	146	acl:relcl	_	TokenRange=589:599
112	seu	_	DET	DET	_	114	det:poss	_	TokenRange=600:603
113	novo	novo	ADJ	ADJ	_	114	amod	_	TokenRange=604:608
114	jingle	jingle	NOUN	NOUN	_	25	obj	_	TokenRange=609:615
115	bigodao	bigodao	NOUN	NOUN	_	114	amod	_	TokenRange=616:623
116	e	e	CCONJ	CONJ	_	118	cc	_	TokenRange=624:625
117	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	118	det	_	TokenRange=626:627
118	solucao	solucao	NOUN	NOUN	_	115	conj	_	TokenRange=628:635
119	mesmo	mesmo	ADV	ADV	_	131	advmod	_	TokenRange=636:641
120	sem	_	ADP	ADP	_	124	mark	_	TokenRange=642:645
121	nunca	nunca	ADV	ADV	_	124	advmod	_	TokenRange=646:651
122	ter	ter	AUX	AUX	_	124	aux	_	TokenRange=652:655
123	sido	ser	AUX	AUX	_	124	aux:pass	_	TokenRange=656:660
124	eleito	eleger	VERB	VERB	_	25	advcl	_	TokenRange=661:667
125	para	para	ADP	ADP	_	126	case	_	TokenRange=668:672
126	cargos	cargo	NOUN	NOUN	_	124	nmod	_	TokenRange=673:679
127	publicos	publico	ADJ	ADJ	_	126	amod	_	TokenRange=680:688
128	ele	_	PRON	PRON	_	131	nsubj	_	TokenRange=689:692
129	ja	ja	ADV	ADV	_	131	advmod	_	TokenRange=693:695
130	se	_	PRON	PRON	_	131	expl:pv	_	TokenRange=696:698
131	lancou	lancar	VERB	VERB	_	111	conj	_	TokenRange=699:705
132	a	_	ADP	ADP	_	133	case	_	TokenRange=706:707
133	vereador	vereador	NOUN	NOUN	_	131	nmod	_	TokenRange=708:716
134	prefeito	prefeito	NOUN	NOUN	_	131	nsubj	_	TokenRange=717:725
135	governador	governador	NOUN	NOUN	_	134	appos	_	TokenRange=726:736
136	e	e	CCONJ	CONJ	_	137	cc	_	TokenRange=737:738
137	presidente	presidente	NOUN	NOUN	_	135	conj	_	TokenRange=739:749
138	nao	nao	ADV	ADV	Polarity=Neg	140	advmod	_	TokenRange=750:753
139	se	_	PRON	PRON	_	140	expl:pv	_	TokenRange=754:756
140	ve	_	VERB	VERB	_	131	conj	_	TokenRange=757:759
141	como	como	ADP	ADP	_	143	case	_	TokenRange=760:764
142	um	um	DET	DET	_	143	det	_	TokenRange=765:767
143	outsider	outsider	NOUN	NOUN	_	140	nmod	_	TokenRange=768:776
144	outsiders	_	NOUN	NOUN	_	143	appos	_	TokenRange=777:786
145	sao	_	AUX	AUX	_	146	cop	_	TokenRange=787:790
146	esses	_	PRON	PRON	_	49	parataxis	_	TokenRange=791:796
147	que	_	PRON	PRON	_	148	nsubj	_	TokenRange=797:800
148	entram	entrar	VERB	VERB	_	146	acl:relcl	_	TokenRange=801:807
149	de	de	ADP	ADP	_	150	case	_	TokenRange=808:810
150	repente	repente	NOUN	NOUN	_	148	nmod	_	TokenRange=811:818
151	mesmo	mesmo	ADV	ADV	_	154	advmod	_	TokenRange=819:824
152	sem	_	ADP	ADP	_	154	mark	_	TokenRange=825:828
153	sequer	sequer	ADV	ADV	_	154	advmod	_	TokenRange=829:835
154	ter	ter	VERB	VERB	_	148	advcl	_	TokenRange=836:839
155	partido	partido	NOUN	NOUN	_	154	obj	_	TokenRange=840:847
156	e	e	CCONJ	CONJ	_	158	cc	_	TokenRange=848:849
157	se	_	PRON	PRON	_	158	expl:pv	_	TokenRange=850:852
158	acham	achar	VERB	VERB	_	154	conj	_	TokenRange=853:858
159	preparados	preparado	ADJ	ADJ	_	158	xcomp	_	TokenRange=859:869
160	tenho	ter	VERB	VERB	_	72	parataxis	_	TokenRange=870:875
161	23	_	NUM	NUM	NumType=Card	162	nummod	_	TokenRange=876:878
162	anos	ano	NOUN	NOUN	_	160	obj	_	TokenRange=879:883
163-164	no	_	_	_	_	_	_	_	TokenRange=884:886
163	em	em	ADP	ADP	_	165	case	_	_
164	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	165	det	_	_
165	partido	partido	NOUN	NOUN	_	160	nmod	_	TokenRange=887:894
166	e	e	CCONJ	CONJ	_	169	cc	_	TokenRange=895:896
167-168	ao	_	_	_	_	_	_	_	TokenRange=897:899
167	a	a	ADP	ADP	_	169	case	_	_
168	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	169	det	_	_
169	contrario	contrario	NOUN	NOUN	_	160	nmod	_	TokenRange=900:909
170-171	dos	_	_	_	_	_	_	_	SpacesAfter=\s\s|TokenRange=910:913
170	de	de	ADP	ADP	_	169	case	_	_
171	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	169	det	_	_

