# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = pitaia sardinhas quiosques badalados sereias veja destaques do verao do rio estacao que termina na segundafeira ditou novas modas como o maio cavado usados nas praias e nos blocos de carnaval relembre fatos que marcaram o periodo a estacao mais celebrada do ano no rio de janeiro tem a partir deste sabado 18 seu ultimo fim de semana antes de dar lugar ao outono na segundafeira 20 alem da sensacao de quase 50c da pouca chuva e do mar mais quente que a media o verao carioca ditou mais uma vez moda e tendencias relembre alguns fatos que marcaram o verao de 2017 o mar cristalino e a agua quente e calma das praias da orla do rio propocionaram encantamento entre cariocas e turistas nos
1	pitaia	pitaia	NOUN	NOUN	_	0	root	_	TokenRange=0:6
90	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	91	det	_	_
91	mar	mar	NOUN	NOUN	_	87	conj	_	TokenRange=432:435
92	mais	mais	ADV	ADV	_	93	advmod	_	TokenRange=436:440
93	quente	quente	ADJ	ADJ	_	91	amod	_	TokenRange=441:447
94	que	_	ADP	ADP	_	96	case	_	TokenRange=448:451
95	a	o	DET	DET	_	96	det	_	TokenRange=452:453
96	media	media	NOUN	NOUN	_	91	nmod	_	TokenRange=454:459
97	o	o	DET	DET	_	98	det	_	TokenRange=460:461
98	verao	verao	NOUN	NOUN	_	100	nsubj	_	TokenRange=462:467
99	carioca	carioca	ADJ	ADJ	_	98	amod	_	TokenRange=468:475
100	ditou	ditar	VERB	VERB	_	20	advcl	_	TokenRange=476:481
101	mais	mais	ADV	ADV	_	102	advmod	_	TokenRange=482:486
102	uma	_	NUM	NUM	NumType=Card	103	nummod	_	TokenRange=487:490
103	vez	vez	NOUN	NOUN	_	100	nmod	_	TokenRange=491:494
104	moda	moda	NOUN	NOUN	_	100	obj	_	TokenRange=495:499
105	e	e	CCONJ	CONJ	_	106	cc	_	TokenRange=500:501
106	tendencias	_	NOUN	NOUN	_	104	conj	_	TokenRange=502:512
107	relembre	_	VERB	VERB	_	100	parataxis	_	TokenRange=513:521
108	alguns	_	DET	DET	_	109	det	_	TokenRange=522:528
109	fatos	fato	NOUN	NOUN	_	100	obj	_	TokenRange=529:534
110	que	_	PRON	PRON	_	111	nsubj	_	TokenRange=535:538
111	marcaram	marcar	VERB	VERB	_	109	acl:relcl	_	TokenRange=539:547
112	o	o	DET	DET	_	113	det	_	TokenRange=548:549
113	verao	verao	PROPN	NOUN	_	111	obj	_	TokenRange=550:555
114	de	de	ADP	ADP	_	115	case	_	TokenRange=556:558
115	2017	_	NUM	NUM	NumType=Card	113	nmod	_	TokenRange=559:563
116	o	o	DET	DET	_	117	det	_	TokenRange=564:565
117	mar	mar	NOUN	NOUN	_	134	nsubj	_	TokenRange=566:569
118	cristalino	cristalino	ADJ	ADJ	_	117	amod	_	TokenRange=570:580
119	e	e	CCONJ	CONJ	_	121	cc	_	TokenRange=581:582
120	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	121	det	_	TokenRange=583:584
121	agua	agua	NOUN	NOUN	_	117	conj	_	TokenRange=585:589
122	quente	quente	ADJ	ADJ	_	121	amod	_	TokenRange=590:596
123	e	e	CCONJ	CONJ	_	124	cc	_	TokenRange=597:598
124	calma	calmo	ADJ	ADJ	_	122	conj	_	TokenRange=599:604
125-126	das	_	_	_	_	_	_	_	TokenRange=605:608
125	de	de	ADP	ADP	_	127	case	_	_
126	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	127	det	_	_
127	praias	praia	NOUN	NOUN	_	121	nmod	_	TokenRange=609:615
128-129	da	_	_	_	_	_	_	_	TokenRange=616:618
128	de	de	ADP	ADP	_	130	case	_	_
129	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	130	det	_	_
130	orla	orla	NOUN	NOUN	_	127	nmod	_	TokenRange=619:623
131-132	do	_	_	_	_	_	_	_	TokenRange=624:626
131	de	de	ADP	ADP	_	133	case	_	_
132	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	133	det	_	_
133	rio	rio	NOUN	NOUN	_	130	nmod	_	TokenRange=627:630
134	propocionaram	propocionar	VERB	VERB	_	109	acl:relcl	_	TokenRange=631:644
135	encantamento	encantamento	NOUN	NOUN	_	134	obj	_	TokenRange=645:657
136	entre	_	ADP	ADP	_	137	case	_	TokenRange=658:663
137	cariocas	carioca	NOUN	NOUN	_	135	nmod	_	TokenRange=664:672
138	e	e	CCONJ	CONJ	_	139	cc	_	TokenRange=673:674
139	turistas	turista	NOUN	NOUN	_	137	conj	_	TokenRange=675:683
140-141	nos	_	_	_	_	_	_	_	SpacesAfter=\s\s|TokenRange=684:687
140	em	em	ADP	ADP	_	134	case	_	_
141	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	109	det	_	_

