# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = intervencao federal na seguranca do rio o que se sabe e o que falta ser definido onda de violencia fez temer e pezao tomarem a decisao no fim da noite de quinta 15 as forcas armadas e a cupula de seguranca do rj se reunem na manha desta sextafeira para tracar plano de acao sim o decreto foi assinado em cerimonia no planalto na tarde desta sextafeira 16 e passou a vigorar assim que foi publicado no diario oficial da uniao ate 31 de dezembro de 2018 ultimo dia de pezao no governo do estado do rio de janeiro o general walter souza braga netto do comando militar do leste ele foi um dos responsaveis pela coordenacao da seguranca durante a olimpiada do rio em 2016 e tambem ocupou o servico de inteligencia do exercito tem um perfil combatente e e considerado parceiro pelas forcas auxiliares de seguranca do estado o general braga netto passa a exercer todas as funcoes da area de seguranca ele comanda agora as policias civil e militar o corpo de bombeiros e a secretaria que administra os presidios do rj ele responde diretamente ao presidente da republica roberto sa sera afastado das funcoes a
1	intervencao	intervencao	NOUN	NOUN	_	22	nsubj	_	TokenRange=0:11
24	e	e	CCONJ	CONJ	_	25	cc	_	TokenRange=109:110
25	pezao	pezao	NOUN	NOUN	_	23	conj	_	TokenRange=111:116
26	tomarem	tomar	VERB	VERB	_	22	ccomp	_	TokenRange=117:124
27	a	o	DET	DET	_	28	det	_	TokenRange=125:126
28	decisao	decisao	NOUN	NOUN	_	26	obj	_	TokenRange=127:134
29-30	no	_	_	_	_	_	_	_	TokenRange=135:137
29	em	em	ADP	ADP	_	31	case	_	_
30	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	31	det	_	_
31	fim	fim	NOUN	NOUN	_	26	nmod	_	TokenRange=138:141
32-33	da	_	_	_	_	_	_	_	TokenRange=142:144
32	de	de	ADP	ADP	_	34	case	_	_
33	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	34	det	_	_
34	noite	noite	NOUN	NOUN	_	31	nmod	_	TokenRange=145:150
35	de	de	ADP	ADP	_	36	case	_	TokenRange=151:153
36	quinta	_	PROPN	PNOUN	_	34	nmod	_	TokenRange=154:160
37	15	_	NUM	NUM	NumType=Card	36	nmod	_	TokenRange=161:163
38	as	o	DET	DET	_	39	det	_	TokenRange=164:166
39	forcas	forca	NOUN	NOUN	_	50	nsubj	_	TokenRange=167:173
40	armadas	armado	ADJ	ADJ	_	39	amod	_	TokenRange=174:181
41	e	e	CCONJ	CONJ	_	43	cc	_	TokenRange=182:183
42	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	43	det	_	TokenRange=184:185
43	cupula	cupula	NOUN	NOUN	_	39	conj	_	TokenRange=186:192
44	de	de	ADP	ADP	_	45	case	_	TokenRange=193:195
45	seguranca	_	NOUN	NOUN	_	43	nmod	_	TokenRange=196:205
46-47	do	_	_	_	_	_	_	_	TokenRange=206:208
46	de	de	ADP	ADP	_	48	case	_	_
47	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	48	det	_	_
48	rj	rj	NOUN	NOUN	_	43	nmod	_	TokenRange=209:211
49	se	_	PRON	PRON	_	50	obj	_	TokenRange=212:214
50	reunem	_	VERB	VERB	_	22	parataxis	_	TokenRange=215:221
51-52	na	_	_	_	_	_	_	_	TokenRange=222:224
51	em	em	ADP	ADP	_	53	case	_	_
52	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	53	det	_	_
53	manha	manha	NOUN	NOUN	_	50	nmod	_	TokenRange=225:230
54	desta	_	ADP	ADP	_	55	case	_	TokenRange=231:236
55	sextafeira	sextafeira	NOUN	NOUN	_	53	nmod	_	TokenRange=237:247
56	para	_	ADP	ADP	_	57	mark	_	TokenRange=248:252
57	tracar	tracar	VERB	VERB	_	50	advcl	_	TokenRange=253:259
58	plano	plano	NOUN	NOUN	_	57	obj	_	TokenRange=260:265
59	de	de	ADP	ADP	_	60	case	_	TokenRange=266:268
60	acao	acao	NOUN	NOUN	_	58	nmod	_	TokenRange=269:273
61	sim	sim	ADV	ADV	_	65	advmod	_	TokenRange=274:277
62	o	o	DET	DET	_	63	det	_	TokenRange=278:279
63	decreto	decreto	NOUN	NOUN	_	65	nsubj:pass	_	TokenRange=280:287
64	foi	_	AUX	AUX	_	65	aux:pass	_	TokenRange=288:291
65	assinado	assinar	VERB	VERB	_	22	parataxis	_	TokenRange=292:300
66	em	em	ADP	ADP	_	67	case	_	TokenRange=301:303
67	cerimonia	cerimonia	NOUN	NOUN	_	65	nmod	_	TokenRange=304:313
68-69	no	_	_	_	_	_	_	_	TokenRange=314:316
68	em	em	ADP	ADP	_	70	case	_	_
69	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	70	det	_	_
70	planalto	planalto	NOUN	NOUN	_	65	nmod	_	TokenRange=317:325
71-72	na	_	_	_	_	_	_	_	TokenRange=326:328
71	em	em	ADP	ADP	_	73	case	_	_
72	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	73	det	_	_
73	tarde	tarde	NOUN	NOUN	_	65	nmod	_	TokenRange=329:334
74	desta	_	ADP	ADP	_	75	case	_	TokenRange=335:340
75	sextafeira	sextafeira	NOUN	NOUN	_	73	nmod	_	TokenRange=341:351
76	16	_	NUM	NUM	NumType=Card	75	appos	_	TokenRange=352:354
77	e	e	CCONJ	CONJ	_	80	cc	_	TokenRange=355:356
78	passou	passar	AUX	AUX	_	80	aux	_	TokenRange=357:363
79	a	_	ADP	ADP	_	80	mark	_	TokenRange=364:365
80	vigorar	vigorar	VERB	VERB	_	22	conj	_	TokenRange=366:373
81	assim	assim	ADV	ADV	_	84	mark	_	TokenRange=374:379
82	que	_	CCONJ	CONJ	_	81	fixed	_	TokenRange=380:383
83	foi	_	AUX	AUX	_	84	aux:pass	_	TokenRange=384:387
84	publicado	publicar	VERB	VERB	_	80	advcl	_	TokenRange=388:397
85-86	no	_	_	_	_	_	_	_	TokenRange=398:400
85	em	em	ADP	ADP	_	87	case	_	_
86	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	87	det	_	_
87	diario	diario	NOUN	NOUN	_	84	nmod	_	TokenRange=401:407
88	oficial	oficial	ADJ	ADJ	_	87	amod	_	TokenRange=408:415
89-90	da	_	_	_	_	_	_	_	TokenRange=416:418
89	de	de	ADP	ADP	_	91	case	_	_
90	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	91	det	_	_
91	uniao	uniao	NOUN	NOUN	_	87	nmod	_	TokenRange=419:424
92	ate	_	ADP	ADP	_	93	case	_	TokenRange=425:428
93	31	_	NUM	NUM	NumType=Card	84	nmod	_	TokenRange=429:431
94	de	de	ADP	ADP	_	95	case	_	TokenRange=432:434
95	dezembro	_	PROPN	PNOUN	_	93	nmod	_	TokenRange=435:443
96	de	de	ADP	ADP	_	97	case	_	TokenRange=444:446
97	2018	_	NUM	NUM	NumType=Card	95	nmod	_	TokenRange=447:451
98	ultimo	_	ADJ	ADJ	_	99	amod	_	TokenRange=452:458
99	dia	dia	NOUN	NOUN	_	84	nsubj:pass	_	TokenRange=459:462
100	de	de	ADP	ADP	_	101	case	_	TokenRange=463:465
101	pezao	pezao	NOUN	NOUN	_	99	nmod	_	TokenRange=466:471
102-103	no	_	_	_	_	_	_	_	TokenRange=472:474
102	em	em	ADP	ADP	_	104	case	_	_
103	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	104	det	_	_
104	governo	governo	NOUN	NOUN	_	84	nmod	_	TokenRange=475:482
105-106	do	_	_	_	_	_	_	_	TokenRange=483:485
105	de	de	ADP	ADP	_	107	case	_	_
106	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	107	det	_	_
107	estado	estado	NOUN	NOUN	_	104	nmod	_	TokenRange=486:492
108-109	do	_	_	_	_	_	_	_	TokenRange=493:495
108	de	de	ADP	ADP	_	110	case	_	_
109	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	110	det	_	_
110	rio	_	PROPN	PNOUN	_	107	nmod	_	TokenRange=496:499
111	de	de	ADP	ADP	_	112	case	_	TokenRange=500:502
112	janeiro	_	PROPN	PNOUN	_	110	nmod	_	TokenRange=503:510
113	o	o	DET	DET	_	114	det	_	TokenRange=511:512
114	general	general	NOUN	NOUN	_	222	nsubj:pass	_	TokenRange=513:520
115	walter	_	PROPN	PNOUN	_	114	appos	_	TokenRange=521:527
116	souza	_	PROPN	PNOUN	_	115	flat	_	TokenRange=528:533
117	braga	braga	NOUN	NOUN	_	115	flat	_	TokenRange=534:539
118	netto	netto	NOUN	NOUN	_	115	flat	_	TokenRange=540:545
119-120	do	_	_	_	_	_	_	_	TokenRange=546:548
119	de	de	ADP	ADP	_	121	case	_	_
120	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	121	det	_	_
121	comando	comando	NOUN	NOUN	_	114	nmod	_	TokenRange=549:556
122	militar	militar	ADJ	ADJ	_	121	amod	_	TokenRange=557:564
123-124	do	_	_	_	_	_	_	_	TokenRange=565:567
123	de	de	ADP	ADP	_	125	case	_	_
124	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	125	det	_	_
125	leste	leste	NOUN	NOUN	_	121	nmod	_	TokenRange=568:573
126	ele	_	PRON	PRON	_	128	nsubj	_	TokenRange=574:577
127	foi	_	AUX	AUX	_	128	cop	_	TokenRange=578:581
128	um	_	PRON	PRON	_	22	parataxis	_	TokenRange=582:584
129-130	dos	_	_	_	_	_	_	_	TokenRange=585:588
129	de	de	ADP	ADP	_	131	case	_	_
130	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	131	det	_	_
131	responsaveis	responsavel	NOUN	NOUN	_	128	nmod	_	TokenRange=589:601
132-133	pela	_	_	_	_	_	_	_	TokenRange=602:606
132	por	por	ADP	ADP	_	134	case	_	_
133	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	134	det	_	_
134	coordenacao	coordenacao	NOUN	NOUN	_	131	nmod	_	TokenRange=607:618
135-136	da	_	_	_	_	_	_	_	TokenRange=619:621
135	de	de	ADP	ADP	_	137	case	_	_
136	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	137	det	_	_
137	seguranca	_	NOUN	NOUN	_	134	nmod	_	TokenRange=622:631
138	durante	_	ADP	ADP	_	140	case	_	TokenRange=632:639
139	a	o	DET	DET	_	140	det	_	TokenRange=640:641
140	olimpiada	olimpiada	NOUN	NOUN	_	134	nmod	_	TokenRange=642:651
141-142	do	_	_	_	_	_	_	_	TokenRange=652:654
141	de	de	ADP	ADP	_	143	case	_	_
142	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	143	det	_	_
143	rio	rio	NOUN	NOUN	_	140	nmod	_	TokenRange=655:658
144	em	em	ADP	ADP	_	145	case	_	TokenRange=659:661
145	2016	_	NUM	NUM	NumType=Card	34	nmod	_	TokenRange=662:666
146	e	e	CCONJ	CONJ	_	222	cc	_	TokenRange=667:668
147	tambem	tambem	ADV	ADV	_	148	advmod	_	TokenRange=669:675
148	ocupou	ocupar	VERB	VERB	_	128	conj	_	TokenRange=676:682
149	o	o	DET	DET	_	150	det	_	TokenRange=683:684
150	servico	servico	NOUN	NOUN	_	148	obj	_	TokenRange=685:692
151	de	de	ADP	ADP	_	152	case	_	TokenRange=693:695
152	inteligencia	inteligencia	NOUN	NOUN	_	150	nmod	_	TokenRange=696:708
153-154	do	_	_	_	_	_	_	_	TokenRange=709:711
153	de	de	ADP	ADP	_	155	case	_	_
154	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	155	det	_	_
155	exercito	exercito	NOUN	NOUN	_	150	nmod	_	TokenRange=712:720
156	tem	ter	VERB	VERB	_	65	conj	_	TokenRange=721:724
157	um	um	DET	DET	_	158	det	_	TokenRange=725:727
158	perfil	perfil	NOUN	NOUN	_	65	obj	_	TokenRange=728:734
159	combatente	combatente	ADJ	ADJ	_	158	amod	_	TokenRange=735:745
160	e	e	CCONJ	CONJ	_	163	cc	_	TokenRange=746:747
161	e	e	CCONJ	CONJ	_	163	cc	_	TokenRange=748:749
162	considerado	considerar	AUX	AUX	_	163	cop	_	TokenRange=750:761
163	parceiro	parceiro	NOUN	NOUN	_	65	conj	_	TokenRange=762:770
164-165	pelas	_	_	_	_	_	_	_	TokenRange=771:776
164	por	por	ADP	ADP	_	166	case	_	_
165	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	166	det	_	_
166	forcas	forca	NOUN	NOUN	_	163	nmod	_	TokenRange=777:783
167	auxiliares	auxiliar	ADJ	ADJ	_	166	amod	_	TokenRange=784:794
168	de	de	ADP	ADP	_	169	case	_	TokenRange=795:797
169	seguranca	_	NOUN	NOUN	_	166	nmod	_	TokenRange=798:807
170-171	do	_	_	_	_	_	_	_	TokenRange=808:810
170	de	de	ADP	ADP	_	172	case	_	_
171	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	172	det	_	_
172	estado	estado	NOUN	NOUN	_	166	nmod	_	TokenRange=811:817
173	o	o	DET	DET	_	174	det	_	TokenRange=818:819
174	general	general	NOUN	NOUN	_	65	nsubj:pass	_	TokenRange=820:827
175	braga	braga	NOUN	NOUN	_	174	appos	_	TokenRange=828:833
176	netto	_	ADJ	ADJ	_	175	flat	_	TokenRange=834:839
177	passa	passar	AUX	AUX	_	179	aux	_	TokenRange=840:845
178	a	_	ADP	ADP	_	179	mark	_	TokenRange=846:847
179	exercer	exercer	VERB	VERB	_	65	conj	_	TokenRange=848:855
180	todas	_	DET	DET	_	182	det	_	TokenRange=856:861
181	as	o	DET	DET	_	182	det	_	TokenRange=862:864
182	funcoes	funcoe	NOUN	NOUN	_	179	obj	_	TokenRange=865:872
183-184	da	_	_	_	_	_	_	_	TokenRange=873:875
183	de	de	ADP	ADP	_	185	case	_	_
184	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	185	det	_	_
185	area	area	NOUN	NOUN	_	182	nmod	_	TokenRange=876:880
186	de	de	ADP	ADP	_	187	case	_	TokenRange=881:883
187	seguranca	_	NOUN	NOUN	_	185	nmod	_	TokenRange=884:893
188	ele	_	PRON	PRON	_	189	nsubj	_	TokenRange=894:897
189	comanda	comandar	VERB	VERB	_	65	conj	_	TokenRange=898:905
190	agora	agora	ADV	ADV	_	189	advmod	_	TokenRange=906:911
191	as	o	DET	DET	_	192	det	_	TokenRange=912:914
192	policias	policia	NOUN	NOUN	_	189	obj	_	TokenRange=915:923
193	civil	civil	ADJ	ADJ	_	192	amod	_	TokenRange=924:929
194	e	e	CCONJ	CONJ	_	195	cc	_	TokenRange=930:931
195	militar	militar	ADJ	ADJ	_	193	conj	_	TokenRange=932:939
196	o	o	DET	DET	_	197	det	_	TokenRange=940:941
197	corpo	corpo	NOUN	NOUN	_	84	nsubj:pass	_	TokenRange=942:947
198	de	de	ADP	ADP	_	199	case	_	TokenRange=948:950
199	bombeiros	bombeiro	NOUN	NOUN	_	197	nmod	_	TokenRange=951:960
200	e	e	CCONJ	CONJ	_	202	cc	_	TokenRange=961:962
201	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	202	det	_	TokenRange=963:964
202	secretaria	secretaria	NOUN	NOUN	_	197	conj	_	TokenRange=965:975
203	que	_	PRON	PRON	_	204	nsubj	_	TokenRange=976:979
204	administra	administrar	VERB	VERB	_	202	acl:relcl	_	TokenRange=980:990
205	os	o	DET	DET	_	206	det	_	TokenRange=991:993
206	presidios	presidio	NOUN	NOUN	_	204	obj	_	TokenRange=994:1003
207-208	do	_	_	_	_	_	_	_	TokenRange=1004:1006
207	de	de	ADP	ADP	_	209	case	_	_
208	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	209	det	_	_
209	rj	rj	NOUN	NOUN	_	206	nmod	_	TokenRange=1007:1009
210	ele	_	PRON	PRON	_	211	nsubj	_	TokenRange=1010:1013
211	responde	responder	VERB	VERB	_	84	conj	_	TokenRange=1014:1022
212	diretamente	diretamente	ADV	ADV	_	211	advmod	_	TokenRange=1023:1034
213-214	ao	_	_	_	_	_	_	_	TokenRange=1035:1037
213	a	a	ADP	ADP	_	215	case	_	_
214	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	215	det	_	_
215	presidente	presidente	NOUN	NOUN	_	211	iobj	_	TokenRange=1038:1048
216-217	da	_	_	_	_	_	_	_	TokenRange=1049:1051
216	de	de	ADP	ADP	_	218	case	_	_
217	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	218	det	_	_
218	republica	_	NOUN	NOUN	_	215	nmod	_	TokenRange=1052:1061
219	roberto	roberto	PROPN	PNOUN	_	222	nsubj:pass	_	TokenRange=1062:1069
220	sa	_	PRON	PRON	_	219	flat	_	TokenRange=1070:1072
221	sera	_	AUX	AUX	_	222	aux:pass	_	TokenRange=1073:1077
222	afastado	afastar	VERB	VERB	_	189	conj	_	TokenRange=1078:1086
223-224	das	_	_	_	_	_	_	_	TokenRange=1087:1090
223	de	de	ADP	ADP	_	225	case	_	_
224	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	225	det	_	_
225	funcoes	funcoe	NOUN	NOUN	_	222	nmod	_	TokenRange=1091:1098
226	a	_	ADP	ADP	_	215	case	_	SpacesAfter=\s\s|TokenRange=1099:1100

