# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba o que esta em jogo nas eleicoes desta semana na camara e no senado senadores elegem presidente na proxima quarta 1 deputados na quinta 2 alem de status e poder politico comandantes das duas casas tem regalias e lugar na linha sucessoria da presidencia poder politico regalias e um lugar na linha de sucessao da presidencia da republica essas sao algumas das motivacoes da disputa que definira nesta semana quem comandara a camara e o senado pelos proximos dois anos os senadores escolherao o sucessor de renan calheiros pmdbal na quartafeira 1 os deputados elegem o presidente da casa na quinta 2 na camara a batalha pelo comando da mesa diretora colocou em trincheiras opostas aliados do presidente michel temer e ameaca corroer a coesao da base aliada do palacio do planalto atual presidente
1	saiba	saber	VERB	VERB	_	0	root	_	TokenRange=0:5
19	senadores	senador	NOUN	NOUN	_	18	flat	_	TokenRange=73:82
20	elegem	eleger	VERB	VERB	_	1	conj	_	TokenRange=83:89
21	presidente	presidente	NOUN	NOUN	_	20	obj	_	TokenRange=90:100
22-23	na	_	_	_	_	_	_	_	TokenRange=101:103
22	em	em	ADP	ADP	_	30	case	_	_
23	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	30	det	_	_
24	proxima	proximo	ADJ	ADJ	_	25	amod	_	TokenRange=104:111
25	quarta	_	ADJ	ADJ	_	27	amod	_	TokenRange=112:118
26	1	_	NUM	NUM	NumType=Card	27	nummod	_	TokenRange=119:120
27	deputados	deputado	NOUN	NOUN	_	20	nmod	_	TokenRange=121:130
28-29	na	_	_	_	_	_	_	_	TokenRange=131:133
28	em	em	ADP	ADP	_	30	case	_	_
29	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	30	det	_	_
30	quinta	_	PROPN	PNOUN	_	27	nmod	_	TokenRange=134:140
31	2	_	NUM	NUM	NumType=Card	30	appos	_	TokenRange=141:142
32	alem	alem	ADV	ADV	_	20	advmod	_	TokenRange=143:147
33	de	de	ADP	ADP	_	34	case	_	TokenRange=148:150
34	status	status	NOUN	NOUN	_	32	nmod	_	TokenRange=151:157
35	e	e	CCONJ	CONJ	_	36	cc	_	TokenRange=158:159
36	poder	poder	NOUN	NOUN	_	34	conj	_	TokenRange=160:165
37	politico	politico	ADJ	ADJ	_	36	amod	_	TokenRange=166:174
38	comandantes	comandante	NOUN	NOUN	_	43	nsubj	_	TokenRange=175:186
39-40	das	_	_	_	_	_	_	_	TokenRange=187:190
39	de	de	ADP	ADP	_	42	case	_	_
40	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	42	det	_	_
41	duas	_	NUM	NUM	NumType=Card	42	nummod	_	TokenRange=191:195
42	casas	casa	NOUN	NOUN	_	38	nmod	_	TokenRange=196:201
43	tem	ter	VERB	VERB	_	2	acl:relcl	_	TokenRange=202:205
44	regalias	regalia	NOUN	NOUN	_	43	obj	_	TokenRange=206:214
45	e	e	CCONJ	CONJ	_	46	cc	_	TokenRange=215:216
46	lugar	lugar	NOUN	NOUN	_	44	conj	_	TokenRange=217:222
47-48	na	_	_	_	_	_	_	_	TokenRange=223:225
47	em	em	ADP	ADP	_	49	case	_	_
48	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	49	det	_	_
49	linha	_	NOUN	NOUN	_	46	nmod	_	TokenRange=226:231
50	sucessoria	sucessoria	ADJ	ADJ	_	49	amod	_	TokenRange=232:242
51-52	da	_	_	_	_	_	_	_	TokenRange=243:245
51	de	de	ADP	ADP	_	53	case	_	_
52	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	53	det	_	_
53	presidencia	presidencia	NOUN	NOUN	_	49	nmod	_	TokenRange=246:257
54	poder	poder	NOUN	NOUN	_	43	obj	_	TokenRange=258:263
55	politico	politico	ADJ	ADJ	_	54	amod	_	TokenRange=264:272
56	regalias	regalia	NOUN	NOUN	_	54	appos	_	TokenRange=273:281
57	e	e	CCONJ	CONJ	_	59	cc	_	TokenRange=282:283
58	um	um	DET	DET	_	59	det	_	TokenRange=284:286
59	lugar	lugar	NOUN	NOUN	_	44	conj	_	TokenRange=287:292
60-61	na	_	_	_	_	_	_	_	TokenRange=293:295
60	em	em	ADP	ADP	_	62	case	_	_
61	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	62	det	_	_
62	linha	_	NOUN	NOUN	_	59	nmod	_	TokenRange=296:301
63	de	de	ADP	ADP	_	64	case	_	TokenRange=302:304
64	sucessao	sucessao	NOUN	NOUN	_	62	nmod	_	TokenRange=305:313
65-66	da	_	_	_	_	_	_	_	TokenRange=314:316
65	de	de	ADP	ADP	_	67	case	_	_
66	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	67	det	_	_
67	presidencia	presidencia	NOUN	NOUN	_	62	nmod	_	TokenRange=317:328
68-69	da	_	_	_	_	_	_	_	TokenRange=329:331
68	de	de	ADP	ADP	_	70	case	_	_
69	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	70	det	_	_
70	republica	_	NOUN	NOUN	_	67	nmod	_	TokenRange=332:341
71	essas	_	PRON	PRON	_	73	nsubj	_	TokenRange=342:347
72	sao	_	AUX	AUX	_	73	cop	_	TokenRange=348:351
73	algumas	_	PRON	PRON	_	1	parataxis	_	TokenRange=352:359
74-75	das	_	_	_	_	_	_	_	TokenRange=360:363
74	de	de	ADP	ADP	_	76	case	_	_
75	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	76	det	_	_
76	motivacoes	motivacoe	NOUN	NOUN	_	73	nmod	_	TokenRange=364:374
77-78	da	_	_	_	_	_	_	_	TokenRange=375:377
77	de	de	ADP	ADP	_	79	case	_	_
78	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	79	det	_	_
79	disputa	disputa	NOUN	NOUN	_	76	nmod	_	TokenRange=378:385
80	que	_	PRON	PRON	_	81	nsubj	_	TokenRange=386:389
81	definira	definir	VERB	VERB	_	79	acl:relcl	_	TokenRange=390:398
82	nesta	_	ADP	ADP	_	83	case	_	TokenRange=399:404
83	semana	semana	NOUN	NOUN	_	81	nmod	_	TokenRange=405:411
84	quem	_	PRON	PRON	_	85	nsubj	_	TokenRange=412:416
85	comandara	comandar	VERB	VERB	_	81	ccomp	_	TokenRange=417:426
86	a	o	DET	DET	_	87	det	_	TokenRange=427:428
87	camara	camara	NOUN	NOUN	_	85	obj	_	TokenRange=429:435
88	e	e	CCONJ	CONJ	_	90	cc	_	TokenRange=436:437
89	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	90	det	_	TokenRange=438:439
90	senado	senado	NOUN	NOUN	_	87	conj	_	TokenRange=440:446
91-92	pelos	_	_	_	_	_	_	_	TokenRange=447:452
91	por	por	ADP	ADP	_	95	case	_	_
92	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	95	det	_	_
93	proximos	proximo	ADJ	ADJ	_	95	amod	_	TokenRange=453:461
94	dois	_	NUM	NUM	NumType=Card	95	nummod	_	TokenRange=462:466
95	anos	ano	NOUN	NOUN	_	85	nmod	_	TokenRange=467:471
96	os	o	DET	DET	_	110	det	_	TokenRange=472:474
97	senadores	senador	NOUN	NOUN	_	111	nsubj	_	TokenRange=475:484
98	escolherao	escolher	VERB	VERB	_	111	ccomp	_	TokenRange=485:495
99	o	o	DET	DET	_	100	det	_	TokenRange=496:497
100	sucessor	sucessor	NOUN	NOUN	_	98	obj	_	TokenRange=498:506
101	de	de	ADP	ADP	_	102	case	_	TokenRange=507:509
102	renan	renan	NOUN	NOUN	_	100	nmod	_	TokenRange=510:515
103	calheiros	calheiro	NOUN	NOUN	_	102	flat	_	TokenRange=516:525
104	pmdbal	_	NOUN	NOUN	_	102	amod	_	TokenRange=526:532
105-106	na	_	_	_	_	_	_	_	TokenRange=533:535
105	em	em	ADP	ADP	_	107	case	_	_
106	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	107	det	_	_
107	quartafeira	_	NOUN	NOUN	_	100	nmod	_	TokenRange=536:547
108	1	_	NUM	NUM	NumType=Card	107	appos	_	TokenRange=548:549
109	os	o	DET	DET	_	110	det	_	TokenRange=550:552
110	deputados	deputado	NOUN	NOUN	_	111	nsubj	_	TokenRange=553:562
111	elegem	eleger	VERB	VERB	_	73	acl:relcl	_	TokenRange=563:569
112	o	o	DET	DET	_	113	det	_	TokenRange=570:571
113	presidente	presidente	NOUN	NOUN	_	111	obj	_	TokenRange=572:582
114-115	da	_	_	_	_	_	_	_	TokenRange=583:585
114	de	de	ADP	ADP	_	116	case	_	_
115	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	116	det	_	_
116	casa	casa	NOUN	NOUN	_	113	nmod	_	TokenRange=586:590
117-118	na	_	_	_	_	_	_	_	TokenRange=591:593
117	em	em	ADP	ADP	_	119	case	_	_
118	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	119	det	_	_
119	quinta	_	PROPN	PNOUN	_	113	nmod	_	TokenRange=594:600
120	2	_	NUM	NUM	NumType=Card	119	appos	_	TokenRange=601:602
121-122	na	_	_	_	_	_	_	_	TokenRange=603:605
121	em	em	ADP	ADP	_	123	case	_	_
122	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	123	det	_	_
123	camara	camara	NOUN	NOUN	_	111	nmod	_	TokenRange=606:612
124	a	o	DET	DET	_	125	det	_	TokenRange=613:614
125	batalha	batalha	NOUN	NOUN	_	133	nsubj	_	TokenRange=615:622
126-127	pelo	_	_	_	_	_	_	_	TokenRange=623:627
126	por	por	ADP	ADP	_	128	case	_	_
127	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	128	det	_	_
128	comando	comando	NOUN	NOUN	_	125	nmod	_	TokenRange=628:635
129-130	da	_	_	_	_	_	_	_	TokenRange=636:638
129	de	de	ADP	ADP	_	131	case	_	_
130	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	131	det	_	_
131	mesa	mesa	NOUN	NOUN	_	128	nmod	_	TokenRange=639:643
132	diretora	diretor	ADJ	ADJ	_	131	amod	_	TokenRange=644:652
133	colocou	colocar	VERB	VERB	_	73	parataxis	_	TokenRange=653:660
134	em	em	ADP	ADP	_	135	case	_	TokenRange=661:663
135	trincheiras	trincheira	NOUN	NOUN	_	133	nmod	_	TokenRange=664:675
136	opostas	oposto	ADJ	ADJ	_	135	amod	_	TokenRange=676:683
137	aliados	aliado	NOUN	NOUN	_	133	obj	_	TokenRange=684:691
138-139	do	_	_	_	_	_	_	_	TokenRange=692:694
138	de	de	ADP	ADP	_	140	case	_	_
139	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	140	det	_	_
140	presidente	presidente	NOUN	NOUN	_	137	nmod	_	TokenRange=695:705
141	michel	michel	ADJ	PNOUN	_	140	appos	_	TokenRange=706:712
142	temer	temer	NOUN	NOUN	_	141	flat	_	TokenRange=713:718
143	e	e	CCONJ	CONJ	_	144	cc	_	TokenRange=719:720
144	ameaca	ameacar	VERB	VERB	_	133	conj	_	TokenRange=721:727
145	corroer	corroer	VERB	VERB	_	144	xcomp	_	TokenRange=728:735
146	a	o	DET	DET	_	147	det	_	TokenRange=736:737
147	coesao	coesao	NOUN	NOUN	_	145	obj	_	TokenRange=738:744
148-149	da	_	_	_	_	_	_	_	TokenRange=745:747
148	de	de	ADP	ADP	_	150	case	_	_
149	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	150	det	_	_
150	base	base	NOUN	NOUN	_	147	nmod	_	TokenRange=748:752
151	aliada	aliado	ADJ	ADJ	_	150	amod	_	TokenRange=753:759
152-153	do	_	_	_	_	_	_	_	TokenRange=760:762
152	de	de	ADP	ADP	_	154	case	_	_
153	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	154	det	_	_
154	palacio	palacio	NOUN	NOUN	_	150	nmod	_	TokenRange=763:770
155-156	do	_	_	_	_	_	_	_	TokenRange=771:773
155	de	de	ADP	ADP	_	157	case	_	_
156	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	157	det	_	_
157	planalto	planalto	NOUN	NOUN	_	154	nmod	_	TokenRange=774:782
158	atual	atual	ADJ	ADJ	_	159	amod	_	TokenRange=783:788
159	presidente	presidente	NOUN	NOUN	_	154	appos	_	SpacesAfter=\s\s|TokenRange=789:799

