# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = eleicao na camara abre disputa por cargos da mesa diretora alem da movimentacao dos candidatos a presidencia da casa partidos ja articulam ocupacao de outros cargos estrategicos bancadas iniciaram 2017 em rota de colisao por conta da disputa enquanto os precandidatos a presidencia da camara se movimentam durante o recesso em busca dos votos dos colegas os partidos que ocupam cadeiras na casa abriram uma disputa que envolve outros cargos da mesa diretora considerados estrategicos para as atividades e para o jogo de poder legislativo no dia 2 de fevereiro os deputados se reunirao no plenario para definir a nova composicao da mesa diretora alem da presidencia da camara estao em jogo os cargos de primeiro e segundo vicepresidentes alem do comando de quatro secretarias e quatro vagas de suplentes de secretarios as primeiras movimentacoes das bancadas da camara em torno desses postos de direcao indicam que a definicao dos novos integrantes da mesa diretora nao
1	eleicao	eleicao	NOUN	NOUN	_	5	nsubj	_	TokenRange=0:7
63	de	de	ADP	ADP	_	65	case	_	_
64	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	65	det	_	_
65	colegas	colega	NOUN	NOUN	_	62	nmod	_	TokenRange=347:354
66	os	o	DET	DET	_	67	det	_	TokenRange=355:357
67	partidos	partido	NOUN	NOUN	_	54	nsubj	_	TokenRange=358:366
68	que	_	PRON	PRON	_	69	nsubj	_	TokenRange=367:370
69	ocupam	ocupar	VERB	VERB	_	67	acl:relcl	_	TokenRange=371:377
70	cadeiras	cadeira	NOUN	NOUN	_	69	obj	_	TokenRange=378:386
71-72	na	_	_	_	_	_	_	_	TokenRange=387:389
71	em	em	ADP	ADP	_	73	case	_	_
72	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	73	det	_	_
73	casa	casa	NOUN	NOUN	_	69	nmod	_	TokenRange=390:394
74	abriram	abrir	VERB	VERB	_	5	parataxis	_	TokenRange=395:402
75	uma	um	DET	DET	_	76	det	_	TokenRange=403:406
76	disputa	disputa	NOUN	NOUN	_	74	obj	_	TokenRange=407:414
77	que	_	PRON	PRON	_	78	nsubj	_	TokenRange=415:418
78	envolve	envolver	VERB	VERB	_	76	acl:relcl	_	TokenRange=419:426
79	outros	_	DET	DET	_	80	det	_	TokenRange=427:433
80	cargos	cargo	NOUN	NOUN	_	78	obj	_	TokenRange=434:440
81-82	da	_	_	_	_	_	_	_	TokenRange=441:443
81	de	de	ADP	ADP	_	83	case	_	_
82	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	83	det	_	_
83	mesa	mesa	NOUN	NOUN	_	80	nmod	_	TokenRange=444:448
84	diretora	diretor	ADJ	ADJ	_	83	amod	_	TokenRange=449:457
85	considerados	considerar	VERB	VERB	_	80	acl	_	TokenRange=458:470
86	estrategicos	estrategico	ADJ	ADJ	_	85	xcomp	_	TokenRange=471:483
87	para	para	ADP	ADP	_	89	case	_	TokenRange=484:488
88	as	o	DET	DET	_	89	det	_	TokenRange=489:491
89	atividades	atividade	NOUN	NOUN	_	86	nmod	_	TokenRange=492:502
90	e	e	CCONJ	CONJ	_	93	cc	_	TokenRange=503:504
91	para	para	ADP	ADP	_	93	case	_	TokenRange=505:509
92	o	o	DET	DET	_	93	det	_	TokenRange=510:511
93	jogo	jogo	NOUN	NOUN	_	89	conj	_	TokenRange=512:516
94	de	de	ADP	ADP	_	95	case	_	TokenRange=517:519
95	poder	poder	NOUN	NOUN	_	93	nmod	_	TokenRange=520:525
96	legislativo	legislativo	ADJ	ADJ	_	95	amod	_	TokenRange=526:537
97-98	no	_	_	_	_	_	_	_	TokenRange=538:540
97	em	em	ADP	ADP	_	99	case	_	_
98	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	99	det	_	_
99	dia	dia	NOUN	NOUN	_	106	nmod	_	TokenRange=541:544
100	2	_	NUM	NUM	NumType=Card	99	nmod	_	TokenRange=545:546
101	de	de	ADP	ADP	_	102	case	_	TokenRange=547:549
102	fevereiro	_	PROPN	PNOUN	_	100	nmod	_	TokenRange=550:559
103	os	o	DET	DET	_	104	det	_	TokenRange=560:562
104	deputados	deputado	NOUN	NOUN	_	106	nsubj	_	TokenRange=563:572
105	se	_	PRON	PRON	_	106	obj	_	TokenRange=573:575
106	reunirao	reunir	VERB	VERB	_	74	conj	_	TokenRange=576:584
107-108	no	_	_	_	_	_	_	_	TokenRange=585:587
107	em	em	ADP	ADP	_	109	case	_	_
108	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	109	det	_	_
109	plenario	plenario	NOUN	NOUN	_	106	nmod	_	TokenRange=588:596
110	para	_	ADP	ADP	_	111	mark	_	TokenRange=597:601
111	definir	definir	VERB	VERB	_	106	advcl	_	TokenRange=602:609
112	a	o	DET	DET	_	114	det	_	TokenRange=610:611
113	nova	novo	ADJ	ADJ	_	114	amod	_	TokenRange=612:616
114	composicao	_	NOUN	NOUN	_	111	obj	_	TokenRange=617:627
115-116	da	_	_	_	_	_	_	_	TokenRange=628:630
115	de	de	ADP	ADP	_	117	case	_	_
116	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	117	det	_	_
117	mesa	mesa	NOUN	NOUN	_	114	nmod	_	TokenRange=631:635
118	diretora	diretor	ADJ	ADJ	_	117	amod	_	TokenRange=636:644
119	alem	alem	ADV	ADV	_	126	advmod	_	TokenRange=645:649
120-121	da	_	_	_	_	_	_	_	TokenRange=650:652
120	de	de	ADP	ADP	_	122	case	_	_
121	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	122	det	_	_
122	presidencia	presidencia	NOUN	NOUN	_	119	nmod	_	TokenRange=653:664
123-124	da	_	_	_	_	_	_	_	TokenRange=665:667
123	de	de	ADP	ADP	_	125	case	_	_
124	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	125	det	_	_
125	camara	camara	NOUN	NOUN	_	122	nmod	_	TokenRange=668:674
126	estao	_	VERB	VERB	_	106	parataxis	_	TokenRange=675:680
127	em	em	ADP	ADP	_	128	case	_	TokenRange=681:683
128	jogo	jogo	NOUN	NOUN	_	126	nmod	_	TokenRange=684:688
129	os	o	DET	DET	_	130	det	_	TokenRange=689:691
130	cargos	cargo	NOUN	NOUN	_	126	nsubj	_	TokenRange=692:698
131	de	de	ADP	ADP	_	135	case	_	TokenRange=699:701
132	primeiro	primeiro	ADJ	ADJ	_	135	amod	_	TokenRange=702:710
133	e	e	CCONJ	CONJ	_	134	cc	_	TokenRange=711:712
134	segundo	segundo	ADJ	ADJ	_	132	conj	_	TokenRange=713:720
135	vicepresidentes	vicepresidente	NOUN	NOUN	_	130	nmod	_	TokenRange=721:736
136	alem	alem	ADV	ADV	_	126	advmod	_	TokenRange=737:741
137-138	do	_	_	_	_	_	_	_	TokenRange=742:744
137	de	de	ADP	ADP	_	139	case	_	_
138	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	139	det	_	_
139	comando	comando	NOUN	NOUN	_	136	nmod	_	TokenRange=745:752
140	de	de	ADP	ADP	_	142	case	_	TokenRange=753:755
141	quatro	_	NUM	NUM	NumType=Card	142	nummod	_	TokenRange=756:762
142	secretarias	secretaria	NOUN	NOUN	_	139	nmod	_	TokenRange=763:774
143	e	e	CCONJ	CONJ	_	145	cc	_	TokenRange=775:776
144	quatro	_	NUM	NUM	NumType=Card	145	nummod	_	TokenRange=777:783
145	vagas	vaga	NOUN	NOUN	_	142	conj	_	TokenRange=784:789
146	de	de	ADP	ADP	_	147	case	_	TokenRange=790:792
147	suplentes	suplente	NOUN	NOUN	_	145	nmod	_	TokenRange=793:802
148	de	de	ADP	ADP	_	149	case	_	TokenRange=803:805
149	secretarios	secretario	NOUN	NOUN	_	147	nmod	_	TokenRange=806:817
150	as	o	DET	DET	_	152	det	_	TokenRange=818:820
151	primeiras	primeiro	ADJ	ADJ	_	152	amod	_	TokenRange=821:830
152	movimentacoes	_	NOUN	NOUN	_	126	nsubj	_	TokenRange=831:844
153-154	das	_	_	_	_	_	_	_	TokenRange=845:848
153	de	de	ADP	ADP	_	155	case	_	_
154	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	155	det	_	_
155	bancadas	bancada	NOUN	NOUN	_	152	nmod	_	TokenRange=849:857
156-157	da	_	_	_	_	_	_	_	TokenRange=858:860
156	de	de	ADP	ADP	_	158	case	_	_
157	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	158	det	_	_
158	camara	camara	NOUN	NOUN	_	155	nmod	_	TokenRange=861:867
159	em	em	ADP	ADP	_	160	case	_	TokenRange=868:870
160	torno	torno	NOUN	NOUN	_	152	nmod	_	TokenRange=871:876
161	desses	_	ADP	ADP	_	162	case	_	TokenRange=877:883
162	postos	posto	NOUN	NOUN	_	160	nmod	_	TokenRange=884:890
163	de	de	ADP	ADP	_	149	case	_	TokenRange=891:893
164	direcao	direcao	NOUN	NOUN	_	162	nmod	_	TokenRange=894:901
165	indicam	indicar	VERB	VERB	_	126	parataxis	_	TokenRange=902:909
166	que	que	CCONJ	CONJ	_	177	mark	_	TokenRange=910:913
167	a	o	DET	DET	_	168	det	_	TokenRange=914:915
168	definicao	definicao	NOUN	NOUN	_	165	nsubj	_	TokenRange=916:925
169-170	dos	_	_	_	_	_	_	_	TokenRange=926:929
169	de	de	ADP	ADP	_	172	case	_	_
170	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	172	det	_	_
171	novos	novo	ADJ	ADJ	_	172	amod	_	TokenRange=930:935
172	integrantes	_	NOUN	NOUN	_	168	nmod	_	TokenRange=936:947
173-174	da	_	_	_	_	_	_	_	TokenRange=948:950
173	de	de	ADP	ADP	_	175	case	_	_
174	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	175	det	_	_
175	mesa	mesa	NOUN	NOUN	_	172	nmod	_	TokenRange=951:955
176	diretora	diretor	ADJ	ADJ	_	175	amod	_	TokenRange=956:964
177	nao	nao	ADV	ADV	Polarity=Neg	165	advmod	_	SpacesAfter=\s\s|TokenRange=965:968

