# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = no mesmo bau de arquivos da familia de luiz inacio da silva em que a defesa do petista informou ter localizado os 26 recibos alguns com erros de datas que comprovariam os pagamentos do aluguel do apartamento 121 do edificio hill house que a operacao lava jato afirma ser propriedade oculta do expresidente a policia federal apreendeu um controle de contas mensais 2 sem 2011 que nao registra despesas com a locacao do imovel a forcatarefa da acusa lula de ter recebido o apartamento comprado por r 504 mil em 2010 como propina da odebrecht em operacao de lavagem de dinheiro feita pelo advogado roberto teixera e pelo pecuarista jose carlos bumlai amigos do petista para isso usaram como laranja o primo de bumlai glaucos da costamarques a compra do apartamento 121 que e vizinho ao 122 em que lula reside e e dono em sao bernardo do campo e objeto do segundo processo criminal em que o petista sera julgado pelo juiz federal sergio moro da lava jato em curitiba a sentenca deve sair antes do final do ano o expresidente foi condenado a 9 anos e 6 meses de prisao em junho outras do
1-2	no	_	_	_	_	_	_	_	TokenRange=0:2
51	a	o	DET	DET	_	52	det	_	TokenRange=239:240
52	operacao	operacao	NOUN	NOUN	_	55	nsubj	_	TokenRange=241:249
53	lava	lava	NOUN	NOUN	_	52	appos	_	TokenRange=250:254
54	jato	jato	NOUN	NOUN	_	53	flat	_	TokenRange=255:259
55	afirma	afirmar	VERB	VERB	_	65	parataxis	_	TokenRange=260:266
56	ser	ser	AUX	AUX	_	57	cop	_	TokenRange=267:270
57	propriedade	propriedade	NOUN	NOUN	_	55	xcomp	_	TokenRange=271:282
58	oculta	oculto	ADJ	ADJ	_	57	amod	_	TokenRange=283:289
59-60	do	_	_	_	_	_	_	_	TokenRange=290:292
59	de	de	ADP	ADP	_	61	case	_	_
60	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	61	det	_	_
61	expresidente	expresidente	NOUN	NOUN	_	57	nmod	_	TokenRange=293:305
62	a	o	DET	DET	_	63	det	_	TokenRange=306:307
63	policia	policia	NOUN	NOUN	_	55	nsubj	_	TokenRange=308:315
64	federal	federal	ADJ	ADJ	_	63	amod	_	TokenRange=316:323
65	apreendeu	apreender	VERB	VERB	_	0	root	_	TokenRange=324:333
66	um	um	DET	DET	_	67	det	_	TokenRange=334:336
67	controle	_	NOUN	NOUN	_	65	obj	_	TokenRange=337:345
68	de	de	ADP	ADP	_	69	case	_	TokenRange=346:348
69	contas	conta	NOUN	NOUN	_	67	nmod	_	TokenRange=349:355
70	mensais	mensal	ADJ	ADJ	_	69	amod	_	TokenRange=356:363
71	2	_	NUM	NUM	NumType=Card	67	appos	_	TokenRange=364:365
72	sem	_	ADP	ADP	_	73	case	_	TokenRange=366:369
73	2011	_	NUM	NUM	NumType=Card	71	nmod	_	TokenRange=370:374
74	que	_	PRON	PRON	_	76	nsubj	_	TokenRange=375:378
75	nao	nao	ADV	ADV	Polarity=Neg	76	advmod	_	TokenRange=379:382
76	registra	registrar	VERB	VERB	_	67	acl:relcl	_	TokenRange=383:391
77	despesas	despesa	NOUN	NOUN	_	76	obj	_	TokenRange=392:400
78	com	com	ADP	ADP	_	80	case	_	TokenRange=401:404
79	a	o	DET	DET	_	80	det	_	TokenRange=405:406
80	locacao	locacao	NOUN	NOUN	_	77	nmod	_	TokenRange=407:414
81-82	do	_	_	_	_	_	_	_	TokenRange=415:417
81	de	de	ADP	ADP	_	83	case	_	_
82	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	83	det	_	_
83	imovel	imovel	NOUN	NOUN	_	80	nmod	_	TokenRange=418:424
84	a	o	DET	DET	_	85	det	_	TokenRange=425:426
85	forcatarefa	forcatarefa	NOUN	NOUN	_	180	nsubj:pass	_	TokenRange=427:438
86-87	da	_	_	_	_	_	_	_	TokenRange=439:441
86	de	de	ADP	ADP	_	88	case	_	_
87	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	88	det	_	_
88	acusa	acusar	VERB	VERB	_	85	nmod	_	TokenRange=442:447
89	lula	lula	NOUN	NOUN	_	88	obj	_	TokenRange=448:452
90	de	_	ADP	ADP	_	92	mark	_	TokenRange=453:455
91	ter	ter	AUX	AUX	_	92	aux	_	TokenRange=456:459
92	recebido	receber	VERB	VERB	_	169	nmod	_	TokenRange=460:468
93	o	o	DET	DET	_	94	det	_	TokenRange=469:470
94	apartamento	apartamento	NOUN	NOUN	_	92	obj	_	TokenRange=471:482
95	comprado	comprar	VERB	VERB	_	94	acl	_	TokenRange=483:491
96	por	por	ADP	ADP	_	97	case	_	TokenRange=492:495
97	r	r	NOUN	NOUN	_	95	nmod	_	TokenRange=496:497
98	504	_	NUM	NUM	NumType=Card	99	nummod	_	TokenRange=498:501
99	mil	_	NUM	NUM	NumType=Card	97	nummod	_	TokenRange=502:505
100	em	em	ADP	ADP	_	101	case	_	TokenRange=506:508
101	2010	_	NUM	NUM	NumType=Card	95	nmod	_	TokenRange=509:513
102	como	como	ADP	ADP	_	103	case	_	TokenRange=514:518
103	propina	propina	NOUN	NOUN	_	95	nmod	_	TokenRange=519:526
104-105	da	_	_	_	_	_	_	_	TokenRange=527:529
104	de	de	ADP	ADP	_	106	case	_	_
105	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	106	det	_	_
106	odebrecht	_	NOUN	NOUN	_	103	nmod	_	TokenRange=530:539
107	em	em	ADP	ADP	_	108	case	_	TokenRange=540:542
108	operacao	operacao	NOUN	NOUN	_	113	nmod	_	TokenRange=543:551
109	de	de	ADP	ADP	_	110	case	_	TokenRange=552:554
110	lavagem	lavagem	NOUN	NOUN	_	108	nmod	_	TokenRange=555:562
111	de	de	ADP	ADP	_	112	case	_	TokenRange=563:565
112	dinheiro	dinheiro	NOUN	NOUN	_	110	nmod	_	TokenRange=566:574
113	feita	_	VERB	VERB	_	103	acl	_	TokenRange=575:580
114-115	pelo	_	_	_	_	_	_	_	TokenRange=581:585
114	por	por	ADP	ADP	_	116	case	_	_
115	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	116	det	_	_
116	advogado	advogado	NOUN	NOUN	_	113	nmod	_	TokenRange=586:594
117	roberto	roberto	NOUN	NOUN	_	116	appos	_	TokenRange=595:602
118	teixera	_	PROPN	NOUN	_	117	flat	_	TokenRange=603:610
119	e	e	CCONJ	CONJ	_	122	cc	_	TokenRange=611:612
120-121	pelo	_	_	_	_	_	_	_	TokenRange=613:617
120	por	por	ADP	ADP	_	122	case	_	_
121	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	122	det	_	_
122	pecuarista	pecuarista	NOUN	NOUN	_	116	conj	_	TokenRange=618:628
123	jose	jose	NOUN	NOUN	_	122	appos	_	TokenRange=629:633
124	carlos	_	NOUN	NOUN	_	123	flat	_	TokenRange=634:640
125	bumlai	_	NOUN	NOUN	_	123	flat	_	TokenRange=641:647
126	amigos	amigo	NOUN	NOUN	_	132	nsubj	_	TokenRange=648:654
127-128	do	_	_	_	_	_	_	_	TokenRange=655:657
127	de	de	ADP	ADP	_	129	case	_	_
128	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	129	det	_	_
129	petista	petista	NOUN	NOUN	_	126	nmod	_	TokenRange=658:665
130	para	para	ADP	ADP	_	131	case	_	TokenRange=666:670
131	isso	_	PRON	PRON	_	113	nmod	_	TokenRange=671:675
132	usaram	usar	VERB	VERB	_	65	parataxis	_	TokenRange=676:682
133	como	como	ADP	ADP	_	134	case	_	TokenRange=683:687
134	laranja	laranja	NOUN	NOUN	_	132	nmod	_	TokenRange=688:695
135	o	o	DET	DET	_	136	det	_	TokenRange=696:697
136	primo	primo	NOUN	NOUN	_	132	obj	_	TokenRange=698:703
137	de	de	ADP	ADP	_	138	case	_	TokenRange=704:706
138	bumlai	_	NOUN	NOUN	_	136	nmod	_	TokenRange=707:713
139	glaucos	glauco	NOUN	NOUN	_	57	appos	_	TokenRange=714:721
140-141	da	_	_	_	_	_	_	_	TokenRange=722:724
140	de	de	ADP	ADP	_	142	case	_	_
141	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	142	det	_	_
142	costamarques	costamarques	NOUN	NOUN	_	136	nmod	_	TokenRange=725:737
143	a	o	DET	DET	_	144	det	_	TokenRange=738:739
144	compra	compra	NOUN	NOUN	_	132	obj	_	TokenRange=740:746
145-146	do	_	_	_	_	_	_	_	TokenRange=747:749
145	de	de	ADP	ADP	_	147	case	_	_
146	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	147	det	_	_
147	apartamento	apartamento	NOUN	NOUN	_	144	nmod	_	TokenRange=750:761
148	121	_	NUM	NUM	NumType=Card	147	appos	_	TokenRange=762:765
149	que	_	PRON	PRON	_	180	nsubj:pass	_	TokenRange=766:769
150	e	e	CCONJ	CONJ	_	151	cc	_	TokenRange=770:771
151	vizinho	vizinho	NOUN	NOUN	_	147	conj	_	TokenRange=772:779
152-153	ao	_	_	_	_	_	_	_	TokenRange=780:782
152	a	a	ADP	ADP	_	154	case	_	_
153	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	154	det	_	_
154	122	_	NUM	NUM	NumType=Card	151	nmod	_	TokenRange=783:786
155	em	em	ADP	ADP	_	156	case	_	TokenRange=787:789
156	que	_	PRON	PRON	_	158	nmod	_	TokenRange=790:793
157	lula	_	NOUN	NOUN	_	158	nsubj	_	TokenRange=794:798
158	reside	residir	VERB	VERB	_	154	acl:relcl	_	TokenRange=799:805
159	e	e	CCONJ	CONJ	_	161	cc	_	TokenRange=806:807
160	e	e	CCONJ	CONJ	_	161	cc	_	TokenRange=808:809
161	dono	dono	NOUN	NOUN	_	158	conj	_	TokenRange=810:814
162	em	em	ADP	ADP	_	163	case	_	TokenRange=815:817
163	sao	sao	NOUN	NOUN	_	158	nmod	_	TokenRange=818:821
164	bernardo	bernardo	NOUN	NOUN	_	163	flat	_	TokenRange=822:830
165-166	do	_	_	_	_	_	_	_	TokenRange=831:833
165	de	de	ADP	ADP	_	167	case	_	_
166	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	167	det	_	_
167	campo	campo	NOUN	NOUN	_	163	nmod	_	TokenRange=834:839
168	e	e	CCONJ	CONJ	_	169	cc	_	TokenRange=840:841
169	objeto	objeto	NOUN	NOUN	_	67	conj	_	TokenRange=842:848
170-171	do	_	_	_	_	_	_	_	TokenRange=849:851
170	de	de	ADP	ADP	_	173	case	_	_
171	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	173	det	_	_
172	segundo	segundo	ADJ	ADJ	_	173	amod	_	TokenRange=852:859
173	processo	processo	NOUN	NOUN	_	169	nmod	_	TokenRange=860:868
174	criminal	criminal	ADJ	ADJ	_	173	amod	_	TokenRange=869:877
175	em	em	ADP	ADP	_	176	case	_	TokenRange=878:880
176	que	_	PRON	PRON	_	180	nmod	_	TokenRange=881:884
177	o	o	DET	DET	_	178	det	_	TokenRange=885:886
178	petista	petista	NOUN	NOUN	_	180	nsubj:pass	_	TokenRange=887:894
179	sera	_	AUX	AUX	_	180	aux:pass	_	TokenRange=895:899
180	julgado	julgar	VERB	VERB	_	173	acl:relcl	_	TokenRange=900:907
181-182	pelo	_	_	_	_	_	_	_	TokenRange=908:912
181	por	por	ADP	ADP	_	183	case	_	_
182	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	183	det	_	_
183	juiz	juiz	NOUN	NOUN	_	180	nmod	_	TokenRange=913:917
184	federal	federal	ADJ	ADJ	_	183	amod	_	TokenRange=918:925
185	sergio	sergio	NOUN	NOUN	_	183	appos	_	TokenRange=926:932
186	moro	moro	NOUN	NOUN	_	185	flat	_	TokenRange=933:937
187-188	da	_	_	_	_	_	_	_	TokenRange=938:940
187	de	de	ADP	ADP	_	189	case	_	_
188	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	189	det	_	_
189	lava	lava	NOUN	NOUN	_	185	nmod	_	TokenRange=941:945
190	jato	jato	NOUN	NOUN	_	189	flat	_	TokenRange=946:950
191	em	em	ADP	ADP	_	192	case	_	TokenRange=951:953
192	curitiba	curitiba	NOUN	NOUN	_	180	nmod	_	TokenRange=954:962
193	a	o	DET	DET	_	194	det	_	TokenRange=963:964
194	sentenca	_	NOUN	NOUN	_	196	nsubj	_	TokenRange=965:973
195	deve	dever	AUX	AUX	_	196	aux	_	TokenRange=974:978
196	sair	sair	VERB	VERB	_	180	conj	_	TokenRange=979:983
197	antes	antes	ADV	ADV	_	200	case	_	TokenRange=984:989
198-199	do	_	_	_	_	_	_	_	TokenRange=990:992
198	de	de	ADP	ADP	_	197	case	_	_
199	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	197	det	_	_
200	final	final	NOUN	NOUN	_	196	nmod	_	TokenRange=993:998
201-202	do	_	_	_	_	_	_	_	TokenRange=999:1001
201	de	de	ADP	ADP	_	203	case	_	_
202	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	203	det	_	_
203	ano	ano	NOUN	NOUN	_	200	nmod	_	TokenRange=1002:1005
204	o	o	DET	DET	_	205	det	_	TokenRange=1006:1007
205	expresidente	expresidente	NOUN	NOUN	_	207	nsubj:pass	_	TokenRange=1008:1020
206	foi	_	AUX	AUX	_	207	aux:pass	_	TokenRange=1021:1024
207	condenado	condenar	VERB	VERB	_	65	parataxis	_	TokenRange=1025:1034
208	a	_	ADP	ADP	_	210	case	_	TokenRange=1035:1036
209	9	_	NUM	NUM	NumType=Card	210	nummod	_	TokenRange=1037:1038
210	anos	ano	NOUN	NOUN	_	207	nmod	_	TokenRange=1039:1043
211	e	e	CCONJ	CONJ	_	213	cc	_	TokenRange=1044:1045
212	6	_	NUM	NUM	NumType=Card	213	nummod	_	TokenRange=1046:1047
213	meses	mês	NOUN	NOUN	_	210	conj	_	TokenRange=1048:1053
214	de	de	ADP	ADP	_	215	case	_	TokenRange=1054:1056
215	prisao	prisao	NOUN	NOUN	_	213	nmod	_	TokenRange=1057:1063
216	em	em	ADP	ADP	_	217	case	_	TokenRange=1064:1066
217	junho	_	PROPN	PNOUN	_	207	nmod	_	TokenRange=1067:1072
218	outras	_	PRON	PRON	_	207	nsubj:pass	_	TokenRange=1073:1079
219-220	do	_	_	_	_	_	_	_	SpacesAfter=\s\s|TokenRange=1080:1082
219	de	de	ADP	ADP	_	147	case	_	_
220	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	147	det	_	_

