# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = prefeituras e outros orgaos publicos devem r 679 milhoes ao fgts dividas da administracao publica e menos de 1 do total de debitos que pode ser cobrado segundo dados da fazenda nacional veja lista dos 20 maiores devedores os orgaos publicos e demais empregadores da administracao publica devem aproximadamente r 679 milhoes ao fundo de garantia por tempo de servico fgts no entanto eles sao minoria entre os que fazem parte da lista devedores do fundo a maioria das dividas e de empresas privadas e o que aponta levantamento feito pelo g1 com dados da a procuradoria geral da fazenda nacional pgfn a lista de empregadores que devem ao fgts e aberta e pode ser consultada neste link da pgfn muitos trabalhadores so descobriram que seus empregadores nao
1	prefeituras	prefeitura	NOUN	NOUN	_	6	nsubj	_	TokenRange=0:11
78	fazem	fazer	VERB	VERB	_	76	acl:relcl	_	TokenRange=412:417
79	parte	parte	NOUN	NOUN	_	78	obj	_	TokenRange=418:423
80-81	da	_	_	_	_	_	_	_	TokenRange=424:426
80	de	de	ADP	ADP	_	82	case	_	_
81	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	82	det	_	_
82	lista	lista	NOUN	NOUN	_	79	nmod	_	TokenRange=427:432
83	devedores	devedor	ADJ	ADJ	_	82	amod	_	TokenRange=433:442
84-85	do	_	_	_	_	_	_	_	TokenRange=443:445
84	de	de	ADP	ADP	_	86	case	_	_
85	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	86	det	_	_
86	fundo	fundo	NOUN	NOUN	_	82	nmod	_	TokenRange=446:451
87	a	o	DET	DET	_	88	det	_	TokenRange=452:453
88	maioria	maioria	NOUN	NOUN	_	78	obj	_	TokenRange=454:461
89-90	das	_	_	_	_	_	_	_	TokenRange=462:465
89	de	de	ADP	ADP	_	91	case	_	_
90	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	91	det	_	_
91	dividas	divida	NOUN	NOUN	_	88	nmod	_	TokenRange=466:473
92	e	e	CCONJ	CONJ	_	94	cc	_	TokenRange=474:475
93	de	de	ADP	ADP	_	94	case	_	TokenRange=476:478
94	empresas	empresa	NOUN	NOUN	_	91	conj	_	TokenRange=479:487
95	privadas	privado	ADJ	ADJ	_	94	amod	_	TokenRange=488:496
96	e	e	CCONJ	CONJ	_	99	cc	_	TokenRange=497:498
97	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	74	det	_	TokenRange=499:500
98	que	_	PRON	PRON	_	99	nsubj	_	TokenRange=501:504
99	aponta	apontar	VERB	VERB	_	74	conj	_	TokenRange=505:511
100	levantamento	levantamento	NOUN	NOUN	_	99	obj	_	TokenRange=512:524
101	feito	_	VERB	VERB	_	100	acl	_	TokenRange=525:530
102-103	pelo	_	_	_	_	_	_	_	TokenRange=531:535
102	por	por	ADP	ADP	_	104	case	_	_
103	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	104	det	_	_
104	g1	_	NOUN	NOUN	_	101	nmod	_	TokenRange=536:538
105	com	com	ADP	ADP	_	106	case	_	TokenRange=539:542
106	dados	dado	NOUN	NOUN	_	101	nmod	_	TokenRange=543:548
107-108	da	_	_	_	_	_	_	_	TokenRange=549:551
107	de	de	ADP	ADP	_	110	case	_	_
108	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	110	det	_	_
109	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	110	det	_	TokenRange=552:553
110	procuradoria	procuradoria	NOUN	NOUN	_	106	nmod	_	TokenRange=554:566
111	geral	geral	ADJ	ADJ	_	110	amod	_	TokenRange=567:572
112-113	da	_	_	_	_	_	_	_	TokenRange=573:575
112	de	de	ADP	ADP	_	114	case	_	_
113	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	114	det	_	_
114	fazenda	fazenda	NOUN	NOUN	_	110	nmod	_	TokenRange=576:583
115	nacional	nacional	ADJ	ADJ	_	114	amod	_	TokenRange=584:592
116	pgfn	_	NOUN	NOUN	_	110	appos	_	TokenRange=593:597
117	a	o	DET	DET	_	118	det	_	TokenRange=598:599
118	lista	lista	NOUN	NOUN	_	99	nsubj	_	TokenRange=600:605
119	de	de	ADP	ADP	_	120	case	_	TokenRange=606:608
120	empregadores	empregador	NOUN	NOUN	_	118	nmod	_	TokenRange=609:621
121	que	_	PRON	PRON	_	122	nsubj	_	TokenRange=622:625
122	devem	_	VERB	VERB	_	120	acl:relcl	_	TokenRange=626:631
123-124	ao	_	_	_	_	_	_	_	TokenRange=632:634
123	a	a	ADP	ADP	_	125	case	_	_
124	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	125	det	_	_
125	fgts	_	NOUN	NOUN	_	122	nmod	_	TokenRange=635:639
126	e	e	CCONJ	CONJ	_	127	cc	_	TokenRange=640:641
127	aberta	aberto	ADJ	ADJ	_	122	conj	_	TokenRange=642:648
128	e	e	CCONJ	CONJ	_	131	cc	_	TokenRange=649:650
129	pode	_	AUX	AUX	_	131	aux	_	TokenRange=651:655
130	ser	ser	AUX	AUX	_	131	aux:pass	_	TokenRange=656:659
131	consultada	consultar	VERB	VERB	_	99	conj	_	TokenRange=660:670
132	neste	_	ADP	ADP	_	133	case	_	TokenRange=671:676
133	link	link	NOUN	NOUN	_	131	nmod	_	TokenRange=677:681
134-135	da	_	_	_	_	_	_	_	TokenRange=682:684
134	de	de	ADP	ADP	_	136	case	_	_
135	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	136	det	_	_
136	pgfn	_	NOUN	NOUN	_	133	nmod	_	TokenRange=685:689
137	muitos	_	DET	DET	_	138	det	_	TokenRange=690:696
138	trabalhadores	trabalhador	NOUN	NOUN	_	140	nsubj	_	TokenRange=697:710
139	so	so	ADV	ADV	_	140	advmod	_	TokenRange=711:713
140	descobriram	descobrir	VERB	VERB	_	118	acl:relcl	_	TokenRange=714:725
141	que	que	CCONJ	CONJ	_	140	mark	_	TokenRange=726:729
142	seus	_	DET	DET	_	143	det:poss	_	TokenRange=730:734
143	empregadores	empregador	NOUN	NOUN	_	140	nsubj	_	TokenRange=735:747
144	nao	nao	ADV	ADV	Polarity=Neg	140	advmod	_	SpacesAfter=\s\s|TokenRange=748:751

