# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ex de luiza brunet e ouvido em audiencia do caso no qual e acusado de agressao lirio parisotto e acusado de duas lesoes corporais contra a modelo em 2015 e 2016 outras duas testemunhas que faltaram em audiencia do ano passado tambem prestaram depoimento no forum da barra funda o empresario lirio parisotto foi ouvido nesta segundafeira 13 ao forum criminal da barra funda na zona oeste de sao paulo em nova audiencia do caso no qual ele e julgado pela acusacao de agredir a exmulher a atriz luiza brunet parisotto nao quis falar com a imprensa a segunda audiencia de instrucao durou cerca de duas horas alem do empresario prestaram depoimento um perito e uma mulher que presenciou uma viagem do casal para o exterior o advogado de parisotto celso vilardi comentou o depoimento do empresario ele tem uma versao so nunca mentiu uma versao harmonica disse ele questiona as provas apresentadas pela acusacao uma hora o atestado medico fala em fratura do dedo agora a acusacao juntou email que fala em rompimento de
1	ex	_	PART	PRT	_	46	nsubj	_	TokenRange=0:2
181	dedo	dedo	NOUN	NOUN	_	178	nmod	_	TokenRange=951:955
182	agora	agora	ADV	ADV	_	185	advmod	_	TokenRange=956:961
183	a	o	DET	DET	_	184	det	_	TokenRange=962:963
184	acusacao	acusacao	NOUN	NOUN	_	185	nsubj	_	TokenRange=964:972
185	juntou	juntar	VERB	VERB	_	176	parataxis	_	TokenRange=973:979
186	email	email	NOUN	NOUN	_	185	obj	_	TokenRange=980:985
187	que	_	PRON	PRON	_	188	nsubj	_	TokenRange=986:989
188	fala	_	VERB	VERB	_	186	acl:relcl	_	TokenRange=990:994
189	em	em	ADP	ADP	_	190	case	_	TokenRange=995:997
190	rompimento	rompimento	NOUN	NOUN	_	188	nmod	_	TokenRange=998:1008
191	de	de	ADP	ADP	_	113	case	_	SpacesAfter=\s\s|TokenRange=1009:1011

