# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = rupturas na oferta de petroleo e reducao da demanda criaram novo paradigma diz parente em palestra no rio pedro parente diz que projecoes indicam que havera queda brusca no consumo de derivados do petroleo a partir de 2040 o presidente da petrobras pedro parente disse nesta tercafeira 1 que o mercado de petroleo no mundo vive um novo paradigma segundo ele as previsoes dos analistas apontam que em duas decadas havera queda significativa de combustiveis fosseis esse mercado esta sofrendo ataque dos dois lados do lado da oferta representado pela industria que nao e nada tradicional e do lado da demanda representado pelo crescente interesse em se reduzir o consumo de combustiveis fosseis disse segundo o executivo as projecoes do mercado petroleiro apontam que havera um pico de consumo dos derivados de petroleo entre 2030 e 2040 que sera seguido por uma queda brusca da demanda ha um declinio da participacao do petroleo no consumo de energia no longo prazo apontou parente palestrou na sede da fundacao
1	rupturas	ruptura	NOUN	NOUN	_	12	nsubj	_	TokenRange=0:8
49	pedro	pedro	NOUN	NOUN	_	45	appos	_	TokenRange=249:254
50	parente	parente	NOUN	NOUN	_	49	flat	_	TokenRange=255:262
51	disse	dizer	VERB	VERB	_	24	parataxis	_	TokenRange=263:268
52	nesta	_	ADP	ADP	_	53	case	_	TokenRange=269:274
53	tercafeira	_	NOUN	NOUN	_	51	nmod	_	TokenRange=275:285
54	1	_	NUM	NUM	NumType=Card	53	appos	_	TokenRange=286:287
55	que	que	CCONJ	CONJ	_	63	mark	_	TokenRange=288:291
56	o	o	DET	DET	_	57	det	_	TokenRange=292:293
57	mercado	mercado	NOUN	NOUN	_	63	nsubj	_	TokenRange=294:301
58	de	de	ADP	ADP	_	59	case	_	TokenRange=302:304
59	petroleo	petroleo	NOUN	NOUN	_	57	nmod	_	TokenRange=305:313
60-61	no	_	_	_	_	_	_	_	TokenRange=314:316
60	em	em	ADP	ADP	_	62	case	_	_
61	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	62	det	_	_
62	mundo	mundo	NOUN	NOUN	_	57	nmod	_	TokenRange=317:322
63	vive	_	VERB	VERB	_	51	ccomp	_	TokenRange=323:327
64	um	um	DET	DET	_	66	det	_	TokenRange=328:330
65	novo	novo	ADJ	ADJ	_	66	amod	_	TokenRange=331:335
66	paradigma	_	NOUN	NOUN	_	63	obj	_	TokenRange=336:345
67	segundo	_	ADP	ADP	_	68	case	_	TokenRange=346:353
68	ele	_	PRON	PRON	_	63	nmod	_	TokenRange=354:357
69	as	o	DET	DET	_	70	det	_	TokenRange=358:360
70	previsoes	previsoe	NOUN	NOUN	_	63	nsubj	_	TokenRange=361:370
71-72	dos	_	_	_	_	_	_	_	TokenRange=371:374
71	de	de	ADP	ADP	_	73	case	_	_
72	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	73	det	_	_
73	analistas	analista	NOUN	NOUN	_	70	nmod	_	TokenRange=375:384
74	apontam	apontar	VERB	VERB	_	51	ccomp	_	TokenRange=385:392
75	que	que	CCONJ	CONJ	_	79	mark	_	TokenRange=393:396
76	em	em	ADP	ADP	_	78	case	_	TokenRange=397:399
77	duas	_	NUM	NUM	NumType=Card	78	nummod	_	TokenRange=400:404
78	decadas	decada	NOUN	NOUN	_	79	nmod	_	TokenRange=405:412
79	havera	haver	VERB	VERB	_	74	ccomp	_	TokenRange=413:419
80	queda	queda	NOUN	NOUN	_	79	obj	_	TokenRange=420:425
81	significativa	significativo	ADJ	ADJ	_	80	amod	_	TokenRange=426:439
82	de	de	ADP	ADP	_	83	case	_	TokenRange=440:442
83	combustiveis	combustivel	NOUN	NOUN	_	80	nmod	_	TokenRange=443:455
84	fosseis	_	ADJ	ADJ	_	83	amod	_	TokenRange=456:463
85	esse	_	DET	DET	_	86	det	_	TokenRange=464:468
86	mercado	mercado	NOUN	NOUN	_	88	nsubj	_	TokenRange=469:476
87	esta	_	AUX	AUX	_	88	aux	_	TokenRange=477:481
88	sofrendo	sofrer	VERB	VERB	_	74	ccomp	_	TokenRange=482:490
89	ataque	ataque	NOUN	NOUN	_	88	obj	_	TokenRange=491:497
90-91	dos	_	_	_	_	_	_	_	TokenRange=498:501
90	de	de	ADP	ADP	_	93	case	_	_
91	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	93	det	_	_
92	dois	_	NUM	NUM	NumType=Card	93	nummod	_	TokenRange=502:506
93	lados	lado	NOUN	NOUN	_	89	nmod	_	TokenRange=507:512
94-95	do	_	_	_	_	_	_	_	TokenRange=513:515
94	de	de	ADP	ADP	_	96	case	_	_
95	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	96	det	_	_
96	lado	lado	NOUN	NOUN	_	93	nmod	_	TokenRange=516:520
97-98	da	_	_	_	_	_	_	_	TokenRange=521:523
97	de	de	ADP	ADP	_	99	case	_	_
98	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	99	det	_	_
99	oferta	oferta	NOUN	NOUN	_	96	nmod	_	TokenRange=524:530
100	representado	representar	VERB	VERB	_	96	acl	_	TokenRange=531:543
101-102	pela	_	_	_	_	_	_	_	TokenRange=544:548
101	por	por	ADP	ADP	_	103	case	_	_
102	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	103	det	_	_
103	industria	industria	NOUN	NOUN	_	100	nmod	_	TokenRange=549:558
104	que	_	PRON	PRON	_	106	nsubj	_	TokenRange=559:562
105	nao	nao	ADV	ADV	Polarity=Neg	106	advmod	_	TokenRange=563:566
106	e	e	VERB	VERB	_	107	cop	_	TokenRange=567:568
107	nada	_	PRON	PRON	_	103	conj	_	TokenRange=569:573
108	tradicional	tradicional	ADJ	ADJ	_	83	amod	_	TokenRange=574:585
109	e	e	CCONJ	CONJ	_	112	cc	_	TokenRange=586:587
110-111	do	_	_	_	_	_	_	_	TokenRange=588:590
110	de	de	ADP	ADP	_	112	case	_	_
111	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	112	det	_	_
112	lado	lado	NOUN	NOUN	_	93	conj	_	TokenRange=591:595
113-114	da	_	_	_	_	_	_	_	TokenRange=596:598
113	de	de	ADP	ADP	_	115	case	_	_
114	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	115	det	_	_
115	demanda	demanda	NOUN	NOUN	_	112	nmod	_	TokenRange=599:606
116	representado	representar	VERB	VERB	_	112	acl	_	TokenRange=607:619
117-118	pelo	_	_	_	_	_	_	_	TokenRange=620:624
117	por	por	ADP	ADP	_	120	case	_	_
118	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	120	det	_	_
119	crescente	crescente	ADJ	ADJ	_	120	amod	_	TokenRange=625:634
120	interesse	interesse	NOUN	NOUN	_	116	nmod	_	TokenRange=635:644
121	em	_	ADP	ADP	_	123	mark	_	TokenRange=645:647
122	se	_	PRON	PRON	_	123	expl:pv	_	TokenRange=648:650
123	reduzir	reduzir	VERB	VERB	_	120	nmod	_	TokenRange=651:658
124	o	o	DET	DET	_	125	det	_	TokenRange=659:660
125	consumo	consumo	NOUN	NOUN	_	123	obj	_	TokenRange=661:668
126	de	de	ADP	ADP	_	127	case	_	TokenRange=669:671
127	combustiveis	combustivel	NOUN	NOUN	_	125	nmod	_	TokenRange=672:684
128	fosseis	_	ADJ	ADJ	_	127	amod	_	TokenRange=685:692
129	disse	dizer	VERB	VERB	_	51	parataxis	_	TokenRange=693:698
130	segundo	_	ADP	ADP	_	132	case	_	TokenRange=699:706
131	o	o	DET	DET	_	132	det	_	TokenRange=707:708
132	executivo	executivo	NOUN	NOUN	_	129	nmod	_	TokenRange=709:718
133	as	o	DET	DET	_	134	det	_	TokenRange=719:721
134	projecoes	projecoe	NOUN	NOUN	_	51	nsubj	_	TokenRange=722:731
135-136	do	_	_	_	_	_	_	_	TokenRange=732:734
135	de	de	ADP	ADP	_	137	case	_	_
136	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	137	det	_	_
137	mercado	mercado	NOUN	NOUN	_	134	nmod	_	TokenRange=735:742
138	petroleiro	petroleiro	ADJ	ADJ	_	137	amod	_	TokenRange=743:753
139	apontam	apontar	VERB	VERB	_	51	ccomp	_	TokenRange=754:761
140	que	que	CCONJ	CONJ	_	141	mark	_	TokenRange=762:765
141	havera	haver	VERB	VERB	_	139	ccomp	_	TokenRange=766:772
142	um	um	DET	DET	_	143	det	_	TokenRange=773:775
143	pico	pico	NOUN	NOUN	_	141	obj	_	TokenRange=776:780
144	de	de	ADP	ADP	_	145	case	_	TokenRange=781:783
145	consumo	consumo	NOUN	NOUN	_	143	nmod	_	TokenRange=784:791
146-147	dos	_	_	_	_	_	_	_	TokenRange=792:795
146	de	de	ADP	ADP	_	148	case	_	_
147	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	148	det	_	_
148	derivados	derivado	NOUN	NOUN	_	145	nmod	_	TokenRange=796:805
149	de	de	ADP	ADP	_	150	case	_	TokenRange=806:808
150	petroleo	petroleo	NOUN	NOUN	_	148	nmod	_	TokenRange=809:817
151	entre	_	ADP	ADP	_	152	case	_	TokenRange=818:823
152	2030	_	NUM	NUM	NumType=Card	157	nmod	_	TokenRange=824:828
153	e	e	CCONJ	CONJ	_	154	cc	_	TokenRange=829:830
154	2040	_	NUM	NUM	NumType=Card	152	conj	_	TokenRange=831:835
155	que	_	PRON	PRON	_	157	nsubj:pass	_	TokenRange=836:839
156	sera	_	AUX	AUX	_	157	aux:pass	_	TokenRange=840:844
157	seguido	seguir	VERB	VERB	_	143	acl:relcl	_	TokenRange=845:852
158	por	por	ADP	ADP	_	160	case	_	TokenRange=853:856
159	uma	um	DET	DET	_	160	det	_	TokenRange=857:860
160	queda	queda	NOUN	NOUN	_	157	nmod	_	TokenRange=861:866
161	brusca	brusco	ADJ	ADJ	_	160	amod	_	TokenRange=867:873
162-163	da	_	_	_	_	_	_	_	TokenRange=874:876
162	de	de	ADP	ADP	_	164	case	_	_
163	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	164	det	_	_
164	demanda	demanda	NOUN	NOUN	_	160	nmod	_	TokenRange=877:884
165	ha	_	VERB	VERB	_	74	ccomp	_	TokenRange=885:887
166	um	um	DET	DET	_	167	det	_	TokenRange=888:890
167	declinio	declinio	NOUN	NOUN	_	165	obj	_	TokenRange=891:899
168-169	da	_	_	_	_	_	_	_	TokenRange=900:902
168	de	de	ADP	ADP	_	170	case	_	_
169	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	170	det	_	_
170	participacao	participacao	NOUN	NOUN	_	167	nmod	_	TokenRange=903:915
171-172	do	_	_	_	_	_	_	_	TokenRange=916:918
171	de	de	ADP	ADP	_	173	case	_	_
172	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	173	det	_	_
173	petroleo	petroleo	NOUN	NOUN	_	170	nmod	_	TokenRange=919:927
174-175	no	_	_	_	_	_	_	_	TokenRange=928:930
174	em	em	ADP	ADP	_	176	case	_	_
175	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	176	det	_	_
176	consumo	consumo	NOUN	NOUN	_	170	nmod	_	TokenRange=931:938
177	de	de	ADP	ADP	_	178	case	_	TokenRange=939:941
178	energia	energia	NOUN	NOUN	_	176	nmod	_	TokenRange=942:949
179-180	no	_	_	_	_	_	_	_	TokenRange=950:952
179	em	em	ADP	ADP	_	182	case	_	_
180	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	182	det	_	_
181	longo	longo	ADJ	ADJ	_	182	amod	_	TokenRange=953:958
182	prazo	prazo	NOUN	NOUN	_	165	nmod	_	TokenRange=959:964
183	apontou	apontar	VERB	VERB	_	51	parataxis	_	TokenRange=965:972
184	parente	parente	NOUN	NOUN	_	183	nsubj	_	TokenRange=973:980
185	palestrou	palestrar	VERB	VERB	_	183	parataxis	_	TokenRange=981:990
186-187	na	_	_	_	_	_	_	_	TokenRange=991:993
186	em	em	ADP	ADP	_	188	case	_	_
187	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	188	det	_	_
188	sede	sede	NOUN	NOUN	_	185	nmod	_	TokenRange=994:998
189-190	da	_	_	_	_	_	_	_	TokenRange=999:1001
189	de	de	ADP	ADP	_	191	case	_	_
190	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	191	det	_	_
191	fundacao	fundacao	NOUN	NOUN	_	188	nmod	_	SpacesAfter=\s\s|TokenRange=1002:1010

