# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = lista de janot deve ser entregue nesta terca ao gabinete de fachin 83 pedidos de abertura de inquerito foram enviados ao stf na semana passada com base nas delacoes da odebrecht area tecnica da corte digitalizou todo material antes de envialo a fachin um semana depois de terem sido protocolados no supremo tribunal federal stf os 83 pedidos para investigar politicos citados nas delacoes da odebrecht devem ser encaminhados nesta tercafeira 21 ao gabinete do ministro edson fachin relator da lava jato na corte antes de ser encaminhado para o relator o material teve de passar por um processo de protocolo na secretaria judiciaria da corte a area tecnica do stf rotulou o nome de fachin nas pastas emitiu certidoes e digitalizou o material fachin assumiu
1	lista	lista	NOUN	NOUN	_	6	nsubj:pass	_	TokenRange=0:5
30	base	base	NOUN	NOUN	_	21	nmod	_	TokenRange=147:151
31-32	nas	_	_	_	_	_	_	_	TokenRange=152:155
31	em	em	ADP	ADP	_	33	case	_	_
32	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	33	det	_	_
33	delacoes	delacoe	NOUN	NOUN	_	30	nmod	_	TokenRange=156:164
34-35	da	_	_	_	_	_	_	_	TokenRange=165:167
34	de	de	ADP	ADP	_	36	case	_	_
35	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	36	det	_	_
36	odebrecht	odebrecht	NOUN	NOUN	_	33	nmod	_	TokenRange=168:177
37	area	area	NOUN	NOUN	_	42	nsubj	_	TokenRange=178:182
38	tecnica	tecnico	ADJ	ADJ	_	37	amod	_	TokenRange=183:190
39-40	da	_	_	_	_	_	_	_	TokenRange=191:193
39	de	de	ADP	ADP	_	41	case	_	_
40	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	41	det	_	_
41	corte	corte	NOUN	NOUN	_	37	nmod	_	TokenRange=194:199
42	digitalizou	digitalizar	VERB	VERB	_	6	parataxis	_	TokenRange=200:211
43	todo	_	DET	DET	_	44	det	_	TokenRange=212:216
44	material	material	NOUN	NOUN	_	42	obj	_	TokenRange=217:225
45	antes	antes	ADV	ADV	_	47	mark	_	TokenRange=226:231
46	de	_	ADP	ADP	_	52	fixed	_	TokenRange=232:234
47	envialo	envialr	VERB	VERB	_	42	advcl	_	TokenRange=235:242
48	a	_	ADP	ADP	_	49	case	_	TokenRange=243:244
49	fachin	fachin	NOUN	NOUN	_	47	iobj	_	TokenRange=245:251
50	um	_	DET	NUM	NumType=Card	51	nummod	_	TokenRange=252:254
51	semana	semana	NOUN	NOUN	_	52	nmod	_	TokenRange=255:261
52	depois	depois	ADV	ADV	_	56	mark	_	TokenRange=262:268
53	de	_	ADP	ADP	_	52	fixed	_	TokenRange=269:271
54	terem	ter	AUX	AUX	_	56	aux	_	TokenRange=272:277
55	sido	ser	AUX	AUX	_	56	aux:pass	_	TokenRange=278:282
56	protocolados	protocolar	VERB	VERB	_	42	advcl	_	TokenRange=283:295
57-58	no	_	_	_	_	_	_	_	TokenRange=296:298
57	em	em	ADP	ADP	_	60	case	_	_
58	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	60	det	_	_
59	supremo	supremo	ADJ	ADJ	_	60	amod	_	TokenRange=299:306
60	tribunal	tribunal	NOUN	NOUN	_	56	nmod	_	TokenRange=307:315
61	federal	federal	ADJ	ADJ	_	60	amod	_	TokenRange=316:323
62	stf	_	X	NOUN	_	60	amod	_	TokenRange=324:327
63	os	o	DET	DET	_	65	det	_	TokenRange=328:330
64	83	_	NUM	NUM	NumType=Card	65	nummod	_	TokenRange=331:333
65	pedidos	pedido	NOUN	NOUN	_	78	nsubj:pass	_	TokenRange=334:341
66	para	_	ADP	ADP	_	67	mark	_	TokenRange=342:346
67	investigar	investigar	VERB	VERB	_	65	nmod	_	TokenRange=347:357
68	politicos	politico	NOUN	NOUN	_	67	obj	_	TokenRange=358:367
69	citados	citar	VERB	VERB	_	68	acl	_	TokenRange=368:375
70-71	nas	_	_	_	_	_	_	_	TokenRange=376:379
70	em	em	ADP	ADP	_	72	case	_	_
71	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	72	det	_	_
72	delacoes	delacoe	NOUN	NOUN	_	69	nmod	_	TokenRange=380:388
73-74	da	_	_	_	_	_	_	_	TokenRange=389:391
73	de	de	ADP	ADP	_	75	case	_	_
74	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	75	det	_	_
75	odebrecht	_	NOUN	NOUN	_	72	nmod	_	TokenRange=392:401
76	devem	_	AUX	AUX	_	78	aux	_	TokenRange=402:407
77	ser	ser	AUX	AUX	_	78	aux:pass	_	TokenRange=408:411
78	encaminhados	encaminhar	VERB	VERB	_	42	parataxis	_	TokenRange=412:424
79	nesta	_	ADP	ADP	_	80	case	_	TokenRange=425:430
80	tercafeira	_	NOUN	NOUN	_	78	nmod	_	TokenRange=431:441
81	21	_	NUM	NUM	NumType=Card	80	appos	_	TokenRange=442:444
82-83	ao	_	_	_	_	_	_	_	TokenRange=445:447
82	a	a	ADP	ADP	_	84	case	_	_
83	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	84	det	_	_
84	gabinete	gabinete	NOUN	NOUN	_	78	iobj	_	TokenRange=448:456
85-86	do	_	_	_	_	_	_	_	TokenRange=457:459
85	de	de	ADP	ADP	_	87	case	_	_
86	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	87	det	_	_
87	ministro	ministro	NOUN	NOUN	_	84	nmod	_	TokenRange=460:468
88	edson	_	NOUN	NOUN	_	87	appos	_	TokenRange=469:474
89	fachin	_	NOUN	NOUN	_	88	flat	_	TokenRange=475:481
90	relator	relator	NOUN	NOUN	_	88	flat	_	TokenRange=482:489
91-92	da	_	_	_	_	_	_	_	TokenRange=490:492
91	de	de	ADP	ADP	_	93	case	_	_
92	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	93	det	_	_
93	lava	lava	NOUN	NOUN	_	90	nmod	_	TokenRange=493:497
94	jato	jato	NOUN	NOUN	_	93	flat	_	TokenRange=498:502
95-96	na	_	_	_	_	_	_	_	TokenRange=503:505
95	em	em	ADP	ADP	_	97	case	_	_
96	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	97	det	_	_
97	corte	corte	NOUN	NOUN	_	78	nmod	_	TokenRange=506:511
98	antes	antes	ADV	ADV	_	101	mark	_	TokenRange=512:517
99	de	_	ADP	ADP	_	98	fixed	_	TokenRange=518:520
100	ser	ser	AUX	AUX	_	101	aux:pass	_	TokenRange=521:524
101	encaminhado	encaminhar	VERB	VERB	_	109	advcl	_	TokenRange=525:536
102	para	para	ADP	ADP	_	104	case	_	TokenRange=537:541
103	o	o	DET	DET	_	104	det	_	TokenRange=542:543
104	relator	relator	NOUN	NOUN	_	101	nmod	_	TokenRange=544:551
105	o	o	DET	DET	_	106	det	_	TokenRange=552:553
106	material	material	NOUN	NOUN	_	109	nsubj	_	TokenRange=554:562
107	teve	ter	AUX	AUX	_	109	aux	_	TokenRange=563:567
108	de	_	ADP	ADP	_	109	mark	_	TokenRange=568:570
109	passar	passar	VERB	VERB	_	78	advcl	_	TokenRange=571:577
110	por	por	ADP	ADP	_	112	case	_	TokenRange=578:581
111	um	um	DET	DET	_	112	det	_	TokenRange=582:584
112	processo	processo	NOUN	NOUN	_	109	nmod	_	TokenRange=585:593
113	de	de	ADP	ADP	_	114	case	_	TokenRange=594:596
114	protocolo	protocolo	NOUN	NOUN	_	112	nmod	_	TokenRange=597:606
115-116	na	_	_	_	_	_	_	_	TokenRange=607:609
115	em	em	ADP	ADP	_	117	case	_	_
116	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	117	det	_	_
117	secretaria	secretaria	NOUN	NOUN	_	109	nmod	_	TokenRange=610:620
118	judiciaria	judiciario	ADJ	ADJ	_	117	amod	_	TokenRange=621:631
119-120	da	_	_	_	_	_	_	_	TokenRange=632:634
119	de	de	ADP	ADP	_	121	case	_	_
120	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	121	det	_	_
121	corte	corte	NOUN	NOUN	_	117	nmod	_	TokenRange=635:640
122	a	o	DET	DET	_	123	det	_	TokenRange=641:642
123	area	area	NOUN	NOUN	_	109	nsubj	_	TokenRange=643:647
124	tecnica	tecnico	ADJ	ADJ	_	123	amod	_	TokenRange=648:655
125-126	do	_	_	_	_	_	_	_	TokenRange=656:658
125	de	de	ADP	ADP	_	127	case	_	_
126	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	127	det	_	_
127	stf	_	NOUN	NOUN	_	123	nmod	_	TokenRange=659:662
128	rotulou	rotular	VERB	VERB	_	109	parataxis	_	TokenRange=663:670
129	o	o	DET	DET	_	130	det	_	TokenRange=671:672
130	nome	nome	NOUN	NOUN	_	128	obj	_	TokenRange=673:677
131	de	de	ADP	ADP	_	132	case	_	TokenRange=678:680
132	fachin	_	NOUN	NOUN	_	130	nmod	_	TokenRange=681:687
133-134	nas	_	_	_	_	_	_	_	TokenRange=688:691
133	em	em	ADP	ADP	_	135	case	_	_
134	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	135	det	_	_
135	pastas	pasta	NOUN	NOUN	_	130	nmod	_	TokenRange=692:698
136	emitiu	emitir	VERB	VERB	_	128	parataxis	_	TokenRange=699:705
137	certidoes	certidoe	NOUN	NOUN	_	136	obj	_	TokenRange=706:715
138	e	e	CCONJ	CONJ	_	143	cc	_	TokenRange=716:717
139	digitalizou	digitalizar	VERB	VERB	_	136	conj	_	TokenRange=718:729
140	o	o	DET	DET	_	141	det	_	TokenRange=730:731
141	material	material	NOUN	NOUN	_	143	obj	_	TokenRange=732:740
142	fachin	_	ADJ	ADJ	_	141	appos	_	TokenRange=741:747
143	assumiu	assumir	VERB	VERB	_	136	conj	_	SpacesAfter=\s\s|TokenRange=748:755

