# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba como o mundo politico reagiu a nova denuncia da pgr contra temer presidente foi denunciado pelos crimes de obstrucao de justica e organizacao criminosa alem dele politicos do pmdb tambem foram denunciados stf encaminhara denuncia a camara o procuradorgeral da republica rodrigo janot ofereceu nesta quintafeira 14 nova denuncia contra o presidente michel temer pelos crimes de obstrucao de justica e organizacao criminosa leia tambem pgr diz que grupo do pmdb atuou em estatais e ministerios tambem foram denunciados por organizacao criminosa os ministros do pmdb eliseu padilha casa civil e moreira franco secretariageral os exministros do pmdb geddel vieira lima secretaria de governo e henrique eduardo alves turismo e o exdeputado eduardo cunha pmdbrj alem disso assim como temer foram denunciados por obstrucao de justica os executivos do grupo jf joesley batista e ricardo saud cujos acordos de delacao foram rescindidos pela pgr por ser o presidente
1	saiba	saber	VERB	VERB	_	6	acl	_	TokenRange=0:5
17	denunciado	denunciar	VERB	VERB	_	6	parataxis	_	TokenRange=86:96
18-19	pelos	_	_	_	_	_	_	_	TokenRange=97:102
18	por	por	ADP	ADP	_	20	case	_	_
19	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	20	det	_	_
20	crimes	crime	NOUN	NOUN	_	17	nmod	_	TokenRange=103:109
21	de	de	ADP	ADP	_	22	case	_	TokenRange=110:112
22	obstrucao	obstrucao	NOUN	NOUN	_	20	nmod	_	TokenRange=113:122
23	de	de	ADP	ADP	_	24	case	_	TokenRange=123:125
24	justica	_	NOUN	NOUN	_	22	nmod	_	TokenRange=126:133
25	e	e	CCONJ	CONJ	_	26	cc	_	TokenRange=134:135
26	organizacao	organizacao	NOUN	NOUN	_	22	conj	_	TokenRange=136:147
27	criminosa	criminoso	ADJ	ADJ	_	26	amod	_	TokenRange=148:157
28	alem	alem	ADV	ADV	_	17	advmod	_	TokenRange=158:162
29	dele	_	X	ADPPRON	_	28	nmod	_	TokenRange=163:167
30	politicos	_	NOUN	NOUN	_	36	nsubj:pass	_	TokenRange=168:177
31-32	do	_	_	_	_	_	_	_	TokenRange=178:180
31	de	de	ADP	ADP	_	33	case	_	_
32	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	33	det	_	_
33	pmdb	_	NOUN	NOUN	_	30	nmod	_	TokenRange=181:185
34	tambem	tambem	ADV	ADV	_	36	advmod	_	TokenRange=186:192
35	foram	_	AUX	AUX	_	36	aux:pass	_	TokenRange=193:198
36	denunciados	denunciar	VERB	VERB	_	17	conj	_	TokenRange=199:210
37	stf	_	NOUN	NOUN	_	36	nsubj:pass	_	TokenRange=211:214
38	encaminhara	encaminhar	NOUN	NOUN	_	37	flat	_	TokenRange=215:226
39	denuncia	_	NOUN	NOUN	_	36	conj	_	TokenRange=227:235
40	a	_	ADP	ADP	_	41	case	_	TokenRange=236:237
41	camara	camara	NOUN	NOUN	_	39	nmod	_	TokenRange=238:244
42	o	o	DET	DET	_	43	det	_	TokenRange=245:246
43	procuradorgeral	procuradorgeral	NOUN	NOUN	_	49	nsubj	_	TokenRange=247:262
44-45	da	_	_	_	_	_	_	_	TokenRange=263:265
44	de	de	ADP	ADP	_	46	case	_	_
45	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	46	det	_	_
46	republica	_	NOUN	NOUN	_	43	nmod	_	TokenRange=266:275
47	rodrigo	rodrigo	NOUN	NOUN	_	43	appos	_	TokenRange=276:283
48	janot	_	NOUN	NOUN	_	47	flat	_	TokenRange=284:289
49	ofereceu	oferecer	VERB	VERB	_	73	ccomp	_	TokenRange=290:298
50	nesta	_	ADP	ADP	_	51	case	_	TokenRange=299:304
51	quintafeira	quintafeira	NOUN	NOUN	_	49	nmod	_	TokenRange=305:316
52	14	_	NUM	NUM	NumType=Card	54	nummod	_	TokenRange=317:319
53	nova	novo	ADJ	ADJ	_	54	amod	_	TokenRange=320:324
54	denuncia	denuncia	NOUN	NOUN	_	49	obj	_	TokenRange=325:333
55	contra	_	ADP	ADP	_	57	case	_	TokenRange=334:340
56	o	o	DET	DET	_	57	det	_	TokenRange=341:342
57	presidente	presidente	NOUN	NOUN	_	54	nmod	_	TokenRange=343:353
58	michel	michel	ADJ	ADJ	_	57	amod	_	TokenRange=354:360
59	temer	temer	PROPN	PNOUN	_	57	appos	_	TokenRange=361:366
60-61	pelos	_	_	_	_	_	_	_	TokenRange=367:372
60	por	por	ADP	ADP	_	62	case	_	_
61	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	62	det	_	_
62	crimes	crime	NOUN	NOUN	_	152	nmod	_	TokenRange=373:379
63	de	de	ADP	ADP	_	64	case	_	TokenRange=380:382
64	obstrucao	obstrucao	NOUN	NOUN	_	62	nmod	_	TokenRange=383:392
65	de	de	ADP	ADP	_	66	case	_	TokenRange=393:395
66	justica	_	NOUN	NOUN	_	64	nmod	_	TokenRange=396:403
67	e	e	CCONJ	CONJ	_	68	cc	_	TokenRange=404:405
68	organizacao	organizacao	NOUN	NOUN	_	64	conj	_	TokenRange=406:417
69	criminosa	criminoso	ADJ	ADJ	_	68	amod	_	TokenRange=418:427
70	leia	ler	VERB	VERB	_	73	parataxis	_	TokenRange=428:432
71	tambem	tambem	ADV	ADV	_	73	advmod	_	TokenRange=433:439
72	pgr	_	NOUN	NOUN	_	70	nsubj	_	TokenRange=440:443
73	diz	dizer	VERB	VERB	_	6	parataxis	_	TokenRange=444:447
74	que	que	CCONJ	CONJ	_	152	mark	_	TokenRange=448:451
75	grupo	grupo	NOUN	NOUN	_	152	nsubj:pass	_	TokenRange=452:457
76-77	do	_	_	_	_	_	_	_	TokenRange=458:460
76	de	de	ADP	ADP	_	78	case	_	_
77	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	78	det	_	_
78	pmdb	_	NOUN	NOUN	_	75	nmod	_	TokenRange=461:465
79	atuou	atuar	VERB	VERB	_	73	ccomp	_	TokenRange=466:471
80	em	em	ADP	ADP	_	81	case	_	TokenRange=472:474
81	estatais	estatal	NOUN	NOUN	_	79	nmod	_	TokenRange=475:483
82	e	e	CCONJ	CONJ	_	83	cc	_	TokenRange=484:485
83	ministerios	ministerio	NOUN	NOUN	_	81	conj	_	TokenRange=486:497
84	tambem	tambem	ADV	ADV	_	86	advmod	_	TokenRange=498:504
85	foram	_	AUX	AUX	_	86	aux:pass	_	TokenRange=505:510
86	denunciados	denunciar	VERB	VERB	_	73	ccomp	_	TokenRange=511:522
87	por	por	ADP	ADP	_	88	case	_	TokenRange=523:526
88	organizacao	organizacao	NOUN	NOUN	_	86	nmod	_	TokenRange=527:538
89	criminosa	criminoso	ADJ	ADJ	_	88	amod	_	TokenRange=539:548
90	os	o	DET	DET	_	91	det	_	TokenRange=549:551
91	ministros	ministro	NOUN	NOUN	_	86	nsubj:pass	_	TokenRange=552:561
92-93	do	_	_	_	_	_	_	_	TokenRange=562:564
92	de	de	ADP	ADP	_	94	case	_	_
93	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	94	det	_	_
94	pmdb	pmdb	NOUN	NOUN	_	91	nmod	_	TokenRange=565:569
95	eliseu	eliser	VERB	VERB	_	91	appos	_	TokenRange=570:576
96	padilha	padilha	NOUN	NOUN	_	95	obj	_	TokenRange=577:584
97	casa	casa	NOUN	NOUN	_	95	obj	_	TokenRange=585:589
98	civil	civil	ADJ	ADJ	_	97	amod	_	TokenRange=590:595
99	e	e	CCONJ	CONJ	_	100	cc	_	TokenRange=596:597
100	moreira	moreira	NOUN	NOUN	_	97	conj	_	TokenRange=598:605
101	franco	franco	ADJ	ADJ	_	100	amod	_	TokenRange=606:612
102	secretariageral	_	NOUN	NOUN	_	100	amod	_	TokenRange=613:628
103	os	o	DET	DET	_	104	det	_	TokenRange=629:631
104	exministros	exministro	NOUN	NOUN	_	49	obj	_	TokenRange=632:643
105-106	do	_	_	_	_	_	_	_	TokenRange=644:646
105	de	de	ADP	ADP	_	107	case	_	_
106	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	107	det	_	_
107	pmdb	pmdb	NOUN	NOUN	_	104	nmod	_	TokenRange=647:651
108	geddel	_	NOUN	NOUN	_	104	appos	_	TokenRange=652:658
109	vieira	vieira	NOUN	NOUN	_	108	flat	_	TokenRange=659:665
110	lima	lima	ADJ	ADJ	_	108	amod	_	TokenRange=666:670
111	secretaria	secretaria	NOUN	NOUN	_	108	appos	_	TokenRange=671:681
112	de	de	ADP	ADP	_	113	case	_	TokenRange=682:684
113	governo	governo	NOUN	NOUN	_	111	nmod	_	TokenRange=685:692
114	e	e	CCONJ	CONJ	_	115	cc	_	TokenRange=693:694
115	henrique	henrique	NOUN	NOUN	_	104	conj	_	TokenRange=695:703
116	eduardo	eduardo	NOUN	NOUN	_	115	flat	_	TokenRange=704:711
117	alves	alves	NOUN	NOUN	_	115	flat	_	TokenRange=712:717
118	turismo	turismo	NOUN	NOUN	_	115	flat	_	TokenRange=718:725
119	e	e	CCONJ	CONJ	_	121	cc	_	TokenRange=726:727
120	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	121	det	_	TokenRange=728:729
121	exdeputado	exdeputado	NOUN	NOUN	_	91	conj	_	TokenRange=730:740
122	eduardo	eduardo	NOUN	NOUN	_	121	appos	_	TokenRange=741:748
123	cunha	cunha	NOUN	NOUN	_	122	flat	_	TokenRange=749:754
124	pmdbrj	_	NOUN	NOUN	_	122	flat	_	TokenRange=755:761
125	alem	alem	ADV	ADV	_	131	advmod	_	TokenRange=762:766
126	disso	_	X	ADPPRON	_	125	nmod	_	TokenRange=767:772
127	assim	assim	ADV	ADV	_	131	mark	_	TokenRange=773:778
128	como	_	ADP	ADP	_	127	fixed	_	TokenRange=779:783
129	temer	temer	NOUN	NOUN	_	131	nmod	_	TokenRange=784:789
130	foram	_	AUX	AUX	_	131	aux:pass	_	TokenRange=790:795
131	denunciados	denunciar	VERB	VERB	_	73	advcl	_	TokenRange=796:807
132	por	por	ADP	ADP	_	133	case	_	TokenRange=808:811
133	obstrucao	obstrucao	NOUN	NOUN	_	131	nmod	_	TokenRange=812:821
134	de	de	ADP	ADP	_	135	case	_	TokenRange=822:824
135	justica	_	NOUN	NOUN	_	133	nmod	_	TokenRange=825:832
136	os	o	DET	DET	_	137	det	_	TokenRange=833:835
137	executivos	executivo	NOUN	NOUN	_	131	nsubj:pass	_	TokenRange=836:846
138-139	do	_	_	_	_	_	_	_	TokenRange=847:849
138	de	de	ADP	ADP	_	140	case	_	_
139	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	140	det	_	_
140	grupo	grupo	NOUN	NOUN	_	137	nmod	_	TokenRange=850:855
141	jf	_	NOUN	NOUN	_	140	appos	_	TokenRange=856:858
142	joesley	_	PROPN	PNOUN	_	137	appos	_	TokenRange=859:866
143	batista	batista	NOUN	NOUN	_	142	flat	_	TokenRange=867:874
144	e	e	CCONJ	CONJ	_	145	cc	_	TokenRange=875:876
145	ricardo	ricardo	NOUN	NOUN	_	142	conj	_	TokenRange=877:884
146	saud	_	NOUN	NOUN	_	145	flat	_	TokenRange=885:889
147	cujos	_	DET	DET	_	148	det	_	TokenRange=890:895
148	acordos	acordo	NOUN	NOUN	_	152	nsubj:pass	_	TokenRange=896:903
149	de	de	ADP	ADP	_	150	case	_	TokenRange=904:906
150	delacao	delacao	NOUN	NOUN	_	148	nmod	_	TokenRange=907:914
151	foram	_	AUX	AUX	_	152	aux:pass	_	TokenRange=915:920
152	rescindidos	rescindir	VERB	VERB	_	137	acl:relcl	_	TokenRange=921:932
153-154	pela	_	_	_	_	_	_	_	TokenRange=933:937
153	por	por	ADP	ADP	_	155	case	_	_
154	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	155	det	_	_
155	pgr	pgr	NOUN	NOUN	_	152	nmod	_	TokenRange=938:941
156	por	_	ADP	ADP	_	159	mark	_	TokenRange=942:945
157	ser	ser	AUX	AUX	_	159	cop	_	TokenRange=946:949
158	o	o	DET	DET	_	159	det	_	TokenRange=950:951
159	presidente	presidente	NOUN	NOUN	_	152	nmod	_	SpacesAfter=\s\s|TokenRange=952:962

