# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ao g20 ocde volta a ressaltar importancia de reformas globais em 2018 organizacao para cooperacao e desenvolvimento economico ocde recomendou menor distorcao fiscal e que o brasil reduza barreiras comerciais londres a organizacao para cooperacao e desenvolvimento economico ocde volta a ressaltar a necessidade de reformas de politica economica em todo o mundo em 2018 no relatorio going for growth a caminho do crescimento que foi apresentado nesta segundafeira 19 em buenos aires aos presidentes de bancos centrais e ministro das financas do g20 grupo das 20 maiores economias do globo a instituicao que tem sede em paris analisa o que os paises fizeram em termos de reformas para impulsionar o crescimento de longo prazo melhorar a competitividade e a produtividade criar empregos e garantir ganhos economicos que
1-2	ao	_	_	_	_	_	_	_	TokenRange=0:2
55	em	em	ADP	ADP	_	56	case	_	TokenRange=361:363
56	2018	_	NUM	NUM	NumType=Card	43	nmod	_	TokenRange=364:368
57-58	no	_	_	_	_	_	_	_	TokenRange=369:371
57	em	em	ADP	ADP	_	59	case	_	_
58	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	59	det	_	_
59	relatorio	relatorio	NOUN	NOUN	_	43	nmod	_	TokenRange=372:381
60	going	_	NOUN	NOUN	_	59	appos	_	TokenRange=382:387
61	for	_	ADP	ADP	_	62	case	_	TokenRange=388:391
62	growth	_	NOUN	NOUN	_	60	nmod	_	TokenRange=392:398
63	a	_	ADP	ADP	_	64	case	_	TokenRange=399:400
64	caminho	caminho	NOUN	NOUN	_	60	nmod	_	TokenRange=401:408
65-66	do	_	_	_	_	_	_	_	TokenRange=409:411
65	de	de	ADP	ADP	_	67	case	_	_
66	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	67	det	_	_
67	crescimento	crescimento	NOUN	NOUN	_	64	nmod	_	TokenRange=412:423
68	que	_	PRON	PRON	_	70	nsubj:pass	_	TokenRange=424:427
69	foi	_	AUX	AUX	_	70	aux:pass	_	TokenRange=428:431
70	apresentado	apresentar	VERB	VERB	_	59	acl:relcl	_	TokenRange=432:443
71	nesta	_	ADP	ADP	_	72	case	_	TokenRange=444:449
72	segundafeira	_	PROPN	PNOUN	_	70	nmod	_	TokenRange=450:462
73	19	_	NUM	NUM	NumType=Card	72	appos	_	TokenRange=463:465
74	em	em	ADP	ADP	_	76	case	_	TokenRange=466:468
75	buenos	bueno	ADJ	ADJ	_	76	amod	_	TokenRange=469:475
76	aires	_	NOUN	NOUN	_	70	nmod	_	TokenRange=476:481
77-78	aos	_	_	_	_	_	_	_	TokenRange=482:485
77	a	a	ADP	ADP	_	79	case	_	_
78	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	79	det	_	_
79	presidentes	presidente	NOUN	NOUN	_	70	iobj	_	TokenRange=486:497
80	de	de	ADP	ADP	_	81	case	_	TokenRange=498:500
81	bancos	banco	NOUN	NOUN	_	79	nmod	_	TokenRange=501:507
82	centrais	central	ADJ	ADJ	_	81	amod	_	TokenRange=508:516
83	e	e	CCONJ	CONJ	_	84	cc	_	TokenRange=517:518
84	ministro	ministro	NOUN	NOUN	_	81	conj	_	TokenRange=519:527
85-86	das	_	_	_	_	_	_	_	TokenRange=528:531
85	de	de	ADP	ADP	_	87	case	_	_
86	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	87	det	_	_
87	financas	_	NOUN	NOUN	_	84	nmod	_	TokenRange=532:540
88-89	do	_	_	_	_	_	_	_	TokenRange=541:543
88	de	de	ADP	ADP	_	90	case	_	_
89	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	90	det	_	_
90	g20	_	NOUN	NOUN	_	84	nmod	_	TokenRange=544:547
91	grupo	grupo	NOUN	NOUN	_	79	appos	_	TokenRange=548:553
92-93	das	_	_	_	_	_	_	_	TokenRange=554:557
92	de	de	ADP	ADP	_	96	case	_	_
93	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	96	det	_	_
94	20	_	NUM	NUM	NumType=Card	96	nummod	_	TokenRange=558:560
95	maiores	maior	ADJ	ADJ	_	96	amod	_	TokenRange=561:568
96	economias	economia	NOUN	NOUN	_	91	nmod	_	TokenRange=569:578
97-98	do	_	_	_	_	_	_	_	TokenRange=579:581
97	de	de	ADP	ADP	_	99	case	_	_
98	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	99	det	_	_
99	globo	globo	NOUN	NOUN	_	96	nmod	_	TokenRange=582:587
100	a	o	DET	DET	_	101	det	_	TokenRange=588:589
101	instituicao	instituicao	NOUN	NOUN	_	107	nsubj	_	TokenRange=590:601
102	que	_	PRON	PRON	_	103	nsubj	_	TokenRange=602:605
103	tem	ter	VERB	VERB	_	101	acl:relcl	_	TokenRange=606:609
104	sede	sede	NOUN	NOUN	_	103	obj	_	TokenRange=610:614
105	em	em	ADP	ADP	_	106	case	_	TokenRange=615:617
106	paris	_	NOUN	NOUN	_	104	nmod	_	TokenRange=618:623
107	analisa	analisar	VERB	VERB	_	70	parataxis	_	TokenRange=624:631
108	o	_	PRON	PRON	_	107	obj	_	TokenRange=632:633
109	que	_	PRON	PRON	_	112	obj	_	TokenRange=634:637
110	os	o	DET	DET	_	111	det	_	TokenRange=638:640
111	paises	paise	NOUN	NOUN	_	112	nsubj	_	TokenRange=641:647
112	fizeram	fazer	VERB	VERB	_	108	acl:relcl	_	TokenRange=648:655
113	em	em	ADP	ADP	_	114	case	_	TokenRange=656:658
114	termos	termo	NOUN	NOUN	_	112	nmod	_	TokenRange=659:665
115	de	de	ADP	ADP	_	116	case	_	TokenRange=666:668
116	reformas	reforma	NOUN	NOUN	_	114	nmod	_	TokenRange=669:677
117	para	_	ADP	ADP	_	118	mark	_	TokenRange=678:682
118	impulsionar	impulsionar	VERB	VERB	_	112	advcl	_	TokenRange=683:694
119	o	o	DET	DET	_	120	det	_	TokenRange=695:696
120	crescimento	crescimento	NOUN	NOUN	_	118	obj	_	TokenRange=697:708
121	de	de	ADP	ADP	_	123	case	_	TokenRange=709:711
122	longo	longo	ADJ	ADJ	_	123	amod	_	TokenRange=712:717
123	prazo	prazo	NOUN	NOUN	_	120	nmod	_	TokenRange=718:723
124	melhorar	melhorar	VERB	VERB	_	118	ccomp	_	TokenRange=724:732
125	a	o	DET	DET	_	126	det	_	TokenRange=733:734
126	competitividade	competitividade	NOUN	NOUN	_	124	obj	_	TokenRange=735:750
127	e	e	CCONJ	CONJ	_	129	cc	_	TokenRange=751:752
128	a	o	DET	DET	_	129	det	_	TokenRange=753:754
129	produtividade	produtividade	NOUN	NOUN	_	126	conj	_	TokenRange=755:768
130	criar	criar	VERB	VERB	_	124	ccomp	_	TokenRange=769:774
131	empregos	emprego	NOUN	NOUN	_	130	obj	_	TokenRange=775:783
132	e	e	CCONJ	CONJ	_	133	cc	_	TokenRange=784:785
133	garantir	garantir	VERB	VERB	_	124	conj	_	TokenRange=786:794
134	ganhos	ganho	NOUN	NOUN	_	133	obj	_	TokenRange=795:801
135	economicos	economico	ADJ	ADJ	_	134	amod	_	TokenRange=802:812
136	que	_	PRON	PRON	_	130	obj	_	SpacesAfter=\s\s|TokenRange=813:816

