# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = fechase o cerco pro anastasia em mg depois da pressao do governador e precandidato geraldo alckmin agora intensificase a dos deputados federais e estatuais do psdb de minas para que o senador e exgovernador antonio anastasia aceite disputar o governo do estado pelo psdb os sete deputados federais e os oito estaduais do partido tem jantar marcado para segundafeira em belo horizonte na casa de um deles eduardo barboza presidente da federacao das apaes e um dos principais especialistas em politicas sociais no congresso anastasia tentava reagir a candidatura mas conversou longamente com alckmin nesta semana e esta sendo convencido de que e peca estrategica para a campanha nacional do psdb e para unir as oposicoes mineiras ao governo do petista fernando pimentel em outubro em desvantagem historica no nordeste principal reduto do pt o psdb tambem
1	fechase	fechaser	VERB	VERB	_	0	root	_	TokenRange=0:7
29	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	30	det	_	_
30	psdb	_	NOUN	NOUN	_	24	nmod	_	TokenRange=159:163
31	de	de	ADP	ADP	_	32	case	_	TokenRange=164:166
32	minas	mina	NOUN	NOUN	_	30	nmod	_	TokenRange=167:172
33	para	_	ADP	ADP	_	41	mark	_	TokenRange=173:177
34	que	_	CCONJ	CONJ	_	33	fixed	_	TokenRange=178:181
35	o	o	DET	DET	_	36	det	_	TokenRange=182:183
36	senador	senador	NOUN	NOUN	_	41	nsubj	_	TokenRange=184:191
37	e	e	CCONJ	CONJ	_	38	cc	_	TokenRange=192:193
38	exgovernador	exgovernador	NOUN	NOUN	_	36	conj	_	TokenRange=194:206
39	antonio	antonio	ADJ	ADJ	_	36	appos	_	TokenRange=207:214
40	anastasia	anastasia	NOUN	NOUN	_	39	flat	_	TokenRange=215:224
41	aceite	aceitar	VERB	VERB	_	20	advcl	_	TokenRange=225:231
42	disputar	disputar	VERB	VERB	_	41	xcomp	_	TokenRange=232:240
43	o	o	DET	DET	_	44	det	_	TokenRange=241:242
44	governo	governo	NOUN	NOUN	_	42	obj	_	TokenRange=243:250
45-46	do	_	_	_	_	_	_	_	TokenRange=251:253
45	de	de	ADP	ADP	_	47	case	_	_
46	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	47	det	_	_
47	estado	estado	NOUN	NOUN	_	44	nmod	_	TokenRange=254:260
48-49	pelo	_	_	_	_	_	_	_	TokenRange=261:265
48	por	por	ADP	ADP	_	50	case	_	_
49	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	50	det	_	_
50	psdb	_	NOUN	NOUN	_	42	nmod	_	TokenRange=266:270
51	os	o	DET	DET	_	53	det	_	TokenRange=271:273
52	sete	_	NUM	NUM	NumType=Card	53	nummod	_	TokenRange=274:278
53	deputados	deputado	NOUN	NOUN	_	41	nsubj	_	TokenRange=279:288
54	federais	federal	ADJ	ADJ	_	53	amod	_	TokenRange=289:297
55	e	e	CCONJ	CONJ	_	57	cc	_	TokenRange=298:299
56	os	o	DET	DET	_	57	det	_	TokenRange=300:302
57	oito	_	NUM	NUM	NumType=Card	53	nummod	_	TokenRange=303:307
58	estaduais	estadual	NOUN	NOUN	_	53	conj	_	TokenRange=308:317
59-60	do	_	_	_	_	_	_	_	TokenRange=318:320
59	de	de	ADP	ADP	_	61	case	_	_
60	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	61	det	_	_
61	partido	partido	NOUN	NOUN	_	57	nmod	_	TokenRange=321:328
62	tem	ter	VERB	VERB	_	1	parataxis	_	TokenRange=329:332
63	jantar	jantar	NOUN	NOUN	_	62	obj	_	TokenRange=333:339
64	marcado	marcar	VERB	VERB	_	63	acl	_	TokenRange=340:347
65	para	para	ADP	ADP	_	66	case	_	TokenRange=348:352
66	segundafeira	segundafeira	NOUN	NOUN	_	64	nmod	_	TokenRange=353:365
67	em	em	ADP	ADP	_	69	case	_	TokenRange=366:368
68	belo	belo	ADJ	ADJ	_	69	amod	_	TokenRange=369:373
69	horizonte	horizonte	NOUN	NOUN	_	64	nmod	_	TokenRange=374:383
70-71	na	_	_	_	_	_	_	_	TokenRange=384:386
70	em	em	ADP	ADP	_	72	case	_	_
71	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	72	det	_	_
72	casa	casa	NOUN	NOUN	_	64	nmod	_	TokenRange=387:391
73	de	de	ADP	ADP	_	74	case	_	TokenRange=392:394
74	um	_	PRON	PRON	_	72	nmod	_	TokenRange=395:397
75	deles	_	X	ADPPRON	_	74	nmod	_	TokenRange=398:403
76	eduardo	eduardo	NOUN	NOUN	_	74	appos	_	TokenRange=404:411
77	barboza	barboza	NOUN	NOUN	_	76	flat	_	TokenRange=412:419
78	presidente	presidente	NOUN	NOUN	_	74	appos	_	TokenRange=420:430
79-80	da	_	_	_	_	_	_	_	TokenRange=431:433
79	de	de	ADP	ADP	_	81	case	_	_
80	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	81	det	_	_
81	federacao	federacao	NOUN	NOUN	_	78	nmod	_	TokenRange=434:443
82-83	das	_	_	_	_	_	_	_	TokenRange=444:447
82	de	de	ADP	ADP	_	84	case	_	_
83	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	84	det	_	_
84	apaes	apae	NOUN	NOUN	_	81	nmod	_	TokenRange=448:453
85	e	e	CCONJ	CONJ	_	86	cc	_	TokenRange=454:455
86	um	_	PRON	PRON	_	53	conj	_	TokenRange=456:458
87-88	dos	_	_	_	_	_	_	_	TokenRange=459:462
87	de	de	ADP	ADP	_	90	case	_	_
88	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	90	det	_	_
89	principais	principal	ADJ	ADJ	_	90	amod	_	TokenRange=463:473
90	especialistas	especialista	NOUN	NOUN	_	86	nmod	_	TokenRange=474:487
91	em	em	ADP	ADP	_	92	case	_	TokenRange=488:490
92	politicas	_	NOUN	NOUN	_	90	nmod	_	TokenRange=491:500
93	sociais	social	ADJ	ADJ	_	92	amod	_	TokenRange=501:508
94-95	no	_	_	_	_	_	_	_	TokenRange=509:511
94	em	em	ADP	ADP	_	96	case	_	_
95	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	96	det	_	_
96	congresso	congresso	NOUN	NOUN	_	86	nmod	_	TokenRange=512:521
97	anastasia	anastasia	PROPN	PNOUN	_	98	nsubj	_	TokenRange=522:531
98	tentava	tentar	VERB	VERB	_	1	conj	_	TokenRange=532:539
99	reagir	reagir	VERB	VERB	_	98	xcomp	_	TokenRange=540:546
100	a	o	DET	DET	_	101	det	_	TokenRange=547:548
101	candidatura	candidatura	NOUN	NOUN	_	99	obj	_	TokenRange=549:560
102	mas	mas	CCONJ	CONJ	_	103	cc	_	TokenRange=561:564
103	conversou	conversar	VERB	VERB	_	62	conj	_	TokenRange=565:574
104	longamente	longamente	ADV	ADV	_	103	advmod	_	TokenRange=575:585
105	com	com	ADP	ADP	_	106	case	_	TokenRange=586:589
106	alckmin	alckmin	NOUN	NOUN	_	103	nmod	_	TokenRange=590:597
107	nesta	_	ADP	ADP	_	108	case	_	TokenRange=598:603
108	semana	semana	NOUN	NOUN	_	103	nmod	_	TokenRange=604:610
109	e	e	CCONJ	CONJ	_	112	cc	_	TokenRange=611:612
110	esta	_	AUX	AUX	_	112	aux	_	TokenRange=613:617
111	sendo	ser	AUX	AUX	_	112	aux:pass	_	TokenRange=618:623
112	convencido	convencer	VERB	VERB	_	98	conj	_	TokenRange=624:634
113	de	_	ADP	ADP	_	116	mark	_	TokenRange=635:637
114	que	que	CCONJ	CONJ	_	116	mark	_	TokenRange=638:641
115	e	e	AUX	AUX	_	116	cop	_	TokenRange=642:643
116	peca	peca	NOUN	NOUN	_	112	nmod	_	TokenRange=644:648
117	estrategica	estrategico	ADJ	ADJ	_	116	amod	_	TokenRange=649:660
118	para	para	ADP	ADP	_	120	case	_	TokenRange=661:665
119	a	o	DET	DET	_	120	det	_	TokenRange=666:667
120	campanha	campanha	NOUN	NOUN	_	116	nmod	_	TokenRange=668:676
121	nacional	nacional	ADJ	ADJ	_	120	amod	_	TokenRange=677:685
122-123	do	_	_	_	_	_	_	_	TokenRange=686:688
122	de	de	ADP	ADP	_	124	case	_	_
123	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	124	det	_	_
124	psdb	_	NOUN	NOUN	_	120	nmod	_	TokenRange=689:693
125	e	e	CCONJ	CONJ	_	127	cc	_	TokenRange=694:695
126	para	_	ADP	ADP	_	127	mark	_	TokenRange=696:700
127	unir	unir	VERB	VERB	_	116	conj	_	TokenRange=701:705
128	as	o	DET	DET	_	129	det	_	TokenRange=706:708
129	oposicoes	_	NOUN	NOUN	_	127	obj	_	TokenRange=709:718
130	mineiras	mineiro	ADJ	ADJ	_	129	amod	_	TokenRange=719:727
131-132	ao	_	_	_	_	_	_	_	TokenRange=728:730
131	a	a	ADP	ADP	_	133	case	_	_
132	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	133	det	_	_
133	governo	governo	NOUN	NOUN	_	127	nmod	_	TokenRange=731:738
134-135	do	_	_	_	_	_	_	_	TokenRange=739:741
134	de	de	ADP	ADP	_	136	case	_	_
135	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	136	det	_	_
136	petista	petista	NOUN	NOUN	_	133	nmod	_	TokenRange=742:749
137	fernando	fernando	NOUN	NOUN	_	136	appos	_	TokenRange=750:758
138	pimentel	pimentel	ADJ	ADJ	_	137	amod	_	TokenRange=759:767
139	em	em	ADP	ADP	_	140	case	_	TokenRange=768:770
140	outubro	_	PROPN	PNOUN	_	127	nmod	_	TokenRange=771:778
141	em	em	ADP	ADP	_	142	case	_	TokenRange=779:781
142	desvantagem	desvantagem	NOUN	NOUN	_	127	nmod	_	TokenRange=782:793
143	historica	historico	ADJ	ADJ	_	142	amod	_	TokenRange=794:803
144-145	no	_	_	_	_	_	_	_	TokenRange=804:806
144	em	em	ADP	ADP	_	146	case	_	_
145	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	146	det	_	_
146	nordeste	nordeste	NOUN	NOUN	_	142	nmod	_	TokenRange=807:815
147	principal	principal	ADJ	ADJ	_	146	amod	_	TokenRange=816:825
148	reduto	reduto	NOUN	NOUN	_	142	appos	_	TokenRange=826:832
149-150	do	_	_	_	_	_	_	_	TokenRange=833:835
149	de	de	ADP	ADP	_	151	case	_	_
150	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	151	det	_	_
151	pt	_	PROPN	PNOUN	_	148	nmod	_	TokenRange=836:838
152	o	o	DET	DET	_	153	det	_	TokenRange=839:840
153	psdb	_	PROPN	PNOUN	_	148	appos	_	TokenRange=841:845
154	tambem	tambem	ADV	ADV	_	62	advmod	_	SpacesAfter=\s\s|TokenRange=846:852

