# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = nos 15 minutos finais do interrogatorio do expresidente luiz inacio lula da silva feito pelo juiz federal sergio moro nesta quartafeira 10 em curitiba o magistrado questionou o petista sobre cinco fatos que podem caracterizar tentativa de intimidacao as autoridades da operacao lava jato e advertiu o reu sobre a conduta inadequada sao episodios de declaracoes publicas em que lula disse que poderia um dia mandar prender os procuradores da republica que o investigam que lembraria dos delegados que o conduziram coercitivamente em marco de 2016 que so ele poderia brigar com a lava jato alem de processos movidos contra testemunhas investigadores e ate o proprio juiz o interrogatorio comecou as 14 horas do dia 10 com um frio de 13 graus e uma leve garoa a sede da justica federal no bairro ahu sitiada por um exercito de policiais militares acionados para evitar protestos dos cerca de 20 mil manifestantes a maior parte membros do mst e de centrais sindicais
1-2	nos	_	_	_	_	_	_	_	TokenRange=0:3
57	conduta	conduta	NOUN	NOUN	_	54	nmod	_	TokenRange=313:320
58	inadequada	inadequado	ADJ	ADJ	_	57	amod	_	TokenRange=321:331
59	sao	_	AUX	AUX	_	60	cop	_	TokenRange=332:335
60	episodios	episodio	NOUN	NOUN	_	32	parataxis	_	TokenRange=336:345
61	de	de	ADP	ADP	_	62	case	_	TokenRange=346:348
62	declaracoes	declaracoe	NOUN	NOUN	_	60	nmod	_	TokenRange=349:360
63	publicas	publico	ADJ	ADJ	_	62	amod	_	TokenRange=361:369
64	em	em	ADP	ADP	_	65	case	_	TokenRange=370:372
65	que	_	PRON	PRON	_	67	nmod	_	TokenRange=373:376
66	lula	_	NOUN	NOUN	_	67	nsubj	_	TokenRange=377:381
67	disse	dizer	VERB	VERB	_	62	acl:relcl	_	TokenRange=382:387
68	que	que	CCONJ	CONJ	_	72	mark	_	TokenRange=388:391
69	poderia	poder	AUX	AUX	_	67	ccomp	_	TokenRange=392:399
70	um	um	NUM	DET	_	71	nummod	_	TokenRange=400:402
71	dia	dia	NOUN	NOUN	_	69	nmod	_	TokenRange=403:406
72	mandar	mandar	VERB	VERB	_	67	ccomp	_	TokenRange=407:413
73	prender	prender	VERB	VERB	_	72	xcomp	_	TokenRange=414:421
74	os	o	DET	DET	_	75	det	_	TokenRange=422:424
75	procuradores	procurador	NOUN	NOUN	_	73	obj	_	TokenRange=425:437
76-77	da	_	_	_	_	_	_	_	TokenRange=438:440
76	de	de	ADP	ADP	_	78	case	_	_
77	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	78	det	_	_
78	republica	_	NOUN	NOUN	_	75	nmod	_	TokenRange=441:450
79	que	_	PRON	PRON	_	81	nsubj	_	TokenRange=451:454
80	o	_	PRON	PRON	_	81	obj	_	TokenRange=455:456
81	investigam	investigar	VERB	VERB	_	75	acl:relcl	_	TokenRange=457:467
82	que	que	CCONJ	CONJ	_	83	mark	_	TokenRange=468:471
83	lembraria	lembrar	VERB	VERB	_	67	ccomp	_	TokenRange=472:481
84-85	dos	_	_	_	_	_	_	_	TokenRange=482:485
84	de	de	ADP	ADP	_	86	case	_	_
85	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	86	det	_	_
86	delegados	delegado	NOUN	NOUN	_	83	nmod	_	TokenRange=486:495
87	que	_	PRON	PRON	_	89	nsubj	_	TokenRange=496:499
88	o	_	PRON	PRON	_	89	obj	_	TokenRange=500:501
89	conduziram	conduzir	VERB	VERB	_	86	acl:relcl	_	TokenRange=502:512
90	coercitivamente	coercitivamente	ADV	ADV	_	89	advmod	_	TokenRange=513:528
91	em	em	ADP	ADP	_	92	case	_	TokenRange=529:531
92	marco	_	PROPN	PNOUN	_	89	nmod	_	TokenRange=532:537
93	de	de	ADP	ADP	_	94	case	_	TokenRange=538:540
94	2016	_	NUM	NUM	NumType=Card	92	nmod	_	TokenRange=541:545
95	que	que	CCONJ	CONJ	_	99	mark	_	TokenRange=546:549
96	so	so	ADV	ADV	_	99	advmod	_	TokenRange=550:552
97	ele	_	PRON	PRON	_	99	nsubj	_	TokenRange=553:556
98	poderia	poder	AUX	AUX	_	99	aux	_	TokenRange=557:564
99	brigar	brigar	VERB	VERB	_	83	ccomp	_	TokenRange=565:571
100	com	com	ADP	ADP	_	102	case	_	TokenRange=572:575
101	a	o	DET	DET	_	102	det	_	TokenRange=576:577
102	lava	lava	NOUN	NOUN	_	99	nmod	_	TokenRange=578:582
103	jato	jato	NOUN	NOUN	_	102	flat	_	TokenRange=583:587
104	alem	alem	ADV	ADV	_	99	advmod	_	TokenRange=588:592
105	de	de	ADP	ADP	_	106	case	_	TokenRange=593:595
106	processos	processo	NOUN	NOUN	_	104	nmod	_	TokenRange=596:605
107	movidos	mover	VERB	VERB	_	106	acl	_	TokenRange=606:613
108	contra	_	ADP	ADP	_	109	case	_	TokenRange=614:620
109	testemunhas	testemunha	NOUN	NOUN	_	107	nmod	_	TokenRange=621:632
110	investigadores	investigador	ADJ	ADJ	_	109	amod	_	TokenRange=633:647
111	e	e	CCONJ	CONJ	_	118	cc	_	TokenRange=648:649
112	ate	_	ADV	ADP	_	115	advmod	_	TokenRange=650:653
113	o	o	DET	DET	_	115	det	_	TokenRange=654:655
114	proprio	proprio	ADJ	ADJ	_	115	amod	_	TokenRange=656:663
115	juiz	juiz	NOUN	NOUN	_	118	nsubj	_	TokenRange=664:668
116	o	o	DET	DET	_	117	det	_	TokenRange=669:670
117	interrogatorio	interrogatorio	NOUN	NOUN	_	118	nsubj	_	TokenRange=671:685
118	comecou	comecar	VERB	VERB	_	67	conj	_	TokenRange=686:693
119	as	o	DET	DET	_	121	det	_	TokenRange=694:696
120	14	_	NUM	NUM	NumType=Card	121	nummod	_	TokenRange=697:699
121	horas	hora	NOUN	NOUN	_	118	nmod	_	TokenRange=700:705
122-123	do	_	_	_	_	_	_	_	TokenRange=706:708
122	de	de	ADP	ADP	_	124	case	_	_
123	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	124	det	_	_
124	dia	dia	NOUN	NOUN	_	121	nmod	_	TokenRange=709:712
125	10	_	NUM	NUM	NumType=Card	124	nmod	_	TokenRange=713:715
126	com	com	ADP	ADP	_	128	case	_	TokenRange=716:719
127	um	um	DET	DET	_	128	det	_	TokenRange=720:722
128	frio	frio	NOUN	NOUN	_	118	nmod	_	TokenRange=723:727
129	de	de	ADP	ADP	_	131	case	_	TokenRange=728:730
130	13	_	NUM	NUM	NumType=Card	131	nummod	_	TokenRange=731:733
131	graus	grau	NOUN	NOUN	_	128	nmod	_	TokenRange=734:739
132	e	e	CCONJ	CONJ	_	135	cc	_	TokenRange=740:741
133	uma	um	DET	DET	_	135	det	_	TokenRange=742:745
134	leve	leve	ADJ	ADJ	_	135	amod	_	TokenRange=746:750
135	garoa	garoa	NOUN	NOUN	_	128	conj	_	TokenRange=751:756
136	a	o	DET	DET	_	137	det	_	TokenRange=757:758
137	sede	sede	NOUN	NOUN	_	118	obj	_	TokenRange=759:763
138-139	da	_	_	_	_	_	_	_	TokenRange=764:766
138	de	de	ADP	ADP	_	140	case	_	_
139	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	140	det	_	_
140	justica	_	NOUN	NOUN	_	137	nmod	_	TokenRange=767:774
141	federal	federal	ADJ	ADJ	_	140	amod	_	TokenRange=775:782
142-143	no	_	_	_	_	_	_	_	TokenRange=783:785
142	em	em	ADP	ADP	_	144	case	_	_
143	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	144	det	_	_
144	bairro	bairro	NOUN	NOUN	_	137	nmod	_	TokenRange=786:792
145	ahu	ahu	NOUN	NOUN	_	144	flat	_	TokenRange=793:796
146	sitiada	sitiar	VERB	VERB	_	137	acl	_	TokenRange=797:804
147	por	por	ADP	ADP	_	149	case	_	TokenRange=805:808
148	um	um	DET	DET	_	149	det	_	TokenRange=809:811
149	exercito	exercito	NOUN	NOUN	_	146	nmod	_	TokenRange=812:820
150	de	de	ADP	ADP	_	151	case	_	TokenRange=821:823
151	policiais	policial	NOUN	NOUN	_	149	nmod	_	TokenRange=824:833
152	militares	militar	ADJ	ADJ	_	151	amod	_	TokenRange=834:843
153	acionados	acionado	ADJ	ADJ	_	151	amod	_	TokenRange=844:853
154	para	_	ADP	ADP	_	155	mark	_	TokenRange=854:858
155	evitar	evitar	VERB	VERB	_	146	advcl	_	TokenRange=859:865
156	protestos	protesto	NOUN	NOUN	_	155	obj	_	TokenRange=866:875
157-158	dos	_	_	_	_	_	_	_	TokenRange=876:879
157	de	de	ADP	ADP	_	163	case	_	_
158	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	163	det	_	_
159	cerca	cerca	ADV	ADV	_	162	advmod	_	TokenRange=880:885
160	de	de	ADP	ADP	_	159	case	_	TokenRange=886:888
161	20	_	NUM	NUM	NumType=Card	162	nummod	_	TokenRange=889:891
162	mil	_	NUM	NUM	NumType=Card	163	nummod	_	TokenRange=892:895
163	manifestantes	manifestante	NOUN	NOUN	_	156	nmod	_	TokenRange=896:909
164	a	_	ADP	ADP	_	166	case	_	TokenRange=910:911
165	maior	maior	ADJ	ADJ	_	166	amod	_	TokenRange=912:917
166	parte	parte	NOUN	NOUN	_	163	nmod	_	TokenRange=918:923
167	membros	membro	NOUN	NOUN	_	163	appos	_	TokenRange=924:931
168-169	do	_	_	_	_	_	_	_	TokenRange=932:934
168	de	de	ADP	ADP	_	170	case	_	_
169	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	170	det	_	_
170	mst	_	NOUN	NOUN	_	167	nmod	_	TokenRange=935:938
171	e	e	CCONJ	CONJ	_	173	cc	_	TokenRange=939:940
172	de	de	ADP	ADP	_	173	case	_	TokenRange=941:943
173	centrais	central	NOUN	NOUN	_	170	conj	_	TokenRange=944:952
174	sindicais	sindical	ADJ	ADJ	_	173	amod	_	SpacesAfter=\s\s|TokenRange=953:962

