# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ficou longe das noticias no fim de ano veja o que aconteceu no brasil e no mundo se voce se desligou entre o natal e o reveillon veja um resumo para comecar o ano beminformado entre o peru com farofa de natal e os fogos com espumante do ano novo voce pode nao ter lido que ja deu para entender a dinamica ne muita coisa aconteceu mas falta muito para resolver em 2018 entenda melhor os assuntos dos ultimos dias para comecar o ano bem informado o salario minimo sobe para r 954 em 2018 o aumento e de r 17 em relacao a 2017 o indice de reajuste e o menor desde 1994 a correcao tem uma formula que considera o pib de dois anos antes e a variacao de precos para o consumidor de 2017 a mega da virada de 2017 para 2018 teve 17 apostas vencedoras que levarao r 18 milhoes cada uma os ganhadores dividirao o premio de r 30671874371 cada uma levara exatamente r 1804227904 eles estao em sao paulo 6 apostas 4 na capital e 2 em guarulhos bahia 3 apostas prado urucuca e cruz das almas parana 2 apostas sao joao do triunfo e rio azul minas gerais 2 apostas carmo do cajuru e contagem rio de
1	ficou	ficar	VERB	VERB	_	0	root	_	TokenRange=0:5
101	2018	_	NUM	NUM	NumType=Card	96	nmod	_	TokenRange=481:485
102	o	o	DET	DET	_	103	det	_	TokenRange=486:487
103	aumento	aumento	NOUN	NOUN	_	96	nsubj	_	TokenRange=488:495
104	e	e	VERB	VERB	_	103	appos	_	TokenRange=496:497
105	de	de	ADP	ADP	_	106	case	_	TokenRange=498:500
106	r	r	NOUN	NOUN	_	103	nmod	_	TokenRange=501:502
107	17	_	NUM	NUM	NumType=Card	106	appos	_	TokenRange=503:505
108	em	em	ADP	ADP	_	109	case	_	TokenRange=506:508
109	relacao	relacao	NOUN	NOUN	_	127	nmod	_	TokenRange=509:516
110	a	_	ADP	ADP	_	111	case	_	TokenRange=517:518
111	2017	_	NUM	NUM	NumType=Card	109	nmod	_	TokenRange=519:523
112	o	o	DET	DET	_	113	det	_	TokenRange=524:525
113	indice	indice	NOUN	NOUN	_	96	nsubj	_	TokenRange=526:532
114	de	de	ADP	ADP	_	115	case	_	TokenRange=533:535
115	reajuste	reajuste	NOUN	NOUN	_	113	nmod	_	TokenRange=536:544
116	e	e	CCONJ	CONJ	_	118	cc	_	TokenRange=545:546
117	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	118	det	_	TokenRange=547:548
118	menor	menor	NOUN	NOUN	_	113	conj	_	TokenRange=549:554
119	desde	_	ADP	ADP	_	120	case	_	TokenRange=555:560
120	1994	_	NUM	NUM	NumType=Card	118	nmod	_	TokenRange=561:565
121	a	o	DET	DET	_	122	det	_	TokenRange=566:567
122	correcao	_	NOUN	NOUN	_	123	nsubj	_	TokenRange=568:576
123	tem	ter	VERB	VERB	_	96	parataxis	_	TokenRange=577:580
124	uma	um	DET	DET	_	125	det	_	TokenRange=581:584
125	formula	formula	NOUN	NOUN	_	123	obj	_	TokenRange=585:592
126	que	_	PRON	PRON	_	127	nsubj	_	TokenRange=593:596
127	considera	considerar	VERB	VERB	_	125	acl:relcl	_	TokenRange=597:606
128	o	o	DET	DET	_	129	det	_	TokenRange=607:608
129	pib	pib	NOUN	NOUN	_	127	obj	_	TokenRange=609:612
130	de	de	ADP	ADP	_	132	case	_	TokenRange=613:615
131	dois	_	NUM	NUM	NumType=Card	132	nummod	_	TokenRange=616:620
132	anos	ano	NOUN	NOUN	_	129	nmod	_	TokenRange=621:625
133	antes	antes	ADV	ADV	_	132	advmod	_	TokenRange=626:631
134	e	e	CCONJ	CONJ	_	136	cc	_	TokenRange=632:633
135	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	136	det	_	TokenRange=634:635
136	variacao	variacao	NOUN	NOUN	_	129	conj	_	TokenRange=636:644
137	de	de	ADP	ADP	_	138	case	_	TokenRange=645:647
138	precos	preco	NOUN	NOUN	_	136	nmod	_	TokenRange=648:654
139	para	para	ADP	ADP	_	141	case	_	TokenRange=655:659
140	o	o	DET	DET	_	141	det	_	TokenRange=660:661
141	consumidor	consumidor	NOUN	NOUN	_	136	nmod	_	TokenRange=662:672
142	de	de	ADP	ADP	_	143	case	_	TokenRange=673:675
143	2017	_	NUM	NUM	NumType=Card	141	nmod	_	TokenRange=676:680
144	a	o	DET	DET	_	145	det	_	TokenRange=681:682
145	mega	_	PROPN	PNOUN	_	136	nsubj	_	TokenRange=683:687
146-147	da	_	_	_	_	_	_	_	TokenRange=688:690
146	de	de	ADP	ADP	_	148	case	_	_
147	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	148	det	_	_
148	virada	_	NOUN	NOUN	_	145	nmod	_	TokenRange=691:697
149	de	de	ADP	ADP	_	150	case	_	TokenRange=698:700
150	2017	_	NUM	NUM	NumType=Card	148	nmod	_	TokenRange=701:705
151	para	para	ADP	ADP	_	152	case	_	TokenRange=706:710
152	2018	_	NUM	NUM	NumType=Card	224	nmod	_	TokenRange=711:715
153	teve	ter	VERB	VERB	_	60	conj	_	TokenRange=716:720
154	17	_	NUM	NUM	NumType=Card	155	nummod	_	TokenRange=721:723
155	apostas	aposta	NOUN	NOUN	_	153	obj	_	TokenRange=724:731
156	vencedoras	vencedor	ADJ	ADJ	_	155	amod	_	TokenRange=732:742
157	que	_	PRON	PRON	_	158	nsubj	_	TokenRange=743:746
158	levarao	levar	VERB	VERB	_	155	acl:relcl	_	TokenRange=747:754
159	r	r	NOUN	NOUN	_	158	obj	_	TokenRange=755:756
160	18	_	NUM	NUM	NumType=Card	161	nummod	_	TokenRange=757:759
161	milhoes	_	NUM	NUM	NumType=Card	159	nummod	_	TokenRange=760:767
162	cada	_	DET	DET	_	163	det	_	TokenRange=768:772
163	uma	_	PRON	PRON	_	166	obj	_	TokenRange=773:776
164	os	o	DET	DET	_	165	det	_	TokenRange=777:779
165	ganhadores	ganhador	NOUN	NOUN	_	166	nsubj	_	TokenRange=780:790
166	dividirao	dividir	VERB	VERB	_	60	ccomp	_	TokenRange=791:800
167	o	o	DET	DET	_	168	det	_	TokenRange=801:802
168	premio	premio	NOUN	NOUN	_	166	obj	_	TokenRange=803:809
169	de	de	ADP	ADP	_	170	case	_	TokenRange=810:812
170	r	r	NOUN	NOUN	_	166	nmod	_	TokenRange=813:814
171	30671874371	_	NUM	NUM	NumType=Card	170	nummod	_	TokenRange=815:826
172	cada	_	DET	DET	_	173	det	_	TokenRange=827:831
173	uma	_	PRON	PRON	_	174	nsubj	_	TokenRange=832:835
174	levara	levar	VERB	VERB	_	166	parataxis	_	TokenRange=836:842
175	exatamente	exatamente	ADV	ADV	_	174	advmod	_	TokenRange=843:853
176	r	r	NOUN	NOUN	_	174	obj	_	TokenRange=854:855
177	1804227904	_	NUM	NUM	NumType=Card	176	nummod	_	TokenRange=856:866
178	eles	_	PRON	PRON	_	179	nsubj	_	TokenRange=867:871
179	estao	_	VERB	VERB	_	60	ccomp	_	TokenRange=872:877
180	em	em	ADP	ADP	_	181	case	_	TokenRange=878:880
181	sao	sao	NOUN	NOUN	_	179	nmod	_	TokenRange=881:884
182	paulo	_	NOUN	NOUN	_	181	flat	_	TokenRange=885:890
183	6	_	NUM	NUM	NumType=Card	184	nummod	_	TokenRange=891:892
184	apostas	aposta	NOUN	NOUN	_	179	nsubj	_	TokenRange=893:900
185	4	_	NUM	NUM	NumType=Card	184	appos	_	TokenRange=901:902
186-187	na	_	_	_	_	_	_	_	TokenRange=903:905
186	em	em	ADP	ADP	_	188	case	_	_
187	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	188	det	_	_
188	capital	capital	NOUN	NOUN	_	185	nmod	_	TokenRange=906:913
189	e	e	CCONJ	CONJ	_	190	cc	_	TokenRange=914:915
190	2	_	NUM	NUM	NumType=Card	185	conj	_	TokenRange=916:917
191	em	em	ADP	ADP	_	192	case	_	TokenRange=918:920
192	guarulhos	guarulho	NOUN	NOUN	_	190	nmod	_	TokenRange=921:930
193	bahia	_	NOUN	NOUN	_	192	appos	_	TokenRange=931:936
194	3	_	NUM	NUM	NumType=Card	195	nummod	_	TokenRange=937:938
195	apostas	aposta	NOUN	NOUN	_	179	nsubj	_	TokenRange=939:946
196	prado	prado	NOUN	NOUN	_	195	appos	_	TokenRange=947:952
197	urucuca	_	NOUN	NOUN	_	196	flat	_	TokenRange=953:960
198	e	e	CCONJ	CONJ	_	199	cc	_	TokenRange=961:962
199	cruz	cruz	NOUN	NOUN	_	196	conj	_	TokenRange=963:967
200-201	das	_	_	_	_	_	_	_	TokenRange=968:971
200	de	de	ADP	ADP	_	202	case	_	_
201	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	202	det	_	_
202	almas	_	NOUN	NOUN	_	199	nmod	_	TokenRange=972:977
203	parana	parana	ADJ	NOUN	_	79	parataxis	_	TokenRange=978:984
204	2	_	NUM	NUM	NumType=Card	205	nummod	_	TokenRange=985:986
205	apostas	aposta	NOUN	NOUN	_	79	obj	_	TokenRange=987:994
206	sao	sao	NOUN	NOUN	_	205	appos	_	TokenRange=995:998
207	joao	joao	NOUN	NOUN	_	206	flat	_	TokenRange=999:1003
208-209	do	_	_	_	_	_	_	_	TokenRange=1004:1006
208	de	de	ADP	ADP	_	210	case	_	_
209	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	210	det	_	_
210	triunfo	triunfo	NOUN	NOUN	_	206	nmod	_	TokenRange=1007:1014
211	e	e	CCONJ	CONJ	_	212	cc	_	TokenRange=1015:1016
212	rio	rio	NOUN	NOUN	_	206	conj	_	TokenRange=1017:1020
213	azul	azul	ADJ	ADJ	_	212	amod	_	TokenRange=1021:1025
214	minas	mina	NOUN	NOUN	_	96	nmod	_	TokenRange=1026:1031
215	gerais	geral	ADJ	ADJ	_	214	amod	_	TokenRange=1032:1038
216	2	_	NUM	NUM	NumType=Card	217	nummod	_	TokenRange=1039:1040
217	apostas	aposta	NOUN	NOUN	_	96	obj	_	TokenRange=1041:1048
218	carmo	carmo	NOUN	NOUN	_	217	appos	_	TokenRange=1049:1054
219-220	do	_	_	_	_	_	_	_	TokenRange=1055:1057
219	de	de	ADP	ADP	_	221	case	_	_
220	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	221	det	_	_
221	cajuru	cajuru	NOUN	NOUN	_	218	nmod	_	TokenRange=1058:1064
222	e	e	CCONJ	CONJ	_	223	cc	_	TokenRange=1065:1066
223	contagem	contagem	NOUN	NOUN	_	218	conj	_	TokenRange=1067:1075
224	rio	rio	NOUN	NOUN	_	217	appos	_	TokenRange=1076:1079
225	de	de	ADP	ADP	_	132	case	_	SpacesAfter=\s\s|TokenRange=1080:1082

