# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = lula foi levado pela pf porque foi delatado diz malafaia comigo e uma vergonha pastor alvo da operacao timoteo afirmou ainda querer me comparar com petistas corruptos piada o mandado de conducao coercitiva na operacao timoteo provocou a ira do pastor silas malafaia nesta sextafeira 16 em seu twitter colerico o pastor publicou mensagens audio e video negando as suspeitas da investigacao que mira em um esquema de corrupcao em cobrancas judiciais de royalties da exploracao mineral eu sei o poder das trevas afirmou em audio malafaia e suspeito de apoiar na lavagem do dinheiro do esquema que recebeu valores do principal escritorio de advocacia investigado a suspeita a ser esclarecida pelos policiais e que este lider religioso pode ter emprestado contas correntes de uma instituicao religiosa sob sua influencia com a intencao de ocultar a origem ilicita dos valores a justica expediu mandado de conducao coercitiva do pastor para o rio em sua conta na rede social malafaia declarou estar em sao paulo nas mensagens que escreveu a seus seguidores no twitter malafaia negou as suspeitas e mirou tambem nos esquerdopatas aviso aos esquerdopatas n fui delatado por ninguem n estou envolvido em nada querer me comparar com petistas
1	lula	lula	NOUN	NOUN	_	3	nsubj:pass	_	TokenRange=0:4
20	operacao	operacao	NOUN	NOUN	_	17	nmod	_	TokenRange=94:102
21	timoteo	timoteo	NOUN	NOUN	_	20	flat	_	TokenRange=103:110
22	afirmou	afirmar	VERB	VERB	_	3	conj	_	TokenRange=111:118
23	ainda	ainda	ADV	ADV	_	22	advmod	_	TokenRange=119:124
24	querer	querer	VERB	VERB	_	22	xcomp	_	TokenRange=125:131
25	me	_	PRON	PRON	_	26	obj	_	TokenRange=132:134
26	comparar	comparar	VERB	VERB	_	24	xcomp	_	TokenRange=135:143
27	com	com	ADP	ADP	_	28	case	_	TokenRange=144:147
28	petistas	petista	NOUN	NOUN	_	26	nmod	_	TokenRange=148:156
29	corruptos	corrupto	ADJ	ADJ	_	28	amod	_	TokenRange=157:166
30	piada	piada	NOUN	NOUN	_	22	obj	_	TokenRange=167:172
31	o	o	DET	DET	_	32	det	_	TokenRange=173:174
32	mandado	mandado	NOUN	NOUN	_	40	nsubj	_	TokenRange=175:182
33	de	de	ADP	ADP	_	34	case	_	TokenRange=183:185
34	conducao	conducao	NOUN	NOUN	_	32	nmod	_	TokenRange=186:194
35	coercitiva	coercitivo	ADJ	ADJ	_	34	amod	_	TokenRange=195:205
36-37	na	_	_	_	_	_	_	_	TokenRange=206:208
36	em	em	ADP	ADP	_	38	case	_	_
37	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	38	det	_	_
38	operacao	operacao	NOUN	NOUN	_	32	nmod	_	TokenRange=209:217
39	timoteo	timoteo	NOUN	NOUN	_	38	flat	_	TokenRange=218:225
40	provocou	provocar	VERB	VERB	_	22	conj	_	TokenRange=226:234
41	a	o	DET	DET	_	42	det	_	TokenRange=235:236
42	ira	ira	NOUN	NOUN	_	40	obj	_	TokenRange=237:240
43-44	do	_	_	_	_	_	_	_	TokenRange=241:243
43	de	de	ADP	ADP	_	45	case	_	_
44	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	45	det	_	_
45	pastor	pastor	NOUN	NOUN	_	42	nmod	_	TokenRange=244:250
46	silas	_	NOUN	NOUN	_	45	appos	_	TokenRange=251:256
47	malafaia	malafaia	NOUN	NOUN	_	45	appos	_	TokenRange=257:265
48	nesta	_	ADP	ADP	_	49	case	_	TokenRange=266:271
49	sextafeira	sextafeira	NOUN	NOUN	_	40	nmod	_	TokenRange=272:282
50	16	_	NUM	NUM	NumType=Card	49	appos	_	TokenRange=283:285
51	em	em	ADP	ADP	_	53	case	_	TokenRange=286:288
52	seu	_	DET	DET	_	53	det:poss	_	TokenRange=289:292
53	twitter	_	PROPN	PNOUN	_	57	nmod	_	TokenRange=293:300
54	colerico	colerico	ADJ	ADJ	_	53	amod	_	TokenRange=301:309
55	o	o	DET	DET	_	56	det	_	TokenRange=310:311
56	pastor	pastor	NOUN	NOUN	_	175	nsubj	_	TokenRange=312:318
57	publicou	publicar	VERB	VERB	_	3	conj	_	TokenRange=319:327
58	mensagens	mensagem	NOUN	NOUN	_	57	obj	_	TokenRange=328:337
59	audio	audio	NOUN	NOUN	_	58	appos	_	TokenRange=338:343
60	e	e	CCONJ	CONJ	_	61	cc	_	TokenRange=344:345
61	video	video	NOUN	NOUN	_	59	conj	_	TokenRange=346:351
62	negando	negar	VERB	VERB	_	58	acl	_	TokenRange=352:359
63	as	o	DET	DET	_	64	det	_	TokenRange=360:362
64	suspeitas	_	NOUN	NOUN	_	62	obj	_	TokenRange=363:372
65-66	da	_	_	_	_	_	_	_	TokenRange=373:375
65	de	de	ADP	ADP	_	67	case	_	_
66	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	67	det	_	_
67	investigacao	investigacao	NOUN	NOUN	_	64	nmod	_	TokenRange=376:388
68	que	_	PRON	PRON	_	69	nsubj	_	TokenRange=389:392
69	mira	_	VERB	VERB	_	67	acl:relcl	_	TokenRange=393:397
70	em	em	ADP	ADP	_	72	case	_	TokenRange=398:400
71	um	um	DET	DET	_	72	det	_	TokenRange=401:403
72	esquema	esquema	NOUN	NOUN	_	69	nmod	_	TokenRange=404:411
73	de	de	ADP	ADP	_	74	case	_	TokenRange=412:414
74	corrupcao	corrupcao	NOUN	NOUN	_	72	nmod	_	TokenRange=415:424
75	em	em	ADP	ADP	_	76	case	_	TokenRange=425:427
76	cobrancas	cobranca	NOUN	NOUN	_	74	nmod	_	TokenRange=428:437
77	judiciais	judicial	ADJ	ADJ	_	76	amod	_	TokenRange=438:447
78	de	de	ADP	ADP	_	79	case	_	TokenRange=448:450
79	royalties	_	NOUN	NOUN	_	76	nmod	_	TokenRange=451:460
80-81	da	_	_	_	_	_	_	_	TokenRange=461:463
80	de	de	ADP	ADP	_	82	case	_	_
81	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	82	det	_	_
82	exploracao	exploracao	NOUN	NOUN	_	79	nmod	_	TokenRange=464:474
83	mineral	mineral	ADJ	ADJ	_	82	amod	_	TokenRange=475:482
84	eu	_	PRON	PRON	_	85	nsubj	_	TokenRange=483:485
85	sei	saber	VERB	VERB	_	76	acl:relcl	_	TokenRange=486:489
86	o	o	DET	DET	_	87	det	_	TokenRange=490:491
87	poder	poder	NOUN	NOUN	_	85	obj	_	TokenRange=492:497
88-89	das	_	_	_	_	_	_	_	TokenRange=498:501
88	de	de	ADP	ADP	_	90	case	_	_
89	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	90	det	_	_
90	trevas	treva	NOUN	NOUN	_	87	nmod	_	TokenRange=502:508
91	afirmou	afirmar	VERB	VERB	_	3	parataxis	_	TokenRange=509:516
92	em	em	ADP	ADP	_	93	case	_	TokenRange=517:519
93	audio	audio	NOUN	NOUN	_	91	nmod	_	TokenRange=520:525
94	malafaia	malafaia	NOUN	NOUN	_	91	obj	_	TokenRange=526:534
95	e	e	CCONJ	CONJ	_	96	cc	_	TokenRange=535:536
96	suspeito	suspeito	ADJ	ADJ	_	94	conj	_	TokenRange=537:545
97	de	_	ADP	ADP	_	98	mark	_	TokenRange=546:548
98	apoiar	apoiar	VERB	VERB	_	96	nmod	_	TokenRange=549:555
99-100	na	_	_	_	_	_	_	_	TokenRange=556:558
99	em	em	ADP	ADP	_	101	case	_	_
100	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	101	det	_	_
101	lavagem	lavagem	NOUN	NOUN	_	98	nmod	_	TokenRange=559:566
102-103	do	_	_	_	_	_	_	_	TokenRange=567:569
102	de	de	ADP	ADP	_	104	case	_	_
103	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	104	det	_	_
104	dinheiro	dinheiro	NOUN	NOUN	_	101	nmod	_	TokenRange=570:578
105-106	do	_	_	_	_	_	_	_	TokenRange=579:581
105	de	de	ADP	ADP	_	107	case	_	_
106	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	107	det	_	_
107	esquema	esquema	NOUN	NOUN	_	101	nmod	_	TokenRange=582:589
108	que	_	PRON	PRON	_	109	nsubj	_	TokenRange=590:593
109	recebeu	receber	VERB	VERB	_	107	acl:relcl	_	TokenRange=594:601
110	valores	_	NOUN	NOUN	_	109	obj	_	TokenRange=602:609
111-112	do	_	_	_	_	_	_	_	TokenRange=610:612
111	de	de	ADP	ADP	_	114	case	_	_
112	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	114	det	_	_
113	principal	principal	ADJ	ADJ	_	114	amod	_	TokenRange=613:622
114	escritorio	escritorio	NOUN	NOUN	_	110	nmod	_	TokenRange=623:633
115	de	de	ADP	ADP	_	116	case	_	TokenRange=634:636
116	advocacia	advocacia	NOUN	NOUN	_	114	nmod	_	TokenRange=637:646
117	investigado	investigar	VERB	VERB	_	107	acl	_	TokenRange=647:658
118	a	o	DET	DET	_	119	det	_	TokenRange=659:660
119	suspeita	_	NOUN	NOUN	_	22	obj	_	TokenRange=661:669
120	a	_	ADP	ADP	_	122	mark	_	TokenRange=670:671
121	ser	ser	AUX	AUX	_	122	aux:pass	_	TokenRange=672:675
122	esclarecida	esclarecer	VERB	VERB	_	119	acl:inf	_	TokenRange=676:687
123-124	pelos	_	_	_	_	_	_	_	TokenRange=688:693
123	por	por	ADP	ADP	_	125	case	_	_
124	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	125	det	_	_
125	policiais	policial	NOUN	NOUN	_	26	nmod	_	TokenRange=694:703
126	e	e	CCONJ	CONJ	_	133	cc	_	TokenRange=704:705
127	que	que	CCONJ	CONJ	_	133	mark	_	TokenRange=706:709
128	este	_	DET	DET	_	129	det	_	TokenRange=710:714
129	lider	lider	NOUN	NOUN	_	133	nsubj	_	TokenRange=715:720
130	religioso	religioso	ADJ	ADJ	_	129	amod	_	TokenRange=721:730
131	pode	_	AUX	AUX	_	133	aux	_	TokenRange=731:735
132	ter	ter	AUX	AUX	_	133	aux	_	TokenRange=736:739
133	emprestado	emprestar	VERB	VERB	_	175	conj	_	TokenRange=740:750
134	contas	conta	NOUN	NOUN	_	133	obj	_	TokenRange=751:757
135	correntes	corrente	ADJ	ADJ	_	134	amod	_	TokenRange=758:767
136	de	de	ADP	ADP	_	138	case	_	TokenRange=768:770
137	uma	um	DET	DET	_	138	det	_	TokenRange=771:774
138	instituicao	instituicao	NOUN	NOUN	_	134	nmod	_	TokenRange=775:786
139	religiosa	religioso	ADJ	ADJ	_	138	amod	_	TokenRange=787:796
140	sob	_	ADP	ADP	_	142	case	_	TokenRange=797:800
141	sua	_	DET	DET	_	142	det:poss	_	TokenRange=801:804
142	influencia	_	NOUN	NOUN	_	138	nmod	_	TokenRange=805:815
143	com	_	ADP	ADP	_	147	mark	_	TokenRange=816:819
144	a	_	DET	DET	_	143	fixed	_	TokenRange=820:821
145	intencao	intencao	NOUN	NOUN	_	143	fixed	_	TokenRange=822:830
146	de	_	ADP	ADP	_	143	fixed	_	TokenRange=831:833
147	ocultar	ocultar	VERB	VERB	_	133	advcl	_	TokenRange=834:841
148	a	o	DET	DET	_	149	det	_	TokenRange=842:843
149	origem	origem	NOUN	NOUN	_	147	obj	_	TokenRange=844:850
150	ilicita	ilicito	ADJ	ADJ	_	149	amod	_	TokenRange=851:858
151-152	dos	_	_	_	_	_	_	_	TokenRange=859:862
151	de	de	ADP	ADP	_	153	case	_	_
152	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	153	det	_	_
153	valores	_	NOUN	NOUN	_	149	nmod	_	TokenRange=863:870
154	a	o	DET	DET	_	155	det	_	TokenRange=871:872
155	justica	_	NOUN	NOUN	_	156	nsubj	_	TokenRange=873:880
156	expediu	expedir	VERB	VERB	_	22	ccomp	_	TokenRange=881:888
157	mandado	mandado	NOUN	NOUN	_	156	obj	_	TokenRange=889:896
158	de	de	ADP	ADP	_	159	case	_	TokenRange=897:899
159	conducao	conducao	NOUN	NOUN	_	157	nmod	_	TokenRange=900:908
160	coercitiva	coercitivo	ADJ	ADJ	_	159	amod	_	TokenRange=909:919
161-162	do	_	_	_	_	_	_	_	TokenRange=920:922
161	de	de	ADP	ADP	_	163	case	_	_
162	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	163	det	_	_
163	pastor	pastor	NOUN	NOUN	_	159	nmod	_	TokenRange=923:929
164	para	para	ADP	ADP	_	166	case	_	TokenRange=930:934
165	o	o	DET	DET	_	166	det	_	TokenRange=935:936
166	rio	rio	NOUN	NOUN	_	156	nmod	_	TokenRange=937:940
167	em	em	ADP	ADP	_	169	case	_	TokenRange=941:943
168	sua	_	DET	DET	_	169	det:poss	_	TokenRange=944:947
169	conta	conta	NOUN	NOUN	_	156	nmod	_	TokenRange=948:953
170-171	na	_	_	_	_	_	_	_	TokenRange=954:956
170	em	em	ADP	ADP	_	172	case	_	_
171	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	172	det	_	_
172	rede	rede	NOUN	NOUN	_	169	nmod	_	TokenRange=957:961
173	social	social	ADJ	ADJ	_	172	amod	_	TokenRange=962:968
174	malafaia	malafaia	NOUN	NOUN	_	175	nsubj	_	TokenRange=969:977
175	declarou	declarar	VERB	VERB	_	57	parataxis	_	TokenRange=978:986
176	estar	estar	VERB	VERB	_	175	xcomp	_	TokenRange=987:992
177	em	em	ADP	ADP	_	178	case	_	TokenRange=993:995
178	sao	sao	NOUN	NOUN	_	176	nmod	_	TokenRange=996:999
179	paulo	paulo	NOUN	NOUN	_	178	flat	_	TokenRange=1000:1005
180-181	nas	_	_	_	_	_	_	_	TokenRange=1006:1009
180	em	em	ADP	ADP	_	182	case	_	_
181	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	182	det	_	_
182	mensagens	mensagem	NOUN	NOUN	_	176	nmod	_	TokenRange=1010:1019
183	que	_	PRON	PRON	_	184	obj	_	TokenRange=1020:1023
184	escreveu	escrever	VERB	VERB	_	182	acl:relcl	_	TokenRange=1024:1032
185	a	_	ADP	ADP	_	187	case	_	TokenRange=1033:1034
186	seus	_	DET	DET	_	187	det:poss	_	TokenRange=1035:1039
187	seguidores	seguidor	NOUN	NOUN	_	184	iobj	_	TokenRange=1040:1050
188-189	no	_	_	_	_	_	_	_	TokenRange=1051:1053
188	em	em	ADP	ADP	_	190	case	_	_
189	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	190	det	_	_
190	twitter	_	PROPN	PNOUN	_	184	nmod	_	TokenRange=1054:1061
191	malafaia	_	NOUN	NOUN	_	192	nsubj	_	TokenRange=1062:1070
192	negou	negar	VERB	VERB	_	175	ccomp	_	TokenRange=1071:1076
193	as	o	DET	DET	_	194	det	_	TokenRange=1077:1079
194	suspeitas	_	NOUN	NOUN	_	192	obj	_	TokenRange=1080:1089
195	e	e	CCONJ	CONJ	_	196	cc	_	TokenRange=1090:1091
196	mirou	mirar	VERB	VERB	_	192	conj	_	TokenRange=1092:1097
197	tambem	tambem	ADV	ADV	_	196	advmod	_	TokenRange=1098:1104
198-199	nos	_	_	_	_	_	_	_	TokenRange=1105:1108
198	em	em	ADP	ADP	_	200	case	_	_
199	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	200	det	_	_
200	esquerdopatas	esquerdopata	NOUN	NOUN	_	196	nmod	_	TokenRange=1109:1122
201	aviso	aviso	NOUN	NOUN	_	196	obj	_	TokenRange=1123:1128
202-203	aos	_	_	_	_	_	_	_	TokenRange=1129:1132
202	a	a	ADP	ADP	_	204	case	_	_
203	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	204	det	_	_
204	esquerdopatas	esquerdopata	NOUN	NOUN	_	201	nmod	_	TokenRange=1133:1146
205	n	_	ADV	CONJ	_	207	advmod	_	TokenRange=1147:1148
206	fui	_	AUX	AUX	_	207	aux:pass	_	TokenRange=1149:1152
207	delatado	delatar	VERB	VERB	_	192	conj	_	TokenRange=1153:1161
208	por	por	ADP	ADP	_	209	case	_	TokenRange=1162:1165
209	ninguem	_	PRON	PRON	_	207	nmod	_	TokenRange=1166:1173
210	n	_	X	CONJ	_	211	nsubj	_	TokenRange=1174:1175
211	estou	estar	VERB	VERB	_	192	conj	_	TokenRange=1176:1181
212	envolvido	envolvido	ADJ	ADJ	_	211	xcomp	_	TokenRange=1182:1191
213	em	_	ADP	ADP	_	215	mark	_	TokenRange=1192:1194
214	nada	_	PRON	PRON	_	215	nsubj	_	TokenRange=1195:1199
215	querer	querer	VERB	VERB	_	212	nmod	_	TokenRange=1200:1206
216	me	_	PRON	PRON	_	217	obj	_	TokenRange=1207:1209
217	comparar	comparar	VERB	VERB	_	215	xcomp	_	TokenRange=1210:1218
218	com	com	ADP	ADP	_	219	case	_	TokenRange=1219:1222
219	petistas	petista	NOUN	NOUN	_	217	nmod	_	SpacesAfter=\s\s|TokenRange=1223:1231

