# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = brasilia na esteira do crime organizado que promove massacres em presidios e duela para assumir o comando do trafico em todo o pais uma nova faccao criminosa tenta controlar uma das maiores favelas da america latina a comunidade sol nascente a apenas 32 quilometros da praca dos tres poderes onde se tomam todas as decisoes da republica as drogas no entanto deixaram de
1	brasilia	brasilia	NOUN	NOUN	_	0	root	_	TokenRange=0:8
56	poderes	_	NOUN	NOUN	_	52	nmod	_	TokenRange=284:291
57	onde	onde	ADV	ADV	_	59	advmod	_	TokenRange=292:296
58	se	_	PART	PRT	_	59	expl:pv	_	TokenRange=297:299
59	tomam	tomar	VERB	VERB	_	52	acl:relcl	_	TokenRange=300:305
60	todas	_	DET	DET	_	62	det	_	TokenRange=306:311
61	as	o	DET	DET	_	62	det	_	TokenRange=312:314
62	decisoes	decisoe	NOUN	NOUN	_	59	nsubj	_	TokenRange=315:323
63-64	da	_	_	_	_	_	_	_	TokenRange=324:326
63	de	de	ADP	ADP	_	65	case	_	_
64	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	65	det	_	_
65	republica	_	NOUN	NOUN	_	62	nmod	_	TokenRange=327:336
66	as	o	DET	DET	_	67	det	_	TokenRange=337:339
67	drogas	droga	NOUN	NOUN	_	71	nsubj	_	TokenRange=340:346
68-69	no	_	_	_	_	_	_	_	TokenRange=347:349
68	em	em	ADP	ADP	_	70	case	_	_
69	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	70	det	_	_
70	entanto	entanto	ADV	ADV	_	71	nmod	_	TokenRange=350:357
71	deixaram	deixar	VERB	VERB	_	31	parataxis	_	TokenRange=358:366
72	de	_	ADP	ADP	_	70	mark	_	SpacesAfter=\s\s|TokenRange=367:369

