# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = usar bitcoin como dinheiro e vantajoso g1 foi as compras e mostra o resultado reporter do g1 abasteceu uma carteira virtual e foi atras de lojas que aceitam a criptomoeda em sao paulo e no comercio eletronico ha poucas opcoes e produto custou ate 60 mais e se em vez de pagar nossas compras com dinheiro cartao ou cheque usassemos bitcoins a moeda virtual atraiu milhares de brasileiros nos ultimos meses animados com a valorizacao expressiva registrada recentemente mas afinal o que da para comprar com essa moeda o bitcoin teve uma expressiva valorizacao em 2017 com a moeda comecando o ano cotada a us 998 e chegando a valer quase us 20 mil no fim do ano passado no inicio de 2018 o valor da moeda t eve uma brusca queda chegando a
1	usar	usar	VERB	VERB	_	8	csubj	_	TokenRange=0:4
90	com	com	ADP	ADP	_	92	case	_	TokenRange=500:503
91	essa	_	DET	DET	_	92	det	_	TokenRange=504:508
92	moeda	moeda	NOUN	NOUN	_	89	nmod	_	TokenRange=509:514
93	o	o	DET	DET	_	94	det	_	TokenRange=515:516
94	bitcoin	bitcoin	NOUN	NOUN	_	95	nsubj	_	TokenRange=517:524
95	teve	ter	VERB	VERB	_	67	conj	_	TokenRange=525:529
96	uma	um	DET	DET	_	98	det	_	TokenRange=530:533
97	expressiva	expressivo	ADJ	ADJ	_	98	amod	_	TokenRange=534:544
98	valorizacao	valorizacao	NOUN	NOUN	_	95	obj	_	TokenRange=545:556
99	em	em	ADP	ADP	_	100	case	_	TokenRange=557:559
100	2017	_	NUM	NUM	NumType=Card	95	nmod	_	TokenRange=560:564
101	com	com	ADP	ADP	_	103	case	_	TokenRange=565:568
102	a	o	DET	DET	_	103	det	_	TokenRange=569:570
103	moeda	moeda	NOUN	NOUN	_	95	nmod	_	TokenRange=571:576
104	comecando	comecar	VERB	VERB	_	103	acl	_	TokenRange=577:586
105	o	o	DET	DET	_	106	det	_	TokenRange=587:588
106	ano	ano	NOUN	NOUN	_	104	obj	_	TokenRange=589:592
107	cotada	cotado	ADJ	ADJ	_	104	xcomp	_	TokenRange=593:599
108	a	_	ADP	ADP	_	109	case	_	TokenRange=600:601
109	us	_	PROPN	PNOUN	_	107	nmod	_	TokenRange=602:604
110	998	_	NUM	NUM	NumType=Card	109	appos	_	TokenRange=605:608
111	e	e	CCONJ	CONJ	_	114	cc	_	TokenRange=609:610
112	chegando	chegar	AUX	AUX	_	114	aux	_	TokenRange=611:619
113	a	_	ADP	ADP	_	114	mark	_	TokenRange=620:621
114	valer	valer	VERB	VERB	_	95	conj	_	TokenRange=622:627
115	quase	quase	ADV	ADV	_	118	advmod	_	TokenRange=628:633
116	us	_	NOUN	NOUN	_	114	obj	_	TokenRange=634:636
117	20	_	NUM	NUM	NumType=Card	118	nummod	_	TokenRange=637:639
118	mil	_	NUM	NUM	NumType=Card	116	nummod	_	TokenRange=640:643
119-120	no	_	_	_	_	_	_	_	TokenRange=644:646
119	em	em	ADP	ADP	_	121	case	_	_
120	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	121	det	_	_
121	fim	fim	NOUN	NOUN	_	114	nmod	_	TokenRange=647:650
122-123	do	_	_	_	_	_	_	_	TokenRange=651:653
122	de	de	ADP	ADP	_	124	case	_	_
123	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	124	det	_	_
124	ano	ano	NOUN	NOUN	_	121	nmod	_	TokenRange=654:657
125	passado	passado	ADJ	ADJ	_	124	amod	_	TokenRange=658:665
126-127	no	_	_	_	_	_	_	_	TokenRange=666:668
126	em	em	ADP	ADP	_	128	case	_	_
127	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	128	det	_	_
128	inicio	_	NOUN	NOUN	_	114	nmod	_	TokenRange=669:675
129	de	de	ADP	ADP	_	130	case	_	TokenRange=676:678
130	2018	_	NUM	NUM	NumType=Card	128	nmod	_	TokenRange=679:683
131	o	o	DET	DET	_	132	det	_	TokenRange=684:685
132	valor	valor	NOUN	NOUN	_	137	nsubj	_	TokenRange=686:691
133-134	da	_	_	_	_	_	_	_	TokenRange=692:694
133	de	de	ADP	ADP	_	135	case	_	_
134	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	135	det	_	_
135	moeda	moeda	NOUN	NOUN	_	132	nmod	_	TokenRange=695:700
136	t	t	NOUN	NOUN	_	135	appos	_	TokenRange=701:702
137	eve	ever	VERB	VERB	_	95	parataxis	_	TokenRange=703:706
138	uma	um	DET	DET	_	140	det	_	TokenRange=707:710
139	brusca	brusco	ADJ	ADJ	_	140	amod	_	TokenRange=711:717
140	queda	queda	NOUN	NOUN	_	137	obj	_	TokenRange=718:723
141	chegando	chegar	VERB	VERB	_	140	acl	_	TokenRange=724:732
142	a	_	ADP	ADP	_	54	mark	_	SpacesAfter=\s\s|TokenRange=733:734

