1 fugiu fugir 0 VERB root
169 zelotes zelote 168 NOUN flat
170 o o 171 DET det
171 imovel imovel 89 NOUN obj
172 onde onde 175 ADV advmod
173 luis luis 175 NOUN nsubj
174 claudio claudio 173 NOUN flat
175 mora morar 171 VERB acl:relcl
176 e e 177 CCONJ cc
177 emprestado emprestado 175 VERB conj
178 de de 180 ADP case
179 o o 180 DET det
180 advogado advogado 177 NOUN nmod
181 roberto roberto 180 NOUN appos
182 teixeira teixeira 181 PROPN flat
183 que que 184 PRON nsubj
184 defende defender 180 VERB acl:relcl
185 lula lula 184 NOUN obj
186 leia ler 184 VERB ccomp
187 tambem tambem 186 ADV advmod
