1 tempestade tempestade 7 NOUN nsubj
125 primeiro primeiro 32 ADV advmod
126 se se 127 PRON expl:pv
127 calou calar 32 VERB conj
128 diante diante 127 ADV advmod
129 de de 131 ADP case
130 os o 131 DET det
131 petistas petista 128 NOUN nmod
132 envolvidos envolver 131 VERB acl
133 em em 134 ADP case
134 corrupcao corrupcao 132 NOUN nmod
135 e e 138 CCONJ cc
136 agora agora 138 ADV advmod
137 se se 138 PRON expl:pv
138 calou calar 47 VERB conj
139 mais mais 140 ADV advmod
140 uma uma 141 NUM nummod
141 vez vez 138 NOUN nmod
142 quando quando 143 CCONJ mark
143 prenderam prender 47 VERB advcl
144 um um 145 DET det
145 membro membro 143 NOUN obj
146 de de 148 ADP case
147 o o 148 DET det
148 partido partido 145 NOUN nmod
149 dele dele 148 X det:poss
150 o o 151 DET det
151 senado senado 167 NOUN nsubj
152 nao nao 153 ADV advmod
153 esta esta 32 VERB conj
154 manchado manchado 153 ADJ xcomp
155 por por 157 ADP case
156 o o 157 DET det
157 fato fato 127 NOUN nmod
158 se se 161 CCONJ mark
159 um um 160 DET det
160 senador senador 161 NOUN nsubj
161 cometer cometer 157 VERB nmod
162 atos ato 241 NOUN obj
163 que que 167 PRON nsubj
164 nao nao 167 ADV advmod
165 deveria dever 167 AUX aux
166 ter ter 167 AUX aux
167 cometido cometer 162 VERB acl:relcl
168 o o 169 DET det
169 senado senado 167 NOUN nsubj
170 esta esta 60 VERB acl:relcl
171 desmoralizado desmoralizado 170 ADJ xcomp
172 por por 174 ADP case
173 a o 174 DET det
174 forma forma 300 NOUN nmod
175 que que 176 PRON dep
176 tiraram tirar 174 VERB acl:relcl
177 um um 178 DET det
178 politico politico 176 NOUN obj
179 eleito eleger 178 VERB acl
180 por por 182 ADP case
181 o o 182 DET det
182 voto voto 213 NOUN nmod
183 direto direto 182 ADJ amod
184 de de 186 ADP case
185 o o 186 DET det
186 povo povo 182 NOUN nmod
187 brasileiro brasileiro 186 ADJ amod
188 se se 189 CCONJ expl:pv
189 referindo referir 207 VERB advcl
190 a a 192 ADP case
191 os o 192 DET det
192 mandados mandado 189 NOUN nmod
193 de de 194 ADP case
194 busca busca 192 NOUN nmod
195 realizados realizar 192 VERB acl
196 por por 198 ADP case
197 a o 198 DET det
198 policia policia 195 NOUN nmod
199 federal federal 198 ADJ amod
200 em em 202 ADP case
201 as o 202 DET det
202 dependencias dependencia 241 NOUN nmod
203 de de 205 ADP case
204 o o 205 DET det
205 senado senado 202 NOUN nmod
206 federal federal 205 ADJ amod
207 veja ver 36 VERB acl:relcl
208 a o 209 DET det
209 integra integra 207 NOUN obj
210 de de 212 ADP case
211 a o 212 DET det
212 nota nota 209 NOUN nmod
213 divulgada divulgar 212 VERB acl
214 por por 216 ADP case
215 o o 216 DET det
216 presidente presidente 213 NOUN nmod
217 de de 219 ADP case
218 o o 219 DET det
219 pt pt 216 NOUN nmod
220 o o 221 DET det
221 presidente presidente 127 NOUN nsubj
222 nacional nacional 221 ADJ amod
223 de de 225 ADP case
224 o o 225 DET det
225 pt pt 221 PROPN nmod
226 perplexo perplexo 221 ADJ amod
227 com com 229 ADP case
228 os o 229 DET det
229 fatos fato 226 NOUN nmod
230 que que 231 PRON nsubj
231 ensejaram ensejar 229 VERB acl:relcl
232 a o 233 DET det
233 decisao decisao 231 NOUN obj
234 de de 237 ADP case
235 o o 237 DET det
236 supremo supremo 237 ADJ amod
237 tribunal tribunal 233 NOUN nmod
238 federal federal 237 ADJ amod
239 stf stf 39 NOUN appos
240 de de 241 ADP mark
241 ordenar ordenar 239 VERB nmod
242 a o 243 DET det
243 prisao prisao 241 NOUN obj
244 de de 246 ADP case
245 o o 246 DET det
246 senador senador 243 NOUN nmod
247 delcidio delcidio 246 ADJ appos
248 de de 250 ADP case
249 o o 250 DET det
250 amaral amaral 247 NOUN nmod
251 tem ter 253 AUX aux
252 a a 253 ADP mark
253 dizer dizer 58 VERB ccomp
254 o o 255 DET det
255 seguinte seguinte 253 NOUN obj
256 1 1 265 NUM nsubj
257 nenhuma nenhuma 265 PRON nsubj
258 de de 260 ADP case
259 as o 260 DET det
260 tratativas tratativas 257 NOUN nmod
261 atribuidas atribuir 260 VERB acl
262 a a 264 ADP case
263 o o 264 DET det
264 senador senador 261 NOUN nmod
265 tem ter 61 VERB conj
266 qualquer qualquer 267 DET det
267 relacao relacao 265 NOUN obj
268 com com 270 ADP case
269 sua sua 270 DET det:poss
270 atividade atividade 267 NOUN nmod
271 partidaria partidar 270 ADJ amod
272 seja ser 274 VERB cc
273 como como 274 ADP case
274 parlamentar parlamentar 61 NOUN nmod
275 ou ou 278 CCONJ cc
276 como como 278 ADP case
277 simples simples 278 ADJ amod
278 filiado filiado 274 NOUN conj
279 2 2 287 NUM nsubj
280 por por 281 ADP case
281 isso isso 287 PRON nmod
282 mesmo mesmo 287 ADJ xcomp
283 o o 284 DET det
284 pt pt 287 PROPN nsubj
285 nao nao 287 ADV advmod
286 se se 287 PART expl:pv
287 julga julgar 265 VERB conj
288 obrigado obrigado 287 ADJ xcomp
289 a a 291 ADP case
290 qualquer qualquer 291 DET det
291 gesto gesto 288 NOUN nmod
292 de de 293 ADP case
293 solidariedade solidariedade 291 NOUN nmod
294 3 3 287 NUM nsubj
295 a o 296 DET det
296 presidencia presidencia 300 NOUN nsubj
297 de de 299 ADP case
298 o o 299 DET det
299 pt pt 296 PROPN nmod
300 convocara convocar 287 VERB parataxis
301 em em 303 ADP case
302 curto curto 303 ADJ amod
303 espaco espaco 300 NOUN nmod
304 de de 305 ADP case
305 tempo tempo 303 NOUN nmod
306 reuniao reuniao 300 NOUN obj
307 de de 309 ADP case
308 a o 309 DET det
309 comissao comissao 306 NOUN nmod
310 executiva executivo 309 ADJ amod
311 nacional nacional 309 ADJ amod
312 para para 313 ADP mark
313 adotar adotar 300 VERB advcl
314 medidas medida 313 NOUN obj
315 que que 319 PRON obj
316 a o 317 DET det
317 direcao direcao 319 NOUN nsubj
318 partidaria partidar 317 ADJ amod
319 julgar julgar 314 VERB acl:relcl
320 cabiveis cabivel 319 ADJ xcomp
321 brasilia brasilia 319 NOUN nmod
322 25 25 321 NUM nmod
323 de de 324 ADP case
324 novembro novembro 322 PROPN nmod
325 de de 326 ADP case
326 2015 2015 324 NUM nmod
327 rui rui 329 NOUN appos
328 falcao falcao 329 ADJ amod
329 presidente presidente 314 NOUN appos
330 nacional nacional 329 ADJ amod
331 de de 333 ADP case
332 o o 333 DET det
333 pt pt 329 PROPN nmod
