1 ha ha 0 VERB root
213 2011 2011 210 NUM nmod
214 e e 216 CCONJ cc
215 estava estar 216 AUX aux
216 fazendo fazer 114 VERB conj
217 um um 218 DET det
218 procedimento procedimento 216 NOUN obj
219 de de 220 ADP case
220 rotina rotina 218 NOUN nmod
221 disse dizer 1 VERB parataxis
222 a o 223 DET det
223 forcatarefa forcatarefa 221 NOUN nsubj
224 suspeita suspeita 221 VERB ccomp
225 que que 229 CCONJ mark
226 o o 227 DET det
227 exministro exministro 229 NOUN nsubj:pass
228 foi foi 229 AUX aux:pass
229 avisado avisar 224 VERB ccomp
230 sobre sobre 232 ADP case
231 a o 232 DET det
232 operacao operacao 229 NOUN nmod
233 de de 235 ADP case
234 a o 235 DET det
235 pf pf 232 NOUN nmod
236 em em 238 ADP case
237 seu seu 238 DET det:poss
238 apartamento apartamento 232 NOUN nmod
239 e e 243 CCONJ cc
240 por por 241 ADP case
241 isso isso 243 PRON nmod
242 teria ter 243 AUX aux
243 corrido correr 229 VERB conj
244 para para 246 ADP case
245 o o 246 DET det
246 hospital hospital 243 NOUN nmod
