1 olha olhar 0 VERB root
160 periodo periodo 156 NOUN nmod
161 de de 163 ADP case
162 a o 163 DET det
163 construcao construcao 160 NOUN nmod
164 com com 165 ADP case
165 emprestimos emprestimo 163 NOUN nmod
166 federais federal 165 ADJ amod
167 de de 169 ADP case
168 o o 169 DET det
169 estadio estadio 163 NOUN nmod
170 de de 172 ADP case
171 o o 172 DET det
172 clube clube 169 NOUN nmod
173 em em 174 ADP case
174 sao sao 163 PROPN nmod
175 paulo paulo 174 ADJ amod
176 de de 177 ADP case
177 2011 2011 12 NUM nmod
178 a a 179 ADP case
179 2014 2014 177 NUM nmod
180 a o 181 DET det
181 coincidencia coincidencia 184 NOUN nsubj
182 de de 183 ADP case
183 datas data 181 NOUN nmod
184 abrira abrir 95 VERB parataxis
185 uma um 187 DET det
186 nova novo 187 ADJ amod
187 frente frente 184 NOUN obj
188 de de 189 ADP case
189 investigacao investigacao 187 NOUN nmod
190 de de 192 ADP case
191 a o 192 DET det
192 policia policia 187 NOUN nmod
193 federal federal 192 ADJ amod
194 em em 196 ADP case
195 a o 196 DET det
196 zelotes zelote 73 NOUN nmod
197 segundo segundo 198 ADP case
198 investigadores investigador 184 NOUN nmod
199 o o 200 DET det
200 corinthians corinthians 208 NOUN nsubj
201 time time 200 NOUN appos
202 de de 203 ADP case
203 lula lula 201 NOUN nmod
204 o o 208 PRON obj
205 foi foi 208 AUX cop
206 o o 208 DET det
207 primeiro primeiro 208 ADJ amod
208 cliente cliente 95 NOUN ccomp
209 de de 211 ADP case
210 a o 211 DET det
211 carreira carreira 208 NOUN nmod
212 de de 213 ADP case
213 empresario empresario 211 NOUN nmod
214 de de 215 ADP case
215 marketing marketing 213 NOUN nmod
216 esportivo esportivo 215 ADJ amod
217 de de 218 ADP case
218 luis luis 213 NOUN nmod
219 claudio claudio 218 NOUN flat
220 iniciada iniciar 208 VERB acl
221 com com 223 ADP case
222 a o 223 DET det
223 criacao criacao 220 NOUN nmod
224 de de 226 ADP case
225 a o 226 DET det
226 empresa empresa 223 NOUN nmod
227 lft lft 226 PROPN appos
228 em em 229 ADP case
229 2011 2011 220 NUM nmod
230 em em 231 ADP case
231 novembro novembro 220 PROPN nmod
232 de de 233 ADP case
233 2015 2015 231 NUM nmod
234 a o 235 DET det
235 revista revista 208 NOUN nsubj
236 epoca epoca 235 NOUN appos
237 que que 238 PRON nsubj
238 teve ter 235 VERB acl:relcl
239 acesso acesso 238 NOUN obj
240 a a 242 ADP case
241 o o 242 DET det
242 depoimento depoimento 239 NOUN nmod
243 de de 244 ADP case
244 luis luis 242 NOUN nmod
245 claudio claudio 244 NOUN flat
246 a a 247 ADP case
247 pf pf 238 NOUN iobj
248 revelou revelar 95 VERB ccomp
249 que que 254 CCONJ mark
250 o o 251 DET det
251 filho filho 254 NOUN nsubj
252 de de 253 ADP case
253 lula lula 251 NOUN nmod
254 afirmou afirmar 248 VERB ccomp
255 ter ter 256 AUX aux
256 recebido receber 254 VERB xcomp
257 a a 259 ADP case
258 o o 259 DET det
259 menos menos 262 ADV advmod
260 r r 256 NOUN obj
261 300 300 262 NUM nummod
262 mil mil 260 NUM nummod
263 por por 264 ADP case
264 ano ano 256 NOUN nmod
265 de de 267 ADP case
266 o o 267 DET det
267 corinthians corinthians 264 NOUN nmod
268 neste neste 269 ADP case
269 periodo periodo 256 NOUN nmod
