1 governo governo 3 NOUN nsubj
202 ministro ministro 204 NOUN nsubj
203 aloysio aloysio 202 ADJ amod
204 declarou declarar 250 VERB parataxis
205 ha ha 204 VERB ccomp
206 interesse interesse 205 NOUN obj
207 russo russo 206 ADJ amod
208 em em 209 ADP mark
209 participar participar 206 VERB nmod
210 de de 212 ADP case
211 nosso nosso 212 DET det:poss
212 programa programa 209 NOUN nmod
213 nuclear nuclear 212 ADJ amod
214 de de 215 ADP case
215 angra angra 212 NOUN nmod
216 3 3 215 NUM appos
217 ha ha 3 VERB parataxis
218 a o 219 DET det
219 hipotese hipotese 217 NOUN obj
220 de de 221 ADP mark
221 continuar continuar 219 VERB nmod
222 angra angra 221 NOUN obj
223 3 3 222 NUM appos
224 e e 227 CCONJ cc
225 a o 227 DET det
226 russia russia 227 NOUN nsubj
227 tem ter 45 VERB conj
228 tecnologia tecnologia 227 NOUN obj
229 para para 230 ADP case
230 isso isso 228 PRON nmod
231 pois pois 250 CCONJ mark
232 bem bem 250 ADV advmod
233 o o 287 PRON nsubj:pass
234 que que 239 PRON obj
235 a o 236 DET det
236 russia russia 239 NOUN nsubj
237 em em 239 ADP case
238 os o 239 PRON obj
239 ofereceu oferecer 233 VERB acl:relcl
240 em em 241 ADP case
241 troca troca 239 NOUN nmod
242 de de 243 ADP mark
243 participar participar 241 VERB nmod
244 de de 246 ADP case
245 o o 246 DET det
246 enriquecimento enriquecimento 243 NOUN nmod
247 de de 248 ADP case
248 uranio uranio 246 NOUN nmod
249 aloysio aloysio 42 ADJ amod
250 anunciou anunciar 45 VERB advcl
251 que que 83 CCONJ mark
252 o o 253 DET det
253 brasileiro brasileiro 287 NOUN nsubj:pass
254 eduardo eduardo 253 NOUN appos
255 chianca chianca 254 NOUN flat
256 rocha rocha 254 NOUN appos
257 67 67 254 NUM appos
258 que que 259 PRON nsubj
259 esta esta 253 VERB acl:relcl
260 preso preso 259 ADJ xcomp
261 em em 263 ADP case
262 a o 263 DET det
263 russia russia 260 NOUN nmod
264 desde desde 265 ADP case
265 agosto agosto 259 PROPN nmod
266 de de 267 ADP case
267 2016 2016 265 NUM nmod
268 por por 269 ADP mark
269 portar portar 259 VERB advcl
270 cha cha 269 NOUN obj
271 de de 272 ADP case
272 ayahuasca ayahuasca 270 NOUN nmod
273 podera podera 274 AUX aux
274 cumprir cumprir 250 VERB ccomp
275 o o 276 DET det
276 restante restante 274 NOUN obj
277 de de 279 ADP case
278 sua sua 279 DET det:poss
279 pena pena 276 NOUN nmod
280 em em 282 ADP case
281 o o 282 DET det
282 brasil brasil 318 NOUN nmod
283 a o 284 DET det
284 condenacao condenacao 287 NOUN nsubj:pass
285 dele dele 284 X det:poss
286 foi foi 287 AUX aux:pass
287 reduzida reduzir 250 VERB ccomp
288 para para 290 ADP case
289 tres tres 290 NUM nummod
290 anos ano 287 NOUN nmod
291 e e 293 CCONJ cc
292 me me 293 PRON obj
293 entendi entender 287 VERB conj
294 com com 296 ADP case
295 o o 296 DET det
296 lavrov lavrov 293 NOUN nmod
297 para para 301 ADP mark
298 que que 297 CCONJ fixed
299 ele ele 301 PRON nsubj
300 possa possa 301 AUX aux
301 cumprir cumprir 318 VERB advcl
302 a o 303 DET det
303 pena pena 301 NOUN obj
304 em em 306 ADP case
305 o o 306 DET det
306 brasil brasil 301 NOUN nmod
307 disse dizer 287 VERB conj
308 o o 309 DET det
309 ministro ministro 307 NOUN nsubj
310 brasileiro brasileiro 309 ADJ amod
311 nada nada 309 PRON appos
312 contra contra 314 ADP case
313 esse esse 314 DET det
314 pesquisador pesquisador 311 NOUN nmod
315 uma um 316 DET det
316 vida vida 318 NOUN nsubj
317 humana humano 316 ADJ amod
318 vale vale 250 VERB ccomp
319 mais mais 318 ADV advmod
320 de de 324 ADP case
321 o o 324 DET det
322 que que 320 ADP fixed
323 qualquer qualquer 324 DET det
324 coisa coisa 319 NOUN nmod
325 mas mas 326 CCONJ cc
326 sera sera 287 VERB conj
327 que que 331 CCONJ mark
328 o o 329 DET det
329 brasil brasil 331 NOUN nsubj
330 nao nao 331 ADV advmod
331 tem ter 326 VERB csubj
332 culhao culhao 331 NOUN obj
333 para para 334 ADP mark
334 negociar negociar 331 VERB advcl
335 a o 336 DET det
336 soltura soltura 334 NOUN obj
337 de de 339 ADP case
338 um um 339 DET det
339 preso preso 336 NOUN nmod
340 precisa precisar 326 VERB csubj
341 entregar entregar 340 VERB xcomp
342 parte parte 341 NOUN obj
343 de de 345 ADP case
344 uma um 345 DET det
345 usina usina 342 NOUN nmod
346 o o 347 DET det
347 lula lula 348 NOUN nsubj
348 tem ter 340 VERB parataxis
349 todos todos 351 DET det
350 os o 351 DET det
351 defeitos defeito 348 NOUN obj
352 mas mas 355 CCONJ cc
353 jamais jamais 355 ADV advmod
354 teria ter 355 AUX aux
355 ficado ficar 348 VERB conj
356 de de 357 ADP case
357 quatro quatro 355 NUM nmod
358 para para 360 ADP case
359 os o 360 DET det
360 russos russo 355 NOUN nmod
