1 porque porque 5 CCONJ mark
101 de de 103 ADP case
102 o o 103 DET det
103 jovelino jovelino 100 NOUN nmod
104 mineiro mineiro 103 ADJ amod
105 em em 107 ADP case
106 a o 107 DET det
107 verdade verdade 180 NOUN nmod
108 ele ele 114 PRON nsubj
109 e e 112 CCONJ cc
110 de de 112 ADP case
111 o o 112 DET det
112 fernando fernando 35 NOUN conj
113 henrique henrique 112 NOUN flat
114 afirmou afirmar 20 VERB conj
115 e e 118 CCONJ cc
116 miriam miriam 114 PROPN nsubj
117 nao nao 118 ADV advmod
118 parou parar 114 VERB conj
119 por por 120 ADP mark
120 ai ai 118 ADV nmod
121 o o 122 DET det
122 jovelino jovelino 506 NOUN nsubj
123 e e 125 CCONJ cc
124 um um 125 DET det
125 exaluno exaluno 122 NOUN conj
126 e e 130 CCONJ cc
127 um um 128 DET det
128 operador operador 203 NOUN nsubj:pass
129 dele dele 128 X det:poss
130 sabe saber 60 VERB conj
131 aquele aquele 132 DET det
132 fazenda fazenda 130 NOUN obj
133 que que 137 PRON obj
134 o o 135 DET det
135 fernando fernando 137 NOUN nsubj
136 henrique henrique 135 NOUN flat
137 tem ter 132 VERB acl:relcl
138 perto perto 137 ADV advmod
139 de de 140 ADP case
140 brasilia brasilia 138 NOUN nmod
141 parece parecer 56 VERB ccomp
142 que que 143 CCONJ mark
143 esta esta 141 VERB ccomp
144 em em 145 ADP case
145 nome nome 143 NOUN nmod
146 de de 148 ADP case
147 o o 148 DET det
148 jovelino jovelino 145 NOUN nmod
149 mas mas 451 CCONJ cc
150 quem quem 151 PRON nsubj
151 comprou comprar 60 VERB conj
152 foi foi 154 AUX cop
153 o o 154 DET det
154 fernando fernando 264 NOUN obj
155 henrique henrique 154 NOUN flat
156 e e 158 CCONJ cc
157 eu eu 158 PRON nsubj
158 fui fui 60 VERB conj
159 junto junto 158 ADV advmod
160 quando quando 163 CCONJ mark
161 ele ele 163 PRON nsubj
162 foi foi 163 AUX aux
163 ver ver 158 VERB advcl
164 a o 165 DET det
165 fazenda fazenda 163 NOUN obj
166 estavamos estavar 163 VERB ccomp
167 eu eu 81 PRON nsubj
168 ele ele 173 PRON nsubj
169 e e 171 CCONJ cc
170 o o 171 DET det
171 beto beto 168 NOUN conj
172 carrero carrero 171 NOUN flat
173 completa completar 56 VERB ccomp
174 algum algum 175 DET det
175 problema problema 173 NOUN obj
176 com com 178 ADP case
177 as o 178 DET det
178 pessoas pessoa 175 NOUN nmod
179 que que 180 PRON nsubj
180 moram morar 178 VERB acl:relcl
181 em em 183 ADP case
182 a o 183 DET det
183 avenue avenue 180 NOUN nmod
184 foch foch 183 NOUN flat
185 em em 186 ADP case
186 paris paris 183 NOUN nmod
187 nenhum nenhum 188 DET det
188 problema problema 114 NOUN obj
189 exceto exceto 194 ADV mark
190 se se 189 CCONJ fixed
191 a o 192 DET det
192 pessoa pessoa 194 NOUN nsubj
193 nao nao 194 ADV advmod
194 tiver ter 141 VERB advcl
195 renda renda 194 NOUN obj
196 para para 197 ADP case
197 isso isso 195 PRON nmod
198 ou ou 203 CCONJ cc
199 se se 203 CCONJ mark
200 essa essa 201 DET det
201 renda renda 203 NOUN nsubj:pass
202 for for 203 AUX aux:pass
203 obtida obter 194 VERB conj
204 de de 205 ADP case
205 forma forma 203 NOUN nmod
206 ilegal ilegal 205 ADJ amod
207 quem quem 208 PRON nsubj
208 conhece conhecer 141 VERB csubj
209 esse esse 210 DET det
210 local local 208 NOUN obj
211 de de 212 ADP case
212 paris paris 210 NOUN nmod
213 muito muito 214 ADV advmod
214 bonito bonito 208 ADJ xcomp
215 e e 216 CCONJ cc
216 disputadissimo disputadissimo 214 ADJ conj
217 apesar apesar 220 ADV case
218 de de 217 ADP case
219 o o 217 DET det
220 metro metro 285 NOUN nmod
221 quadrado quadrado 220 ADJ amod
222 por por 224 ADP mark
223 la la 224 PRON nsubj
224 ser ser 285 VERB advcl
225 carissimo carissimo 224 ADJ xcomp
226 diz dizer 56 VERB ccomp
227 que que 231 CCONJ mark
228 a o 229 DET det
229 avenue avenue 231 NOUN nsubj
230 ja ja 231 ADV advmod
231 teve ter 226 VERB ccomp
232 como como 233 ADP case
233 moradores morador 231 NOUN nmod
234 alguns alguns 231 PRON obj
235 de de 237 ADP case
236 os o 237 DET det
237 carniceiros carniceiro 234 NOUN nmod
238 africanos africano 237 ADJ amod
239 ditadores ditador 237 ADJ amod
240 e e 241 CCONJ cc
241 gente gente 453 NOUN conj
242 rica rico 241 ADJ amod
243 mas mas 247 CCONJ cc
244 de de 247 ADP case
245 muito muito 246 ADV advmod
246 ma mo 247 ADJ amod
247 fama fama 242 NOUN conj
248 de de 249 ADP mark
249 certo certo 247 ADV nmod
250 que que 251 CCONJ mark
251 moram morar 141 VERB ccomp
252 la la 251 PRON obj
253 tambem tambem 251 ADV advmod
254 e e 338 CCONJ cc
255 provavelmente provavelmente 257 ADV advmod
256 sao sao 257 AUX cop
257 maioria maioria 60 NOUN conj
258 moradores morador 451 NOUN obj
259 honrados honrado 258 ADJ amod
260 e e 425 CCONJ cc
261 honestos honesto 420 ADJ conj
262 gente gente 453 NOUN conj
263 que que 264 PRON nsubj
264 tem ter 262 VERB acl:relcl
265 dinheiro dinheiro 264 NOUN obj
266 declarado declarar 265 VERB acl
267 e e 268 CCONJ cc
268 ganho ganhar 264 VERB conj
269 de de 270 ADP case
270 forma forma 268 NOUN nmod
271 limpa limpo 270 ADJ amod
272 e e 451 CCONJ cc
273 portanto portanto 451 ADV advmod
274 que que 276 PRON nsubj
275 nao nao 276 ADV advmod
276 deve dever 352 VERB conj
277 satisfacao satisfacao 276 NOUN obj
278 a a 279 ADP case
279 ninguem ninguem 276 PRON iobj
280 o o 281 DET det
281 expresidente expresidente 285 NOUN nsubj
282 fernando fernando 281 NOUN appos
283 henrique henrique 282 NOUN flat
284 cardoso cardoso 282 ADJ flat
285 tem ter 226 VERB ccomp
286 um um 287 DET det
287 apartamento apartamento 285 NOUN obj
288 em em 290 ADP case
289 a o 290 DET det
290 avenue avenue 287 NOUN nmod
291 foch foch 290 NOUN flat
292 so so 295 ADV advmod
293 agora agora 295 ADV advmod
294 porem porem 295 ADV advmod
295 admitiu admitir 285 VERB conj
296 isso isso 295 PRON nsubj
297 parece parecer 490 VERB ccomp
298 que que 299 CCONJ mark
299 comprou comprar 297 VERB ccomp
300 o o 301 DET det
301 apartamento apartamento 299 NOUN obj
302 de de 304 ADP case
303 um um 304 DET det
304 milionario milionario 301 NOUN nmod
305 brasileiro brasileiro 304 ADJ amod
306 que que 307 PRON nsubj
307 dizem dizer 304 VERB acl:relcl
308 ter ter 309 AUX aux
309 participado participar 307 VERB xcomp
310 de de 311 ADP case
311 operacoes operacoe 309 NOUN nmod
312 durante durante 314 ADP case
313 a o 314 DET det
314 ditadura ditadura 309 NOUN nmod
315 tudo tudo 316 PRON det
316 isso isso 506 PRON obj
317 quanto quanto 318 PRON nsubj
318 custou custar 316 VERB acl:relcl
319 o o 320 DET det
320 apartamento apartamento 318 NOUN obj
321 quando quando 194 CCONJ mark
322 e e 321 CCONJ conj
323 de de 324 ADP case
324 quem quem 326 PRON nmod
325 foi foi 326 AUX aux:pass
326 comprado comprar 264 VERB conj
327 e e 331 CCONJ cc
328 teoricamente teoricamente 331 ADV advmod
329 de de 331 ADP case
330 a o 331 DET det
331 conta conta 70 NOUN conj
332 de de 333 ADP case
333 fhc fhc 331 NOUN nmod
334 e e 338 CCONJ cc
335 eu eu 338 PRON nsubj
336 nao nao 338 ADV advmod
337 estou estar 338 AUX aux
338 insinuando insinuar 60 VERB conj
339 que que 341 CCONJ mark
340 ele ele 341 PRON nsubj
341 comprou comprar 338 VERB ccomp
342 esse esse 343 DET det
343 apartamento apartamento 341 NOUN obj
344 sem sem 345 ADP case
345 poder poder 341 NOUN nmod
346 ou ou 348 CCONJ cc
347 com com 348 ADP case
348 dinheiro dinheiro 345 NOUN conj
349 ilegal ilegal 348 ADJ amod
350 so so 352 ADV advmod
351 nao nao 352 ADV advmod
352 entendo entender 226 VERB ccomp
353 e e 355 CCONJ cc
354 o o 355 DET det
355 motivo motivo 453 NOUN conj
356 de de 358 ADP mark
357 ele ele 358 PRON nsubj
358 esconder esconder 355 VERB nmod
359 por por 361 ADP case
360 tanto tanto 361 DET det
361 tempo tempo 458 NOUN nmod
362 que que 363 CCONJ mark
363 tem ter 264 VERB ccomp
364 o o 365 DET det
365 apartamento apartamento 363 NOUN obj
366 de de 368 ADP case
367 durante durante 368 ADP case
368 anos ano 363 NOUN nmod
369 e e 370 CCONJ cc
370 anos ano 368 NOUN conj
371 afirmar afirmar 355 VERB nmod
372 que que 374 CCONJ mark
373 era era 374 AUX aux:pass
374 emprestado emprestado 371 VERB ccomp
375 e e 381 CCONJ cc
376 nossa nossa 377 DET det:poss
377 imprensa imprensa 381 NOUN nsubj
378 sic sic 381 ADV aux
379 sempre sempre 381 ADV advmod
380 ter ter 381 AUX aux
381 embarcado embarcar 81 VERB conj
382 nessa nessa 383 ADP case
383 historia historia 381 NOUN nmod
384 e e 386 CCONJ cc
385 jamais jamais 386 ADV advmod
386 explorado explorar 285 VERB conj
387 o o 388 DET det
388 fato fato 386 NOUN obj
389 como como 392 CCONJ mark
390 com com 391 ADP case
391 certeza certeza 502 NOUN nmod
392 exploraria explorar 388 VERB acl:relcl
393 se se 396 CCONJ mark
394 o o 395 DET det
395 apartamento apartamento 502 NOUN nsubj
396 fosse fosse 392 VERB ccomp
397 de de 399 ADP case
398 o o 399 DET det
399 lula lula 396 NOUN nmod
400 que que 402 PRON nsubj
401 tivesse ter 402 AUX aux
402 mentido mentir 399 VERB acl:relcl
403 sobre sobre 405 ADP mark
404 ser ser 405 AUX cop
405 proprietario proprietario 402 NOUN nmod
406 janio janio 405 NOUN appos
407 de de 408 ADP case
408 freitas freitas 406 NOUN nmod
409 sao sao 405 ADJ appos
410 paulo paulo 406 NOUN nmod
411 domingo domingo 405 PROPN nmod
412 12 12 411 NUM appos
413 de de 414 ADP case
414 janeiro janeiro 412 PROPN nmod
415 de de 416 ADP case
416 2003 2003 414 NUM nmod
417 o o 418 DET det
418 endereco endereco 506 NOUN nsubj
419 data data 506 NOUN parataxis
420 imprecisada imprecisado 419 ADJ amod
421 ou ou 422 CCONJ cc
422 imprecisavel imprecisavel 420 ADJ conj
423 e e 425 CCONJ cc
424 nao nao 425 ADV advmod
425 recente recente 420 ADJ conj
426 fernando fernar 506 VERB nsubj
427 henrique henrique 426 NOUN appos
428 cardoso cardoso 427 ADJ amod
429 em em 431 ADP case
430 o o 431 DET det
431 uso uso 426 NOUN nmod
432 de de 435 ADP case
433 toda toda 435 DET det
434 a o 435 DET det
435 simpatia simpatia 431 NOUN nmod
436 possivel possivel 435 ADJ amod
437 discorre discorrer 56 VERB parataxis
438 para para 440 ADP case
439 os o 440 DET det
440 comensais comensal 437 NOUN nmod
441 suas suas 442 DET det:poss
442 apreciacoes apreciacoe 437 NOUN obj
443 sobre sobre 444 ADP case
444 fatos fato 442 NOUN nmod
445 diversos diverso 444 ADJ amod
446 e e 447 CCONJ cc
447 pessoas pessoa 444 NOUN conj
448 varias varias 462 PRON appos
449 de de 450 ADP case
450 repente repente 448 NOUN nmod
451 intervem intervir 56 VERB parataxis
452 a o 453 DET det
453 mulher mulher 451 NOUN nsubj
454 de de 456 ADP case
455 um um 456 DET det
456 brasileiro brasileiro 453 NOUN nmod
457 renomado renomado 456 ADJ amod
458 ha ha 264 VERB advcl
459 muito muito 460 DET det
460 tempo tempo 458 NOUN nmod
461 e e 462 CCONJ cc
462 figura figura 453 NOUN conj
463 internacional internacional 462 ADJ amod
464 de de 466 ADP case
465 justo justo 466 ADJ amod
466 prestigio prestigio 462 NOUN nmod
467 ministro ministro 231 NOUN obj
468 mais mais 470 ADV advmod
469 de de 468 ADP case
470 uma uma 471 NUM nummod
471 vez vez 231 NOUN nmod
472 com com 474 ADP case
473 importantes importante 474 ADJ amod
474 livros livro 81 NOUN nmod
475 e e 476 CCONJ cc
476 ensaios ensaio 474 NOUN conj
477 moradores morador 474 NOUN appos
478 intimos intimo 477 ADJ amod
479 de de 480 ADP case
480 paris paris 477 NOUN nmod
481 por por 483 ADP case
482 longos longo 483 ADJ amod
483 periodos periodo 477 NOUN nmod
484 mas mas 490 CCONJ cc
485 nao nao 486 ADV advmod
486 so so 295 ADV advmod
487 por por 488 ADP case
488 vontade vontade 490 NOUN nmod
489 propria proprio 488 ADJ amod
490 consta constar 20 VERB conj
491 que que 494 CCONJ mark
492 nela nela 494 X nmod
493 nada nada 494 PRON nsubj
494 restringe restringir 490 VERB ccomp
495 a o 496 DET det
496 franqueza franqueza 494 NOUN obj
497 se se 502 CCONJ mark
498 alguem alguem 502 PRON nsubj
499 em em 501 ADP case
500 a o 501 DET det
501 conversa conversa 498 NOUN nmod
502 desconhecia desconhecer 494 VERB advcl
503 a o 504 DET det
504 peculiaridade peculiaridade 502 NOUN obj
505 ali ali 506 ADV advmod
506 testemunhou testemunhar 392 VERB ccomp
507 um um 508 DET det
508 motivo motivo 506 NOUN obj
509 para para 511 ADP mark
510 nao nao 511 ADV advmod
511 esquecela esquecelar 508 VERB nmod
512 pois pois 517 CCONJ advmod
513 e e 517 CCONJ cc
514 mas mas 517 CCONJ cc
515 em em 517 ADP case
516 os o 517 PRON obj
517 sabemos saber 419 VERB conj
518 de de 440 ADP case
519 o o 45 DET det
1 apartamento apartamento 32 NOUN nsubj
2 que que 7 PRON obj
3 sergio sergio 7 PROPN nsubj
4 motta motta 3 NOUN flat
5 e e 6 CCONJ cc
6 voce voce 4 PRON conj
7 compraram comprar 1 VERB acl:relcl
8 em em 10 ADP case
9 a o 10 DET det
10 avenue avenue 7 NOUN nmod
11 foch foch 10 NOUN flat
12 congelamento congelamento 1 NOUN appos
13 total total 12 ADJ amod
14 de de 16 ADP case
15 os o 16 DET det
16 convivas conviva 12 NOUN nmod
17 fernando fernar 12 VERB acl
18 henrique henrique 17 NOUN obj
19 e e 22 CCONJ cc
20 quem quem 22 PRON nsubj
21 o o 22 PRON obj
22 quebra quebrar 17 VERB conj
23 afinal afinal 22 ADV advmod
24 apenas apenas 27 ADV advmod
25 para para 27 ADP mark
26 se se 27 PRON obj
27 levantar levantar 22 VERB advcl
28 e e 29 CCONJ cc
29 afastarse afastarse 27 VERB conj
30 cara cara 29 NOUN obj
31 fechada fechado 30 ADJ amod
32 livido liver 0 VERB root
33 nenhuma nenhuma 34 DET det
34 resposta resposta 32 NOUN obj
35 verbal verbal 34 ADJ amod
36 a a 38 ADP case
37 bela belo 38 ADJ amod
38 avenue avenue 34 NOUN nmod
39 foch foch 38 NOUN flat
40 seus seus 42 DET det:poss
41 imensos imenso 42 ADJ amod
42 apartamentos apartamento 32 NOUN nsubj
43 entre entre 45 ADP case
44 os o 45 DET det
45 precos preco 42 NOUN nmod
46 mais mais 47 ADV advmod
47 altos alto 45 ADJ amod
48 de de 50 ADP case
49 o o 50 DET det
50 mundo mundo 45 NOUN nmod
51 luxo luxo 32 NOUN parataxis
52 predileto predileto 51 ADJ amod
53 de de 55 ADP case
54 os o 55 DET det
55 embaixadores embaixador 52 NOUN nmod
56 de de 57 ADP case
57 paises paise 55 NOUN nmod
58 subdesenvolvidos subdesenvolvido 57 ADJ amod
59 refugio refugio 55 NOUN appos
60 certo certo 59 ADJ amod
61 de de 63 ADP case
62 os o 63 DET det
63 idi idi 59 NOUN nmod
64 amim amim 63 NOUN flat
65 dada dada 63 NOUN appos
66 de de 68 ADP case
67 os o 68 DET det
68 bokassa bokassa 65 NOUN nmod
69 de de 71 ADP case
70 os o 71 DET det
71 farouk farouk 68 NOUN nmod
72 e e 76 CCONJ cc
73 ainda ainda 76 ADV advmod
74 de de 76 ADP case
75 velhos velho 76 ADJ amod
76 aristocratas aristocrata 63 NOUN conj
77 europeus europeu 76 ADJ amod
78 avenue avenue 32 NOUN parataxis
79 foch foch 78 NOUN flat
80 onde onde 86 ADV advmod
81 a o 82 DET det
82 familia familia 86 NOUN nsubj
83 fernando fernando 82 NOUN appos
84 henrique henrique 83 NOUN flat
85 cardoso cardoso 83 ADJ amod
86 esta esta 78 VERB acl:relcl
87 instalada instalado 86 ADJ xcomp
88 em em 90 ADP case
89 o o 90 DET det
90 apartamento apartamento 87 NOUN nmod
91 emprestado emprestar 90 VERB acl
92 e e 94 CCONJ cc
93 a o 94 DET det
94 informacao informacao 78 NOUN conj
95 posta posta 94 VERB acl
96 em em 98 ADP case
97 o o 98 DET det
98 noticiario noticiario 95 NOUN nmod
99 por por 101 ADP case
100 o o 101 DET det
101 amigo amigo 95 NOUN nmod
102 que que 105 PRON nsubj
103 passou passar 105 AUX aux
104 a a 105 ADP mark
105 figurar figurar 101 VERB acl:relcl
106 em em 108 ADP case
107 a o 108 DET det
108 sociedade sociedade 105 NOUN nmod
109 de de 111 ADP case
110 a o 111 DET det
111 fazenda fazenda 108 NOUN nmod
112 tambem tambem 113 ADV advmod
113 comprada comprar 108 VERB acl
114 por por 115 ADP case
115 sergio sergio 113 NOUN nmod
116 motta motta 115 NOUN flat
117 e e 118 CCONJ cc
118 fernando fernando 115 NOUN conj
119 henrique henrique 118 NOUN flat
120 cardoso cardoso 118 ADJ amod
121 em em 122 ADP case
122 buritis buritis 113 NOUN nmod
123 avenue avenue 122 NOUN appos
124 foch foch 123 ADJ flat
125 e e 126 CCONJ cc
126 ela ela 123 PRON conj
127 que que 128 PRON nsubj
128 traz trazer 126 VERB acl:relcl
129 de de 130 ADP case
130 volta volta 128 NOUN nmod
131 comentarios comentario 128 NOUN obj
132 sobre sobre 134 ADP case
133 a o 134 DET det
134 historieta historieta 131 NOUN nmod
135 indagacoes indagacoes 128 NOUN obj
136 de de 138 ADP case
137 sua sua 138 DET det:poss
138 autenticidade autenticidade 135 NOUN nmod
139 ou ou 141 CCONJ cc
140 nao nao 141 ADV advmod
141 curiosidade curiosidade 138 NOUN conj
142 em em 143 ADP case
143 torno torno 141 NOUN nmod
144 de de 147 ADP case
145 o o 147 DET det
146 que que 142 PRON fixed
147 digam dizer 135 VERB nmod
148 outros outros 150 DET det
149 possiveis possivel 150 ADJ amod
150 comensais comensal 147 NOUN nsubj
