1 assessor assessor 6 NOUN nsubj
158 tambem tambem 162 ADV advmod
159 a a 161 ADP case
160 o o 161 DET det
161 mundo mundo 162 NOUN iobj
162 acho achar 43 VERB conj
163 que que 297 CCONJ mark
164 e e 162 CCONJ ccomp
165 importante importante 164 ADJ xcomp
166 para para 167 ADP case
167 todos todos 165 PRON nmod
168 em em 170 ADP case
169 os o 170 DET det
170 enfrentar enfrentar 165 VERB nmod
171 este este 172 DET det
172 regime regime 170 NOUN obj
173 declarou declarar 281 VERB ccomp
174 o o 175 DET det
175 general general 173 NOUN nsubj
176 o o 177 DET det
177 conselheiro conselheiro 297 NOUN nsubj:pass
178 de de 180 ADP case
179 a o 180 DET det
180 administracao administracao 177 NOUN nmod
181 de de 182 ADP case
182 trump trump 180 NOUN nmod
183 ainda ainda 184 ADV advmod
184 acrescentou acrescentar 281 VERB ccomp
185 nao nao 187 ADV advmod
186 podemos podemos 187 AUX aux
187 tolerar tolerar 184 VERB ccomp
188 uma um 189 DET det
189 ameaca ameaca 187 NOUN obj
190 nuclear nuclear 189 ADJ amod
191 a a 193 ADP case
192 o o 193 DET det
193 mundo mundo 187 NOUN nmod
194 o o 195 DET det
195 presidente presidente 196 NOUN nsubj
196 deixou deixar 20 VERB conj
197 claro claro 196 ADJ xcomp
198 que que 200 CCONJ mark
199 vai ir 200 AUX aux
200 acabar acabar 196 VERB ccomp
201 com com 203 ADP case
202 esta esta 203 DET det
203 questao questao 200 NOUN nmod
204 de de 206 ADP case
205 uma um 206 DET det
206 maneira maneira 200 NOUN nmod
207 ou ou 209 CCONJ cc
208 de de 209 ADP case
209 outra outra 206 PRON conj
210 o o 211 DET det
211 senador senador 217 NOUN nsubj
212 de de 214 ADP case
213 o o 214 DET det
214 arizona arizona 211 NOUN nmod
215 john john 211 PROPN appos
216 mccain mccain 215 PROPN flat
217 concordou concordar 20 VERB conj
218 com com 220 ADP case
219 a o 220 DET det
220 declaracao declaracao 217 NOUN nmod
221 de de 223 ADP case
222 o o 223 DET det
223 general general 220 NOUN nmod
224 mcmaster mcmaster 223 PROPN appos
225 e e 226 CCONJ cc
226 propos propo 43 VERB conj
227 que que 230 CCONJ mark
228 a o 229 DET det
229 america america 230 NOUN nsubj
230 aprove aprovar 226 VERB ccomp
231 um um 232 DET det
232 fundo fundo 230 NOUN obj
233 de de 234 ADP case
234 u u 232 NOUN nmod
235 7 7 236 NUM nummod
236 bilhoes bilhoes 234 NUM nummod
237 para para 238 ADP mark
238 aumentar aumentar 230 VERB advcl
239 as o 240 DET det
240 capacidades capacidade 238 NOUN obj
241 de de 243 ADP case
242 os o 243 DET det
243 militares militar 240 NOUN nmod
244 de de 246 ADP case
245 os o 246 DET det
246 eua eua 243 NOUN nmod
247 em em 249 ADP case
248 a o 249 DET det
249 asiapacifico asiapacifico 243 NOUN nmod
250 em em 252 ADP case
251 o o 252 DET det
252 inicio inicio 240 NOUN nmod
253 desta desta 254 ADP case
254 semana semana 252 NOUN nmod
255 a o 256 DET det
256 coreia coreia 261 NOUN nsubj
257 de de 259 ADP case
258 o o 259 DET det
259 norte norte 256 NOUN nmod
260 tambem tambem 261 ADV advmod
261 ameacou ameacar 226 VERB ccomp
262 israel israel 261 NOUN obj
263 depois depois 275 ADV mark
264 que que 263 CCONJ fixed
265 o o 266 DET det
266 ministro ministro 275 NOUN nsubj
267 de de 269 ADP case
268 a o 269 DET det
269 defesa defesa 266 NOUN nmod
270 de de 272 ADP case
271 o o 272 DET det
272 pais pais 269 NOUN nmod
273 avigdor avigdor 266 NOUN appos
274 liberman liberman 273 NOUN flat
275 chamou chamar 261 VERB advcl
276 kim kim 275 NOUN obj
277 jongun jongun 276 NOUN flat
278 de de 279 ADP mark
279 louco louco 275 ADJ nmod
280 pyongyang pyongyang 275 NOUN nmod
281 disse dizer 261 VERB advcl
282 que que 297 CCONJ mark
283 israel israel 297 PROPN nsubj:pass
284 e e 286 CCONJ cc
285 qualquer qualquer 286 DET det
286 um um 283 PRON conj
287 que que 288 PRON nsubj
288 ousar ousar 286 VERB acl:relcl
289 prejudicar prejudicar 288 VERB xcomp
290 a o 291 DET det
291 dignidade dignidade 289 NOUN obj
292 de de 294 ADP case
293 sua sua 294 DET det:poss
294 lideranca lideranca 291 NOUN nmod
295 suprema supremo 294 ADJ amod
296 sera sera 297 AUX aux:pass
297 confrontado confrontar 281 VERB ccomp
298 com com 301 ADP case
299 um um 301 DET det
300 impiedoso impiedoso 301 ADJ amod
301 castigo castigo 297 NOUN nmod
