1 proximo proximo 2 ADJ amod
152 ditador ditador 149 NOUN nmod
153 nortecoreano nortecoreano 152 ADJ amod
154 a o 155 DET det
155 china china 147 NOUN nsubj
156 tem ter 67 VERB ccomp
157 um um 158 DET det
158 interesse interesse 43 NOUN obj
159 particular particular 158 ADJ amod
160 em em 162 ADP case
161 a o 162 DET det
162 situacao situacao 158 NOUN nmod
163 eles eles 165 PRON nsubj:pass
164 sao ser 165 AUX aux:pass
165 conhecidos conhecer 143 VERB ccomp
166 por por 167 ADP mark
167 terem ter 165 VERB advcl
168 influencia influencia 167 NOUN obj
169 sobre sobre 171 ADP case
170 o o 171 DET det
171 imbecil imbecil 168 NOUN nmod
172 kim kim 43 PROPN nsubj
173 jongun jongun 172 NOUN flat
174 disse dizer 20 VERB parataxis
175 um um 176 DET det
176 oficial oficial 207 NOUN nsubj
177 de de 179 ADP case
178 o o 179 DET det
179 exercito exercito 176 NOUN nmod
180 americano americano 179 ADJ amod
181 donaldo donaldo 176 PROPN appos
182 trump trump 181 NOUN flat
183 acrescentou acrescentar 43 VERB parataxis
184 ou ou 186 CCONJ cc
185 china china 186 NOUN nsubj
186 decide decidir 183 VERB ccomp
187 em em 189 ADP mark
188 os o 189 PRON obj
189 ajudar ajudar 186 VERB nmod
190 com com 192 ADP case
191 a o 192 DET det
192 coreia coreia 189 NOUN nmod
193 de de 195 ADP case
194 o o 195 DET det
195 norte norte 192 NOUN nmod
196 ou ou 200 CCONJ cc
197 nao nao 200 ADV advmod
198 se se 200 CCONJ mark
199 nao nao 200 ADV advmod
200 ajudaram ajudar 43 VERB conj
201 em em 203 ADP case
202 os o 203 DET det
203 faremos faremos 200 VERB nmod
204 sozinhos só 203 ADJ amod
205 o o 206 DET det
206 pentagono pentagono 207 NOUN nsubj
207 desenvolveu desenvolver 43 VERB conj
208 uma um 209 DET det
209 serie serie 207 NOUN obj
210 de de 211 ADP case
211 opcoes opcoe 209 NOUN nmod
212 sobre sobre 214 ADP mark
213 como como 214 ADV advmod
214 lidar lidar 211 VERB nmod
215 com com 217 ADP case
216 o o 217 DET det
217 ditador ditador 214 NOUN nmod
218 covarde covarde 217 ADJ amod
219 incluindo incluir 238 VERB acl
220 um um 221 DET det
221 plano plano 219 NOUN obj
222 de de 223 ADP case
223 assassinato assassinato 221 NOUN nmod
224 e e 225 CCONJ cc
225 decapitacao decapitacao 223 NOUN conj
226 de de 228 ADP case
227 o o 228 DET det
228 gordinho gordo 225 NOUN nmod
229 maluco maluco 228 ADJ amod
230 durante durante 232 ADP case
231 essa essa 232 DET det
232 semana semana 238 NOUN nmod
233 o o 234 DET det
234 presidente presidente 252 NOUN nsubj
235 chines chine 234 ADJ amod
236 xi xi 234 PROPN appos
237 jinping jinping 236 PROPN flat
238 viajara viajar 67 VERB ccomp
239 para para 241 ADP case
240 a o 241 DET det
241 florida florida 238 NOUN nmod
242 para para 244 ADP mark
243 se se 244 PRON expl:pv
244 encontrar encontrar 238 VERB advcl
245 com com 246 ADP case
246 trump trump 244 NOUN nmod
247 sobre sobre 249 ADP case
248 o o 249 DET det
249 presidente presidente 244 NOUN nmod
250 xi xi 249 PROPN appos
251 trump trump 236 PROPN flat
252 disse dizer 67 VERB advcl
253 tenho ter 252 VERB ccomp
254 um um 256 DET det
255 grande grande 256 ADJ amod
256 respeito respeito 253 NOUN obj
257 por por 258 ADP case
258 ele ele 256 PRON nmod
259 e e 265 CCONJ cc
260 por por 262 ADP case
261 a o 262 DET det
262 china china 258 NOUN conj
263 eu eu 265 PRON nsubj
264 nao nao 265 ADV advmod
265 ficaria ficar 253 VERB conj
266 surpreso surpreso 265 ADJ xcomp
267 se se 268 CCONJ mark
268 fizessemos fazessr 265 VERB advcl
269 algo algo 268 PRON obj
270 em em 271 ADP case
271 conjunto conjunto 269 NOUN nmod
272 que que 273 PRON nsubj
273 seria seria 269 VERB acl:relcl
274 util util 273 ADJ xcomp
275 para para 278 ADP case
276 ambos ambos 278 DET det
277 os o 278 DET det
278 paises paise 274 NOUN nmod
