1 folha folha 5 NOUN nsubj
116 mesmo mesmo 115 ADV advmod
117 a o 119 DET det
118 nossa nossa 119 DET det:poss
119 confederacao confederacao 181 NOUN obj
120 brasileira brasileiro 119 ADJ amod
121 de de 122 ADP case
122 futebol futebol 119 NOUN nmod
123 e e 125 CCONJ cc
124 quem quem 125 PRON nsubj
125 banca bancar 181 VERB conj
126 os o 127 DET det
127 rendimentos rendimento 125 NOUN obj
128 de de 130 ADP case
129 o o 130 DET det
130 profissional profissional 127 NOUN nmod
131 alem alem 140 ADV advmod
132 de de 134 ADP case
133 o o 134 DET det
134 salario salario 131 NOUN nmod
135 de de 137 ADP case
136 a o 137 DET det
137 cbf cbf 134 NOUN nmod
138 stuckert stuckert 137 PROPN appos
139 tambem tambem 140 ADV advmod
140 recebe receber 20 VERB conj
141 salario salario 140 NOUN obj
142 por por 144 ADP case
143 o o 144 DET det
144 instituto instituto 140 NOUN nmod
145 lula lula 144 ADJ amod
146 de de 147 ADP case
147 acordo acordo 65 NOUN nmod
148 com com 150 ADP case
149 o o 150 DET det
150 ministerio ministerio 147 NOUN nmod
151 publico publico 150 ADJ amod
152 federal federal 150 ADJ amod
153 a o 154 DET det
154 cinefoto cinefoto 65 NOUN nsubj
155 stuckert stuckert 154 NOUN appos
156 press press 155 NOUN flat
157 ltda ltda 155 NOUN flat
158 me me 159 DET det:poss
159 empresa empresa 163 NOUN nsubj
160 de de 162 ADP case
161 o o 162 DET det
162 fotografo fotografo 159 NOUN nmod
163 recebeu receber 20 VERB parataxis
164 r r 163 NOUN obj
165 205700 205700 164 NUM appos
166 de de 168 ADP case
167 o o 168 DET det
168 instituto instituto 164 NOUN nmod
169 entre entre 170 ADP case
170 2012 2012 163 NUM nmod
171 e e 172 CCONJ cc
172 2014 2014 170 NUM conj
173 o o 174 DET det
174 instituto instituto 176 NOUN nsubj
175 lula lula 174 NOUN appos
176 nega negar 5 VERB parataxis
177 que que 181 CCONJ mark
178 o o 179 DET det
179 expresidente expresidente 181 NOUN nsubj
180 tenha ter 181 AUX aux
181 pedido pedir 176 VERB ccomp
182 a a 183 ADP case
183 cbf cbf 181 NOUN iobj
184 a o 185 DET det
185 contratacao contratacao 181 NOUN obj
186 de de 188 ADP case
187 o o 188 DET det
188 profissional profissional 185 NOUN nmod
