1 quem quem 2 PRON nsubj
166 de de 168 ADP case
167 o o 168 DET det
168 dia dia 162 NOUN nmod
169 6 6 168 NUM nmod
170 de de 171 ADP case
171 janeiro janeiro 169 PROPN nmod
172 ja ja 173 ADV advmod
173 noticiava noticiar 77 VERB conj
174 que que 183 CCONJ mark
175 parte parte 183 NOUN nsubj:pass
176 de de 178 ADP case
177 a o 178 DET det
178 mudanca mudanca 175 NOUN nmod
179 de de 181 ADP case
180 o o 181 DET det
181 expresidente expresidente 178 NOUN nmod
182 seria seria 183 AUX aux:pass
183 encaminhada encaminhar 173 VERB ccomp
184 para para 186 ADP case
185 a o 186 DET det
186 propriedade propriedade 183 NOUN nmod
187 em em 188 ADP case
188 atibaia atibaia 186 NOUN nmod
