1 guerra guerra 7 NOUN nsubj
154 o o 155 DET det
155 saneamento saneamento 152 NOUN nmod
156 basico basico 155 ADJ amod
157 a o 158 DET det
158 saude saude 83 NOUN obj
159 e e 161 CCONJ cc
160 a o 161 DET det
161 educacao educacao 158 NOUN conj
162 ele ele 164 PRON nsubj
163 esta esta 164 AUX aux
164 causando causar 28 VERB ccomp
165 indiretamente indiretamente 164 ADV advmod
166 diversas diversas 167 DET det
167 mortes morte 164 NOUN obj
168 nao nao 169 ADV advmod
169 tem ter 28 VERB ccomp
170 perdao perdao 169 NOUN obj
171 quem quem 172 PRON nsubj
172 investiga investigar 92 VERB csubj
173 investiga investigar 57 VERB ccomp
174 fatos fato 173 NOUN obj
175 e e 177 CCONJ cc
176 nao nao 177 ADV advmod
177 pessoas pessoa 174 NOUN conj
178 a a 179 ADP mark
179 partir partir 188 VERB nmod
180 de de 182 ADP case
181 os o 182 DET det
182 fatos fato 179 NOUN nmod
183 que que 184 PRON nsubj
184 surgem surgir 182 VERB acl:relcl
185 em em 187 ADP case
186 uma um 187 DET det
187 investigacao investigacao 184 NOUN nmod
188 chegase chegr 28 VERB ccomp
189 a a 190 ADP case
190 pessoas pessoa 188 NOUN iobj
191 se se 194 CCONJ mark
192 esses esses 193 DET det
193 fatos fato 194 NOUN nsubj
194 levarem levar 188 VERB advcl
195 a a 196 ADP case
196 provas prova 194 NOUN nmod
197 contra contra 198 ADP case
198 pessoas pessoa 196 NOUN nmod
199 nao nao 200 ADV advmod
200 importa importar 52 VERB conj
201 se se 211 CCONJ mark
202 a o 203 DET det
203 pessoa pessoa 211 NOUN nsubj
204 e e 206 CCONJ cc
205 a o 206 DET det
206 b b 203 NOUN conj
207 c c 206 NOUN appos
208 ou ou 209 CCONJ cc
209 d d 207 X conj
210 nao nao 211 ADV advmod
211 importa importar 57 VERB ccomp
212 a o 213 DET det
213 cor cor 211 NOUN obj
214 nem nem 215 CCONJ cc
215 ideologia ideologia 213 NOUN conj
216 nem nem 217 CCONJ cc
217 cargo cargo 213 NOUN conj
218 nem nem 219 CCONJ cc
219 idade idade 213 NOUN conj
220 todos todos 222 PRON nsubj:pass
221 serao serao 222 AUX aux:pass
222 investigados investigar 52 VERB conj
223 independentemente independentemente 222 ADV advmod
224 de de 226 ADP mark
225 quem quem 226 PRON nsubj
226 seja ser 223 VERB nmod
227 em em 229 ADP case
228 uma um 229 DET det
229 investigacao investigacao 226 NOUN nmod
230 importa importar 57 VERB ccomp
231 pegar pegar 230 VERB xcomp
232 o o 234 DET det
233 quarto quarto 234 ADJ amod
234 escalao escalao 231 NOUN obj
235 que que 67 PRON nsubj
236 e e 238 CCONJ cc
237 facilmente facilmente 238 ADV advmod
238 substituivel substituivel 213 ADJ conj
239 ou ou 240 CCONJ cc
240 subir subir 238 VERB conj
241 e e 242 CCONJ cc
242 atacar atacar 231 VERB conj
243 a o 244 DET det
244 cabeca cabeca 242 NOUN obj
245 de de 247 ADP case
246 a o 247 DET det
247 organizacao organizacao 244 NOUN nmod
248 criminosa criminoso 247 ADJ amod
249 se se 251 CCONJ mark
250 voce voce 251 PRON nsubj
251 abater abater 67 VERB advcl
252 o o 253 DET det
253 chefe chefe 251 NOUN obj
254 de de 256 ADP case
255 a o 256 DET det
256 organizacao organizacao 253 NOUN nmod
257 criminosa criminoso 256 ADJ amod
258 ai ai 261 CCONJ mark
259 sim sim 261 ADV advmod
260 voce voce 261 PRON nsubj
261 abate abater 251 VERB conj
262 a o 263 DET det
263 corrupcao corrupcao 261 NOUN obj
264 a o 265 DET det
265 delacao delacao 267 NOUN nsubj
266 premiada premiado 265 ADJ amod
267 ajuda ajudar 261 VERB parataxis
268 a a 269 ADP mark
269 atacar atacar 267 VERB nmod
270 a o 271 DET det
271 cabeca cabeca 269 NOUN obj
272 de de 274 ADP case
273 a o 274 DET det
274 organizacao organizacao 271 NOUN nmod
275 criminosa criminoso 274 ADJ amod
