1 enfim enfim 12 ADV advmod
210 recebeu receber 201 VERB ccomp
211 50 50 212 NUM nummod
212 milhoes milhoes 214 NUM nummod
213 de de 214 ADP case
214 reais real 210 NOUN obj
215 em em 216 ADP case
216 propina propina 210 NOUN nmod
217 o o 218 DET det
218 recurso recurso 219 NOUN nsubj
219 representa representar 201 VERB ccomp
220 parte parte 219 NOUN obj
221 de de 226 ADP case
222 os o 226 DET det
223 300 300 224 NUM nummod
224 milhoes milhoes 226 NUM nummod
225 de de 226 ADP case
226 dolares dolar 220 NOUN nmod
227 pagos pagar 226 VERB acl
228 por por 230 ADP case
229 a o 230 DET det
230 petrobras petrobra 227 NOUN nmod
231 a a 233 ADP case
232 uma um 233 DET det
233 companhia companhia 227 NOUN nmod
234 angolana angolano 233 ADJ amod
235 que que 236 PRON nsubj
236 repassou repassar 233 VERB acl:relcl
237 o o 238 DET det
238 valor valor 236 NOUN obj
239 para para 241 ADP case
240 o o 241 DET det
241 partido partido 236 NOUN nmod
