1 audio audio 35 NOUN parataxis
143 vier vier 138 VERB acl:relcl
144 a a 145 ADP case
145 publico publico 143 NOUN nmod
146 vai ir 147 AUX aux
147 ficar ficar 138 VERB acl:relcl
148 feio feio 147 ADJ xcomp
149 pra pra 153 ADP mark
150 quem quem 151 PRON det
151 presidente presidente 153 NOUN nsubj
152 sanches sanche 151 ADJ amod
153 respondeu responder 147 VERB advcl
154 nao nao 156 ADV advmod
155 vai ir 156 AUX aux
156 ficar ficar 153 VERB ccomp
157 feio feio 156 ADJ xcomp
158 pra pra 159 ADP case
159 ninguem ninguem 156 PRON nmod
160 talvez talvez 162 ADV advmod
161 nao nao 162 ADV advmod
162 imoral imoral 156 ADJ xcomp
163 mas mas 165 CCONJ cc
164 vai ir 165 AUX aux
165 ficar ficar 57 VERB conj
166 dificil dificil 165 ADJ xcomp
167 pro pro 168 ADP case
168 lula lula 165 NOUN nmod
169 a o 170 DET det
170 pergunta pergunta 57 NOUN nsubj
171 que que 173 CCONJ mark
172 nao nao 173 ADV advmod
173 quer querer 170 VERB acl:relcl
174 calar calar 173 VERB xcomp
175 como como 181 ADV advmod
176 e e 181 CCONJ cc
177 que que 181 CCONJ mark
178 a o 179 DET det
179 empreiteira empreiteiro 181 NOUN nsubj
180 odebrecht odebrecht 179 PROPN appos
181 recebeu receber 173 VERB conj
182 r r 181 NOUN obj
183 780 780 92 NUM nummod
184 mil mil 182 NUM nummod
185 se se 88 CCONJ mark
186 o o 187 DET det
187 custo custo 88 NOUN nsubj
188 de de 190 ADP case
189 a o 190 DET det
190 obra obra 187 NOUN nmod
191 era era 181 VERB advcl
192 1 1 193 NUM nummod
193 bilhao bilhao 88 NOUN advcl
194 quem quem 195 PRON nsubj
195 pagou pagar 88 VERB csubj
196 os o 198 DET det
197 outros outros 198 PRON det
198 r r 195 NOUN obj
199 220 220 200 NUM nummod
200 mil mil 198 NUM nummod
201 para para 203 ADP case
202 a o 203 DET det
203 empreiteira empreiteiro 195 NOUN nmod
