1 rumo rumo 8 NOUN advmod
68 dias dia 167 NOUN nmod
69 de de 70 ADP case
70 governo governo 68 NOUN nmod
71 favio favio 73 ADJ nsubj
72 cleto cleto 71 NOUN flat
73 era era 153 VERB parataxis
74 responsavel responsavel 73 ADJ xcomp
75 por por 77 ADP case
76 a o 77 DET det
77 liberacao liberacao 74 NOUN nmod
78 de de 79 ADP case
79 recursos recurso 77 NOUN nmod
80 de de 82 ADP case
81 o o 82 DET det
82 fundo fundo 77 NOUN nmod
83 de de 84 ADP case
84 investimento investimento 82 NOUN nmod
85 de de 87 ADP case
86 o o 87 DET det
87 fgts fgts 82 NOUN nmod
88 e e 89 CCONJ cc
89 vicepresidente vicepresidente 82 NOUN conj
90 de de 91 ADP case
91 loterias loteria 89 NOUN nmod
92 de de 94 ADP case
93 a o 94 DET det
94 caixa caixa 91 NOUN nmod
95 em em 97 ADP case
96 sua sua 97 DET det:poss
97 delacao delacao 177 NOUN nmod
98 fabio fabio 187 NOUN nsubj
99 ja ja 100 ADV advmod
100 complicou complicar 8 VERB conj
101 eduardo eduardo 100 PROPN obj
102 cunha cunha 101 PROPN flat
103 e e 104 CCONJ cc
104 delatou delatar 100 VERB conj
105 contou contar 104 VERB ccomp
106 que que 109 CCONJ mark
107 o o 108 DET det
108 peemedebista peemedebista 109 NOUN nsubj
109 recebeu receber 105 VERB ccomp
110 propina propina 109 NOUN obj
111 de de 113 ADP case
112 12 12 113 NUM nummod
113 empreiteiras empreiteira 110 NOUN nmod
114 em em 115 ADP case
115 troca troca 109 NOUN nmod
116 de de 118 ADP case
117 a o 118 DET det
118 liberacao liberacao 115 NOUN nmod
119 de de 120 ADP case
120 recursos recurso 118 NOUN nmod
121 para para 122 ADP case
122 projetos projeto 120 NOUN nmod
123 de de 124 ADP case
124 infraestrutura infraestrutura 122 NOUN nmod
125 com com 126 ADP case
126 relacao relacao 118 NOUN nmod
127 a a 128 ADP case
128 geddel geddel 126 NOUN nmod
129 cleto cleto 128 NOUN flat
130 disse dizer 28 VERB conj
131 que que 134 CCONJ mark
132 o o 133 DET det
133 ministro ministro 134 NOUN nsubj
134 recebeu receber 130 VERB ccomp
135 propina propina 134 NOUN obj
136 de de 138 ADP case
137 a o 138 DET det
138 oas oas 135 NOUN nmod
139 para para 141 ADP case
140 sua sua 141 DET det:poss
141 campanha campanha 134 NOUN nmod
142 a a 144 ADP case
143 o o 144 DET det
144 senado senado 141 NOUN nmod
145 em em 146 ADP case
146 2014 2014 61 NUM nmod
147 henrique henrique 47 NOUN nsubj:pass
148 eduardo eduardo 147 PROPN flat
149 alves alves 54 PROPN flat
150 foi foi 153 AUX cop
151 o o 153 DET det
152 terceiro terceiro 153 ADJ amod
153 ministro ministro 47 NOUN conj
154 de de 157 ADP case
155 o o 157 DET det
156 novo novo 157 ADJ amod
157 governo governo 153 NOUN nmod
158 a a 159 ADP mark
159 deixar deixar 153 VERB nmod
160 o o 161 DET det
161 cargo cargo 159 NOUN obj
162 o o 163 DET det
163 pedido pedido 57 NOUN nsubj
164 de de 165 ADP case
165 demissao demissao 163 NOUN nmod
166 foi foi 167 AUX aux:pass
167 feito feito 50 VERB acl:relcl
168 hoje hoje 167 ADV advmod
169 16/06 16/06 168 NUM nmod
170 fabiano fabiano 167 NOUN nsubj:pass
171 silveira silveiro 172 ADJ amod
172 ministro ministro 167 NOUN nsubj:pass
173 de de 175 ADP case
174 a o 175 DET det
175 transparencia transparencia 163 NOUN nmod
176 tambem tambem 177 ADV advmod
177 pediu pedir 73 VERB conj
178 demissao demissao 177 NOUN obj
179 em em 181 ADP case
180 o o 181 DET det
181 dia dia 177 NOUN nmod
182 30/05 30/05 181 NUM nmod
183 o o 184 DET det
184 primeiro primeiro 177 NOUN nsubj
185 foi foi 187 AUX cop
186 o o 187 DET det
187 senador senador 177 NOUN parataxis
188 romero romero 187 NOUN appos
189 juca juca 188 ADJ flat
190 que que 191 PRON nsubj
191 entregou entregar 187 VERB acl:relcl
192 o o 193 DET det
193 cargo cargo 191 NOUN obj
194 de de 195 ADP case
195 ministro ministro 193 NOUN nmod
196 de de 198 ADP case
197 o o 198 DET det
198 planejamento planejamento 195 NOUN nmod
199 em em 200 ADP case
200 23/5 23/5 191 NUM nmod
201 os o 202 DET det
202 tres tres 204 NUM nsubj:pass
203 foram foram 204 AUX aux:pass
204 citados citar 73 VERB parataxis
205 em em 206 ADP case
206 audios audio 204 NOUN nmod
207 de de 208 ADP case
208 sergio sergio 206 NOUN nmod
209 machado machado 208 ADJ flat
210 expresidente expresidente 208 NOUN appos
211 de de 213 ADP case
212 a o 213 DET det
213 transpetro transpetro 210 NOUN nmod
