1 diretoria diretoria 5 NOUN nsubj
218 funcionamento funcionamento 215 NOUN nmod
219 de de 221 ADP case
220 o o 221 DET det
221 estacionamento estacionamento 218 NOUN nmod
222 de de 224 ADP case
223 o o 224 DET det
224 setor setor 221 NOUN nmod
225 leste leste 224 ADJ amod
226 e e 229 CCONJ cc
227 nao nao 229 ADV advmod
228 foram foram 229 AUX aux:pass
229 questionados questionar 206 VERB conj
230 previamente previamente 229 ADV advmod
231 sobre sobre 234 ADP case
232 os o 234 DET det
233 outros outros 234 DET det
234 pontos ponto 229 NOUN nmod
235 abordados abordar 234 VERB acl
236 em em 238 ADP case
237 a o 238 DET det
238 materia materia 235 NOUN nmod
239 se se 242 CCONJ mark
240 fossem fossem 242 VERB aux
241 teriam ter 242 AUX aux
242 esclarecido esclarecer 229 VERB advcl
243 as o 244 DET det
244 informacoes informacoe 242 NOUN obj
245 a a 247 ADP case
246 o o 247 DET det
247 jornal jornal 242 NOUN iobj
248 como como 249 ADV advmod
249 farao fazer 242 VERB ccomp
250 junto junto 249 ADV advmod
251 com com 253 ADP case
252 a o 253 DET det
253 odebrecht odebrecht 250 NOUN nmod
254 em em 257 ADP case
255 as o 257 DET det
256 proximas proximo 257 ADJ amod
257 horas hora 249 NOUN nmod
