1 contrato contrato 11 NOUN nsubj:pass
217 mais mais 218 ADV advmod
218 simples simples 216 ADJ amod
219 bem bem 220 ADV advmod
220 abaixo abaixo 216 ADV advmod
221 de de 223 ADP case
222 o o 223 DET det
223 nivel nivel 220 NOUN nmod
224 de de 225 ADP case
225 lula lula 223 NOUN nmod
226 que que 230 PRON case
227 e e 230 CCONJ cc
228 de de 230 ADP case
229 a o 230 DET det
230 elite elite 223 NOUN nmod
